id,user_rating,review_title,review_text,author,date
1,8,"A great, but hard watch","8/10A great, but hard watchSpoiler",davidmvining,N/A
2,9,"Brilliant, stunning and disturbingly entertaining","Few films are as sensational or infamous as Stanley Kubrick's ""A Clockwork Orange"". It's impossible to sit through ACO and not have a reaction; whether it be shock, disgust or amazement. The savage tale of a brutal young droog and his subsequent ""reformation"" by the government is as shocking and thought-provoking as ever.While the film's depictions of violence and sex are what it's most known for, ACO works on far deeper levels. The disturbing portrayal of youth and its satirical depiction of a government's attempts to create a better society are brilliant, but the most fascinating aspect of ACO is the questions it poses about good and evil. While the crimes Alex commits at the beginning of the film are atrocious, what the government does to him is worse. The film presents the absolute worst aspects of man, but shows that even these are still favorable to a man without the choice. People can denounce the film because of its brutal content, but the importance of the questions it poses can't be denied.Equally excellent to the film's content is the effort by the crew. Kubrick's perfectionism pays off well, as ACO in one of his most visually striking films. Malcolm MacDowell is nothing short of amazing as Alex. Kubrick's use of surreal imagery and set pieces, as well as the ingenious use of music to compliment the on-screen action, creates a world that perfectly reflects the protagonist's behavior and the government's policies.A Clockwork Orange is by no means an easy film to get through, as many will be turned off by the scenes of violence and rape. But this masterpiece is far more complex than a simple romp through a world of youthful violence. It's a rare example of film-making that demands that the viewer actually think. Real horrorshow all around, Oh my brothers.",FZ-FX,N/A
3,9,We Are Seeing Our Future,9/10We Are Seeing Our FutureSpoiler,Hitchcoc,N/A
4,10,One of those films you have to watch multiple times,10/10One of those films you have to watch multiple timesSpoiler,Agent10,N/A
5,10,One of Kubrick's best,10/10One of Kubrick's bestSpoiler,MovieAddict2016,N/A
6,10,"""I was cured all right""","10/10""I was cured all right""Spoiler",nickenchuggets,N/A
7,N/A,Great Piece of Art,"I would say that the movie is really a gem of an art piece. The use of excellent imagery coupled with pretty out-of-the-place background score tells us about the uniqueness of this movie. Stanley Kubrick has really applied a lot of thought into this.The director wants the audience to feel something as bad not because he is showing it as bad but because it really is bad. The background music accompanying the ultra violent scenes is comical, and not dramatic or anything else that is commonly associated with such scenes. This gives the viewer an opportunity to feel the bitterness not because the music hints so but because he himself feels so. Viewer's emotions should arise irrespective of what the director is trying to show, and this is one of the greatest successes of the movie.Another glorifying feature is the central idea of the movie. If a human is striped of the choice to choose from good and evil, he no longer remains a human, he becomes a clockwork. When Alex is brain-washed and ""programmed"" to choose only good, he wasn't accepted by the society and this shows the irony in the objectives of the British Government. The word Orange from the title presumably comes from the word ""Ourange"" that loosely means man. And hence the title is so appropriate to the movie.The artificiality in dialogues and sets give the movie a unique feature and enhance the grip on it. This also means that the viewer has to get more involved. This is definitely one of the best technically shot movies, another masterpiece of Kubrick like the Space Oddessey.For the uninitiated, set in near future Britain, the movie shows Malcom MacDowell as the head of a group of youngsters involved in sexual violence. Turn of the events leave the protagonist in the hands of the police. Worried by the growing number of prisoners the British Government devises a method of ""programming"" them so that they always choose the good. Alex is chosen as one of those on which the new system is to be tested. The rest unfolds as a saga of the very human characteristic.Lastly, I would like to say that you may be compelled to leave the movie in between, but if you are watching it for art and cinematic experience, I recommend you to sit through.",varun_iitian,N/A
8,10,A second viewing does the trick,10/10A second viewing does the trickSpoiler,wokeuplookingfordabroccoli,N/A
9,10,Kubrick's best,10/10Kubrick's bestSpoiler,ickyptang,N/A
10,10,This is an all time masterpiece,"A Clockwork Orange (1971) is a movie I recently rewatched on HBOMAX. The storyline follows a little gang of misfits who travels the streets of England causing chaos through their random acts of violence. When they cross each other one night trying to establish a leader the direction of the gang and leader of the gang changes permanently...this movie is directed by legend Stanley Kubrick (The Shining) and stars Malcolm McDowell (Halloween), Patrick Magee (Zulu), Michael Bates (Patton), Warren Clarke (Firefox) and Adrienne Corri (Bunny Lake is Missing). This story from beginning to end is absolutely captivating. The sets are eccentric and unique. The dialogue is brilliant as the terminology is entertaining and well delivered. The acting by McDowell is all time great. One of my favorite all time performances. The circumstances throughout the film are horrifying, hilarious, intense and unpredictable all at the same time. The cinematography within the film keeps your mind turning throughout. This is an all time masterpiece that is an absolute must see and a 10/10.",kevin_robbins,N/A
