id,user_rating,review_title,review_text,author,date
1,8,Conkers Conqueror Goes Even More Bonkers...,"... in his pursuit of the gold of El Dorado while exhibiting incestuous thoughts towards his daughter and a belief he is god - with a supporting cast of treason, mutiny, murder, slavery, cannibalism and monkeys: you consider yourself fortunate not to have been part of the Spanish, or indeed any countries ruthless empire building in the past.You are however grateful, for the vision and inspirational insight brought to you by Werner Herzog, leaving you transfixed by the pioneers plight, surroundings (visual and audible), naivety and ignorance in their futile quest for immortality and riches. When you couple all this with the challenges of the films gestation, the time of its inception and the instability and unpredictable nature of Klaus Kinski; that it was ever birthed in the first instance turns it into a treasure worth discovering, or rediscovering if you've mislaid your ability to explore new cinematic horizons.",Xstal,N/A
2,8,Delusions of Grandeur,"My expectations going in to this film were pretty high given its critical acclaim and reputation. Grizzly Man is the only other Herzog film I have seen and it happens to be my current favorite documentary of all time, so needless to say I was quite excited to see another film by him. And I'm happy to report that, although on a first viewing I didn't love it to quite the same degree as Grizzly Man, Aguirre: The Wrath of God definitely did not disappoint.I was quite interested to see what Herzog's style would be like as a filmmaker working with his own script and actors rather than as a documentarian. Based only on this film, he definitely seems to have a very deliberate, methodical air to his direction. The entire film is very even-toned and it slides along at a steady pace that feels neither fast nor slow. There is definitely an emotional coldness to the film that feels almost Kubrickian. None of the characters are very relatable or likable; quite the contrary in fact - they are consumed by greed, selfishness and delusions of grandeur, our ""hero"" in particular. Thus, there is an emotional distance between the audience and the characters that is definitely reminiscent of a Kubrick film.And ironically, despite the fact that I turned to this movie as my first Herzog non-documentary, the film almost feels like a documentary. The way the film is shot with hand-held camera and without any pomp or dramatization makes everything feel so real and authentic. It's very obvious that everything in the film was done for real on location and that is to its advantage as you really feel like you're there with these men rather than just watching a dramatization.This ultra-realism also works very well in bringing the themes of the film through and making them resonate. The film is clearly about man's misguided and even delusional thirst for power. Aguirre embodies this more than anyone in the film - a man with very clear delusions of grandeur who fancies himself a god despite clear evidence that his expedition is futile and doomed to failure. Klaus Kinski gives a spectacular performance in this role which is even more impressive given his relatively minimal amount of dialogue. He just has such an ominous presence on screen, his face perpetually twisted in a snarl, and he becomes almost hypnotic to watch as the film goes on.And it isn't just Aguirre. Essentially every Spaniard in the film engages in treachery at least once, including the holy man who utters one of the most searing lines of the film: ""You know, my child, for the good of our Lord, the Church was always on the side of the strong."" Ouch. These men commit mutiny, elect ""emperors"", make grand declarations of land ownership, and hold trials with their only audience being the indifferent tangle of vegetation and the raging river. The realism of the film perfectly captures how delusional these men really are as they parade around with their notions of power and fame in the middle of the jungle. Nothing could be further from the truth as they slowly succumb one by one, lost in a foreign and foreboding land. And their impossible goal of finding El Dorado, the imaginary city of gold, is the perfect metaphor for their delusion. A great strength of the film is that the way this theme is executed feels so universal. Herzog isn't just showing us the madness of these particular men in this particular scenario, he's showing us the madness of man in general. He showing us that these illusions of power are just that - illusions. In the grand scheme of the world and the universe, the titles of men are meaningless and transient.Aguirre: The Wrath of God is a powerful film and an impressive achievement from a filmmaking perspective. However, it is definitely not a movie that is out to entertain or dazzle its audience. It is a film of ideas rather than plot or spectacle. Really the only criticism I can make of the film on a first viewing is that there were some moments of humor which felt a bit out of place given the tone of the film - a man makes a quip after being shot with an arrow or a decapitated head speaks its last word. There is definitely an absurdity to the film and you could argue that these scenes play to that, but I felt these moments perhaps went a bit to far and were too cartoony to mesh well within the film's fabric of realism. Regardless, it's a minor complaint which does very little to sour an otherwise excellent film.",ccamp89,N/A
3,7,some great moments and many flaws,"This is neither the masterwork nor the garbage most people see in it. Sure, it has a lot of very strong points - Kinski's acting, a fascinating plot, the original settings, some good cinematography and an unforgettable closing scene.  However, the movie seriously suffers from awkward cuts and terrible dramaturgy; and, worst of all, the stiff dialogues and the amateur-class acting of almost everybody besides Kinski (you will note both especially if you speak German) make some scenes unbearable.  So all in all, while it may have the potential to be a really great movie, it delivers only sometimes, and in order to call it a masterpiece, you would have to be very generous and overlook many flaws ...",rolandbrilla,N/A
4,N/A,Director Herzog is not a cheerleader for humans.,"""Aguirre, the Wrath of God"":  Werner Herzog is one of my all-time favorite film makers, and this is one of my favorite films by him.  Actually taken from the diary of the priest who accompanied Pizarro's expedition in 1560, Herzog recreates the pretentious and self-deluded search for the ""Lost City of Gold - Eldorado"".Herzog likes true stories...ones that are bizarre in their own right, but with his direction and personal vision, they become profound (and never optimistic).  The camera work is always interesting (he single-handedly ""patented"" camera shots that don't sweep - they (""you"") stare and stare - and stare - at a thing or person or place until it becomes abstract, intense, beautiful, threatening, profound), the scoring is always appropriate yet never expected, and his casting, often using the unique talents of the late Klaus Kinski, guarantee nothing less than an intense experience...even in a film like ""Aguirre"", which SLOWLY claws and slogs it's way along each and every slippery, dangerous, foreign mile of jungle.It is clear Herzog 'focuses' on the ridiculously high beliefs humans create for and hold of themselves - that they could actually ""own"" anything, ""conquer"" anything, outwit that which they do not understand, and by sheer Will cause anything they deem important, to exist.  Herzog is NOT a cheerleader for the history of humans, but he is a ponderer... and we are fortunate he does it on film.",futures-1,N/A
5,10,"Brilliant, beautiful and desperately disturbing","Werner Herzog and Klaus Kinski's masterful achievement - Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) is a rich and powerful film set deep in the the South American rain forest. Ostensibly a piece of historical fiction based on fragmentary evidence concerning one of the many ill-fated attempts to find and conquer the mythic El Dorado (a city of gold rumored to be anywhere from southern Canada to Patagonia), Aguirre operates on so many levels and reflects so many aspects of its story that it is difficult to convey precisely what the film is really about. It is too fictionalized (yet plausible) to fit comfortably in the ""historical fiction"" shoebox; the dialog is as much a presentistic bit of reflexive thinking as it is fitting for the historical context of the film; and the setting is so breathtaking that without a plot and without the brilliant concept and fantastic acting, the film would still be breathtaking and painful.The opening scene, which very slowly depicts a caravan of Spanish soldiers, African and South American Indian slaves, burros, horses, cannons, and provisions making their way down a steep mountain path surrounded by miles of rain forest, is breathtaking and ominous, and sets not just the tone, but the pace of the film. Many people will find the pace a little too slow to handle. After a few minutes of struggle, the nobleman leader of the expedition throws in, and appoints a small number of participants to go forward into the jungle. Of these, only Lope Del Aguirre, a career soldier with vast ruthless ambition, and Ursua, a more gentle nobleman, are really leadership material. As the party floats down-river on rafts, it rapidly becomes clear by whose will the party continues on, and who will emerge as its sole leader in the end.Herzog develops some of his usual themes in this film, and does so with poignancy and cinematography nothing short of beauty. The film is about power, madness, religion, oppression, nature, and culture, but certainly does not stop there. This is film as high art. Brilliantly executed, multi-faceted, moving, and as ambiguous as real life so often is.This is also one of the great actor Klaus Kinski's most profound and appealing roles. Though Kinski was later typecast in mad, or at least eccentric, roles, as Aguirre he is able to show his range very effectively - because the character varies from a cold, brooding, Machiavellian rationalism to an obsessive sociopathic suicidalism. The rest of the cast rises to the challenge and acts right at Kinski's level, making this film one of the best actors/production team collaborations I have ever seen.This film is definitely not for everybody, it is a long, slow sip of delicious and yet bitter wine which the typical movie-goer will only appreciate when 'in the mood' for something which requires thought and energy to watch. It is also one of my favorite films of all time.",mstomaso,N/A
6,10,Aguirre's vision. Aguirre's obsession. Aguirre's downfall......The wrath in 'Human Nature',"Klaus Kinski's enigmatic and frightening portrayal of man's obsession in Werner Herzog's nightmare masterpiece Aguirre: The Wrath Of God is a German film that is as powerful today as it was when released back in 1972. Kinski and Herzog's absolute real life hate for one another only makes the film more real in its depiction of a man driven to the edge of sanity as his obsession for a mythical treasure - so obsessed that he sacrifices all that is precious to him in finding it. Like the 'Mosquito Coast', an almost identical film, it concentrates on the human condition, in how far 'man' can go in his quest of becoming God. Werner Herzog, who's persistence in Klaus Kinski to star in most of his films, is a master storyteller and one great director, famous for other films starring Kinski including ""Fitzcarraldo"" and ""Woyzeck"". ""Aguirre: The Wrath Of God"", however, is his and Klaus Kinski's most famous and one of the most powerful films of all time.Entirely a true story, set in the 1600s, following the annihilation of the Incas Empire, when the Spanish Conquistadors explored and roamed most of South America, a legendary expedition set out in Peru into the Amazon River to locate the mythical City Of Gold, El Dorado. Pizarro, the leader of the expedition comes to the point where he must turn and head back to civilization, following a long and tormenting journey that ultimately led them to nowhere. Fearing they'll get lost in the uncharted jungles of the Amazon, he sends a smaller group to complete the journey and commands them to return within a few days if no Gold is found. It is only a matter of time before this group faces unbearable difficulties down the Amazon River. Fearing the leader of their new group might turn back to prevent any more men being killed, Don Lope de Aguirre (Kinski) inspires a mutiny and manipulates the men in believing that with the riches they would find they wouldn't need to go home. They must battle with the native enemy they can't see and walk through the most difficult terrain on a most terrifying quest. What follows is a devastating character study of human nature and how one's obsession can destroy him and everything that really matters.This film comes as a rarity in our world gone mad - a world controlled by greedy, obsessed and powerful dehumanized people. Klaus Kinski was one of the world's most profound and versatile actors. His rough, striking and villainous exterior gave him an almighty presence. He creates such a vividly obsessed and evil character in the film, you are easily convinced he is for real. I believe his abhorrence for Werner Herzog assisted him in his performance. Never during filming did they ever share ideas, always opposing and showing one's hatred for one another, which leaves people questioning their constant repairing. But Werner Herzog makes no mistake when casting Kinski in his films. Kinski drives the film, sometimes completely on his own. Werner Herzog's films are always extremely deep, philosophical and mythical. The cinematography is consistently breathtaking and never fails to transport you to the world Herzog intends to take you. And music perfectly paints the picture of human degradation, with its slow, subtle and haunting tone. It sticks in your head long after the conclusion and adds immensely to the the power of the film.'Aguirre: The Wrath Of God', much like 'The Mosquito Coast', is one of the most poignant character studies in film history. It is in German with subtitles, but you are bound to forget they are there, as this epic film will take you to the vast and dehumanizing Amazon on an adventurous journey you will never forget. See this for the adventure if not for the underlining depth. It is a master work from a unique artist that is Werner Herzog and made a classic by the colossal Klaus Kinski. A beautiful and haunting experience that is not to be missed.",Freddy_Levit,N/A
7,10,"'We will stage history, the same way as other men stage plays.'","10/10'We will stage history, the same way as other men stage plays.'Spoiler",wshelley,N/A
8,10,"Thematically Profound, Visually Stunning","Filmed not far from Machu Picchu, the legendary lost city of the Incas in the mountains of Peru, the opening images of this film are breathtaking in their natural grandeur and visual scale. A long cavalcade of 16th century Spanish soldiers slowly winds its way, serpentine like, down a steep mountain face. It's one of the most impressive and awe-inspiring openings in film history.The soldiers are searching for El Dorado, the fabled Andean city of gold. The caravan includes the story's main character, Aguirre (Klaus Kinski), a greedy, ambitious soldier who will stop at nothing in his quest for riches and power. Also included is Inez, a young, well-meaning woman who wears blue velvet and white lace. Representing the Spanish Crown, she rides in a wheeless carriage, described in the movie as the ""sedan-chair"", a flimsy, enclosed wooden box toted by other soldiers. The carriage, painted blue and red, is so out of place in this rugged wilderness, it's the first clue that the entire mission is a fool's errand, based on romantic dreams and delusions. Against the backdrop of towering mountains and dense jungle, the sedan-chair and Inez' regal looking clothes make Spanish royalty look impotent.Eventually, only a small convoy of soldiers, along with Inez and her sedan-chair proceed, as El Dorado becomes ever more elusive. Down the Amazon River the little band of adventurers traverse, encountering one problem after another. Aguirre, having long since taken command, leads them on, ever in search of that pot of gold at the end of the rainbow.Throughout the film, Aguirre rarely smiles. He displays a strange body language, sometimes leaning sideways or backwards, his thoughtful, stern face with reactions that are slow and deliberate. His behavior suggests other Messianic ""leaders"", like Jim Jones, who led his flock of followers to their doom in 1978 in the jungles of Guyana.""Aguirre, The Wrath Of God"" is a story of adventure, a story about the mystery of the unknown. It's a story about dreams and fantasies of greed. It's a very physical film. Every single scene, without exception, was filmed outdoors.It's a non-Hollywood type film, too. There are no sets, and some of the plot and dialogue are improvised, enhancing spontaneity and grim realism. It's a film not unlike ""Deliverance"" (1972).""Aguirre, The Wrath Of God"" is one of the most visually striking film I have ever seen. And the underlying theme of mankind's arrogance, against an implacable Nature, is starkly apparent. The film is visionary, profound. It will leave many viewers changed, enriched, perhaps even a little wiser.",Lechuguilla,N/A
9,6,"""Aguirre, The Wrath of God,"" is a film by German New Wave key player Werner Herzog about a band of ruthless conquistadors in search of the mythical city of gold, El Dorado.","I decided to check out this film for a few reasons, one of which is that I was considering taking Werner Herzog's masterclass online in which he claims to have every answer and everything a filmmaker needs to know. In the trailer for the class, Herzog admits that he doesn't use story boards, calling them an instrument for cowards, and that he sees himself as a thief, stealing whatever cool, interesting footage he can. Herzog rightfully has the reputation of being a bad ass, world traveler, and daredevil, who will film whatever he can, and I commend him for that. He has a distinctive style, that I think works especially well in documentary form.But out of principle, I find myself hating ""Aguirre"" simply because people love to call it a visionary work, and it's anything but that. Granted, it is a wonderful character study and leading man Klaus Kinsky lends to the film tremendously. But Herzog went in without a plan, shot what he could, got the hell out and put it all together in a way that made sense... which works better in a documentary than in a narrative film. We can call it Cinema Verite if we want to ignore the flaws, but if I'm being honest with myself, it just feels lazy. Justified, maybe... being out in the jungle requires some shortcuts, and having a low budget would limit the ability to enforce one's vision... I still respect Herzog for doing what he could with his limited resources and living to tell the tale.But my point is that there is no vision in this film. Herzog had an idea, rushed to write a screenplay in 2 days (not something worth bragging about in my opinion. Malick's opus ""The Tree of Life,"" my personal favorite, took years and years) and he wanted to go film it somewhere cool, and once again, mad props to him for being adventurous, but out of principle I can't get behind a film people are calling visionary when this is just not one of those films. ""Aguirre"" is only proactive in that Herzog and his crew went on an expedition. Meanwhile the only shot that feels planned is the wonderfully ambitious opening shot of hundreds of conquistadors hiking Machu Picchu, which reminds me of the thing I admire about the film, Herzog's ambition and his exploration of a remote part of the world.Why do you think he's been able to make so many films in his lifetime? It's because he shoots them like documentaries, without any plan, just running around with a camera. We can't hail ""Aguirre"" in the same ball park as films of great, proactive, visionary filmmakers like Ingmar Bergman, etc.That's what drives me crazy about ""Aguirre."" I'm not going to call it lazy, because I appreciate Herzog's efforts in exploring the jungle, but it lacks the vision of what I believe to be great films. While Kinski's performance is great, the feeling I'm left with overall is quite bittersweet. And I won't be taking Herzog's master class, because I don't plan on being a documentary filmmaker, and that is where the skill set and the answers Herzog seems to have belong. Me on the other hand, I'd like to execute thought out vision, which I believe to be a pillar of cinema.",ianzigel,N/A
10,10,Staggering,"One of the reasons I go to the movies is to experience a place that I would otherwise not get to see. In Werner Herzog's astonishing ""Aguirre: The Wrath of God"" we are taken into the Andes region of the Middle and South Americas in the mid-16th century and are exposed to incredible images and faces. It's a haunting masterpiece that seems ageless.At first sight, the costumes and effects seem amaturish, but quickly we realize that this makes the film superior to what it would have been if it had been made with a larger budget; it adds to the film's artistry and authenticity. Film is a visual medium and it works best when the images we see are not tied down to strictly suit the plot; this film is a feast for the eyes.The plot, what little there is, is very simple: a crew aboard a raft are attempting to get to the City of Gold, El Dorado. Much like Coppola's ""Apocalypse Now,"" we are taken on a mesmerizing journey into the depths of madness with the focus being primarily on mood, setting, atmosphere and images.Klaus Kinski, in one of the best performances I've seen, embodies the insanity that comes with the quest for power. The physicality of Kinski's performance is startlingly effective - he seems drunk on his own sense of power and recalls Brando, Dean, and a young De Niro or Pacino at their most absorbed.The music in the film inspires a sense of awe and wonder that, along with the lush landscape and vistas, succeeds in taking us to another place. These are the kinds of films I love: a director so obsessed with achieving a sensation of marvel, so ambitious in his scope that we are free to wander within the film's world as we watch the characters journey into the mysterious unknown of their mind.There are many good, very good and great films - too many to list, in fact. What I am hoping to do is label each film I see fit as a ""masterwork"".This film is a masterwork.****",SanTropez_Couch,N/A
