id,user_rating,review_title,review_text,author,date
1,9,ALIENS IS THE SCI-FI GENRE,9/10ALIENS IS THE SCI-FI GENRESpoiler,Collins,N/A
2,9,Aliens..My all time favourite Sci-Fi movies. It rocks!,"I have watched this movie when I was a pre-teen at the cinema, and MY! It completely blew me away. It has got my adrenalin pumping so hard that I almost wanted to slip back to my seat and take a breather! Although during that time I didn't quite understand most parts of it (too young to understand), I was deeply immersed into such rich story-telling and the fantastic alien creatures. The tensely build-up atmosphere and the space-ships, grips you so tightly it seems never to let go.This movie rocks, scares you right on to your face, very mysterious, have tons of special effects (not quite CGI though, but the mechanical aliens looks just so threatening and scary). James Cameron is such a fabulous story-teller in this Sci-Fi stellar! The movie ran at more than 2 hours but I didn't feel that at all. Actually James has cut out a lot of scenes for this theatrical release back then, but you can still get those scenes back on the DVD (extra 17 minutes footage).The acting is good especially from Sigourney Weaver, Paul Reiser and Lance Henriksen (as the robot). Sigourney's Ripley is such a strong-willed woman, that even put shame to men (somehow I feel this is quite unbelievable, because she has got so much energy, especially the scene where she gets back to the Queen's hatch to save Newt). I have watched other alien series (Alien legacy - All four parts), but I can say this part 2 of the series is my favourite, followed by Alien, then Alien:Resurrection, and lastly Alien3)I am quite happy to see this film stays high at one of the top Sci-Fi movies in IMDB)Till now as an adult, I still go back to watch this DVD occasionally and every time I watch it again, it brings in a completely new scare, and new thoughts, also the new meaning of what is a horror movie all about!Highly recommended if you haven't watched this yet. I give it an 8 out of 10! (Truly deserves the high IMDB rating at 8.2 to-date)",jimfly_2003,N/A
3,N/A,"Outstanding blend of sci-fi, action, and humour.","I rate Aliens a perfect 10.  This second installment in the Alien series evolves the original movie's horror/sci-fi genre into action-adventure/sci-fi, setting a standard which has not yet been matched. I like this movie because it paints a picture of the future which is realistic enough to suck you in during the beginning of the film and then quickly introduces you to interesting characters who you become concerned with; some you love and others you hate.....but none of them bore you.  By the time the action starts it's possible to forget you're watching a movie (at least the first couple of times).  The plot is filled with tension that is occasionally broken by some of the most memorable one-liners in history (especially by Private Hudson).  The special effects are remarkable, considering the fact that they were accomplished the ""old fashioned way"" prior to digital manipulation.  I can report that I now own the Director's Cut and rate this version a 10 also.  The extra footage will be extremely interesting to fans of the 1986 release.  Either version gives you great characters, suspense, action, firepower, sarcasm, and wit.  Aliens is an outstanding show!",ruth.boaz,N/A
4,10,Gets better every time I see it,"I am just going to add my voice to the chorus of praise for this movie. It is as near to being perfect as any I have ever seen. I will not say that it is much better than Alien - which is just about near to being perfect also. But I do love all the characters in this movie. I have rarely seen a movie where all the characters were so well developed. Even most serious dramas seldom develops each character so completely. None of these characters are stereotypes even Paul Reiser as Burke, although the slimy company/government man villain is a prerequisite in disaster type movies. I would almost say that my favorite is Michael Beihn as Hicks, just because I like his work & consider him to be underrated. But I also like Lance Henriksen as Bishop, William Hope as Lt. Gorman, Bill Paxton as Hudson, and of course, Jenette Goldstein as Vasquez. I liked all of these characters. I cared about their lives & deaths. The final scene for Gorman & Vasquez still chokes me up after seeing it many times.I am not ignoring Sigourney Weaver or Carrie Henn. Ripley is the template for the modern action heroine. In the 24 years since Alien, few have been able to measure up to Sigourney Weaver's Ripley. Even in Alien 3 & 4, Ripley was still powerful, despite the 3ed rate quality of the movies. As for Carrie Henn as Newt, she was the emotional heart of Aliens. Cameron's ability to develop well rounded characters does not detract from his ability to create great action scenes or to scare the audience out of a several years of growth.",carflo,N/A
5,10,Excellent sequel--matches the brilliance of the first film,"Series note: It is strongly advised that you watch this film only after seeing Alien (1979). This is a direct continuation of that story.57 years after the events of the first film, Ellen Ripley (Sigourney Weaver) is found and awakened from hyper sleep to discover that a terraforming colony has been set up on LV-426, the planet wherein she and her fellow crew of the mining cargo spaceship Nostromo first encountered the titular aliens. When Earth-based communications loses contact with LV-426, a band of marines are sent to investigate, taking Ripley and a representative from the company that financed the colony, Carter Burke (Paul Reiser) along for the ride.For the difficult job of following up Ridley Scott's excellent Alien, director James Cameron decided to go a completely different route--to make a fast moving, slightly tongue-in-cheek, boisterous action extravaganza. Remarkably, he was able to do that while still maintaining a stylistic and literary continuity that melds Aliens seamlessly with the first film.Ripley is much more fully developed in this film, although unfortunately, some of the most significant scenes were deleted from the theatrical release (if at all possible, watch the 2-hour and 37-minute director's cut instead). Cameron fashioned Aliens into a grand arc where Ripley's actions at the end of the film have much more meaning as she's not only fighting monsters, but also fighting to retain a semblance of something she lost due to her 57-year hyper sleep. As in the first film, she is still the most intelligent, courageous and resourceful member of the crew, but she has much more colorful company.The marines accompanying Ripley back to LV-426 may be too cartoonish for some tastes (as for viewers of that opinion, most of the action and the film overall is likely to be too cartoonish), but for anyone more agreeable to that kind of caricatured exaggeration, it's a joy to watch. I'm a big fan of both Bill Paxton and Lance Henriksen, and both turn in wonderfully over-the-top performances, at their diametrically opposed ends of the emotional spectrum--Paxton as the spastic surfer/redneck and Henriksen as the intense, moody sage, with a surprising reality and an even more surprising conscience to go along with it. We also get a cigar-chomping Sergeant, a crazy, butch Private, and a complex, pensive Corporal as main characters, and a mysterious, bright young girl (played in a terrific performance by Carrie Henn). Much of the center section of the film hinges on the interrelationships of these characters, despite the action trappings going on around them.Cameron carries over the crypt/labyrinth motif of the first film, and adds a metaphorical descent into the bowels of hell in the climax. The action throughout is suspenseful. Aliens contains one of my favorite ""cat fights"" in any film. It's also worth noting the influence this film may have had on Paul Verhoeven's Starship Troopers (1997)--although admittedly, we could say that Cameron was influenced a bit by the Robert A. Heinlein book, as well. Throughout all of the varied action sequences, as well as the important early scenes of colonists on LV-426, Cameron is able to clearly convey the logistics of very complex sets, so that viewers remain on the edges of their seats.Part of what makes the monsters so effective is that we're not told too much about them. We only get glimpses into their physiology's, their behavioral patterns and their intelligence. Cameron gives us just enough to become wrapped up in the film, but not so much that we become overly familiar with the aliens, or start to question the logic behind the film. He also smartly carries over some devices from the first film that were abandoned to an extent, such as the acidic blood of the aliens, and he supplies answers to the few questions that the first film raised, such as why the blood doesn't corrode instruments and objects when a dead alien is examined.Aliens is yet another example of a sequel that is just as good as an original film in a series. Just make sure you watch both in order, and try to watch the director's cuts.",BrandtSponseller,N/A
6,10,One of the most thrilling films ever- special edition highly recommended,"James Cameron is an extremely talented action director because not only does he know great action, but he always backs the action up with a great story and interesting characters. Aliens is his finest achievement, as far as I'm concerned. Of course, I should specify: Aliens Special Edition is his finest achievement.In 1986 several scenes were cut to keep the movie's run-time reasonable but there was one scene that was incredibly foolish to leave out. The scene I refer to is near the beginning where Ripley learns that her daughter has died while she was away in 'hypersleep' for 57 years. ""I promised her I'd be home for her 11th birthday,"" cries Ripley. This is a very moving scene that adds a great deal the character's depth and makes more sense to why she cares for a little girl named Newt later in the film. She's seeking penance through Newt with her love and determination to keep her alive at all costs. The theatrical edition obviously doesn't elude to any of this, and even cheapens the relationship between Ripley and Newt- just a little bit. James Cameron has said that all of his movies are love stories, and Aliens is a story of parental love. He has also said that the special edition is his intended (if not definitive) version of the film. For about five years or so the Special Edition was the only version of Aliens you could get on DVD. It should have stayed that way.Aliens is a unique film experience: it's genuinely thrilling and exciting, unlike a lot of movies where people shoot the evil monsters and there's disgusting blood and rapid gunfire, and it's really meaningless. In Aliens' case, the aliens are very threatening and more than just target practice. We don't see any aliens for over an hour, but once we do, it's a huge payoff. By that time, we get to know some interesting characters: Hicks (Michael Beihn), a take-charge marine who also turns out to be sweet and sincere, Hudson (Bill Paxton), a braggart who turns out to be a coward and complains most of the time, Vasquez (Jeanette Goldstein), the iron-willed woman soldier who proves to be one of the bravest characters in the film, Bishop (Lance Henrikson), a robot that is very helpful for everyone's survival, Burke (Paul Rieser), the slimy company man who the audience loves to hate, and of course, the adorable little Newt (Carrie Henn), a girl who has survived unspeakable horror. Holding the whole film together is Ripley, played by Sigourney Weaver in her surprise-Oscar-nominated performance. I think the only reason why the audience cared for her in the first film is because she was the only person left and we wanted her to live. But for this film, James Cameron added so much to her. With all this investment in characters, we're really concerned for their well-being. We don't want those aliens to get them. Some die, and I'm always truly bummed out when it happens.Filled with amazing performances and an abundance of thrills, Aliens is one of the greatest of any genre it attempts: whether it's action, sci-fi, horror, or even drama. I personally liked it better than the first film, but it's really like comparing apples and oranges. I prefer the special edition and don't see why anyone should view the other version instead.My rating: 10/10",Derek237,N/A
7,10,This ain't a film.,"THE sci-fi movie. It's nearly perfect in every way: storyline, characters, menacing threat, suspense, action, direction, music, emotion, etc... It's always been a favorite of mine and still is. To me this is not just a film, it is an experience. The adrenaline pumps like in no other film and rarely have we had the chance to see a heroine as compelling as Sigourney Weaver. She can kick anyone's ass and still keep a heart and soul. (Why she didn't win the Oscar back in 1986 is beyond me.) When the action starts, you're in for the ride of your life. Truly a milestone in movie making. Now if they could only release it on DVD...",Pluto-3,N/A
8,10,A masterpiece - one of the best epic-action films of all time my personal favorite,10/10A masterpiece - one of the best epic-action films of all time my personal favoriteSpoiler,ivo-cobra8,N/A
9,10,One of the best films ever made.,"So often when you think of sequels you imagine cynical attempts to cash in on successful movies, efforts to bring in the coins with any old rubbish, when you think of the likes of Police Academy, Halloween and Jaws you can understand why, and then there is Aliens......Not often is a follow up as good as the original (and better in some ways,) but Aliens is, I would class it as one of the best movies of all time, a cinematic Masterpiece which seems to improve with age. It's a space horror, which is dramatic, action packed and funny at times.Aliens changed the genre, sci fi would never quite be the same again. This film will have you gripped, glued and on the edge of your seat, truly an adrenaline fuelled thrill ride, with amazing visuals, wonderful acting, and terrific music. Film makers of today watch and see how it should be done.A masterpiece. 10/10",Sleepin_Dragon,N/A
10,7,A functional plot built up with the most vivid and beautiful and demonic effects,"Aliens (1986)I had a revealing experience these last two days. I heard ""Aliens"" without watching most of it (I was in the other room). And the script is really really bad. I mean stupid bad, with these quasi military people fighting against the monsters and saying canned military things that are taken not from real army dialog but from other movies. The events really boil down to a series of missteps, and even though this band of Marines is made of tough ""hombres"" sure enough, they can't seem to get along, or get things done, or even hold their overly heavy weapons up straight.I did watch for part of it, and I have seen the movie more than once before, and I'm a fan of the first one, ""Alien,"" from 1979 (on the heels of the ""Star Wars"" craze). I expected it to be pretty good, like the first one, which has real character development and an original kind of premise. But...well, think again.Hey, I agree with most--the set design, the sense of action, the light and camera-work, the whole larger than life experience of being in this forbidding place, this is all great. Even the over the top ""movie music"" is appropriately symphonic and big. There's no way around the fact the movie is well made, and feels convincing in these palpable terms. It looks great top to bottom, and even on contemporary terms (we are a quarter century later as I write), it is sophisticated. It has aged well. If that were all that mattered--and for some it might be!--then all is well.But for me, I was still thinking there might be some interesting, chilling plot to follow. This second installment, always confusing in its plural title ""Aliens,"" is filled with a combination of stale ideas (taken politely from the first round) and romping action adventure boy stuff. It is if more intense than the first (more fighting, more firepower), but it's far less creepy. It has more goo, and more gore, but less horror, and less fear.As with the original, the lead character is a woman, and indeed a whole bunch of the Marines are women, and so this is no simple manly movie. But it remains a macho movie, or a ""machisma"" one, and that will suit many viewers fine. But if you are remotely interested in the science fiction aspects, or even the terror of the first movie (which was truly terrifying), you might be disappointed to find you are continually battered instead. It's great battering, but if you actually listen to the dialog (when there is any--the best parts of the movie are merely sounds), you'll see what I mean.James Cameron, the director here (and not the director of the first one, which is credited to the more original Ridley Scott), does the famous Cameron thing, playing a kind of ""Star Wars"" game of making an epic suited for about a 17 year old. Not that older people (and younger) can't enjoy it, but movies have their target points, and that's it here. You can see it in the dialog and plot, of course, but also in the overall feel of things, which is a combination of early computer games (1986 is a long time ago in those terms) and swashbuckler classics. It's a vivid, fast movie.You will notice, in retrospect, some ""Avatar"" features that are interesting, beyond just Sigourney Weaver. Foremost, this is a military affair, very right wing, go-get-em stuff, but with the admirable (American) rise of the individual above the chaos of both internal logistics and the logic of the evil outer world.The monster? Monstrous. The famous designer H.H. Giger is not involved here except by carryover from the first. It's a good thing he was the originator because the basic visual and sculptural quality of the monster, the planet, the ships, and the sets, is under Giger's brilliant sway, and is a defining quality of the film. It makes no biologic or engineering sense, but so what? It looks great.In all, clearly, there are amazing things here, taken on their own level. But there are discouraging ones, too, for those who are willing to pay attention. The little blonde girl at one point says, ""Mommy...I mean Ripley, I'm scared."" And Ripley (Weaver) says, ""I know, Honey. Me, too."" That's the core of it all. Don't forget your grenade launcher.",secondtake,N/A
