id,user_rating,review_title,review_text,author,date
1,9,Had It Been Longer,"I loved this movie, it's terrific. Edward Norton is great here, all the acting performances are good. A very important social message.I would have given it a 10 if it were longer. I wish there were more scenes of his thought process of leaving the skinhead movement, and more scenes of him bonding with his little brother (Edward Furlong) and slowly getting him to rework his worldview and frame of reference as well. The ending is also a little abrupt.I just wish for more of the film. Nothing wrong with what we got. It's already a phenomenal work of art that I implore every person of every race to watch. Obviously the subject matter is skinheads, but the theme of de-radicalizing your brain is universal and is much needed in today's world.",xiaoli7377,N/A
2,9,"""Has anything you've done made your life better?""","9/10""Has anything you've done made your life better?""Spoiler",classicsoncall,N/A
3,9,Beautiful film about how hatred will never resolve the problem,9/10Beautiful film about how hatred will never resolve the problemSpoiler,DanielStephens1988,N/A
4,10,Edward Norton owned this movie,"I give this movie a 10 because1) Edward Norton was the meaning of masterful acting, you could just look at his eyes and understand every little pain he felt and caused. His smile and manner switching before and after was so distinguishing that if you did not speak English you could just follow him.2) cinematography : not only the black and white phase was amazing some other shots was masterful3) the cause , I watched this movie in 2019 and it is as important and as relevant as it was 21 years ago",behbehseta,N/A
5,10,This is a fantastic movie....,"This is a fantastic movie because no matter what side you're on in life, this movie shows them all, good and bad, right or wrong. I also agree with the point in the movie that proves that people can change for the better and straighten things out in their head to do the right things in life. Yes, things in our world have changed, some for the good, some for the bad, but just because you might not agree with some of it, doesn't mean you can play God and try to make things ""your way"" and this shows exactly what happens when you try. This movie talks about all walks of life and the struggles we all have in what beliefs are right and wrong. Yes this movie is brutal and violent, but also truthful to the past and unfortunately still sometimes the present. This movie is about race, but not only 1 race is singled out and fed to the dogs, they all are. So, go into this movie with an open mind and your mind will come out full.",jmchnwth,N/A
6,10,Changed My Life.,10/10Changed My Life.Spoiler,seventhsamurai1954,N/A
7,10,A masterpiece! Truly one of the best film I have ever seen,"I have been wanting to see this movie for a long time, since my English teacher mentioned it in our class in grade ten. Gosh I wished I wouldn't have waited all this time to finally watch it, although maybe it's a good thing cause I would have probably been a little bit more traumatized at 14... This movie is exceptional!!! Makes u think, makes you frustrated, makes you wanna scream and even makes you cry! Edward Norton is just phenomenal playing the role of a freak skin head and even more so playing this skin head who finally realizes how stupid he was and tries to protect his younger brother. Edward Furlong also does an amazing job!!! This film is moving in so many ways...I can't even describe how real and heartfelt it felt. I definitely think Edward Norton should have won the Oscar for his performance, cause he was absolutely terrific! I can't get why they didn't gave it to him... This movie will surely stay on my mind for a while now... just thinking that some place in the world things like that still happen...it crushes my heart. This is a wonderful movie that every single person should see at least once in his life... Watch American History X, it totally worth it!",exa56,N/A
8,10,The Most Dangerous Person To Us Is Ourselves,"American History X is a movie of its own. It has a little bit of everything in the way it touches you. This of course making it a very though provoking film. There isn't a genre you can place this film in because it is a not a crime story, action or even a simple drama instead it is a humanistic thriller. What it is about, is the battle over ourselves.Who better than to display these wild but common complexities within people than Edward Norton. The range he shows here is astounding in only his fifth movie. Norton plays Derek Vinyard, a skin head that realizes through cruel yet necessary events in his life that he has gone down the wrong path. When he comes out of jail he attempts to stop his brother played Edward Furlong from going down the same road he had done. Through all his efforts though some things just prove to be inevitable. Avery Brooks also gives a great performance as Derek Vinyard's former teacher and now principal of his former school. His words may not be of the most inspiring but his actions and messages sent across are subtle yet strong and to the point.Norton's performance though wasn't just about range but exploring different dimensions of life. Whether it proved to be psychological, social or even political on a certain level. It is a transforming performance revealing something mind blowing and eye opening. That we, and this includes anyone, can take a devastating turn in life no matter how intelligent we are or thoughtful. That the person that determines the outcome of your life is yourself whether it is good or bad. Norton's realizations aren't through teachings such as the ones that got him in jail but they are through the events in the time he spent in jail. He saw the truth for himself realizing then what is false and what is real.The screenplay written by David McKenna is about as versatile as the performance Norton gives. Not only because of the Derek Vinyard character but because of the characters involved in his life. For example the root of his evil did not come from the murder of his father but rather his father himself. Through just a conversation at breakfast did his negative thoughts get really embedded eventually then leading to them dramatically taking over his mind and way of life. Only when his father got killed did these negative thoughts seem justified. The way this screenplay and direction was able to display this message in just a plethora of other underlying tones was spectacular.What makes this movie great though is that you can truly find yourself in the messages delivered. As much as the main character might not seem relevant or connected to many people it his emotions and functioning of his mind that all of us are able to connect with. Yet what makes a movie great is not simply the message or messages sent across but how powerfully they are delivered. American History X delivers its multiple and intertwining messages about as powerfully as I've seen from a film.",alexkolokotronis,N/A
9,10,One of the most powerful movies I have ever seen.,"I was expecting a kind of a moralistic movie with an overly present, almost preaching like message. The movie however turned out to be extremely powerful mainly due to the professionalism it was made with.The movie its story is told 'beautifuly' in black & white and color. The quite original directing from Tony Kaye gives the movie a nice visual style and certain atmosphere. The story itself isn't that complicated or extremely original on its own and perhaps at most points even predictable but the way the story is told is phenomenal. This is not a movie with an happy ending or a movie that provides a solution to the racial discrimination problems. It shows what is NOT the solution to the problems and that everything that is occurring is like a vicious circle. The movie does not give a hopeful message but instead shows the dangers and pain you're causing to yourself and your close environment when you're thinking as a white supremacist.As an anti Neo-Nazi movie this movie works really powerful. I think that its a really good and important thing that this movie is often shown in classrooms.Edward Norton is truly fantastic in his role. He is very well believable as a Neo-Nazi as well as the reformed person he later turns into in the movie. It's almost like he's playing 2 different characters and he does that so extremely well. Also really good was Edward Furlong who we all long had not seen in a big production. Furlong and Norton are both acting well together in their scene's are highly believable as two brothers.Also surprising good was the musical score by Anne Dudley who had already won an Oscar for ""The Full Monty"", the year before.This was a movie that surprisingly impressed me. As a movie its extremely powerful and important.10/10http://bobafett1138.blogspot.com/",Boba_Fett1138,N/A
10,N/A,An amazing film,"A good friend of mine suggested this film, and I really didnt know what to expect going in, but after this film was over, I sat in stunned silence. I knew that racism was horrible, but I found through this film that it does not come without a terrible price..the loss of love, friends, family...and the realization that everything that you believed to be true isnt always the way things are. Edward Norton's performance takes the viewer through this journey, and its not a pretty one. He goes from an bright young man, to a vengeful bigot, to a remorseful excon with a brothers life in jeopardy, and you feel as though you are looking in on someones life in the course of 2 hrs. All of the acting in this film is first rate, and the ending wasnt quite as predictable as others might have you believe...it is quite shocking, as is much of the film. It causes quite a debate on the way people view others whos skin color is not the same. As Dr. King said, judge me not on the color of my skin, but on the content of my character. I live with racism, because I am a black man living in America...it exists, but if we educate ourselves like the main character in AHX, it wont stay around for much longer. Hopefully it wont be too late, as it was for him. Peace and Love, JB33  Rating 5 stars",jerry_bear33,N/A
