id,author,date,user_rating,review_title,review_text
1,Xstal,N/A,9,"War, What is it Good For...","Colonel Kurtz has disappeared within the jungle, with his troupe of fighting fiends ready to rumble, you've been tasked to take him out, but first you have to search and scout, along a river where the residents are disgruntled (to put it mildly). Lots of bloodshed, bullets, ballistics then flow, there's napalm too that conjures up a glow, many lives are lost and taken, in this hell where you're forsaken, but don't ask why - because nobody, really, knows.Still a spectacular piece of filmmaking that demonstrates on many levels the destruction, physical and mental that armed conflict causes, and yet we perpetually fail to learn from past events."
2,Hitchcoc,N/A,9,Take the long ride to perdition.,"There are films we watch because they are good, even though they are painful for us. This is a film I saw one time. At that time I thought to myself, this is enough. It was painful to make that journey down the river, wondering what was around every corner. Then we meet the products of our own id impulses, as we are the enemy, our souls have been brought down to this. At the end of the river is the man who came before us, and we see the uselessness of the journey. It is the Heart of Darkness. There are death masters like Robert Duvall. There are those who can only hope to survive, but the war is the master. The Doors music as the napalm settles gently on the treetops and across the ground, sweeps us up gently. Meanwhile it is consuming the flesh of the Vietnamese people, as well as an occasional American soldier. The ancient Romans could not envision peace without war. We and much of the world seem to have embraced those tenets put forth some two thousand years ago. This film gets into the marrow."
3,Nazi_Fighter_David,N/A,9,Coppola conveyed the drama and spectacle of this truly outstanding film,"After the success of the first two 'Godfather' films in 1972 and 1974 respectively, Francis Ford Coppola embarked on an ambitious attempt to bring home the reality of the war in Vietnam, which had concluded with the fall of Saigon to the Vietcong in 1975 The plot was loosely based on the book 'Heart of Darkness,' a story by Joseph Conrad about Kurtz, a trading company agent in the African jungle who has acquired mysterious powers over the nativesCoppola retains much of this, including such details as the severed heads outside Kurtz's headquarters and his final words, ""The horror the horror""In the film, Sheen plays an army captain given the mission to penetrate into Cambodia, and eliminate, with ""extreme prejudice,"" a decorated officer who has become an embarrassment to the authorities On his journey up the river to the renegade's camp he experiences the demoralization of the US forces, high on dope or drunk with powerAlthough, as a result of cuts forced on Coppola, the film was accused of incoherence when first released, it was by the most serious attempt to get to grips with the experience of Vietnam and a victorious reinvention of the war film genre In 1980 the film won an Oscar for Best Cinematography and Best Sound""Apocalypse Now"" was re-released in 2001 with fifty minutes restored As a result, the motion picture can now be seen as the epic masterpiece it is"
4,notoriousCASK,N/A,10,This Is the End...,10/10This Is the End...Spoiler
5,GOPC,N/A,10,Apocalypse Now Redux ought to be treated separately here,"As I stated above, I think that the 2000 version of the film ought to be treated separately. The Redux is not just a longer version. It contains two new and important scenes, and one of them, the ""french"" episode, adds a whole new touch to a classic movie, WITHOUT breaking the atmosphere or disturbing the overall picture. I remember as I saw the Redux for the first time, that my whole understanding of the war in Vietnam changed, and how I had to go to the library and get an update on a few things. Also it is interesting that Coppola chose the year 2000 for the longer Redux. My guess is that he feels that the movie is as important today as it was back in 1979. He even went to the trouble of making an excellent piece of art even better, in order to actually make all the old fans see the new stuff, and to present a whole new generation with a very controversial and strong comment on one of the most bloody wars in recorded history. The movie is thought-provoking indeed, but also it has a visually very beautifully composed screenplay. Capturing the madness and chaos of war the storyline is also filled with more or less obvious metaphors and philosophical or existential riddles. A friend of mine called it ""the most philosophical of all movies"" - perhaps an overstatement - in my opinion it is just a very good film about war and the politics of war. But I can see that there is plenty for everyone here. What I'm saying is that it's one of those movies that you are likely to hear distinctly different opinions about, and you are most probably going to think again and again about it. I've seen the Redux 5, 6 or 7 times, and it is always a puzzling experience. Highly recommended."
6,jokeco68,N/A,10,"In my opinion, Coppola's best work","My favourite movie of all time. This was a flawed piece of work by Coppola and seeing the documentary 'Heart of Darkness' made it even more compelling. Coppola at this point was king of Hollywood after making 'the Godfather' and 'GodfatherII' and had developed the ego necessary to even dare try to make a movie like 'Apocalypse Now'. Through sheer arrogance he went to the Phillipines with a partial script and thought he would know what he would do when he got there. Just as Captain Willard thought he would know what to do once he got to Col. Kurtz's compound. And just like Willard, he DIDN'T know what he was going to do once he got there. This is such a masterpiece of American cinema, beautifully photographed and the river is such a perfect metaphor and backdrop for the story. What I like most about 'Apocalypse Now' is that it offers no answers or conclusions. Consequently, because of this open-endedness, it infuriates some viewers who like their movies to be much more obvious.This movie defies categorization. Some call it a war movie which it isn't at all, really it is more of a personal study of man. The best pic about Vietnam is 'Platoon' in my opinion and if a viewer is seeking a retelling of the Vietnam War go there first for answers.Coppola should be commended for his take on the bureaucracy of war which he conveys quite effectively with the meeting with Gen.Corman and Lucas (Harrison Ford) and the Playmate review. The sheer audacity of Kilgore makes him an unforgettable character and the dawn attack will always be a Hollywood classic.It is an almost psychedelic cruise to a very surreal ending which makes it a movie not accessible to everyone. Very challenging to watch but rewarding as well. I could offer my explanations on each scene but that would be totally pointless. This movie is intended for interpretation and contemplation as opposed to immediate gratification.A little footnote, definitely if your a first-time viewer of Apocalypse Now, watch the original version first, the 'Redux' version is, I think, more intended for the hardcore fan and is more of a curiosity than a 'new and improved' version of the movie"
7,bob the moo,N/A,N/A,Redux: still brilliant - but now with new strengths and weaknesses,"In an updating of `Hearts of Darkness' a soldier is given a mission to travel up a river During the Vietnam war in order to terminate the command of Colonel Kurtz. Kurtz is operating without orders and is leading a group of natives in brutal violent strikes against the enemy. Despite his history of brilliance and decoration he has clearly gone mad. Willard joins a military boat and travels up river to his destiny. However the further he travels the more madness appears to have become the norm.That Redux was going to be anything less than brilliant was never in doubt: it was never going to be so different from the original that it would destroy or significantly damage the reputation or impact that the film has. What was in question to my mind was whether or not Coppola should have just left well enough alone.  I have seen the documentary about the making of the original film, wherein Coppola derides many of his scenes and decides to cut them out of his movie even as he finishes shooting them - the plantation scene being one of the key ones that he felt just didn't work.  It was for this reason that I was interested to see what the additions and rejigging of scenes had done to the film.The strengths of Redux is that Apocalypse Now was never about the straight story, it was more about the journey Willard undertakes rather than a build up to a traditional conclusion - while the ending is big, it is no more or less important that anything that has gone before it.  So for that reason it is a good thing that, simply put, there is now more of the journey to be enjoyed!  `49 minutes of new material' my dvd cover screams at me; combine this with the movement of scenes and certainly it does have the feel of a different (albeit familiar) film rather than just a bit of spit and polish with some new CGI effects (yes ET, I'm looking at you).  However this increased material also brings with it the problems that not all the material compliments the film in terms of total quality.None of the added scenes or sequential movements are bad or even average, they are all interesting, but some just don't seem to really fit.  The plantation scene has some great dialogue (that strikes a real chord so recently post-Iraq) and it makes it's points but it just didn't seem to fit. I can see what Coppola was trying to do and, if you watch Hearts Of Darkness, you can see that it frustrates him that it doesn't work, but he got it right first time, it doesn't fit despite it's standalone merits. Likewise the playboy bunny scene intrigued me as I tried to get more from the bunny's semi-speech about being made to do things and the theme of objectification, but again it didn't totally work and seemed out of place.Despite these two major scenes not totally fitting, they are still interesting and, if you came for the journey, then that is what matters and they present themselves as a flawed part of that journey - but a part of that journey nonetheless.  Some of the smaller additions actually contribute a lot more to the film.  Little moments in the boat show Willard to be more relaxed as a man than the original did - and this greatly benefits my understanding and appreciation of his character.  How he interacts with the rest of the crew is also improved.  Other minor additions to existing scenes serve to enhance them, but improvement in some areas is difficult when it comes to this film.I won't go into details on cast, performances and the themes of the film as I have already done that in my other review.  Suffice to say that, if you loved Apocalypse Now then Redux will likely both enhance your enjoyment and slightly irritate you at the same time.  The film easily stands up to the longer running time - as another user said, I could easily give the five hour version a stab (well, maybe once!) as the journey is the all.  The additions may not be without flaw, but then that's why they were higher on the editing hierarchy than the rest of the stuff!  However they add interest and minutes to the journey - both of which are good things.Overall, it is very difficult to take `one of the best films ever madeT ' and make it better - and Coppola hasn't done that here, but he hasn't damaged it either.  It isn't a brand new film and it doesn't mess around with the original so much that it could be called a different film - so I won't compare the two as to which is `better'.  Suffice to say that, while I don't totally agree that you `can't have too much of a good thing', certainly an extra 49 minutes is gratefully received where it doesn't damage or cheapen but only seeks to enhance and support."
8,dk777,N/A,10,A Surreal Journey Into Darkness,"Apocalypse Now is an interesting film, not because it is supposedly an anti-war film, but because it is surreal and shows an interesting journey into madness.Martin Sheen gives us an insight into his character here and we see the senselessness of the whole situation and how easy it is to lose yourself in certain situations.We follow his journey and the various events that befall him and a small group of soldiers in a patrol boat traveling deep into the jungle. On their way, really bizarre things happen.Along the way, we also see Robert Duvall in the role of a completely insane officer, whose episodic role has a profound impact on the film.The film should essentially be anti-war, but it didn't strike me as such, but simply as a film about the fate of various people who found themselves in unusual situations.Their whole mission doesn't really make sense, and in the end they accomplished nothing, but that's the point. Everything was really in vain.The direction is excellent, the music is perfectly integrated into the film and matches the tone of the film.For me, this is a film about the loss of reason and the journey to madness. If civilization completely collapses, and somewhere it has already collapsed a long time ago, this is roughly what we can expect, madness and insanity.I watched three versions of the film and I liked the Redux version the best.An interesting and brutal journey into madness and darkness."
9,ramstar22,N/A,10,The Dark Side of Man,10/10The Dark Side of ManSpoiler
10,mark.waltz,N/A,10,The most anti-war pro-war film ever made.,10/10The most anti-war pro-war film ever made.Spoiler
