id,user_rating,review_title,review_text,author,date
1,9,To this day one of the most impossible films to pull off,"This film is an achievement unto itself. Unlike any other marvel movie, this deserves to be praised for bringing around 25+ popular characters and putting them all in a cohesive narrative thats unlike anything that came before it.At least 20 movies filled with characters and storyline nuances were successfully kept intact here yet the main character was the villain that had barely had any screentime previously, yet was written in a way that you could empathise with him and tied him into prior events like the new york invasion.The movie itself is structured perfectly, from the perspective of Thanos putting him in a heroes journey making him go to different locations to collect the stones from different heroes weve come to know, and pairing different combinations of heroes in an insanely well written way so every character stood out and had an iconic moment to shine.All in all the scope of this film is beyond anything that has come before it and even more so than Endgame, but they kept the narrative grounded and paced it perfectly. And the ending of the movie is one of the best endings ever. The best superhero/ comic book film of all time after The Dark Knight.",userio_4211,N/A
2,9,Great,"This movie portrays a villain that by far has been the best out of all the other Marvel antagonists. It shows his personal conflicts, his purpose, as well as his cruelty. The heroes of this film are overshadowed by this, but the ending really makes a mark on the audience.",0U,N/A
3,9,EMOTIONAL ROLLER COASTER,"Avengers infinity war is an emotional roller coaster. Using the strength of its powerful and interesting villain, the movie successfully brings together the past 10 years of Marvel movies into a largely effective cocktail of super-heroic dramatics. Joe and Anthony Russo create a superhero movie that it's every bit the epic that it needs to be. However prepared you feel, you are not ready for Thanos. Infinity war is stunning, hilarious and heartbreaking.Rating: 9.6.",andreascaloni,N/A
4,10,A film that pulled off the impossible.,"Avengers: Infinity War is a film that should be utter crap. A franchise stretching almost twenty films is unheard of. And making a proper and satisfying climax to that franchise is nearly impossible. Considering how many characters Marvel had to juggle together with this movie, there was almost no way this movie wouldn't suck.But it didn't. Marvel pulled it off. All of the characters were balanced seemingly effortlessly. The action was great. The characters were funny. The story was compelling. Marvel made what should've been an overcrowded mess into one of the best superhero films ever made.",cartermain,N/A
5,10,"Best movie of the MCU, incredible from start to finish.","10/10Best movie of the MCU, incredible from start to finish.Spoiler",RJBrez,N/A
6,10,Better than Endgame,"Infinity war is one of the best MCU protects. It has a great story, great acting, and awesome looking. If you aren't a Marvel fan or haven't watched most of the previous MCU movies this however, won't be something for you. Let's start with Thanos, definitely one of the best villains, he has a motive, is well played, you can even say that Infinity war tells his story and not the story of a hero. But also most of the other cast members were great in their role and again, if you love Marvel, watch this movie.",grztxks,N/A
7,10,EPIC,Infinity war seemed much better than endgame to be honest.,lalit28595,N/A
8,10,Best Cliffhanger of all Time,"A meticulously planned film down to the last detail, where you can see how much love is behind it. Of course, the film delivers impressive show values and action, but besides, it is above all the interactions of the characters that are well thought out. Surprisingly, no character is neglected, and all the storylines of the previous films are brought together amazingly logical. The end is for me one of the best cliffhangers of all time, after the movie I was whacked. In the end, I have to ask myself: What more do I expect from a comic book superhero film? I was perfectly happy, so I can also give a comic book adaptation 10 out of 10 stars.",Alex_Lo,N/A
9,8,A superior avengers sequel,"Although this film has 'Avengers' in the title, it ultimately belongs to Thanos. It's his story that drives the whole plot. He is the main characters of this movie, not any of the heroes. Thanos in my opinion is the greatest villain the MCU has ever produced. as a character he is truly threatening. In most of these movies deep down I know the hero will always win. For the first time I wasn't sure if the hero would win or not. Through the movie's entirety I was on the edge of my seat wandering whether my favourite characters would actually make it out of the movie alive. To have a villain with that level of genuine threat I thought was fantastic. I also felt slightly conflicted by his motivations. On the face of it, planning to eliminate half the universe's population is obviously a bad thing; however, after we learn his motivations for wanting to do so, I'd be lying if I didn't say I understood where he was coming from. There are two tones at play in this movie. One of them is a comical tone, mostly coming from the Guardians, Thor and Spider-Man. Predominantly though this movie is dark. Because of the level of threat created by Thanos, there is an emotional aspect to this film that will take the viewer by surprise. There are plenty of large scale action sequences, which are amazing; but there are also some shocking moments that were difficult to deal with. What I can say is that, the running time of two and a half hours absolutely flew by.Overall, Avengers: Infinity War did well in balancing the screen time among the characters in a way that every member of the Avengers get at least a moment to shine. There are also lots of great action, comedy, performances and a massive cliffhanger at the end that is well earned.",Abdulxoxo,N/A
10,7,An objective review of Avengers: Infinity War,7/10An objective review of Avengers: Infinity WarSpoiler,pjgs200,N/A
