id,user_rating,review_title,review_text,author,date
1,8,"A slow-burning mystery about economics, class, and sexual jealousy. And cats.","8/10A slow-burning mystery about economics, class, and sexual jealousy. And cats.Spoiler",Bertaut,N/A
2,8,Struggle For Salvation,8/10Struggle For SalvationSpoiler,Khedro69,N/A
3,8,Ohhh,8/10OhhhSpoiler,mungunbayarbatbayar,N/A
4,9,Burning questions,9/10Burning questionsSpoiler,gizmomogwai,N/A
5,10,Masterpiece,"""To me, the world is a mystery.""Burning as childhood trauma (Jong-su forced by his father to incinerate his mother's clothes as a child), burning as a desire to know the meaning of life, or to have never existed at all (Hae-mi's memories of the Great Hunger dance in front of a bonfire in Africa, and the blazing sunset), and burning as sheer nihilistic sociopathy (Ben torching greenhouses for kicks, and that's of course not all he's up to). Three indelible characters, three brilliant performances.The class distinctions are a little sharp between characters that live on a farm near the North Korean border, in a cramped apartment in the shadow of Seoul Tower, and in a luxurious suite in Gangnam, but serve to pose an underlying, smoldering question - how can we make sense of a world where a college graduate can't get a job that isn't dehumanizing, while the entitled rich blithely toy with people's lives without a care in the world? A masterpiece from Lee Chang-dong.",gbill-74877,N/A
6,6,Burning your time,"While the movie has some good acting, direction and cinematography, the overall plot is paper thin and drawn out. This is based on a short story, and a short film would probably suit it better. I completely understand it is a ""slow burn"" movie, but it really did not have to be 2,5 hours long. The first 1,5 hour is simply to set up the premise. Should have been 30min at most to get it going.That being said, the film does feel smarter in hindsight, when reflecting back on what characters said and you understand the underlying meanings of what they were actually implying and talking about. Don't expect a huge mystery plot though. This movie is 75% drama, with some mystery and thriller elements sprinkled on top.",OdinsRagnarok,N/A
7,8,The rare film that gets its value upon reflection.,"It's the rare film that gets its value upon reflection rather than during watching. It's not boring as such, but with its extremely long runtime it does generally feel slow paced and often runs the risk of being quite dull. Luckily though, the pure sense of mystery that surrounds the three core players (our protagonist included) and the film's world as a whole keeps things intriguing throughout. As the narrative progresses, however, and the core mystery of the piece arrives, things get a lot more intriguing and this intrigue lasts long after the haunting finale. That's where the film really gets its merit. None of the enigmas are definitively answered, and this leads to an extremely subtle - yet wholly rewarding - experience that allows you to draw your own conclusions of what it was actually about. The picture could be about several different things, and it all depends on the individual spectator response. This, as well as the complete lack of on-the-nose exposition, is very refreshing in today's age of cinema where nothing is left to the imagination anymore. We are not told, or even explicitly shown, anything integral to answer the core mystery and this allows you to reflect on all of the intricacies of several different scenes in order to draw your own conclusions. It really is a one of a kind experience that will leave you scrutinising for days, discovering a new narrative possibility upon every thought. Its slow pace and the sense that it's not really going anywhere might make it seem hard to get through initially, but once it's over it becomes a rich, rewarding experience. 8/10",domtaylor,N/A
8,7,Fascinating but maybe over-rated,"Based on the short story ""Barn Burning"" by Haruki Murakami: in Paju, South Korea, Jong-su (Yoo Ah-in) is a young aspiring writer from a dysfunctional family doing odd jobs while also looking after the family farm nearby. He reconnects with a former classmate Hae-mi (Jeon Jong-seo) whose affections later turn to the very rich Ben (Steven Yuen). Ben's unusual character take everyone down a mysterious path.At two and a half hours, the film is perhaps too long especially as the first half begins to get dull at a certain point. This thankfully changes when the story and its energy get very mysterious. Here is where the film earns many points for its uniqueness and its subtle ways to lure the viewer into its web. In a good way, this segment is rarely frightening but always intriguing. Also, class difference plays a major role but without being obviously so.The audience is teased overall with only a minimal amount of information - just enough to understand while still yearning for more by the end. While a bit more information might have raised the film overall, it's still fair to say that the tease pays off for the most part. - dbamateurcritic",proud_luddite,N/A
9,10,Snubbed for Oscar nomination,"I must say that this is one of that kind of movies with slow pace but great reward at the end, the three main characters are interesting (specially the girl which is lovely) and even if superficially you don't see anything particularly special, you feel curious enough to see what is going to happen with the three of them, specially when you start to see the key elements that make this movie awesome.With a wonderful cinematography, great acting and direction, and beautifully adapted from a short story by Murakami, I still can't believe this is not nominated for the Oscar.If you don't care if a movie is slow and for a long period of time nothing is going on, try this one because it has a deep story and the production in general is great.",HamChuuuuuuu,N/A
10,N/A,A little disappointing,"Wow. Didn't do it for me. Characters were bland. Story was bland. Pacing was plodding and slow. I know I'm going against the grain here, but something definitely went over my head.",breadandhammers,N/A
11,7,"It's burning not outside, but inside","An amazingly graceful Korean story, exciting the viewer's attention and not letting go until the end. The film isn't for a wide audience, lasts 2 and a half hours, it goes slowly and asks a lot of questions. But the plot is built correctly, so that the viewer can understand the characters and start thinking about the questions that have arisen.
The independent film seems to be divided into 2 parts: the first tells the story of a love triangle, and the second goes to a fascinating detective thriller. Director Lee Chang-dong wonderfully plays with the viewers' imagination who are trying to understand the thoughts of the main characters and their intentions. I liked very much the juxtaposition of the main characters - the writer Lee Jong-soo, who cannot see the hidden meaning and thus awakens a strong hunger inside himself, which doesn't allow him to sleep and to enjoy a life, to create; his opponent, Ben, a kind of rich Gatsby, quite the opposite one, he is filled with inspiration and understands the true beauty of all things, thus filling himself and everyone around him with a mysterious special flame.
The narration is slow, during this time you can fully enjoy the visual component, excellent camera work. Scene setting, editing, actors' play - everything works for the picture and its success. No wonder that the film won a prize at the Cannes Film Festival.",ValDudka,N/A
12,10,"The cat, the well, and the greenhouse","10/10The cat, the well, and the greenhouseSpoiler",andrebacci-88902,N/A
13,6,Bluffing,"Thanks to the quarantine, I finally saw ""Burning"". What a long and overrated movie! Based on a Japanese short story, it is not a bad film, it has inspired directorial moments, and a very good performance by the charmingly sinister Steven Yeun, but it's one of those movies that critics, the film ""intelligentsia"" and filmmakers, all addicted to Netflix (where they know what makes their subscribers tick), adore and excessively praise, because the ambiguous plots, mysteries, alleged murderers, psychological mazes and other clichés, all lead them to delirium... like Jong-su, the protagonist.Jong-su (Yoo) is a poor, reserved and humble boy, a product of a very dysfunctional family, with literary pretensions, and who is torn between beginning to write the novel that will accredit him as a writer, and his obsession with Hae-mi ( un), his ex-classmate, who is also poor, has mystical aspirations that she confuses with her primary eroticism, and who leads Jong-su to meet Ben (Yeun), a well-off man, of uncertain profession and with small tastes and secrets like anybody else. Meanwhile, boy and girl have to solve family matters and pay debts, and when she disappears, the film becomes a little livelier than the 90 previous minutes, following the stereotypical steps of the ""thriller"" that you have seen hundreds of times and... degenerating? into a kind of «Psycho»... a little more explicit. Check it out... but don't believe the story of the 150 nominations and awards. There are better films that never won a banana, in which you can better waste your time.",EdgarST,N/A
14,5,Slow and pointless,"Okay, guys. This is one slow-paced movie that adds no value whatsoever. You waste two and a half hours looking at a ""brain-dead"" guy walking around doing moronic investigation. The dude is a total redneck, mouth half opened, slow and stupid. Pure in his heart, but dumb in his brain. So, that's what you get in the end. A story of a kind stupid kid and his crush. It would've been a hell of a thriller back in the days when the original story was written. But this story in 2018 is pure boredom, unless you are completely in love with this particular actor playing a limp dummy, or perhaps with the decorations, that are beautifully shot, I must say. For the overall pretty wrap of a simple idea I give it 5 stars, but would never want to see it again.",biont,N/A
15,8,The story that leaves you with a lot of questions,"Burning is an excellent psychological thriller with the veil of mystery around it. The movie that intrigues you and leaves you with a lot of questions to ask yourself why and to give it a try to connect the small pieces of mosaic. The more you think about the story and dialogs more questions starts to go on surface. Many of them don't have definite answer. It leaves a lot of space for imagination and analysis. It is a great study of characters. Atmosphere in the movie is dark with a lot of suspense. Acting and direction was on the spot. But the story is the one that is really unique. I haven't read the short story of Murakami ,,Burning Barn'', but now I am more than interested. I think that the movie is worth watching more times in order to catch all the small details
that you maybe missed when you watched first time.Recommended for the people with more time,patience and with the tendency to analyze.",aleksandar-milanovic89,N/A
16,8,A slow burner that might be a bit too slow for some,8/10A slow burner that might be a bit too slow for someSpoiler,erikdlcd,N/A
17,N/A,"""Breathless in 2018"": Just an independent creation rather than an adaptation","""Breathless in 2018"": Just an independent creation rather than an adaptationSpoiler",humanome,N/A
18,7,Too Languorous for Its Own Good,"""Burning,"" to stick with the heat metaphor, builds itself to a low simmer and gradually turns up the heat until the whole thing boils over in the film's last moments. But I'd be lying if I said the movie didn't risk losing me along the way.If you can't handle enigmas, stay away from this film, because that's all it is. It's fascinating to a point, and I enjoyed its refusal to easily hand over its secrets to its audience. In fact, many of the questions the film poses don't get answered at all, or at least you have to make up your own answer if you want the satisfaction of closure. It's stylish too, I'll give it that. But it's also very slow and languorous, almost too much so, and it ultimately feels like the pay off isn't quite worth the time invested.Grade: B+",evanston_dad,N/A
19,9,"Thick with ambiguity and slowly building tension, Burning is carefully crafted and psychological, leaving the viewer with questions and theories rather than answers","9/10Thick with ambiguity and slowly building tension, Burning is carefully crafted and psychological, leaving the viewer with questions and theories rather than answersSpoiler",andrewroy-04316,N/A
