id,user_rating,review_title,review_text,author,date
1,9,Recommended viewing,"War movies have been biases to one side or the other. This movie does not make hero's or enemies of the German U-boat sailors. Instead, it grips the viewer with realistic depictions of what it was like to be a U-boat sailor for the Gemans in WWII. It starts off with young (17 year old to 25 year old) who have been filled with propaganda about the war effort and glorious battle. After this young crew of immature sailors start to experience the true horrors of war, you can not only see, but experience with them the boredom, laughter, camaraderie, team work and death. In a world where you have no windows, where your ears have to be your eyes, where a cat and mouse game is played and the looser dies, these young men age 10 to 15 years It makes the viewer realize the horror of submarine warfare in WWII. The most realistic war movie I have ever seen.",rr30re05,N/A
2,8,"Believable, above all, and a WWII submarine movie, all the rest is just intensity","Das Boot (1981)Widely considered the most impressive submarine movie ever made, I'll go so far as to say it's easily the most accurate that I've seen. The action scenes, the sense of doom, the eerie quiet and then explosive depth charges, the grime and the crowded conditions, all of this is palpable.But more impressive, I think, is how the movie works as a German movie about Germans in a war where the Germans were painted as evil. American movies to this day still glorify and make heroic their roles in WWII (unlike the willingness, at times, to show the problems of Americans involved in Viet Nam, say), especially in the European side. But in movie after movie, the German film industry has confronted the real problem of being aggressors, and of being under the Nazi sway. ""Das Boot"" is typical, and key. The captain goes so far as to openly make fun of the German propaganda coming in on their radio. It isn't just that war is bad, but that the Nazis are bad.Nevertheless, there they are, and they have a job to do, and they're going to do it well. So a small group of men in a small underwater tin can try to survive the boredom as much as the British, who come very close to getting them several times. It's a great movie, one of the best at capturing the feeling of being there.What is less impressive, at times, is the more ordinary character development that seems inevitable in a movie this long--2 ½ to 4 hours depending on the version you have, I saw the long one, the director's cut. I think the acting is superb, and so it's easy to go along with the conversations and interactions, but they aren't always compelling in themselves, more just creating some space before the next conflict arises. Maybe, in some honest sense, this is exactly how it would have been. Life for most people is pretty ordinary.But this movie is not. Or it makes what is ordinary in war--the nostalgic to the profound and deadly--believable, and not simply big and dramatic, which it also is.For full German effect, I suggest seeing it with the original German language track on and subtitles if you need them, though I tested the dubbed version in English and it's really well done. I also suggest, if you have doubts about such an involved war movie, trying to find the older, shorter release. The visuals are not enhanced, but some of the character development sections are left out and I don't think you'll miss them. Then, of course, if you want the whole kit and caboodle, try to find the 5 hour version released in sections for British and German television.",secondtake,N/A
3,9,The Reich Stuff.,9/10The Reich Stuff.Spoiler,dunmore_ego,N/A
4,10,Emotionally Draining,"My late father served in the Royal Navy in WWII and was torpedoed by a U Boat, so when I sat with him to watch this in 1986, I fully expected him to be filled with hatred for them. Nothing could have been further from the truth. He told me that seamen, even those on opposite sides, share something unique. He told me that his ship picked up some U Boat survivors from a ramming. They were just ordinary men doing the bidding of their masters, just like he was. They were put down at Scapa Flow as POW's after being at sea for 5 weeks. Many of them had formed friendships with the Royal Navy men, including my father. He formed a friendship with a submariner called Gotz Stiffel and they remained friends until Gotz passed away. My father attended his funeral in Duisburg and he was welcomed as an old friend by the survivors of that U Boat sinking. My father said that film bought tears to his eyes. They were just ordinary men caught up in extraordinary times and this film captured everything from fear to boredom and relief. He said, and I utterly agreed with him this was just about the finest anti-war film ever made.",Essex_Rider,N/A
5,10,Take it from a real submariner-,"on modern ""boats"" life isn't easy- but compared to the living hell that the German U-Boats were, modern submariners have nothing to complain about. People in certain professions don't like to watch movies about those professions (Doctors and Nurses shy away from hospital dramas, for example). Submarine sailors are different. We love to watch every submarine movie ever made, from ""Run Silent, Run Deep"" and ""Destination: Tokyo"" to ""The Hunt For Red October"", ""Crimson Tide"" and ""U-571"". Why? Because we can always use a good laugh. For those in the know, submarine movies are usually absolutely hilarious. Except this one. After being in the Navy for four years, serving with around 350 different men, and being acquainted with a further 200-300, all of them submarine sailors, I think that I can state with absolute certainty that this film is the ONLY submarine movie that ALL submariners take seriously. And that is the highest praise a movie like this can possibly get.",shmuey barak,N/A
6,10,15 years and I'm still thinking about it,"Das Boot is not just a great war film: it's a great film period. Maybe it is true that epic themes make the greatest novels and films.  Here is a movie that explores heroism, duty, patriotism, hope, fear and the futility of war--all grand themes--explored in the confined, and collapsing, spaces of a German u-boat.I saw this film when I was a freshman in college during a weekend that I later dubbed my ""depressing movie festival."" (The Wall and Apocalypse Now were the other weekend ""entries."")  Of these films, it was Das Boot that haunted me--when I laid down at night, I saw Jurgen Proctow's pained blue eyes.  When I woke in the morning, I felt as if I were escaping through the hatch of the submarine.  I could not shake the images, and now some fifteen years later, I still remember how completely meaningless the movie made everything seem, and the nihilistic message stayed with me for a long, long time.  How few films are there which affect the viewers on this level.  To say this film is ""powerful"" seems so weak a description.Part of the ""power"" of the film comes, I think, from a certain restraint in the direction.  So often, films which aspire to move the audience quickly fall into melodrama, over-acting, and overblown images.  Too much.  These often succeed in the immediate response (usually crying) but fail to impact the viewer on anything more than a surface level.  Here, it is the small moments which fill the screen.  Everywhere, all around is War, but for these men as we witness them, war does not begin with a capital ""W"".  It is reality, not a grand concept.  The director lets the story shock and horrify the audience, not by forcing it, but by letting the story just tell itself. Drama, tension and resolution occur naturally in Das Boot, which contributes to the very real impact of the film.Story is a 10, direction is a 10, acting is a 10 and the cinematography is a 10.  One of the all-time greatest films.",susy-7,N/A
7,10,Reality,"I spent 17 years of my life in Royal Navy submarines. 'T' class, 'A' class and 'R' class. Das Boot is the only submarine movie that shows exactly how it was. It could be a documentary. Bouncing around in the Bay of Biscay with the sea too rough to be able to dive safely and get away from it. 'Goffers' pouring down the conning tower and the control room deck ankle deep in the green stuff. Going down backwards at 500ft and you know there is 10,000ft below you, with seawater pouring in through a burst cooling pipe and one main motor out of action. Existing for two weeks on kai or oxo because your stomach is rebelling against the elements. Laying in your bunk in ultra quiet routine with the sweat just dribbling down. When the sweat starts to dribble upwards you know it's a cockroach crawling up your body. And that Klaxon. 'Hunt for Red October', 'Crimson Tide'. They are just adventure films.",keithhallam,N/A
8,N/A,Epic,"What impresses me the most about the film, as the title makes apparent, is that it's a German made film about a German U-boat. Patriotism for my own country would tend to make me hate the crew on this ship by definition (especially if portrayed as typical mindless killing machine Nazis), but these characters are so well developed and played like human-beings facing difficult decisions that I find myself sympathizing with these guys.I love the flow and pacing of the Director's Cut; it takes its time, and does not feel like typical Hollywood formula ""first major plot point at minute 12"" cookie-cutter routine. Das Boot gives us plenty of time to know these characters, discover how they kill time while waiting for orders, how they feel about their job and each other. Then when the action finally starts: how they deal with the possibility of dying deep underwater, how they react to the sounds of a sub going deeper than it should, the look on their faces as a destroyer is heard pinging them, and dozens of little personality quirks--subtle details that bring the crew to life. It truly does feel like an epic about a submarine crew, and I'm interested in some day viewing the 6 hour TV version.The underwater battles somewhat remind me of Sergio Leone in that Wolfgang Peterson takes forever and a day to get the fights started. Unlike Leone, once the torpedos are launched and the depth charges dropped, the cat-and-mouse game is ongoing and relentless, but never boring.And despite the fact that most of the film takes place inside a cramped submarine, Das Boot is never boring to look at; in fact, it's a visually spectacular film (given the dated special effects, who hold up reasonably well and add to the old-school charm). And the freedom of the camera in those tight corridors came as an incredibly pleasant surprise. The color and composition of the shots in those tight quarters -- particularly upon approaching the first destroyer when we get the first real glimpse of the interior prepped for war -- it is both haunting and beautiful.Jurgen Prochnow delivers the most believable performance of a ship captain I've ever seen on film. All the emotions register on his face--his concern for his own life, ship, and crew; his hatred for the decisions he's forced to make; the disbelieving joy of beating the overwhelming odds--while simultaneously holding it back so the crew sees a strong unmoving man forever in control of the situation. His performance is, in a word, brilliant.The rest of the cast also delivers amazingly believable performances, and trust me, I could write an entire review on the film's characters and their portrayals. It's both disappointing and satisfying that I'm not given enough space to do so (I wish I could state that about a tenth of the films I've reviewed here on IMDb.) I liked the entire crew of this U-boat, the war correspondent and his character arc as he realizes the truth behind these ""heroes"", the chief and his longing to return to his wife, Johann and the story of his redemption--all well cast, well acted, and believable.Another aspect I adored about Das Boot - the controversial scenes simply rolled by with no more or less emphasis than any other statement the film makes. In fact, I saw the film before really reading anything or researching it and found myself somewhat shocked to hear about these ""talked about"" scenes. Granted, the film does pose some moral questions, but I felt the film handled it with grace and great subtlety, showing what it needs to get the point across and not a step further . . . unlike typical Hollywood where controversy gets bold print, italics, and a highlighter. Maybe I should move to Germany.I can go on for a long while: Over three hours of wonderful visuals and strong performances, a sparse but great score (this film's lack of music is quite appropriate, making the presence of music much more impactful in its key places). Realistic writing from people who lived the experience first hand. As I said, I can go on for awhile but I'll sum it up and end this review with one statement: Das Boot is the definitive submarine movie.",jaywolfenstien,N/A
9,10,The best submarine film ever made.,"While it has been a very long time since I have seen this movie, it is one of the very few that I own. Wolfgang Petersen's magnificent accomplishment in ""Das Boot"" is reiterating the dictum that ""war is hell"", no matter which side you look at it from and no matter where the battlefield is located.*** Minor spoilers ***The plot has been well described by other viewers so I won't rehash it again. But my personal observations, as an ex-submarine sailor, are that Petersen probably portrayed life on board the sub pretty accurately. I say ""probably"" because todays subs are hotels compared with the German U-boats and American submarines. The commonality between yesterday and today is how the crew deals with being closed up in a ""sewer pipe"" for weeks at a time. More importantly, you as a viewer become an invisible crew member as the crew lives in very cramped conditions (American WW2 subs used to be called ""pig boats""), deals with an unfortunately believable political officer, deals with drills, actual torpedo firings, actual ships casualties, and deals, most frighteningly, with retribution from the ""enemy"". My own experience watching the depth charging of the U-boat was such that I was thinking ""stop it, Stop It, STOP IT, STOPITSTOPITSTOPIT...!!!!!"" That's how real it felt to me. For the rest of you, I feel certain you will too be dragged in and know what it is like to live on board a WW2 U-boat.This movie also shows how leadership is so important in keeping the crew (and ultimately the sub) together. Petersen's direction for Captain Lehmann-Willenbrock was masterful because it didn't portray the captain as a god. It showed him as a man who knows how to lead, knows his submarine as if he were married to it (and in many ways he is) but isn't perfect at the job. It also shows that even with great leadership qualities, Captain Lehmann-Willenbrock can not do the job alone: he must have both officers and enlisted men who have the knowledge and skill to not just do their jobs, but to also advise the captain. Petersen also managed to give each member of the crew their own separate personalities instead of the predictable cookie-cutter personalities that Hollywood feels is needed.I could go on and on. So I will close by saying that with the plot, direction, cinematography, acting, sound, music, editing all being top notch, this is one of the few movies that I can truly rate a 10 out of 10. I also preferred the German version with subtitles.------------------------------------I believe that this movie was either the first or one of the first to use Steadicam technology. It was truly amazing for me to see a camera zip its way through a submarine, specifically through the open watertight doors, without a break in the filming. Up until I heard what Steadicam was, I was always wondering how Petersen managed to hide the camera dolly track or the wires the camera hung from.(It turns out I was wrong: ""Bound For Glory"" was the first.)EDIT (12 OCT, 2006): I have been corrected by an observant viewer. Wikipedia has the following comment on what I thought was Steadicam usage:""Most of the interior shots were filmed using a hand-held Arriflex of cinematographer Jost Vacano's design to convey the claustrophobic atmosphere of the boat. It had a gyroscope to provide stability, a reinvention of the Steadicam on a smaller scale, so that it could be carried throughout the interior of the mock-up. Vacano wore full-body padding to minimize injury as he ran and the mock-up was rocked and shaken.""So, literally, a Steadicam was NOT used in the filming of ""Das Boot"". However, a camera that resembled Steadicam in function (in the way it gyroscopically leveled the filming platform) was used.------------------------------------Even though todays submarines are far cleaner then their predecessors, and we have refrigerators, freezers, air conditioning, are able to take showers, etc., there is one aspect of living in an enclosed space that still lives on: the smell. While the smell of the ""pig boats"" of WW2 was truly atrocious, even with todays ability to clean the atmosphere, you can not escape the fact that any smell that is created, from burned toast in the galley, from the smell of the ""sanitary gasses"" (to be kind), to gasified hydraulic oil and diesel fuel, all these particulates will eventually become absorbed in your clothing. You, as a sailor, may get used to it, but when you get home, your wife will most likely declare that you smell like a submarine and demand that whatever you are wearing get thrown in the wash ... immediately!",Mike_Wiggins,N/A
10,10,"Gripping, Compelling, Intense, Suspenseful, Realistic","""Das Boot"" is a classic. This film couldn't be more intense and emotionally draining. It is a work of genius. Jurgen Prochnaw gives a spectacular performance as the German U-Boat Captain. The acting is first rate as the cast of characters is as realistic and believable as it gets. Don't watch this film unless you are absolutely prepared to immerse yourself into the drama of life as a crewman aboard a German submarine during war. This is a very rare portrayal of battle through the eyes of our enemy and will actually have you cheering for the ""bad guys"" at times. This is a one of a kind movie that must be seen to be believed. Words in a review cannot describe the experience of ""Das Boot."" A tremendous film! A 12 on a scale of 10!",JonDavidCampbell,N/A
