id,author,date,user_rating,review_title,review_text
1,TheLittleSongbird,N/A,9,"Gentlemen, You can't fight in here! This is the War Room!","I didn't quite understand all of the jokes, but I enjoyed this movie enormously. It is essentially one of the best satirical comedies out there. Peter Sellers was hilarious here in no less than 3 roles. My personal favourite was the president. My favourite line of the film is actually in the title of this review, as Dad and I watched this at midnight and couldn't stop laughing. I loved Sellers also as the man in the wheelchair Strangelove, who tries to impersonate Hitler, I think. There was a brilliant performance from fine actor George C. Scott, who I really admire. I personally think there isn't enough of these two stars on television, I really don't. I noticed a young James Earl Jones too, and the camera-work and direction were both excellent. Got to love the music, I did, a bit ironic, but that was the intention. Great movie! 9/10. Bethany Cox"
2,bkoganbing,N/A,9,Going Toe to Toe with the 'Rooskies',"As a film Dr. Strangelove was so well received that a more serious film on the same topic, Failsafe, failed to find an audience. Yet Strangelove made you think as well as entertain which is the ultimate object of any great work of cinema.General Jack D. Ripper has sent out the Strategic Air Command bombers and locked down Burpelson Air Force Base so that higher ups can't interfere. He's struck back at the dirty Communists for pushing fluoridation of the water supply which he feels has interfered with his bodily functions.Ripper might want to have checked with the Air Force Chief of Staff, General Buck Turgidson who when we meet him seems to have all his bodily functions working just fine. A second opinion on Ripper's lack of bodily functions might have revised his reason on why his particular functions weren't doing well.Of course his actions have created a crisis and President Muffley of the United States is busy trying to talk to Premier Kissoff of the USSR to prevent a nuclear war. That is in case those SAC bombers can't be recalled. One of the bombers commanded by Major Kong is anxious to do battle with the 'Rooskies'.Director Stanley Kubrick went poaching on the black comedy normally that would be the province of Billy Wilder. But even Wilder in his wildest dreams never used those wonderful Dickensian names for his characters that Kubrick is so delighting in. My favorite however is the part played by Keenan Wynn as the army colonel commanding the tactical force that liberates Burpelson, Colonel Bat Guano.Jack D. Ripper is played by Sterling Hayden a man consumed by his lack of bodily functions. This is a takeoff on Army General Edwin Walker who commanded US troops in Germany and was relieved when it was discovered he was indoctrinating his troops with John Birch Society propaganda which included their fears about fluoridation of water. Curiously enough that cause was actually taken up by other than fanatic right-wingers, people like Ralph Nader. Could Ripper have been right after all?George C. Scott is cigar chomping, bodily functioning spoof of legendary SAC commander Curtis LeMay. He's having quite the difficult time in deciding just who to root for in this crisis.Peter Sellers got an Oscar nomination for playing three different characters in Dr. Strangelove. Sellers is President Muttley, Colonel Mandrake of the RAF an exchange officer serving under Sterling Hayden and the crazed former Nazi nuclear scientist Dr. Strangelove. Watching the film, it's almost hard to believe this is the same man using three different voices and appearances that makeup alone could not explain. Sellers lost to his fellow British player Rex Harrison for My Fair Lady.In fact Dr. Strangelove also lost as Best Picture to My Fair Lady. Of course George Bernard Shaw never put his legendary wit to the issue of mutual nuclear annihilation. Neither did Billy Wilder, but I have a feeling those two talents together couldn't have done any better than Stanley Kubrick.The image that stays in your mind from the film I guarantee will be Slim Pickens as Major Kong riding that hydrogen bomb down to its 'Rooskie' target like a bucking bronco.Hopefully we won't meet Major Kong again, who knows where and who knows when."
3,bertrambuchert,N/A,9,Extremely entertaining,"This movie had humor to an intelligent extent and was one of the most entertaining ""older"" movies. The story was told nice with cuts from the war room, mandrakes story, and the flight. A very linear composition but filled with humor and action. I still love the iconic scene where ""yee haw"" is being screamed while riding nuclear weapon. ICONIC!"
4,gogoschka-1,N/A,10,Sharp and outrageously entertaining,"I never really bought into the Kubrick hype. I mean: don't get me wrong; I like all of his films very much - but to me, they all feel somewhat over-constructed and lack a natural flow. And then I finally got to see 'Dr.Strangelove'. Wow. What a terrific, pitch black satire. This film is so wild and mean and funny - and Peter Sellers gives THE performance of his career. Unlike in any of Kubrick's later works, there's a sense of playfulness here that gives the whole movie a crazy kind of energy; I'm guessing that Seller's love for improvisation forced Kubrick to ditch his usual perfectionism to a certain degree (and the film is all the better for it). Sharp, outrageously entertaining comedy/satire by one of the most revered directors of the past century. 10 out of 10.Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/"
5,elvircorhodzic,N/A,10,"""Gentlemen, you can't fight in here! This is the War Room.""","10/10""Gentlemen, you can't fight in here! This is the War Room.""Spoiler"
6,francozeff,N/A,10,Russians In The War Room,"Spectacular and chilling to watch Dr. Strangelove in May 16, 2017. I'm not going to talk about prophecy not even coincidence. Art has a way to warn, express or simply entertain in a way that its relevance will always be renewed. That opening with George C Scott's secretary, in her underwear, answering the phone for her boss in the most professional tone imaginable, is a masterful way to introduce us to the normal absurdity we're about to embark on. Terry Southern's extraordinary script (sharing credit with Peter George and Stanley Kubrick himself) is a masterpiece of intention and execution. The film doesn't have a moment of emptiness nor a single cheap shot. Everything works with the irrational logic of tradition and set standards. How can something so serious and ultimately terrifying can be so funny. I think that's the definition of film art. I don't want to sound pompous but that's exactly how I feel. I've seen a 1966 movie by Stanley Kubrick in 2017 that's better, more relevant, ingenious and even revolutionary than anything we've seen in a long, long time. Peter Sellers, fantastic three times over (and he was also going to play the Slim Pickens part) George C Scott in one of the greatest comic performances ever put on film and Sterling Hayden in a frighteningly credible show of abuse of power, complete the pleasures of this remarkable film."
7,Sickfrog,N/A,10,Laughing at Fear,"What makes this film so powerful is the message that it made at the time of its release. This film came out at a height of paranoia of the nuclear age and the Cold War, right around the time of the Cuban Missile Crisis. This film depicts a horrible, tragic incident in which a breach in the government and a few diplomatic mistakes result in nuclear holocaust. So, why didn't this film inspire panic? Because of the brilliant way in which Kubrick presents it... as a satire. The scariest thing about this film in retrospect is not how it depicts the impending doom of the Cold War, but how it makes you laugh at it. By presenting it with humor, it conveys just how much of a farce the nuclear arms race was in real life. And I don't think that any other film has captured the absurdity of war nearly as well as this one has. And I am not likely to believe that one ever will. In my opinion, Kubrick has never made a better film since. And kudos to George C. Scott for his astounding performance, as well as Peter Sellers for the most versatile acting I've seen from an actor in one film, and to Sterling Hayden, for performing the most serious, yet the most hilarious role in film with perfect accuracy. Beware of fluoridation!"
8,GonzoHans,N/A,10,How can it get better than this?,"The insane acting talent displayed by Peter Sellers isn't the only thing this film did for me. It created a sense of pure panic while simultaneously finding humor in this early piece of brilliance from Kubrick in his long directing career. George C. Scott also turned in a fantastic performance as a typical war hungry 1950's/60's military general. This film will transport you into the middle of a Cold War era. A period where despite the warning label in the beginning explaining its fictional origin, it definitely possessed real possibilities. The whole cast does a absolutely brilliant job and I am a firm believer that this will remain timelessly enjoyable."
9,WriConsult,N/A,10,"My favorite movie of all time, bar none","One of the funniest and yet most poignant movies I have ever seen. Kubrick is at his best here, as usual showing what can happen when a finely tuned system built by humans (in this case, the tremendous infrastructure of Mutually Assured Destruction) just doesn't work.  As usual, Kubrick's point is that the system is only as good as the people running it, and here the people running it are hilariously bad.  Career-peak performances by George C. Scott, Slim Pickens, and of course Peter Sellers, Peter Sellers and Peter Sellers.Despite many of this movie's hilarious moments having entered general popular culture, when you watch it they are still funny enough to make you laugh out loud.  And there are yet many more comic gems to delight the unfamiliar viewer.  I've seen Strangelove twice in theaters in the last couple of years ... I was stunned to find packed audiences screaming with laughter and delighted to learn that I'm not the only one who finds it hilarious, even decades after filming."
10,tellymustard,N/A,N/A,A true masterpiece!,"Doctor Strangelove or: How I Learned To Stop Worrying and Love the Bomb is truly a masterpiece. It manages to be a hilarious comedy while still being a film with very serious themes. It is just the perfect balance, and it is truly overall a flawless film."
