id,author,date,user_rating,review_title,review_text
1,gogoschka-1,N/A,10,In one word: perfection,"Needs to be seen to be believed; in one word: perfection. Every frame, every voice-over, every song - it all comes together at the exact right moment to create the perfect film experience. This film makes you really understand and feel what makes the American mafia so compelling; in the eyes of a kid, who was unfortunate enough to grow up in a tough neighborhood, those gangsters are rock stars. Live fast, die young - but when you die, it ain't gonna be of a glamorous suicide or drug overdose - the ending will be brutal, ugly and sad. And it may very well be one of your best friends that will blow your brains out.I'll never get tired of watching Goodfellas; the entertainment value of this film is just amazing. It doesn't happen very often that every person involved in the process of making a film is at the peak of his/her game. And rarely do art and entertainment come together the way they did here. Storytelling with impeccable pacing, this is what it's like when a master composer conducts his masterpiece. All hail the king; the most versatile and talented filmmaker of his generation: Martin Scorsese.My vote: 10 out of 10Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/Favorite Low-Budget and B-Movies: imdb.com/list/ls054808375/Favorite TV-Shows reviewed: imdb.com/list/ls075552387/"
2,MovieAddict2016,N/A,10,An Offer You Can't Refuse...,10/10An Offer You Can't Refuse...Spoiler
3,AlsExGal,N/A,10,The best mobster film ever made,10/10The best mobster film ever madeSpoiler
4,alicetich,N/A,10,Aged like a fine wine,10/10Aged like a fine wineSpoiler
5,whoisfishmooney,N/A,10,Iconic,One of the most iconic movies of the 90s. So many unforgettable moments in cinema history. Quotable lines throughout also. A fun film on a bit of a negative subject.
6,tothestables,N/A,10,Instant classic,10/10Instant classicSpoiler
7,TheLittleSongbird,N/A,10,A great director at the peak of his talents,"It is hard to describe the brilliance that is Goodfellas. As good as Raging Bull and Taxi Driver are, I think Goodfellas is Martin Scorsese's best film and is a textbook example of a great director at the peak of his talents. The film crackles with raw energy and enthusiasm, the film is superbly directed and the final sequence is nothing short of stunning. The script is also excellent with memorable quotes, the story is never less than compelling and the pop and rock soundtrack is winning. The cinematography and detail is immaculate, and the ensemble cast is one of film's finest. Joe Pesci won an Oscar for his performance, and as good as he was, he is perfectly matched by Robert DeNiro and Ray Liotta. All in all, it is a brilliant film and an instant classic no matter what time, day, week or year. 10/10 Bethany Cox"
8,mhasheider,N/A,10,One word: priceless,"If there was one word that I could use to describe Martin Scorsese's ""Goodfellas"": it'd be priceless.A surreal and deeply fascinating take on life of Henry Hill who was involved in the Mob for three decades and his rise throughout the time span (and Nicholas Pileggi's book ""Wiseguy"").There isn't a single moment in the movie where it doesn't miss a beat, you could only tell by the atmosphere of the time period and it seems so real.The performances in this film simply make it even more memorable and how the characters are portrayed here especially by Ray Liotta, Robert De Niro, Joe Pesci (who won an Oscar for Best Supporting Actor), and Paul Sorvino are believable and easy to understand that they were a family, very close and tightly knit to the core. Also, how director Martin Scorsese lets the movie pace itself and keeps the viewer off guard in what happens deserves a lot of credit."
9,arthurclay,N/A,N/A,The Mob...Revealed,"The movie that dispelled the romantic myths about La Cosa Nostra and showed it as it really was.  ""The Godfather"" for the 90's minus the silly notions of love, honor, and family.  Henry Hill (Ray Liotta) is a half-Irish, half-Italian who rises to prominence in Paul Cicero's (Paul Sorvino) Lucchese Crime Family along with Jimmy Conway (Robert DeNiro) and Tommy DeVito (Joe Pesci).  This is his story of hi-jacking, stealing, cheating, killing and finally drug dealing.  He makes no excuses about what he does. Simply put he is just doing business and trying to survive on the mean streets of New York City.  He explains the trials and tribulations of being a mobster and what it's like to have to do these things and live with the consequences.  Cicero, an aging old-time underboss, heads a dangerous and powerful organization that enjoys free reign over the neighborhood in which Hill lives and recruits him when he is only a kid to work for them and learn to ""score"" more specifically, the art of committing crime.  Hill quickly hooks up with veteran criminal Jimmy ""The Gent"" and his protege Tommy to hi-jack trucks from the Idlewild Airport.  This makes these three rich and respected in the underworld but there is a new game in town.  Narcotics. They quickly undertake this highly profitable business even though they know it is against the expressed rules of Paulie.  This combined with another serious rule violation and the score of a lifetime sets them up for their own possible demise.  Lorraine Bracco co-stars as Henry's wife.  A marvelous true life story of one of the most violent and profitable street crews in the history of the American Mafia.  The best movie of 1990."
10,orangeblackwhite,N/A,10,Great lark,10/10Great larkSpoiler
11,itssamebloke,N/A,10,Excellent film,10/10Excellent filmSpoiler
12,OriginalMovieBuff21,N/A,10,The greatest mob film still today,"Amazing is the one and only word to say for this film. I have always thought that Goodfellas was one of the greatest films ever made and set a landmark in the 90's or even in movie history. I bought Goodfellas last week and I got to watch the film a couple days ago. I really just couldn't lay my eyes off the film and everything about it was just simply worth watching. The acting was excellent, Ray Liotta, Robert DeNiro, Joe Pesci, Lorraine Bracco, and other actors did great and almost all of the characters they portrayed were 100% accurate. The camera-work also was brilliant and Martin Scorsese does a beautiful job by putting excellent camera shots in his films and I give him high credit for that. The soundtrack too is one of the best soundtracks ever made and the song ""Layla,"" put chills down my spine of how great this song fitted the film. Overall, Martin Scorsese made his best film in my opinion and him and Nicholas Pileggi made an excellent and sharp script that made this, the greatest mob film still today.Hedeen's Outlook: 10/10!! **** A+"
13,Robert_duder,N/A,6,As good as those fellas are...I just don't get it,6/10As good as those fellas are...I just don't get itSpoiler
14,Bevan - #4,N/A,5,Just plain overrated,"Chalk me up as another reviewer who found this movie to be vastly overrated. My wife and I saw it a couple nights ago, for the first time, and it just pales in comparison to cinematic triumphs such as The Godfather movies or The Sopranos.As much as anything else, there are no likable characters. Part of the reason you could keep turning in to The Sopranos is that you could genuinely like and identify with the principals, despite their brutality and crimes. Here, you can't. None of the principals have any displayed virtues: at best, they're shallow and two-dimensional.Yes, the highly lauded soundtrack has many tunes. But if you're going to use the hoary old tactic of advancing pop tunes down the years to denote the march of time, could you not be so flamingly anachronistic as all of that? They were playing 40s tunes in the doo-wop era, 50s doo-wop post-British Invasion, 60s psychedelic pop in the 70s, and early Eric Clapton in the disco era. Get the freaking DATES right.Speaking of anachronisms, the film's jammed with them, and while it's superficially a glittering, gritty portrait of the wiseguy life and the wiseguy era, the goofs just overload. Cars too late for the year. Phones too late for the year. Livery too late for the year. Did Scorsese bother at all with accuracy and continuity, or did they just say ""Eh, get an old looking car out there."" It pains me to read about how exacting and painstaking DeNiro was to get every aspect of Jimmy's personality true to life, exactly how the real Jimmy Burke did, in the middle of a blizzard of anachronisms.Most damning, there's just no dramatic tension. There's little by way of plot, little by way of suspense. The actors did good jobs with the material and direction they were given, but that's not remotely enough to sustain this seriously overrated flick.5/10."
15,thomashamps,N/A,9,A true classic,"This is the gangster film at its finest. Scorsese is on top form as are Pesci and De Niro. Liotta has never bettered the performance he gives here. The film starts as it means to go on - violent, full of profanity, fast paced and very stylish. The story follows Liotta's character from boy to man as he climbs his way up through the ranks of organised crime. We see all the highs and lows of his life and meet a host of very believable and very undesirable characters along the way. It's a film full of memorable scenes whilst remaining much more than the sum of its individual parts at the same time. This is what all movies should be like. It draws you in and won't let you out of its grasp at any point. When it finishes you feel exhausted and exhilarated at the same time. If ever the word 'masterpiece' was meant to be used, it was for this film."
16,darwinlovesprice,N/A,10,Pow right in the kisser,This film gets you by the balls and you better strap yourself in for a thrill ride in mafia culture Italian style. 10 out of 10 rating from me full marks movie.
17,SmilingRon,N/A,10,A masterpiece exposing misguided loyalties and greed,"Scorcese & Pileggi's masterpiece on the life of Henry Hill as a Brooklyn NY mob wise-guy.As much as the true events of Henry's life have more than likely been dramatised and glamourised to a certain extent, the essence of this film IMO is that it is still a brilliantly damning portrayal of the characters and lifestyle of mobsters.The sham of the mafiosi is exposed - preaching loyalty, respect & principles - but when it comes down to it they are just two-bit criminals that'll stab each other in the back for money or power over others. Each of them has an inflated sense of self-worth and stature that comes with being a ""wiseguy"", breeding with it paranoia that others are not giving them the respect they deserve.An example is De Niro's portrayal of Jimmy Conway. His outward persona is that of a calm and reasonable nature. But really he is a paranoid killer who at the drop of a hat would kill even his closest associates for money. I use associates rather than friends, as their relationships are of tolerance rather than kinship. Distrust, hate and jealousy through the forced smiles.Interesting that given this, certain people envy their life-style and would have loved to have been a wiseguy. I personally couldn't think of anything worse that being tied for life with having to keep the likes of Tommy company, but whatever rocks your boat. Some people have actually paid to see The Dukes of Hazzard film, so I shouldn't be surprised."
18,goodgearthis,N/A,10,Have a look,10/10Have a lookSpoiler
19,doolanfile,N/A,10,Other mafia films struggle to hit same heights,Trouble with goodfellas is it sets the bar so high for mafia organised crime style movie. Outside of godfather and scarface this is the holy grail in its genre.
20,Sleepin_Dragon,N/A,10,Martin Scorsese's masterpiece.,"The story of Henry Hill's life from youth to adulthood, from his own words.'Never rat on your friends, and always keep your mouth shut.' The lines are as sharp as those suits.Martin Scorsese's incredible masterpiece still holds up as an out and out classic. Easily one of the best films to come out of the 90's, the direction, the visuals, the storyline are all fantastic, it's a film that never dates, it's as gritty, hard hitting and stylish as ever.The characters are incredibly rich, and there's such a variety of them. Some of the most awesome acting you'll see, the likes of De Niro, Liotta, Pesci and Sorvino,I can only imagine just how many films and TV series that this film inspired.One of the best films ever made, 10/10."
21,tfrizzell,N/A,N/A,The Definitive Film of the 1990s,"""GoodFellas"" may be the most important film of the 1990s in the fact that its incredible success led to some of the other great movies of the decade. Films like ""The Silence of the Lambs"", ""The Crying Game"", ""Pulp Fiction"", ""The Usual Suspects"", ""Fargo"", and ""L.A. Confidential"" would have likely never been made as well as they were without the influence of Scorsese's ""GoodFellas"".  The film is an intense study of a Mafia family over a 30-year stretch.  Ray Liotta plays the half-Irish, half-Sicilian kid from Brooklyn whose only dream is to be a gangster.  Although Liotta's story is at the heart of ""GoodFellas"", it is the supporting cast that is the film's calling card.  Robert DeNiro gives one of his greatest performances, Paul Sorvino is quietly effective, and Lorraine Bracco (in an Oscar-nominated role) does the best work of her career.  However, it is Joe Pesci (in his well-deserved Oscar-winning turn) who steals every scene as the one who does the ""dirty work"".  This is probably the definitive film in a decade that produced many film-noir styled classics.  5 stars out of 5."
22,nicktusk,N/A,10,Can't believe this movie is 30 years old,Better than The Godfather in my opinion. A classic trademark film for a lifetime . Scorsese's best film by far .
23,alexdanford,N/A,8,"Superb on the surface, but missing depth.","8/10Superb on the surface, but missing depth.Spoiler"
24,mnpollio,N/A,7,"Slick, flashy, often brilliant, yet cannot make you give a hoot about its characters","7/10Slick, flashy, often brilliant, yet cannot make you give a hoot about its charactersSpoiler"
25,FilmSnobby,N/A,3,May I differ?,3/10May I differ?Spoiler
26,rosscohen-08568,N/A,10,Not a single flaw,"Hands down the best film ever made about the mafia. Maybe the best film ever made, period. From start to finish this one had me interested, and the fact that it's a true story made it that much better. Of course it's loaded with stars from Liotta, DeNiro, and Pesci to small roles by others including Samuel L. Jackson.The true story about a mafia associate who turns State, complete with murder, robberies, prison, and passion. Liotta carries this film but Pesci steals many a scene with his crazed antics. The only mafia films that come close to this are 'Casino' and 'Donnie Brasco'. What about 'The Godfather' you ask? I found them to be long, boring, and uninteresting. How could I say that? What's wrong with me? I'm just being honest, I think they're very overrated.The only problem with this film is nothing else will measure up to it. After watching this what else can you watch that comes close?"
27,stevenmillne,N/A,10,Sizzling,Cracking story and film from a pretty cracking book. Can't fault the acting in this with little Joe taking the well earned plaudits with his performance that is Oscar worthy any day of the week.
28,bkoganbing,N/A,9,The Criminal Mindset,"The gangster film has been redefined so many times in cinema history it will be interesting to see how it is redefined once again. Goodfellas is a milestone film in that regard because just as Public Enemy and Little Caesar defined it in the Thirties, The Godfather trilogy in the seventies and eighties, Goodfellas set the standard that all other films including Martin Scorsese similar Casino try to meet. The interesting thing is that Martin Scorsese is young enough to redefine it again with another work.With Ray Liotta narrating his own life in crime in a flashback as real life criminal Henry Hill, Martin Scorsese offers us one fascinating glimpse of the criminal life in the Eisenhower to Reagan era. Henry Hill even as a child got sucked into the criminal life as a kid, as he said all he ever wanted to be was a gangster. Tutored by both Robert DeNiro and Paul Sorvino, Liotta takes part in one of the biggest heists of all time of Lufthansa Airlines at JFK Airport during the seventies. Goodfellas is the story of the events from Henry Hill's perspective leading up to the heist and the aftermath.For myself I've never seen the gangster mentality better expressed on screen except maybe by Sean Connery in Family Business. Liotta and Connery operate from the same mindset. If you work hard and hope it pays off in success, you're a dope. If you want something, just take it. When you come right down to it, that's how criminals think, it's the rest of us who are fools.Goodfellas was nominated for several Oscars, but came away with only one winner, Joe Pesci in the role of crazy Tommy DeVito. He's another criminal type, one who's driven by a terrible inferiority complex due to his short stature and does terrible things even to his own peers. And those peers don't forget as you see what happens to Pesci in Goodfellas. This turned out to be a career role for Pesci. He's a multi-talented man who's got an incredible range and can play everything from the Home Alone comedies to stone killers like here in Goodfellas or in Casino.There's usually a contest in which Scorsese fans argue whether Casino or Goodfellas is better. I happen to like Casino, but without the success of Goodfellas, Casino would not have been made.For a fascinating look at the criminal mindset, Goodfellas is an absolute must."
29,Infofreak,N/A,N/A,Simply a masterpiece. Scorsese's last truly great movie (to date).,"'Goodfellas' is a masterpiece, pure and simple. While not my favourite Martin Scorsese movie it is a stunning achievement, and one of his very best movies. The film is stunning technically. The consistently fine acting by the large ensemble cast (both known and unknown), the cinematography, editing, dialogue, brilliant use of music, it's all breathtaking. But Scorsese and co-writer Mitch Pileggi never lose lose sight of their main goal - to tell a story. And in that it's really hard to beat this movie. As to the actors De Niro is on top form, Ray Liotta is the best he's ever been, and this is Joe Pesci's definitive performance. Plus you have Lorraine Bracco, Paul Sorvino, Michael Imperioli, and lots of well known faces in small but important roles (Debi Mazar, Samuel L. Jackson, Illeana Douglas, Kevin Corrigan), plus dozens of unfamiliar actors (and non-actors) who are all so good it seems unfair just to single out the ""stars"". (Also keep an eye out for Vincent Gallo in a few scenes. He has no lines, but looks cool!). 'Goodfellas' is (to date) Scorsese's last Great Movie, and one of the very best films of the 1990s. Absolutely essential viewing for any movie fan, this tremendous film is not to be missed! Highly recommended!"
30,handprime,N/A,10,The pinnicle,This is my absolute favorite movie. Watched it so many times. I seen Ray Liotta died yesterday and watched it again out of respect. This movie is what other movies hope with no faith to be measured against.
31,baumer,N/A,10,Scorsese's best,10/10Scorsese's bestSpoiler
