id,author,date,user_rating,review_title,review_text
1,TheLittleSongbird,N/A,9,"Gives meaning to the phrase, save the best until last","9/10Gives meaning to the phrase, save the best until lastSpoiler"
2,Pjtaylor-96-138044,N/A,8,The series ends on a very strong note.,"The conclusion to the series hits some of the strongest emotional beats, mainly due to our long-standing connection with the characters, and provides some grand visual treats in the form of extended magical battles. While 'Harry Potter And The Deathly Hallows: Part 2 (2011)' may be the biggest in scale and it is entertaining, it does feel lacking in depth - since some things are left oddly unexplained - and instead comes across as an extended third act for its duration. It actually plays out like one long climax, with little of the build-up required to further invest the audience, but at least it's well paced and doesn't hang about. A strong note on which to end a phenomenal series. 8/10"
3,theycallmemrglass,N/A,9,An Exhilarating and Beautiful Conclusion to a Magnificent Saga.,"I saw this at a preview screening in London.Deathly Hallows part 2 ends this incredibly well produced saga with tremendous grace and a beautifully orchestrated climax that I am sure will satisfy both lovers of the books and films.If you have read the books as I have you will be glad to know major key moments are intact. Much is missing but I won't dwell on that, no point, its how well this movie plays out and for me it rolls wonderfully between excitement, thrills and emotional drama towards a satisfactory (though a slightly rushed) conclusion.There are at least 2 sequences so powerful that I defy anyone not to at least stifle a tear or choke a little. One of those sequence is an exquisitely executed flashback that is pivotal to the whole story.I have to say, that despite the woes we book readers have when elements (big chunks of it too) are omitted from the movies, much credit still has to go to Steve Kloves for adapting the books for the big screen, cleverly weaving, changing and even adding new big elements to give a kinetic flow to the narrative and here it all comes together superbly.David Yates assured direction has nurtured our young actors in the last 4 films to blossom into even more adept actors who convey their characters with natural tones without overacting. Daniel Radcliffe had to carry this movie more than any other and has done so brilliantly complemented with great support from his two companions, Emma Watson and Rupert Grint.Pretty much all the characters we have met in all the movies have made an appearance in this finale but one actor stands out, Alan Rickman. His portrayal of Professor Snape has always been a joy to watch (if a little novel) but here his scenes will leave a dramatic engraving in my memory. Here he elevates his portrayal of one of the most complex character in young adult literature to an unforgettable piercingly emotional one.Another actor who really shines in the few scenes that he has, is Matthew Lewis as Neville Longbottom who we see gradually transforming over the past films from the clumsy bullied boy to a brave warrior in this final film. Many other British thespians of the series also have their few moments to shine especially Maggie Smith's Professor McGonagal who was a delight to watch as she takes charge of the defence of Hogwarth School.As for the spectacle of the battle and showdowns, while not at the scale of Lord of the Rings, I honestly cant think how it could have been done better as the film makers have intertwined heart stopping action with dramatic progressions in the narrative. Its actually more visceral and dynamic than the rather smaller scale battle of the brilliant novels (not to take anything away from Rowling's writing).Do I have any gripes? Yes I do. Although I applaud Steve Kloves for a difficult screenplay adaption...I think he could still have done better at explaining some odd anomalies that only readers of the book will understand. This might annoy you if you haven't read the books. But its a small gripe because what we get is delightful.What an amazing achievement to faithfully bring Rowling's epic saga to the big screen with the same cast and largely the same crew, maintaining the brilliant quality right to the end.Oh my god, its only just sinking in, this was the end....but what a great great end."
4,yugteng,N/A,10,The Endgame of 2011,One of the best series I've ever seen with an amazing conclusion.. A bit emotional saying goodbye to all the characters after 10 years.Wish I could forget the whole thing and watch it again for the first time. Would do anything to rewatch it in theatres.Recommended.
5,vila-ddt,N/A,N/A,End of an era... End of our childhoods... End of Harry Potter,"What can I say... This was by far the most amazing finale any fan could have asked for. I cried, I laughed, I was short of breath in many instances, I was disturbed, but overall I was thoroughly satisfied with the conclusion of this series. I felt something amazing after the movie ended, something I didn't feel after reading the book. Being able to watch the end of Harry Potter on the big screen really brought the impact of just how much this series has touched not only my life, but the lives of everyone around me. Deathly Hallows Part 2 is by far (in my opinion) the best movie of 2011 and quite possibly one of the best movies of all time. I don't want to give any spoilers I just want to express how happy I am with this film. It picks up where Part 1 left off, all of the characters get the closure they deserve, and the story just comes full circle!BRAVO!!! That is all I have to say. Thank you to everyone involved in these movies for taking the world on such an amazing journey. J.K Rowling, thank you for writing such a masterpiece that will truly live on in my heart, and so many others hearts for years to come.Go see this movie!"
6,hjpog,N/A,10,My childhood..,"At the start of J.K. Rowling, thank you for this wonderful series of books forever. I can tell you this current state of my childhood and my future. Sign up everywhere it has always been a part of Harry Potter's name. I'd say the most important series of my life. I owe my childhood such wonderful pass to the books and movies of this series. In this series, even though I know better than the series it has always been a special place for me in this series and it will always continue. This movie is definitely the best in the series. And the players is the most mature film. You feel throughout the film until the end of the final air and this is an amazing thing for fans like me. Book series as well as certainly never did. However, in each film it was pretty cool. And with incredible finale made this film. Harry certainly kept the best for last. Put all the music from the beginning to the end of the movie you are very successful and internal chills. You feel deeply cool is really going on. When the film ended up being a very big gap within you. Of course, you are a part of this world..."
7,Loving_Silence,N/A,10,Harry Potter and the Deathly Hallows: Part II gets everything right to send off Harry on a cinematic high,"I am a huge fan of the Harry Potter books, they're all so great and magical. But I didn't think the film series were perfect at all, but they were still great movies. With that, I was extremely excited to see the end of the film franchise, and impressed with the trailers. So I had high expectations. And thankfully it did not disappoint, Harry Potter and the Deathly Hallows: Part II, blew past my already high expectations and I was enthralled!The whole movie looked spectacular! The cinematography extremely well done, the art direction was incredible. The movie was beautiful to look at, the visuals were spectacular and truly Oscar worthy! The set designers, cinematographers really need to be awarded for their work, because it looks like they spend of time and money on the look of the film.The cast of the film was pretty much perfect, they should all be applauded too. Emma Watson, as usual is and great and she'll have a bright career ahead of her. Rupert Grint is pretty much great also, he is a fine actor indeed. Daniel Radcliffe did an amazing job and was very memorable as Harry Potter. Although I think Ralph Fiennes was the star of the film, he did unbelievable job as the evil, crazy Lord Voldemort, I think he deserves an Oscar Nomination for his role. The rest of the cast were also great too.We all grew up overtime with the series, we followed the adventures of Harry Potter for around 10 years, I think. It seems very weird that there will be no more Harry Potter films to look forward too. I will miss the franchise very much! However I am happy the series got an amazing ending. Harry Potter and the Deathly Hallows: Part II is not only the best film in the series, but it will probably be one of the best films of 2011. Everyone should see this film, even if they don't like past Harry Potter films."
8,nogodnomasters,N/A,10,LIGHTNING HAS STRUCK,10/10LIGHTNING HAS STRUCKSpoiler
9,akash_sebastian,N/A,7,"Good Movie, But a Disappointing & Unsatisfying End to the series...","7/10Good Movie, But a Disappointing & Unsatisfying End to the series...Spoiler"
10,faaiisal-50256,N/A,10,A 2021 opinion of someone who has not read the novel and watched the series at two different decades of his age,"In the beginning, I want to thank the author j.k. Rowling, even tho I didn't read her books but I saw it in this magnificent series of films
I didn't read it because English is not my native language and at that time I didn't learn it yet,so I didn't think the translated version will be as great as the original.But now after what I have seen in the series twice, I am considering reading it After I improved my English over the years.About the series, I saw it when I was younger nearly 10 and it was great but now when I saw it a second time while am 19 I understand it and appreciate it more it becomes greater, I wished I saw it in theater Yet None of its value has been lost by watching it on the tv.At third. As for the characters, there were great performances from all of them, but I loved the most harry and Hermione and comes second snape, Sirius, Hagrid, 2001's dumbledore, luna, Wesley.It's by far The largest number of great characters I've seen in one movie series.In the end. About this last part of the series, it created a perfect ending Any fan would seek for, I won't spoil by talking about details but I've experienced every emotion I have on it.It was really a masterpiece by all what it means."
