id,user_rating,review_title,review_text,author,date
1,9,Has heart and is genuinely funny,"Taika Waititi is starting to make some real waves in the film making industry. It's as simple as this - every film he makes, people like. In fact, people like them so much he's been trusted with the directorial duties in the next 'Thor' film 'Thor: Ragnarok'. That's big and shows people trust him with making their film. That decision was made prior to the release of 'Hunt for the Wilderpeople' but I can confirm that this film will do his reputation no harm. In fact it's going to do it a lot of good. It's a very fine film and in my opinion his best yet.I thoroughly enjoyed 'What We Do in the Shadows' but my one qualm with it was I felt it lacked a story to drive the humour. The man learns from his errors fast though and there is no such problem here. The story, while simple, is a driving force and makes sure things never get mundane or boring. Also helping this is a terrific cast of actors. Julian Dennison in the lead role blew me away and showed comedic timing far beyond his years. Sam Neill was as fantastic as ever and every cameo throughout is terrific and hilarious in its own way.The film not only manages to make us laugh though, it also has a heart. There are some very sad and moving elements to the film which are handled exquisitely by Waititi. He makes us think and sobers us occasionally but never takes us away from the fun time we're having with the story. There's a lot more to the film than I expected going in. It has layers and works on a lot of levels. I can't say enough good things about this film. An absolute pleasure to sit through.",jtindahouse,N/A
2,8,Hugely enjoyable comedy adventure with serious undertones,"Kiwi director Taika Waititi of ""Boy"" and ""What We Do In the Shadows"" fame will shortly be stepping into the big leagues directing the next ""Thor"" movie.In the meantime he has conjured up another slice of real Kiwi life on a budget that would probably fail to cover the catering bill for his new movie. Waititi translates Kiwi writer Barry Crump's book into a screenplay full of Kiwiana, irony and humour.We meet Ricky Baker (Julian Dennison) as the local police (Oscar Kightley) and ""enthusiastic"" Child Care worker ""Paula"" (Rachel House), attempt to rehouse the young Maori lad with his new adoptive foster parents. ""Aunt Bella"" (Rima Te Wiata), child loving and with a heart of gold together with husband ""Hec"" (Sam Neill), a loner bushman with little desire to house a young delinquent.Ricky's long list of offences are mentioned, including ""smashing stuff and throwing rocks"" but Paula is very determined, oft repeating her personal motto, ""no child left behind"".The opening scene sets the tone perfectly, as Ricky carefully surveys his new accommodation and quietly returns to the police car.Despite finding his new basic rural surroundings somewhat bewildering, including a gloriously bloody wild pig hunt, Ricky starts to become part of the family as he is showered by Aunt Bella's practical love and understanding.Following an event, Ricky and Hec strike out on their own into the New Zealand bush as a national man hunt for the pair commences. Can they get on, will Hec's heart eventually melt, if indeed he can find it? This is a comedy drama with emphasis on the humour with incompetent hunters, crazy bushmen (Rhys Darby) and comical situations. However framed with underlying sadness and a serious story under pinning the whole endeavour. The tone is reminiscent of director Waititi's' ""Boy"" and manages to stay consistent throughout. Waititi even allowing himself a brief cameo, to great comedic effect.There are plenty of belly laughs for those that understand and know New Zealand well. Neill essaying your everyday ""she'll be right"" Kiwi bloke, whilst providing a much needed straight man to all the shenanigans.Some scenes are pushed too far, with Paula's quest going to ridiculous length's for the sake of comedy and Darby overbalancing his scenes with his usual shtick. Somehow with the solid anchor of Dennison's fresh performance and Neill's experience, the ship manages to stay the right way up.The New Zealand bush is shown in all it's glory with the addition of a great choral track to accompany the shots of the overhead tree canopy.Overall a much more approachable and enjoyable film than ""Shadows"" which will play especially well with Kiwi's and Australians but does have broader appeal.SummaryHugely enjoyable comedy adventure with serious undertones and represents a real return to form for Waititi. It's also good to see Sam Neill on the big screen again, opposite a great new young talent.",julian-mumford,N/A
3,9,Too gangsta for anything but haiku,"New Wes Anderson?/ Live action Pixar's Up?/ Herzog road trip flick?/All these things and more/ Hunt for the Wilderpeople/ Is one of a kind/Taika Waititi/ Blends Conchords' quirky humour/ With blunt honesty/It's an oft-told plot/ Here, stripped of (most) cliché, and/ Adorably sharp/No adoption tale/ Treats its heartwarming heartbreak/ With such frank sweetness/In Waititi's world/ Rude haikus voice real trauma/ Death is nonchalant/He finds poignant joy/ In the saddest images/ Peace in a barn fire/But lost in the woods/ With a brave dog named Tupac/ Old man and boy heal/Learning life lessons/ In New Zealand's lush splendour/ As they hide their poop/Good ol' grumps Sam Neill/ And Julian Dennison/ Are pricelessly cute/Wry, no-nonsense laughs/ Battling boar and Rachel House/ Gleeful cartoon foe/As the pace ramps up/ Tender character beats meet/ Thelma and Louise/And a denouement/ So crisply wholesome there'll be/ Something in your eye/A tiny triumph/ Mighty but unpretentious/ With humongous charm/One of the year's best/ Don't miss these Wilderpeople/ The skux life chose you!-9/10",pyrocitor,N/A
4,10,I find it impossible to fault,"A brilliant funny movie that still respects the sadness that happens in life but tries to show you that fun and laughter can still be our main focus.I think this is the best so far of Taika Waititi's films and recommend it to anyone to see. I saw it after a long-tiring week at work and I half expected to nod off in the cinema theatre because I was so tired. But I didn't. I laughed and chuckled most of the way through the film and came away re-energized and very happy I had gone.Would see again if the opportunity came up, which is likely as most of my friends are raving about it and a few are wanting me to go with them to see it again!",benedwar,N/A
5,10,See this film!,"I saw this movie last night in Hokitika. There was a queue outside, which caused comment enough amongst the locals, as this never happens. The cinema was packed with an amazing demographic of people, for example, on one side of me were toddlers with their Mums, on the other a lone hunter-type and behind me a group of retired farmer ladies. I think this speaks volumes on the draw of this film. To put it simply, it ticks all the right boxes. Everyone in Aotearoa (NZ) will know these characters in some form or another; from the gruff old bushman, to the earthy mother figure and the chillaxed cop. It is that familiarity that makes it more engrossing and funny. But not just here, its mix of subtle bathos and pathos will make it universally appealing, of that I am certain. In short: Good on ya, Taika! 'Marvellous' film!",fleable,N/A
6,8,Uncle Hec and Ricky for the win,"Oak Cliff Film Festival 2016 Greetings again from the darkness. It just doesn't seem very many movies are designed to be funny to a wide range of viewers. There are raunchy comedies for taboo lovers. There are comedies for young kids. There are even Nicolas Cage movies for unintentional laughs. But writer/director Taika Waititi actually delivers a thoroughly entertaining movie that will generate laughs across multiple generations  it's quite simply, a fun time at the theatre.It's based on the 1986 book ""Wild Pork and Watercress"" by Barry Crump, who himself is a bit of a legendary figure in New Zealand. The film begins with Child Protective Services (or whatever it's called in New Zealand) dropping off 12 year old Ricky Baker to his new foster family. Paula, the CPS agent, considers Ricky a lost cause and describes him as ""a very bad egg"" as she rattles off his list of previous rebellions to new foster mom Bella, who takes note of Ricky's heft with a couple of wisecracks – delivered with a well-meaning smile.In a terrific screen introduction, ""Uncle"" Hec slowly comes into frame flashing a world class scowl and a wild boar slung over his shoulder. Ricky continues his habit of running away at night, but Bella slowly wins him over with her kindness, understanding and breakfast offerings. A tragic occurrence and fear of being shipped back to the juvenile center, has Ricky disappearing into the New Zealand bush. Soon enough Hec catches up and the two begin a relationship that is the core of the film.Rima Te Wiata plays Bella as a perpetually optimistic woman with a sincere drive to help Ricky adjust and find some joy in life. Sam Neill plays Hec in full grumpy curmudgeon mode  a nice compliment to the extraordinary presence of Julian Dennison (Paper Planes) as Ricky. Ricky and Hec together are a hoot to watch. It's not simply the generational differences, but also a clash of one man who wants little more than to be left alone and a young boy who wants little more than to be noticed and cared about. It's not so much the direction of their relationship that surprises, but rather the manner in which it develops.Director Waititi's next film is Thor: Ragnarok, so this makes us appreciate even more his pleasant little indie film that features not just colorful and interesting characters, but the beautiful landscape of the New Zealand bush  much of which we see during the humorous manhunt for Hec and Ricky. It's a farcical comedy with a dose of profundity and loads of adventure for two social misfits. Rachel House is pretty funny as the obsessed CPS worker, and Rhys Darby (""Flight of the Conchords"") is downright hilarious as Psycho Sam. Watching criminial-wannabe Ricky literally count off his Haiku, leaves little doubt as to why this one has been such an ""audience favorite"" at multiple film festivals.",ferguson-6,N/A
7,8,Flight of the Kiwis,8/10Flight of the KiwisSpoiler,waltermwilliams,N/A
8,7,Delightful!,"I just saw ""Hunt for the Wilderpeople"" (2016) and it was absolutely wonderful. All the performances were good. I didn't hate the kid and Sam Neil was very good as Hector. There was a very believable bond between Ricky and Hector, and when they had the ""get mad at each other and leave"" scene, it didn't feel forced (partly because of the subject matter) and I loved that it didn't go on for too long. All the cinematography was fantastic. It was very funny and I love the kind of dark sense of humor that the movie had. I think this had a great soundtrack! and it's not just great songs that already existed and wasn't composed for the movie (though there was a lot in there), also the composed music is really good. It gives off a very mysterious feeling. All the characters were very likable, and not stereotypes (except ""psycho sam""), and it was great. I wouldn't give it a 10/10 like some people are, because it has some problems. There was some stereotypes in the movie, (An example being ""psycho sam"" being the conspiracy theorist stereotype) I think there should have been some more time devoted to the relationship between Ricky and Bella, and I think the plot was kinda predictable. But, I still think this movie was very fun and enjoyable, and I'll definitly recommend it. i give this a 8/10",morrismatalon,N/A
9,10,An absolute gem of a film. A must see movie!!!!!,"This is such a funny, heartwarming, immensely entertaining, brilliant film for the whole family. I can't wait to go again, and again.... Taika is a genius. The entire cinema clapped when it finished which I've never seen before. It's now my absolute favourite film of all time!! LOVE LOVE LOVE this movie!!!!!!! It is effortlessly funny with a brilliant cast of very talented Kiwi actors. The scenery is of course beautiful because it's set in New Zealand's stunning landscape. Even though there are serious, universal underlying issues within the script they are dealt with in a way that is from the child's innocent perspective so the film remains light and entertaining throughout. If this film doesn't do exceptionally well off shore and get the global recognition it deserves, it will be a travesty.",mattnikkiwillis,N/A
10,8,"Revels in a unique, idyllic quirkiness that could have only come out of somewhere like New Zealand","Hunt for the Wilderpeople is a New Zealand film starring Sam Neill and directed by Taika Waititi (Eagle vs. Shark, 'Boy' the Movie, and Thor: Ragnarok). Based on the book ""Wild Pork and Watercress"" by Barry Crump, its unique charm and humour boost the appeal of what would have been an otherwise generic bonding story.Ricky Baker (Julian Dennison), a juvenile delinquent, goes on the run from child protective services in the New Zealand bush. Reluctantly joining Ricky is his surly foster uncle Hector (Sam Neill), who is forced to bond with his nephew while trying to find ways for them to survive in the wilderness. Eventually, a nationwide manhunt is launched by the police to swiftly bring the two of them to justice.Funny, poignant, and well-cast, Hunt for the Wilderpeople revels in a unique, idyllic quirkiness that could have only come out of somewhere like New Zealand. The film's dramatic moments always hit home and never feel like they were inserted merely for cheap emotional effect. The humour, which is very dry and tongue-in-cheek, frequently adds to the film's likability and unconventional tone. Newcomer Julian Dennison shines as Ricky Baker, a rebellious young boy with a heart of gold and Sam Neill plays off him quite well as his irritable foster uncle.I rate it 8/10",MrDHWong,N/A
