id,author,date,user_rating,review_title,review_text
1,Chaser923,N/A,9,Classic for the new generation? Yes!,9/10Classic for the new generation? Yes!Spoiler
2,james-calver,N/A,9,I feel like everybody has missed the point,"I am not normally one to write reviews, but I couldn't help reading several for this film on this site that just did't seem to understand where I think the film was supposed to be coming from.The majority of the complaints I saw were that the film was 'too depressing for a children's film', but whilst I see where they are coming from in some regards, every child who I have seen watch this film (I work in a cinema) has absolutely loved it, and laughed out loud almost constantly. They are not old enough to realise the message the film is trying to convey: that life isn't all about happiness. I applaud the attempt from Pixar to make a film that is not only hilarious in places, but is also a major comment on what life is like to be a younger teenager, transitioning through one of the most important moments of life.From a more personal perspective, why should everything we show our children gloss over the reality of life, and try to make them believe everything is rosy 24/7? Again, what this film does brilliantly through the message I took away at the end was that life will never be 100% full of happiness, but that is fine. Why does it have to be? A little bit of sadness is necessary. If a person was never sad, they would be inhumane.Overall then, I suppose my review is more of a comment on the type of film we exhibit to children, and how the Nanny-state we live in looks to protect them from most of lives inevitabilities. Either way, what can't be ignored is that this film is equal parts sad, and equal parts what I am sure will become a timeless classic in years to come."
3,gloriesalbuainain,N/A,9,I cried like a baby..,"I watched the movie long time ago, and I've just rewatched it today.
For kids it will be a funny movie with no meaning maybe!!
But for an adult, its so true!! You lose your childhood personality you change you feel sad, i mean it literally touches my soul
Great movie for both kids and adults."
4,Reckno64,N/A,10,The fact that this movie has so many 1 star reviews is proof that there is no point in making great movies anymore......,"I hate to see so many 1 star reviews claiming this movie was ""too depressing"". Everyone who said that missed the point completely. Growing up ain't all sunshine and rainbows, it comes with a lot of hardships and that's what this movie is about. Riley's emotions try to help her through the difficulty of moving to a new place that isn't all its cracked up to be, and in the process Joy accidentally sends Riley into a deep depression. Sounds depressing, but what makes this movie great is how realistic her depression feels as Joy and Sadness try to help Riley out of it. I feel like this movie's message is ""Growing up will be tough, but you will get through it and there are people who will always help you through it."" and that is a VERY important message for children.Throughout the movie there are plenty of good jokes, gorgeous animation, and a beautiful score by Michael Giacchino (idk how to spell that....) Again, just my two cents, but I think this a great movie, if very different and a bit more depressing by Pixar standards.REALLY starting to think people are just coming to trash all of Pixar's most recent movies out of jealousy or something. There's no way so many people think this movie is garbage. If the good movies are really getting this many bad reviews, it's no wonder the quality of animated movies is going down. There's just no reason to try anymore......"
5,havenferrer,N/A,10,Everyone that rated this below a 7 are why can't have nice things.,10/10Everyone that rated this below a 7 are why can't have nice things.Spoiler
6,Animany94,N/A,10,Mandatory watch for children and parents alike.,"I did exactly what I was supposed to when watching this brilliant movie, I felt all the emotions at some point.Pixar did it again with Inside Out. For a long time I had stubbornly repeated that Toy Story would always be my favourite from Pixar, but I changed my mind shortly after watching this one.Like Toy Story you were offered a setup every adult can identify. Growing up learning how to control your feelings and learning the importance of every one of them. It is okay to be angry, sad, happy and afraid as long as we are taught how to manage them.The idea of having this control panel inside a human body has been done before by Osmosis Jones (2001), but let's say with much less success. Inside out takes it to the highest level of perfection.I loved the way Pixar made this world inside the main character of Riley, it is very creatively done and was in some ways just how I had imagined it. I must admit that I cried a couple of times during the movie, because it has some really touching moments.You should be feeling all emotions when watching Inside Out. It is a must watch."
7,Sweetigal85,N/A,10,A brilliant depiction of adolescence,10/10A brilliant depiction of adolescenceSpoiler
8,Michael_Elliott,N/A,N/A,The Older You Are the More You'll Like It,"Inside Out (2015)*** 1/2 (out of 4)Eleven-year-old Riley has a wonderfully fun childhood thanks to the emotions working inside of her. Joy (Amy Poehler), Sadness (Phyllis Smith), Fear (Bill Hader), Anger (Lewis Black) and Disgust (Mindy Kaling) all help keep the young girl moving forward but when her family moves from Minnesota to San Fransisco it throws everyone for a loop and soon Joy and Sadness find themselves lost in her system and trying to find their way back.INSIDE OUT is certainly another winner from Pixar who are clearly the experts of the family movie. What really amazes me about the studio is that they're actually just making adult movies that kids happen to enjoy because of the pretty characters on the screen. I say this because films like this one, UP and WALL-E really do have adult stories dealing with adult issues yet somehow the studios are able to keep kids entertained while their parents get a lot more of the jokes and the emotions that the story provides. This one here is an incredibly touching story from a parent's point of view simply because of the changes that their kids go through.There's no doubt that the animation is the star of this picture and we're really treated to some wonderful images. I especially loved the use of colors in the picture and how various colors had a certain emotion attached to it. This is certainly excellent once our adventure begins as there's a ""long term memory"" section where these wonderful color marble like things are collection. Just the site of this are a true treat for the eyes. All of the ""emotion"" characters are perfectly brought to life with both Joy and Anger really standing out. The human characters are also quite entertaining and there's no doubt that the Bing Bong character will go down as a favorite decades from now.As I said, this film is going to work a lot better for older kids and adults as I'm sure the majority of young children aren't fully going to grasp the idea of emotions and how they effect our lives. The story itself is quite charming throughout and I was surprised at how many adult issues they were able to work on throughout the running time. Fans of Pixar are certainly going to love this as it's another winner that manages to work no matter what your age is. Still, I think the older you are the more you'll enjoy it."
9,SquigglyCrunch,N/A,6,An Interesting Concept with a Handful of Inconsistencies,"Inside Out is the hit Disney-Pixar animated movie about emotions, specifically emotions living inside a person's brain in a somewhat human form and controlling how people react to things. It's an interesting concept, and for the most part it's presented well, but there are flaws for sure.The plot is, like I already said, interesting but flawed. It bothers me that people are saying that this is an incredibly original concept despite the fact that it's been done before. It's just the most popular use of the idea, but it's not the original. The story itself, however, has a handful of really good ideas, but there are inconsistencies with it too. The disappointing part is that most of the inconsistencies are actually pointless scenes that don't add to the story but instead end up taking away from it. There aren't a lot of them, but there's enough to take away from the movie itself. Most of the inconsistencies would spoil the movie, so you'll just have to watch it to understand. Other than that the ideas are good and some are even pretty amusing.The characters are okay. I found the most interesting characters to be the parents personally, with Riley being as flat as a pancake and everyone else just not being important enough to even remember by the time the credits roll. For a movie about emotion, Riley really isn't presented in a very realistic way. Sure, at times she's good, but most of the time her character is just inconsistent. The parents were, on the other hand, much more consistent, and funnier most of the time.I think that this movie had a great beginning and a great ending, it was just the middle stuff that struggled. It's a very emotionally intense movie, especially towards the end. I felt much more into the movie at these points, and even on my third watch I got a bit emotional about the ending. The movie felt a little too short as well, but maybe that's because I've seen it so many times already.Overall Inside Out is just good. I think that I loved it so much originally (I gave it a 10/10) because of the ending. It was pretty emotional the first time, but after the second watch I started to question it. By the third watch I found inconsistencies and a handful of things that I just didn't like about the movie. Ideas and such that just weren't nearly as good as I remember. In the end I'd still certainly recommend this movie, but if you want to really love it then don't analyze it, because otherwise you'll notice the things that I did (probably)."
10,TheLittleSongbird,N/A,10,Pixar's best film since Toy Story 3 and one of their finest overall,"Most of Pixar's films are wonderful (short films too), and while the three films made after Toy Story 3 weren't up to their top standards they were still better than most animation companies at their worst. Inside Out was nothing short of a masterwork, Pixar's best since Toy Story 3 and one of their best overall.Pixar films can be relied upon to have great animation, and Inside Out certainly does have great animation. No, wonderful animation and some of the company's most ingeniously inventive, with gorgeously vibrant colours, a very imaginatively rendered setting (and the lands even more ingeniously done, the next land more so than the last), very meticulous and beautifully modelled backgrounds and clever character designs that match the emotions more than ideally. Michael Giacchino's sparkling, rousing and very charming score is one of my personal favourite scores of the year so far, and every bit as great as his score for Up.A superb job was done with the script here too, the comedy is clever and witty without ever being forced and balances subtly with the drama, the drama is some of the most truly poignant of any Pixar film and it doesn't ever feel manipulative or overdone and it's very smartly insightful. The story, not one of THE most innovative concepts but is one of the more imaginative uses of it and is quite original for Pixar actually, goes at a slightly steadier pace than other Disney films, but still captivated. It was very easy to completely connect with Riley and her situation and this was easily the Pixar film since Toy Story 3 that I connected with emotionally the most, also one of Pixar's most moving stories quite easily.Loved the characters too, Anger, Fear, Disgust and Bing Bong (the imaginary friend and the 'epitome of immaturity', without ever being annoying, his back story did bring a tear to the eye) stole every scene they were in, and even Sadness managed to crack some funny one-liners even in her depressive state. Joy also positively lights up the screen and Riley was easy to connect with and much more than just a stereotypical teen girl. The voice acting is splendid. Amy Poehler is note perfect as Joy with her spirited banter giving the character so much life while also bringing a human element to her as well, Lewis Black gives an explosively barn-storming turn as Anger, Phyllis Smith is amusing and affecting, Bill Hader and Mindy Kaling are similarly priceless and in a way that makes the characters of Fear and Disgust endearing rather than annoying, Richard Kind is innocently charming and Kyle MacLachlan and Diane Lane are appropriately compassionate.Overall, a masterful return to form for Pixar. It's their best since Toy Story 3 and one of their best overall as well. 10/10 Bethany Cox"
