id,user_rating,review_title,review_text,author,date
1,8,Keanu gets pissed and shoots people in the face for 101 minutes*,"John wick has a very simple revenge story. It can be summarized as ""Keanu gets angry and shoots bad guys"" but what makes it special? Directed by Chad Stahelski who's a stunt specialist boy does it show because the main selling point in the film are some real virtuoso action sequences, well made choreographies. Unlike today's action movies, it doesn't use quick-cuts or shaky cameras actually see what's going on.",Kitsfi,N/A
2,8,"Kinetic, concise, and stylish; John Wick kicks ass.","8/10Kinetic, concise, and stylish; John Wick kicks ass.Spoiler",lnvicta,N/A
3,7,Story: 3 minutes; Entertainment: 101 minutes.,"It looks as if the filmmakers realized that the public was sick of certain movies. Most movies nowadays are full of wire work, sci-fi, etc. often topped with icing made of needless or predictable background stories that add nothing. For example the beautiful girlfriend who gives the moral speeches or the troubled teenage daughter, who aren't present here.Nothing of that is in John Wick. John Wick adds hardly a story, no character development, no needless character or background, no misplaced drama, no misplaced humor and not too much eye candy, nothing of that. What John Wick offers is action, action and more action. In fact, it is one long action scene, with some lines and close ups added. But that is not a problem. The directors promise action and deliver. While delivering they made it look good and convincing, without trying to be more, and they're smart enough to give the movie a satisfying beginning and ending.And for those who claim that Keanu Reeves is a horrible actor..... you are right. But his blank expression is perfect for this movie. Leave the acting to the bad guys and the delicious guest part for Willem Dafoe.If you're tired of movies with forced drama or loaded with CGI, John Wick will be a pleasant wake-up call.",CountJonnie,N/A
4,8,Don't mess with Baba Yaga's puppy!,"An incredible film that brought a very 70s and 80s cinema to this era. Not only that, it brought back a struggling but beloved actor like Keanu Reeves and connected him to a character for a decade, once again becoming an icon like Mr. Anderson/Neo in ""The Matrix.""
Simple premise, brilliant execution. It's a film with a purpose from its conception, but it also develops the character layer by layer. It gives us context, motivation, unbridled fury, and a brutality that other films have subsequently attempted to emulate with much less success and impact.Nothing suggested that this film would become a saga with several sequels, millions of dollars, a series, spin-offs, and much more.It has brought actors forgotten by Hollywood and the big spotlight back into the spotlight, and that's appreciated.A separate detail is the work of Chad Stahelski and David Leitch, those wonderful choreographies that one saw in Asian action films or anime, and that gave it that unique touch that characterizes it today.And all of this was ""only"" triggered because some Russian thugs decided to steal Baba Yaga's car and kill her dog...",LeonardoOliva69,N/A
5,9,Chapter 1,"It's hard to find anything bad to say about John Wick. The action is beautifully choreographed, the setup is surprisingly emotional for an action flick, and Keanu.... What more is there to say? If you love action or even just like it you will be in for the ride of your life.",0U,N/A
6,N/A,delivers if taken for what it is,"Though he no longer has a taste for wet work, retired assassin and ""Boogeyman"" John Wick has suffered a personal tragedy that's left a huge void in his life. When he and his dog (really the last meaningful thing he has left) fall victim to a scummy group of Russian mobsters, he emerges from his shell with vengeance on his mind. Slow and ambiguous at first, but reveals more as it goes along, and once it kicks into gear it rarely lets up with plenty of stylized, visceral action scenes, an impressive arsenal of weaponry, plus sly direction and editing that give it the feel of a violent music video at times. Preposterously fun to watch, it just doesn't have much of a story at its disposal, not to mention all the over-the-top bloodletting and mayhem eventually becomes redundant. Savvy, indestructible Reeves looks right at home, and delivers many of his lines with a sardonic wit. **½",Special-K88,N/A
7,7,Manly action film,"Lesson learned: don't get on retired legendary hit-man John Wick's bad side. In the film of the same name, he goes back into action shooting up bad guys in a city where it seems that the cops have all simultaneously taken a vacation. Played by surprisingly youthful quinquagenarian Keanu Reeves, John Wick's style of shooting baddies is reminiscent of my days playing Whac-A-Mole, Duck Hunt, or any of those arcade games with the plastic guns. Wick is a vengeant superman, and this is the basis of the entire movie. Although he doesn't have a clear weakness that can be exploited like most heroes, Wick does get into enough trouble for the audience to be sincerely worried about him.If you're planning on seeing John Wick because you like movies with clever or meaningful story lines, then you're going to be disappointed. If you are looking for raw well- choreographed action and machismo, then look no further. House Greyjoy's Alfie Allen stands out as villainous Russian mafia brat Iosef Tarasov, and Michael Nyqvist (Girl with the Dragon Tattoo) plays Viggo, his mob boss father. Adrianne Palicki, Willem Dafoe, Ian McShane and Dean Winters round out a strong supporting cast.Overall, I enjoyed John Wick as a pure action film. It doesn't have a storyline like The Matrix or Speed, but it was visually entertaining and the simplicity of the story allowed for appreciation of the action. This movie is manly and primitive, and proves that at the age of 50, Keanu Reeves can still mix it up as an action star.",Voeim,N/A
8,8,Yeah I'm Thinking He's Back,8/10Yeah I'm Thinking He's BackSpoiler,Palidan400,N/A
9,6,I Don't Get It,"I really don't understand the love that ""John Wick"" receives. It's just kind of a generic action thriller to me. No different than a ""Bourne"" or ""Taken"" movie. It gets a slight bump for me in a rating of 6 instead of 5 because I did think that the cinematography was really good and also the fight choreography was top notch. I can definitely see the influence of martial arts films on this.As for the story, it's basically not there. What's worse is the fact that the movie goes out of its way to constantly remind you that John Wick (Keanu Reeves) as a character is someone who is incredibly lethal and dangerous and feared by criminals. In my opinion, this completely kills whatever dramatic weight the cheesy storyline that ""they killed my dog and stole my car"" plot has to begin with.I guess people liked it well enough because it's got three sequels and more to come. Personally I don't think it's any better than the average Netflix Original action movie. Huge skip in my opinion.",xiaoli7377,N/A
10,10,The best action revenge film of all time from 2014 so far!,"John Wick (2014) is the best revenge flick from Keanu Reeves of 2014 from The Matrix (1999) to John Wick (2014) another action fast paced, Entertaining slick action packed film, which kind I have never seen before. It is a very fun, straightforward action movie with an 80's sensibility. It's nice to see Keanu doing these types of roles again. It is one of my personal favorite Keanu Reeves movies. Keanu Reeves is a bad ass what a great action packed blood packed film. Movies should really learn from this on how to make a decent action film, especially with the crap we are getting today like escape plan bullet to the head and such. This film to me is the greatest action film to come out in this century. Keanu was phenomenal the action was so fast paced and exciting my jaw literally dropped as Keanu took out all the bad guys! I personally think this film is better then all Taken films combined. It was simply brilliant, it was made for 20 million dollars and I am glad it made 40 million in the US. I think this film deserved to make 100 million!Old school action with no shaky cam. Definitely the best stunt-man-turned-director-debut I've ever seen. The story is set about John Wick (Keanu Reeves) a retired assassin, who gets dragged back into his field when the Russian Mob put a hit out on him, but instead of killing John, they steal his classic Mustang and kill his newly acquired puppy. This sets John out to exact revenge on the whole mob in a no nonsense kind of way...multiple shots to the chest and one to the head for good measure type of justice. I've never seen a film where the gun play is this to the point and precise as this. I don't know what the body count is, but it's gotta be up there...way up there. Oh...and another thing...they actually reload the guns. Don't see that that often in films. It's got an all star cast of cameo/small roll characters, from Ian McShane, William Dafoe, and John Leguizamo, and I swear one of the bad guy henchman is that ""Mayhem"" Insurance guy. One of the Best Movie, that Keanu Reeves ever made. From start to finish. Non stop action, all scenes look very realistic. ( The best action movie of the year. )I Love this movie so much I think the people behind this movie made a great astonish action movie. There are other things in the movie that I love so much. I even think John Wick is so much better than 47 Ronin (2013) that Keanu Reeves made. The most that I love in this movie is Adrianne Palicki as Ms. Perkins I think she did one of the best job portraying and playing the most memorable female assassin I have ever seen. Ms. Perkins made me realized and inspired me that there are a lot of women who choose occupation as a female assassin hired by the mob. There were a lot of female actresses who played an assassin but I have never see any women portrayed like that. Adrianne Palicki is a bad ass! She even played Lady Jaye in the G.I. Joe Team's covert operations a specialist in the movie G.I. Joe: Retaliation (2013) one of my favorite movies. The fight sequence between John Wick and Viggo Tarasov is real and very realistic I did not see any CGI in it. This wouldn't be an action movie without some action. There's plenty of it, and it's perfectly done. The The stunts are completely insane in scale. There is a lot of gun play and powder even the guys reload guns. There are even Daniel Bernhardt from Bloodsport II and The Matrix Reloaded in it. And he was perfect in here and the fight scenes with Keanu Reeves were well done by him. This is the first time In the movie I see Willem Dafoe been the good guy. I haven't seen him in decades playing the good guy since Platoon (1986) my favorite Vietnam war movie!The last thing about the movie I want to say that John Wick was a dog lover and I love dogs. I love how he avenge the puppy's death by mobsters who killed him and than he saved another puppy from the animal shelter when he was wounded. He wasn't a superhero without any bruises on him he was wounded. Keanu Reeves did a wonderful job better than he did in Knock Knock (2015) I only hope they want screwed up the sequel and making much better action movie than the first was.When sadistic young thugs senselessly attack John Wick (Keanu Reeves)-a brilliantly lethal ex-assassin-they have no idea they've messed with the wrong guy. With New York City as his bullet-riddled playground, Wick embarks on a merciless rampage, hunting down his adversaries with the skill and ruthlessness that made him an underworld legend That is the main plot the rating I am giving this movie is a 10/10 because It deserves it.",ivo-cobra8,N/A
