id,user_rating,review_title,review_text,author,date
1,9,Shocked me how good it was,"I remember when I saw the trailers for this movie, I thought it would be a sad but sweet love story and nothing more. And while it is that it brings so much more flare and beauty that I would never have expected from this. It took me three years to see it and it far out shone any expectation I had.",elijahz,N/A
2,8,Dream or Love,8/10Dream or LoveSpoiler,yuenyeeac,N/A
3,8,Loving you is like loving part of my life,"This movie is infinitely close to when we were young: arrogant, romantic, dreamy, longing for love, but lack of money. Then when we have tasted the hardships and pains of society and finally achieved something, is the person around you still the one you love the most? Only when you have thoroughly pained and loved, can you understand how difficult it is to be innocent love. Only when you let go can you support your dream and fulfill your pursuit. In the end, Mia's fantasy surprised all the audience. This is the fantasy of all sweet love, and it is the most exciting meaning of this movie. I dare say that if there is no final fantasy, or the hero and heroine are together again, this movie will eventually become a second-rate love song and dance drama. Only if you can't get it, can you fully understand the bitterness and sweetness of youth. After all, the most beautiful love is just a flash in the pan. I love you, but I can only wish you happiness. This is the supreme love. This love becomes a part of life and a belief. LA LA LAND, loving you is like loving part of my life.",IreneWatsonC,N/A
4,10,I hate musicals,"I watched this as Oscar's had been handed out and I felt it necessary, as is customary - to grant such films my valuable time.I hate musicals.It started as we know in a traffic jam. They started singing. ""I hate musicals"" I told my wife. ""Is this a bloody musical"" I asked.She didn't know.What followed was without doubt one of the greatest cinematic experiences I've ever had. I smiled, I rejoiced, I wept, I rallied, I wept again.I'll keep this brief. No matter your movie preference, no matter your music type, if you are breathing and cognisant - I urge you to watch this.It is beauty beyond my words.It is life in a fleeting moment.It is music and dance we didn't know we needed.It is lifting, it is crushing.This movie went from ""I hate musicals"" to ""this is the greatest movie I've ever seen"" in the course of two hours.I've listened to the soundtrack countless times.I hate musicals.It's beautiful.I have no articulate means to encourage you to watch this other than this - if this 48 year old wisened Irishman can fall for this, so can you.So please, watch this - otherwise you may miss a life changing event.",astonbilla,N/A
5,10,My favourite movie,10/10My favourite movieSpoiler,tuggerwaugh,N/A
6,10,A true ode to the Golden Era of Hollywood,"The vibrant colors and use of musical scores to set the mood for scenes transported myself back in time. This movie feels not only like a beautifully nostalgic nod to Hollywood of yesteryear, but also that of a timeless love story. Gosling and Stone have a charm to their chemistry on screen during the musical and dance numbers. All these aspects lead to a raw portrayal of love that many experience in life, with still providing a sense of hope and wonder to the viewers. I was entranced from the opening scene until the final note played by Goslings piano. I absolutely recommend this film to any and everyone!",wgerhardt,N/A
7,10,11/10,"Any chance I could give this 11/10, or a few more oscars, just for being so oscary... such a splendidly heart warming experience",jackelkarl,N/A
8,7,I respect it but don't love it,7/10I respect it but don't love itSpoiler,DanLawson146,N/A
9,10,"Like a dream come true, one of those films that totally banishes the blues away","Having just gotten back from seeing 'La La Land', with a rare day off music college, it came to me that it was one of the best new release/first viewings for me in a while.Very few films in recent memory has left me leave the cinema with my heart properly warmed, a beaming smile on my face, tears in my eyes, feeling uplifted and properly moved. 'La La Land' however has managed that feat. Would also go further to say that it is one of the best modern film musicals after Disney's Renaissance period in the 90s, and very much a modern classic. Am not surprised at all its award wins and nominations (including being a record breaker at the Golden Globes), and if it does well at the Oscars as well there will be no complaints from me.'La La Land' clicked with me most likely because of my love for golden age Hollywood, musicals (a somewhat maligned genre these days, but while there are a fair share of not particularly good ones there are a bigger number of great ones and even masterpieces), and how it fondly reminded me of what makes me love them so much. Also because of being able to relate to its themes and conflicts, due to being there myself. The talent was also appetising, starring Ryan Gosling and Emma Stone, directed by 'Whiplash's' Damien Chazelle and featuring cameo support from JK Simmons (who coincidentally won a Best Supporting Actor Oscar for 'Whiplash), John Legend and Rosemarie DeWitt.It was just sheer joy to see a film with so much potential deliver on that potential and even more so, having seen a lot of stuff recently film and TV that wasted their potential it was refreshing to see a film actually delivering on it.Visually, 'La La Land' is a gorgeous-looking film, with lots of vibrant colour that leap out at you from the screen while not having too much of a dizzying effect and cinematography that's not just a dream to behold but inventively done without falling into self-indulgent territory. The music and songs may induce, and has induced, mixed reactions, count me in as somebody who found the songs infectious, emotion-filled and with enough to make one top-tap and hum along.The musical numbers are winningly choreographed too with non-stop exuberance. The opening number is especially true to this. The script is warm, funny, affectionate and poignant, and also with an honesty. It's not a complex script, nor did it need to be, and neither does it make the mistake of being too simple. The story is admittedly slight in places, then again so were the stories of even the best golden age musicals and they still managed to be classics because of how everything else was executed and because of the atmosphere.Something that is true with 'La La Land', a film where anybody can relate to its themes. Even more special though is that not only does it pay tribute to musicals and films of the golden age (especially those with MGM), with their bold colour, exuberant marriage of music and dance, it also has a winsomeness and melancholic nature seen in films like 'The Umbrellas of Cherbourg' yet does it in a way that will appeal hugely to modern audiences. Loved that the two leads' relationship and chemistry was much more complex than the love-at-first-sight sort (far from it, more antagonists turned lovers) with a meet cute first encounter (again also not a case).Chazelle's direction shows someone with a sheer love for film and film-making, more than evident in execution that is affectionate and full-of-life rather than self-indulgent. The chemistry between the two leads and their performances would need to be good to make the film work. No worries there. Ryan Gosling and Emma Stone look so natural and at ease together, nothing looks false and it is easy to root for them and their conflicts.Both of them give terrific performances, performances so good that less than great singing was immediately forgotten about. Especially Stone who has never been better in a performance of great expressivity and nuance, so many emotions such as vulnerability, strength, cheekiness, charm and buoyancy with never a hint of a heavy-handed touch. Gosling matches her, if not quite as good, showing a very charismatic presence and an effortless twinkling charm. All the support, although basically cameos, registers memorably.All in all, a dream come true and totally banishes any blues and daily troubles away. 10/10 Bethany Cox",TheLittleSongbird,N/A
10,6,For some reason over-hyped,6/10For some reason over-hypedSpoiler,neyenna,N/A
