id,user_rating,review_title,review_text,author,date
1,9,Visceral and intelligent - Besson's masterpiece,"Leon is one of the most emotionally intense movies ever made. French director Luc Besson uses everything: actors, music, camera angles, lighting to create an unique experience - ""It's not realism, it's not naturalism - it's heightened reality"" as Gary Oldman very well put it.In ""The making of The Professional"" Besson says ""If I imagine somebody in the street try to knock on my daughter, I kill the guy, in five seconds. I kill him, and I think ""It's in me, I'm a beast!"" On this part we can't forget that a part of us, the genetic things inside are much, much older than The Ten Commandments"". He certainly uses visceral scenes to create very strong emotion  in the movie - the blood running from Mathilda's nose or Stansfield's unforgettable ""EVERYONE!"" are just a couple of examples. The music and the sound are excellent and are used in a masterly fashion - you can hear Fatman's heart beating desperately or a low claustrophobic sound when Stansfield turns to look at Mathilda's father.However Leon does not work only on this primary level, it also has an intelligent story. It may seem to be almost a fairy-tale, but don't be fooled -  just like his character Besson is serious. This movie has a message: without love we are dead, even if we don't see it. Only true love give meaning to our lives: ""everything else reminds me a big yogurt: warm and rancid"" as Mathilda says in the original script, which is available on the net under the name Leon Version 1. Is this true in ""real life""? I don't know but this movie can make you wonder.Then of course there's the sensuality. It's hypocritical to deny it, the camera interacts with Mathilda in a mesmerising fashion. It's not sick and it's not degrading: it's art, subtle and beautiful.Leon is not perfect but it has so many great moments that all its flaws can be forgiven. It's a movie that really should not be missed, unless you are concerned with its amorality. And don't be - Leon is less violent than many action movies and the unusual relationship between the main characters is handled mostly with genuine feeling and tact.",Twinsen61,N/A
2,9,"""I like these calm little moments before the storm...""","Many movies have characters in them who are hired assassins, or ""hit men"". They're the standard ""badass"" character that kills people in order to collect a reward. Most hit men in films have been portrayed as cold, heartless villains (Boba Fett of Star Wars, Vincent of Collateral). Léon, however, flips this cliché on its end, as the hit-man is the kind-hearted protagonist who learns how to love, thanks to a little girl who shows up on his doorstep.Léon begins in a restaurant, with the assassin himself (Jean Reno) taking a contract from his boss Tony (Danny Aiello) to kill a man who's moving in on Tony's territory. The next 10 minutes become an enthralling cat and mouse game where Leon shows the viewers just why he is known as the cleaner: he is extremely good at this job. We also see Leon's human side, shown by his passion for milk, his affection for his plant (whom he calls his best friend) and when he becomes engrossed watching Singin' in the Rain. Leon seems quite content with this life, not seeming to want anything more. That is, until he is forced to take custody of a twelve-year-old girl (Natalie Portman) whose entire family was cruelly massacred by a corrupt DEA agent (Gary Oldman). This is where Leon is forced to change his lifestyle for the little girl, and when she wishes to get into contract killing to avenge her brother, Leon becomes her mentor and protector.Luc Besson was both the director and screenwriter for Léon, and he proves with his sophomore effort that he is no one-hit wonder. Léon is a very fast paced movie, chronicling Leon's training of Mathilda, Mathilda's growing affection for contract killing (and for Leon himself), and the final standoff with Norman Stansfield. Despite all this, Léon also has time to throw in some slower scenes that develop Leon's and Mathilda's characters, expanding on their growing relationship and partnership.Jean Reno does a very good job as Leon, portraying him both as an effective and frightening killing machine, and as a loving and caring father figure. There is almost a childlike innocence to Leon, with him being unable to read and not familiar with most American culture. Reno allows the audience to both sympathize with this character and respect him, an extremely challenging feat.Natalie Portman's breakout role as Mathilda is one of the greatest acted child roles in a film, period. Portman is able to portray childlike innocence combined with an above average intelligence and awareness of the world around her. Although she is young, she becomes extremely interested in Leon and his job, wanting revenge for the gross acts committed upon her. Make no mistake, Mathilda is the true star of this film, and Portman completely shines in the role.In comparison to Jean Reno's fairly subdued performance as Leon, apparently Luc Besson wanted a more exciting and over-the-top antagonist for the film: enter Gary Oldman. Gary Oldman completely overacts his character of the crooked DEA cop, and he does it so wonderfully that he steals every scene he is in. This is without a doubt the greatest performance of this underrated actor's career, as the fun Oldman has with this role practically oozes out of the screen and infects anyone who watches him. While some critics criticized Oldman for his performance, it was actually spot on considering that the character of Stansfield is a drug-addicted psychotic cop who has no problem with murdering an innocent family to get what he desires. The only nitpick I have with Stansfield is his screen time is fairly small compared with Leon and Mathilda; nevertheless he completely steals the show when he does appear.The plot of Léon is fairly straightforward compared to most action flicks, as there are no particular plot twists or double crossings. However, the simple plot works because this is not a plot driven movie, it is a character driven one. That's not to say there is no action in this movie, there are a few great action sequences (especially the spectacular police shootout in the film's climax), but the film mainly revolves around the growing affection between Leon and Mathilda, and how they change each others' lives. Overall, Léon is an extremely well-made action/drama, and one of the best films of 1994.",ConkerBFD91,N/A
3,9,Being a good hitman takes more than merely a willingness to lay down one's life.,"I first saw this in the late 90s. Then again in the mid 2k on a dvd i own.Revisited the remastered extended version last night with my family.This movie is more than just a hitman or an assassin movie.The music is top notch, the characters are very well developed, the action scenes n direction are stylish.But the best part are the scenes between Reno n Portman. Leon is amazingly n very differently portrayed by Reno.There is a Bollywood copy known as Bichoo (Scorpio).The only thing good in the Bollywood movie is that the guy who played Tony gives away all of the hitman's money to the girl whereas in the original, the character of Tony gives only a single currency note to Mathilda n keeps blabbing the same ""safer than the usual bank story"".",Fella_shibby,N/A
4,10,Gripping story with well-crafted characters,"Luc Besson's movie Léon (The Professional) gives us an intense story which is maximized in potential by the casting of the movie done by Todd Thaler.  Every aspect of the movie delivers to the audience and makes an impressive overall package.  Jean Reno plays a character named  Léon who has learned to repress his emotions in order to perform his job as a ""cleaner"", or hit-man.  His secluded world is shattered by the young girl named Mathilda who lives on the same floor as he does in an apartment building. When she turns to him for help, he learns about living a normal life, even if the circumstances which unite them are far from normal.The performance delivered by then twelve-year old Natalie Portman as Mathilda is nothing short of brilliant.  Her ability to relate to others with body movement and facial gestures is matched by few, she really brings raw emotion and believability to a difficult role.  Mathilda and Léon are unexpectedly thrown together, but learn to value life from their chance encounter, and how valuable a friendship can be.Jean Reno as Léon gives us a solemn and calculated character who sets all of his energy on his assignments until her is given something else to care about.  Mathilda gives him the daughter that he never had, while Léon serves as a father and friend to her.  Gary Oldman, as the corrupt DEA Agent Norman Stansfield, offers the viewers an amazingly wired and electrical performance which pushes the envelope.  He moves the story along by his actions.  Oldman offers us a memorable portrait of a sadistically obsessed man who stops short of nothing to get what he wants.The Professional is what movie-making is all about.  Without the overuse of special effects, a large shooting location, or a commercially star studded cast, we are given all that could possibly be asked for in a movie.  Portman, Oldman, and Reno, along with Danny Aiello as the hit-contractor Tony remind us that there is no substitute for great acting. There are elements of comedy, drama, and action, and great original music by Eric Serra adds to the energy the film already encapsulates.  The most impressive thing about the movie is its story which is basic but is maximized by all the other elements which go into the making of the movie. Simply put, an intense and impressive movie.",Methos-7,N/A
5,10,A shameful praise of a fantastic film.,10/10A shameful praise of a fantastic film.Spoiler,Insincere Dave,N/A
6,10,Masterful,10/10MasterfulSpoiler,tjcclarke,N/A
7,10,Very well executed,10/10Very well executedSpoiler,cdsmith-2,N/A
8,10,Where are the accolades?,"This movie is rated 63 on the imdb top 250 movie list, showing that people obviously like this movie, and with good reason. But why the hell didn;t this movie garner at least one single oscar or golden globe nomination??natalie portman's performance was terrific as the emotionally ravaged matildha - best actress nomination for sure.jean reno should have been nominated for a best actor nomination. the fact that the audience is led to feel sympathy and sorrow for a hitman speaks words enough about his performance.gary oldman is fantastic as the corrupt and psychotic cop. his character is so repulsive and chilling, but at the same time so quirky and interesting to watch. best supporting actor nomination.luc besson. when this man will get some kudos for his work i never know. the professional, in my opinion, is his greatest achievement as a director and, considering the fact he has helmed classic cult films such as nikita and the fifth element, the professional must rate highly as one of the best films of the 90's atleast! best film and best director nominations should have been given.but no, it was all too easy to heap praise on the feel good movie forrest gump, and shun the movie that, through its intensity and tragedy, better highlights the value of life and love.",jcapelli,N/A
9,10,An Action Film For Lovers,10/10An Action Film For LoversSpoiler,robbijean,N/A
10,7,a symphony in film,"luc besson will never top this movie. This is his benchmark, his classical composition. Look at the precise, intricate scenes. It's a symphony in cinema. Straight off, it's action. Intelligently shot, and scripted. It makes everything that follows hard to live upto. But it does so easily. It's stylish without being showy, it's deep without being sentimental. And it's just hugely enjoyable. Seeing the friendship between newly orphaned mathilda and skilled assasin leon bloom, is tenderly done. At risk of slipping into a sappy bond, besson keeps it easy on the emotions, without coming off as shallow.The actors are all spot on, most notably the debut from a young natalie portman as mathilda. Showing an angry, sad, pent up, in love girl is no simple task but she breezes through it, touching all the right notes. And jean reno as the title character, is minimal but very effecting. Hard to understand, but easy to relate too. But gary oldman steals it, with his glorious overacting. He's as scary as he is determind. His line delivery is almost perfect. And his fate is very fitting. If only they made more intelligent action movies, then they could contend with this film. But as it stands right now, leon is one of the best action dramas ever made.",Gjay2,N/A
