id,author,date,user_rating,review_title,review_text
1,mark-lovellsamuels,N/A,10,The Perkins Factor,"No matter how many times one sits through this Hitchcock classic, Anthony Perkins always manages to surprise you. It is a sensational performance - for which he didn't even get an Oscar nomination - I have no way of knowing how much preparation he dedicated to the creation of Norman Bates, maybe no more than usual, but the details of his performance are astonishing. Never a false move and if you follow the film looking into his eyes, you'll be amazed as I was. The madness and the tenderness, the danger and the cravings. A mamma's boy with hellish implications and yet we see, we feel connected to the human being, we are not horrified by him but of his circumstances. In short, we kind of understand him. That alone puts him miles and miles away from other cinematic monsters. From Richard Attenborough as the real life Christie in ""10 Rillington Place"" to the hideous, unredeemable Christian Bale in ""American Psycho"". Here Hitchcock and Herrman create an universe that Anthony Perkins inhabits with the same kind of electricity, nerve and shyness that Norman Bates projects throughout the film. Janet Leigh falls for it if not him. She, like us, sees the boy trying to escape his dutiful son's trap. He is in my list of the 10 most riveting characters ever to be captured on film."
2,telegonus,N/A,10,It's the Little Things,10/10It's the Little ThingsSpoiler
3,arichmondfwc,N/A,10,Anthony's Norman,"Getting into Hitchcock's Psycho, 57 years after its original release is like assisting to a masterclass of sorts. We can now identify what made this little lurid tale into a classic. Hitchcock himself, naturally, but now we know the first director's cut was a major disappointment and that Alma Reville - Hitch's wife - took over, re edited and the results have been praised, applauded and studied ever since. Janet Leigh's Marion Crane created a movie landmark with her shower scene. Bernard Herrmann and his strings created an extra character that we recognize as soon as it reappears under any disguise but, what shook me the most now in 2017 is Anthony Perkins as Norman Bates. His performance has evolved with the passing of time and its effect has remain as chilling, as moving, as funny and as real as it was in 1960. It's interesting to watch Gus Van Sant's 1998 version with Vince Vaugh as Norman Bates. If you look at the film, shot by shot with Berrnard Herrmann's strings - it's pretty fantastic. - Play it in black and white if you can. The problem and it is a monumental problem, we wait for Janet Leigh and Anthony Perkins, if the casting of Anne Heche was really bad - not a hint of Janet Leigh's humanity, the casting of Vince Vaughn was incomprehensible. Not just not credible for a moment but annoying, very annoying. Anthony Perkins brought something profoundly personal to Norman Bates and as a consequence we connected with his sickness. We felt for him. Okay, sorry, I didn't mean to go there but I felt compelled to because I saw again Psycho (1960) ad Psycho (1998) at 24 hours from each other and realized that the main flaw of the 1998 versions is the absence of Anthony Perkins."
4,Xstal,N/A,8,Curtains...,"An opportunity presents that can't be ignored, to escape from a world that's been making you bored, with dollars galore you ride out of town, pestered by a copper, who keeps hanging around; you seek to find shelter, somewhere to hide, the motel of Bates is the one that you've spied, there's a curious fella who's friendly, polite, you pay for your stay, and wish him goodnight; after taking the key you retire to room, then into the bath for a showery flume, but before you're all clean you get into a lather, as the curtain is shred, by a psychotic slasher.Still a wonderful piece of filmmaking all these years later."
5,AlsExGal,N/A,10,Always holds me from beginning to end...,"...from the first time I saw it at age 14 until today whenever I run across it.This is the rare example of a much-ballyhooed film that is truly deserving of all the hype surrounding it. It would have been nice to have experienced the film without any knowledge of the plot twists. Unfortunately, for most viewers, the big surprises are not possible since so many of the scenes are part of our popular culture.There were, however, so many unexpected surprises.The opening scene with Janet Leigh and John Gavin in the hotel room was amazing and (pardon the cliché) so real. Hitchcock and Janet Leigh did a brilliant job of pulling us into Marion Crane's story, that of a woman in love with a divorced man who might as well be married considering his heavy financial obligations that leave him unable to marry in a practical sense even though he can in a legal sense. He doesn't even have a proper home - just a room in the back of the store he owns.Marion is then seemingly set up as the center of the movie as she thinks she has found a solution to her problems - a felonious one. Then the focus is skillfully shifted to the Norman Bates character as the ""protagonist"" victimized by his insane mother (or so it seemed) and then the focus is shifted once again to Marion's sister's search.The movie was adapted from a novel so some of the original audience would have been familiar with the plot of the book. In the novel, Norman Bates was a middle-aged man. I think it was a brilliant stroke to have the Norman of the film as a man in his twenties, a boy who never grew up in a man's body. Anthony Perkins is so identified today with his role of Norman Bates that it was surprising to see how endearingly he played him in the early scenes. And he did one of the best stammers I've ever seen in a movie when he was being questioned by the private detective (Martin Balsam) who is also searching for Marion. I also wasn't expecting to see how protective the local sheriff and his wife were of Norman when they were being questioned about him and his mother. You could tell they didn't want somebody (Norman) whom they thought had been dealt a bad hand to have anymore publicity and scrutiny than he already had.This film is mentioned in the documentary ""Moguls and Movie Stars"" as an example of how films were becoming more like TV as the 60s began - spartan art design and a script that was bold in the amount of sex and violence it had, even if the vast majority is implied. You have to be impressed by the versatility that is Hitchcock. Making movies in England? No problem. Making movies in the American studio system? No problem. Modernizing to deal with the evaporation of the production code? Again, no problem.Weird factoid - for you TCM fans out there Robert Osborne is credited as ""man"" in Psycho, although I don't remember him ever mentioning it. The only person it could possibly be unless he never comes close to having his face on camera is the parson as the sheriff and his wife are exiting church. See what you think."
6,littlemartinarocena,N/A,10,Hitchcock and Herrmann,"Robert Bloch wrote the original work, Joseph Stefano adapted it into a tight screenplay but it was Alfred Hitchcock with the extraordinary complicity of Bernard Herrmann who transformed this lurid tale into a classic, horror masterpiece. The score propels us into the moment before the moment arrives provoking the sort of anticipation that verges on the unbearable. The fact that the key scenes have become iconic film moments: copied, imitated, emulated and parodied, have not diminished its impact, not really. The anticipation, underlined by Herrmann's strings, creates a sort of craving for the moment to arrive. That doesn't happen very often. No amount of planning can produce it or re-produce it - otherwise how do you explain the Gus Van Sant version - so, the only possible explanation is an accident, a miraculous film accident and those do happen. Everything falls into place so perfectly that even the things that one may argue are below the smart standard of the film, are needed, the film without every frame is not quite the film. Try to turn away after the climax during Simon Oakland's long explanation. You can't. I couldn't. Partly because you know you'll soon be confronting those eyes, that fly, the car..."
7,ccthemovieman-1,N/A,10,"The More I See This, The Better It Gets","10/10The More I See This, The Better It GetsSpoiler"
8,slokes,N/A,10,Movie At The Crossroads Of Time,"What can you say about a film that's been talked about to death? Just this: If you've never seen it, you owe it to yourself to do so, not because it's a way of paying homage to the one true master of modern film, but because it's so fun to watch.Janet Leigh plays a bored office drone who decides to steal some loot from her boss's obnoxious client and parlay it into a new life with her all-too-distant boyfriend. All is going more or less according to plan until she stops in at the wrong motel, where she befriends a friendly if somewhat nerdy desk clerk only to find it causes problems with that clerk's possessive mother, who as her boy explains, ""is not herself today."" I'll say she isn't, and so would Leigh's Marion Crane, who maybe should have put up that ""Do-Not-Disturb"" sign before taking a shower.You can feel the decade literally shifting out of '50s and into '60s with this one. Even the opening shot, where the camera looks over a Western U.S. city in the middle of the afternoon and zooms in on what looks exactly like the Texas School Book Depository overlooking Dealey Plaza. Norman Rockwell touches abound, like the decor of the motel, but look at what's going on around it. People dress well, they still wear fedoras and jackets, but in their tense conversations and hooded gazes you can feel the culture just ticking away like a time bomb waiting to explode.Most especially, there's Anthony Perkins, who plays motel clerk Norman Bates in a very oddly naturalistic way, complete with facial tics and half-swallowed words, not the polished image one expected to see then. Just compare him with John Gavin, who plays Marion's boyfriend in the standard-actor-of-the-day way. Perkins manages to be so weirdly magnetizing, even in small moments like the way he stumbles on the word ""falsity"" or notes how creepy he finds dampness to be.He shines in bigger scenes, too, like his tense chat with Martin Balsam's boorish but diligent private detective character, Arbogast, who along with Perkins and Leigh delivers a landmark performance. The way both actors play out the awkwardness in their conversation makes you literally sweat. Then again, you're always uneasy around Norman. You definitely feel wary of him right away, but you find yourself liking him, too, even when he's busy covering up ""Mother's"" misdeeds. Not since Bela Legosi played Dracula did you get a horror movie with such a compelling central figure.If you are sampling the many other comments here, be sure to look up Merwyn Grote's. He makes an interesting, compelling case for how director Alfred Hitchcock used his television series as a template for ""Psycho."" Certainly ""Psycho"" looks more like early 1960s television than any of the more sumptuous fare Hitchcock had been bringing to screen at the time. Not only is it in black-and-white, not color, but the sets; a ramshackle motel, a mothbally old house, a couple of cheap looking bedrooms, a bathroom in a used-car dealership, are deliberately low class.It's thrilling to see Hitchcock move so effectively outside his normal element, and move things along with such clinical detachment and low-key technical finesse. Thrilling, too, to realize this is one of his most accomplished products; made by a man who was experienced enough to know how the game was played, and daring enough still to break the rules; indeed, start a whole new ballgame.Is it the best Hitchcock movie? It's definitely one of his best, right up there with ""The 39 Steps"" and ""Strangers On A Train"" and ""Sabotage"" and ""Shadow Of A Doubt."" He only once again came close to making as good a film, with ""The Birds,"" while Janet Leigh and Anthony Perkins never escaped the greatness they helped create here. Poor John Gavin had to quit the biz entirely, and became an ambassador.Often imitated, parodied, referenced, and analyzed to death, ""Psycho"" still isn't played out nearly 45 years after it came out. You owe it to yourself to pay a visit to the Bates Motel; Norman has a room ready."
9,llihilloh,N/A,10,This is what good movies are all about.,"This is one of the best movies ever created and Alfred Hitchcock is one of the most intriguing film makers ever to live. (in my opinion) There's just so much to say about this film I hardly know where to start.I first saw this movie about five years ago and wasn't impressed at all. Of course, I was about ten years old at the time. I didn't think that the famous shower scene was anything to frightening and the characters seemed a little boring. A little less than a year ago, I became very interested in the history of the film and not so much of the film itself. I read articles, reviews, anything that I could get my hands on. Then, Psycho was shown on AMC and I immediately thought that it was a masterpiece. Shame on me for not appreciating it sooner.The film as a whole is spectacular, but I like to break it down into little sections. First, I was very surprised and impressed with the actors that played Marion Crane and Norman Bates. Janet Leigh isn't given to much exposure to the film since she is killed off in about the middle of it. I thought that she did a good but not great job. On the other hand, Anthony Perkins blew me away. Both Norman and Anthony are very interesting. Norman's life that is set up and shown to us is so well depicted that I can't imagine anybody else playing the part. All of the characters including Arbogast, Lila, and Sam are so well created.Obviously, the plot is so unique and odd that you can't help but smile at it. A young woman on the run after stealing $40,000, and then accidentally falls into the wrong hands of a psychopath. It's great! The best thing is that nobody has ever done anything quite like it, and they won't be able to because then the magic will be gone.Even though the ever so famous shower scene is said to be one of the most chilling death scenes in history, I think that it may be a little overrated. I love it as much as the next person, but it's not all that scary. Who said it was supposed to be scary? Nobody, I know. But the majority of the Psycho audience gathers it to be very frightening. I do still think that it is one of the greatest and shocking scenes ever.The setting is very well set up as well. The Bates motel and house is so cleverly created that it brings a special atmosphere to the audience. It has something about it that you just can't forget.Finally, that music played throughout the film is one of the most spookiest sounds I have ever heard. Great job to the music composers and to Hitchcock for this scary addition to the movie.I think it's safe to say that everybody has heard of Psycho, but not everyone has seen it. For those of you who still haven't seen this amazing flick, go see it! It's a must see."
10,Popenoe,N/A,N/A,The Greatest Horror Film Ever,"When you look up the phrase ""Horror Film"" in the dictionary .. a picture of Janet Leigh screaming in a shower should appear next to it. Undoubtedly, Psycho is the greatest horror film ever made, bar-none. The story is incredible. The acting is near perfection. The cinematography is godly. The soundtrack is perfect. It's hard to find anything wrong with Psycho. Perhaps the only imperfection I can find with Psycho is the inability to stand the test of time. One of the reasons the shower scene has become so notorious is that it's not only filmed to perfection, but because the elements of sexuality and murder are so surreal. In 1960, seeing a nude women being murdered in a shower was something that no-one had experienced yet, and was quite shocking. Nowadays, seeing Jason double-spearing two lovers having sex is nothing uncommon. I envy those who experienced Psycho in 1960 in the theaters .. those experienced the full terror of Psycho.Aside from this though, the movie is flawless. I won't even go into to how incredible the cinematography is. One thing I think people seem to forget about the movie is the incredible soundtrack. Sound is such an important element in movies and Psycho is undaunted when it comes to sound. The only other horror movie that even comes close to using sound with such perfection is Halloween (1978).The movie is perfectly casted as well. Janet Leigh as the beautiful Marion Crane, Vera Miles as the concerned sister, Lila Crane, and of course the unforgettable performance from Anthony Perkins as the eerie yet charismatic Norman Bates.I would recommend this movie to any horror movie film fanatic. I would especially recommend this movie to any horror movie fan not desensitized by Friday The 13th, Nightmare On Elm Street, or Scream .. if such a fan exists."
