id,user_rating,review_title,review_text,author,date
1,7,Imagine listening to a cheap philosophical audio-book while walking through an exhibition of art photography with depressive motifs ...,"This cult achievement of Andrei Tarkovsky is generally accepted as one of the masterpieces of Russian cinematography. When I had the opportunity to see it on the big screen, I couldn't miss it. Fortunately, the ticket was extremely cheap.""Stalker"" is based on the SF novel ""Roadside Picnic"" by the Strugatskiy brothers, who adapted it into the script themselves. Although its genre classification is the same as that of the novel, ""Stalker"" is a philosophical and psychological drama, whose SF premise is only mentioned, and I believe that it is no more than a mere illusion in the minds of the protagonists, so the SF determinant leads to completely wrong expectations.The film opens with a very slow but mesmerizingly atmospheric and superbly shot scene, each frame of which is an art photograph. Already in those first moments, I saw myself rating it a ten, but from there on the film only goes downhill.To be clear, the rest of the film doesn't visually lag behind that first scene, but too long shots that show totally uninteresting people who do more or less nothing, no matter how beautifully shot, are not enough to hold my attention for almost three hours. If I wanted to enjoy top photography, I would go to an exhibition and not to the cinema. Of those three hours, perhaps a third is filled with plot, which again is largely reduced to monologues, while nothing really happens. Essentially, this looks more like a monodrama than a movie.In the center of events is an area called the Zone, in which there is a room that, for those who get it alive, fulfills the greatest wish. The basic message of the film is: ""Be careful what you wish for it might come true"", because the Room does not fulfill the wish that we consciously ask for, but the essential one, hidden in the depths of man.This is an interesting premise from which you will not see anything in the film. We don't know for sure whether the Zone is special in any way at all, nor do any of the protagonists use the Room. The premise is only there to give us the background to study the personalities of the people who headed to the zone and their guide, Stalker.The plot itself can be told in a few sentences, while the whole story is reduced to a philosophical monologue by the author through the mouths of three protagonists. There are no original philosophical ideas or interesting views on life. Just a bunch of true, but long-worn philosophical and psychological phrases, pretentiously packaged so that they seem more profound and significant than they really are.General impression - beautifully filmed but pretentious and hard to watch, without the essential strength to justify the effort. Just because of the technical qualities and the atmosphere, I can't go below7/10""The photography, in this case, is like the wrapping of an empty present box."" - trans_mauro.",Bored_Dragon,N/A
2,9,A unique visionary film,"Tarkovsky's direction for this film is nearly flawless.The film mainly focuses on three characters and their basic goodness of each other. The photographic colors are brilliantly choreographed to the mood of character and viewer. The visionary landscapes are mesmerizing beautiful.The survival techniques the characters in the film achieve is unlike anything I've seen in film. Much like Kubrick in terms of directive style and character study, Tarkovsky puts the viewer in a kaleidoscopic landscape of mood and emotion. No clichés here though. I have not read the story which the movie is based upon, but from what I understand the characters in the film all develop a healing understanding of each other.That is when you know [as a viewer] that you will watch something unique andexceptional. If you are into complex, psychological science fiction in the same vain of say {The Andromeda Strain, Solaris, 2001:a space odyssey} than you shall enjoy ""Stalker"".",brunojunior,N/A
3,9,"Mesmerizing, intelligent and haunting yet overlong and inconsistent","Stalker (1979)***½ Stalker is rich, spiritual and contemplative journey through the fantastic inner world of human's hope, desire, disillusions and believes. Main characters, Writer (as incarnation of irrational, imaginative and emotional aspects of our nature or subconsciousness) and Scientist (rational, logic forces or consciousness) are guided by Stalker (symbolizing our desire, will and everlasting search of meaning) to the mysterious Zone (which may represent all our spiritual goals, meanings, struggles to achieve them and barriers in our path). Breathtaking and mesmerizing images and sounds, witty dialog and strong concept are the major virtues of this feature. Writer's monologues are among the most meaningful, thought-provoking and spiritual moments I ever experienced in any art. But the movie is overlong losing its powerful initial momentum and becoming inconsistent in it's final message (by final I don't mean last in chronology but overall). Tarkovsky's earlier SF drama ""Solaris"" is more structured and fully developed. Nevertheless, Stalker is an outstanding piece of art movie that puts its director among the few true cinema masters. Rating: 8.5/10",Alexandar,N/A
4,10,The most Humanist Film in Existence,"Andrei Tarkovsky is a rarity among filmmakers in that he creates films that resemble elaborate (and always smartly written, beautifully shot and superbly acted) puzzles. The pieces are always scattered, and Tarkovsky relies on his viewer to bring the final element of the puzzle along with him. SOLARIS explores the boundaries of consciousness and the sense of grief (and it uses the titular planet as a metaphor for God). ANDREI ROUBLEV is a multi-layered voyage into religious belief. STALKER, however, is far more spiritual and existential than both of them.A teacher and a scientist wish to go to a restricted patch of nature - the mythical conscious ""Zone"" - to make their wishes come true. To enter the area and survive its numerous danger, they hire a man sensible to the Zone's thoughts and actions, a Stalker. What they find there turns out to be very different from what they expected, as they come to discover who they truly are.There's only so much you can say without getting drowned in details that would appear heavy-handed on paper but flow seamlessly on screen. Quite often, Tarkovsky reduces his characters to silence, letting their movements and eyes convey their thoughts and feelings and letting the viewer bring his own thoughts and beliefs to the film. One of STALKER's many treats is that it invites you to get carried away into your own thoughts, flowing with the images as it provides new questions to ponder... In that sense, the film is very much like a philosophical poem: a very simple surface covering innumerable layers of meaning. Yet the images Tarkovsky provides - whether filming landscapes or wide-shots or simply peering into his actors' extraordinary faces - make this almost hypnotic.STALKER is a treasure: an invitation to go on a mental ride with a poet and philosopher. A film that makes you wonder more about yourself yet without making you anxious. The few existing films like STALKER are the reason why cinema is called ""art""!",OttoVonB,N/A
5,10,Journey into Fear,"The characters at the heart of Tarkovsky's ""Stalker"" are people who embark on an arduous journey only to discover that they had no idea what they wanted to gain from it. The central character is a ""stalker,"" a man who makes a living by illegally escorting people through a restricted area to The Room, a place where their greatest wish will supposedly come true. Exactly why the area is restricted is never made perfectly clear; in the novel this film is partially based on, ""The Roadside Picnic,"" it was a site where aliens briefly landed, and The Room was an object they left behind almost as if it were refuse. But Tarkovsky would rather not settle for such a flat explanation. To him, The Room is a place that means different things to the people who journey there, and the stark, ravished landscape they must journey through consists of the phobias and anxieties that they can hardly bear to face. The expedition the men experience is a long and often maddening one, and there are many scenes where the camera lingers on a beautifully composed shot so that the viewer can take time to understand how the characters fit into the settings and how those settings form both natural and supernatural obstacles.Andrei Tarkovsky was an artist who did not like giving solid answers to the questions his films posed. He sculpted his stories so that viewers who had the patience and self-discipline to stay attentive all the way through could draw their own conclusions. If there is any specific meaning to ""Stalker,"" it is that we have to fully understand anything for which we are willing to alter our lives.",Oblomov_81,N/A
6,10,Not Sci-Fi?,"Some have claimed that ""Stalker"" is not a science fiction film. I'd say it's more of a science fiction film than most of what Hollywood passes off as part of the genre, most of which are simply action films with a sci-fi bent. Stalker is science fiction in the vein of the genres greatest writers like Phillip K. Dick and Stanislaw Lem.  It's pure science fiction, based on science, metaphysics and speculation, not some action fantasy or space opera that fits into the genre on the technicality that it takes place ""in the future"" or ""a long, long time ago"".   The film is slow...very slow but it has to be to put you into the mindset of the film.  After the opening 30 minutes the pacing actually draws you into the film in a more personal way more than any Cyborg-post-apocalyptic-hell crap Hollywood could spew out. This film is truly sci-fi, and truly great sci-fi.",smartestjane,N/A
7,10,great masterpiece from greatest director,"i want to say somethings about the most poetic,philosophical and intuitive director, tarkovsky and his movies ,especially Stalker.first of all, we must all know that, tarkovsky is not for all. his poetic understanding of life and human and putting this understanding to his movies is unique in the world for my opinion. one of the most poetic and philosophical movies of him, Stalker is that kind of movie. it is like a poem written with objects. we must feel before we try to understand.opening sequence of film contains some kind of expressionist objects with related the moral and inner conditions of the people living in the town . the ""dirty"" black and white take gives the viewers ,the mood of people having nothing to live, nothing to believe and nothing to give others.and the aggressive green take in the ""zone"" gives another vision of the life. the camera moves very slow to make us to go into to film and feel the film. tarkovsky's usage of objects and colours is very different and that is why i think he was a cinema poet. on the other hand, in addition to this ""poem written with objects"", the film also has very deep philosophical content. what is life,what is human, what is goodness, what is selfishness, what is devotion, what are the bases of our civilizations etc. and people are made to think all these things, not mostly with dialogs but with objects and colours and complete vision.for example, the three objects shown while the camera goes into the water ,but actually to the heart of human being and we see one cringe, one gun and one religious icon. and these are the metaphors of the human civilizations for my opinion. and all the journey into to the ""zone"" and finally ""room"" , actually done into the human being. into our selfishness,into our subconsciousness, our badness,our goodness, our weak and strong parts. actually i can feel that , the things searched in this movie are our lost innocence . the stalker is the only people who believes something and needs to believe .and actually the journey itself is a fake. to go to the truth,faith,justice, goodness are being related with innocence in that movie. the microcosms shown poetically in the water is another metaphor shows human being's selfish behaviour. because human, destroys the things,destroys the innocence, destroys the world living around them.our today's civilization broke our strong cooperation with nature and changed this relationship to a nature disaster. the movie gives the message of the need of mercy to all the living and even non-living things in our nature. because human being's salvation is only related with that.and the need of hope, need of believe is human being's basic needs. and our modern world destroyed all the hopes and believes. the movie contains metaphors making us to feel and think about those needs.and the most critical thing is felt in the film that self-denial is the basic need in our world.and unfortunately this value is lost and needed to be re-gain.i can tell about all the metaphors in the movie but no need. because every person understand those things different like kafka's novels. and we just need to watch the movie with no prejudice but with open heart.i recommend this film to all the cinema-lovers. i recommend also not to try to understand this film. only leave yourself to this great poem and it will give you all you need.",envergulsen,N/A
8,10,It is high art - pause anytime during viewing and enjoy,10/10It is high art - pause anytime during viewing and enjoySpoiler,ooose,N/A
9,N/A,An interesting interview on the DVD,"The Region 2 Artificial Eye DVD includes interesting interviews with the cameraman and production designer.  The production designer reveals that the film was completed only to be destroyed because it had been shot on experimental Kodak and couldn't be developed - a whole year's work was ruined.  He proposes the possibility that the authorities of the time didn't want it to be developed.  The incident nearly destroyed Tarkovsky.  He was finally persuaded to go back and film a new Stalker, this time on a shoestring budget.What does the film mean?  Ask me again when I've watched it maybe ten times.Certainly the Zone means more to Stalker than the Room.  The Room is his living, but the Zone is an escape, a sanctuary from the noisy, industrial rusting slum where he lives (captured brilliantly in metallic sepia).  In the Zone everything eventually returns to nature - like a pastoral coral reef growing on a battleship lichen and mosses engulf factory buildings and tanks.  His first action on arriving there is to leave the other two occupied while he communes with the natural things growing in the zone, the grasses, the dew, the soil, the tiny worm that dances head-over-tail down his hand.A beautiful, great and puzzling film.  But then if it revealed all its secrets straight off then, apart from the beautiful visuals and the soundtrack it would be pointless watching it again.  Great art only leaches out its secrets gradually and only to those with the desire to learn them.",Kenny J,N/A
10,10,Stalker is not boring,"It seems to me that I see Tarkovsky' movies differently from many other people. For me this film is not ""too long"" or boring. For me this is one of the best movies ever made.Western culture has a very long tradition of film-making. Usually typical western movie is focused on ""story"". (Of course - not always) The sharpness and tension of the movie are achieved by the big number of cuts or by the fast varying of shots or by the sudden varying of plans or by some surprising angle of camera etc. Tarkovsky don't like cuts. The number of cuts is minimal. His camera is moving like in dream (Bergman envied Tarkovsky for that), it has no angles at all. Colours are pale, ""dirty"", very tender, soft, almost black-and-white.In a typical western movie dialog is followed by the camera. Picture is illustrating text and is subordinated to it. In Stalker text and visual image are coexisting, cooperating with each-other. Both are moving on their own ways but at the same time, somehow - harmonically. Text and picture are not subordinated, they are both independent.Why is Tarkovsky using such a weird language? Surely not only because he wants to opposite the dogmas of western cinema. He has a positive message too. Audience of his films has to understand his films not only at the level of thinking or emotions, but at the level of much deeper consciousness. Therefore watching his movies means rather meditation than watching-TV-and-eating-popcorn. The purpose of Tarkovsky's films is to loose the mind of audiences, to wake it up to much deeper attention. So that audiences can simply watch and see.Stalker is not an entertainment and is not supposed to be. It means there is no sense at all to watch Stalker, when you need some amusing entertainment. Stalker is a serious movie. It is very narrow-minded to evaluate movies on the assumption of entertainment only. Of course, we live in the world of movie-consumers, produced by powerful film-companies, demanding more and more and more exciting entertainment. Consumer doesn't understand this movie. For him it is big bore.",peeter-piiri-001,N/A
