id,user_rating,review_title,review_text,author,date
1,7,"I know its a little weird that I broke into your house in the middle of the night, but I am only here to tell you that your own son is an absolute lunatic. And I have a gun","7/10I know its a little weird that I broke into your house in the middle of the night, but I am only here to tell you that your own son is an absolute lunatic. And I have a gunSpoiler",maxbinnewies,N/A
2,8,Walker's Movie,"When it comes to Cinema's hall of fame of screen villains Robert Walker's Bruno Anthony has to rank up there with the best of them. Outwardly harmless, he possesses the twisted psyche of a spoiled mummy's boy who is all too willing to resort to murder to get his own way (sounds a little like Norman Bates, doesn't it?).Walker graces the role with sly hints of effeminacy that hint at his character's sexual orientation, something that in 1951 would have contributed to the overall impression of louche decadence. And what a loathsome creature he truly is, almost toadying towards tennis player Guy Haines as he ingratiates his way into the hapless athlete's life only to turn it upside down with his diabolical 'criss-cross' plan. To be fair, Haines is a tailor-made victim, and the passive indecision of his character is perhaps the film's biggest flaw. As others have no doubt noted, Haines would only need have gone to the police to sort everything out because Bruno's suave mask is clearly as fragile as an eggshell, and even a novice interrogator would quickly determine that something's not right about him.As murder plots go, it's not a bad idea – apart from the unlikelihood of two like-minded strangers meeting, discussing and then agreeing to such a plot in the first place. Bruno takes the vaguest of affirmations – distractedly delivered by Haines to shake him off – as confirmation that his plan is a goer and promptly murders Haine's estranged wife in a justifiably famous fairground murder scene.The psychological subtext is laid on pretty thick for an early fifties film, making it a piece of work that rewards repeated viewings. Walker's character grows increasingly menacing as the film progresses, not through any changes of attitude or manner on his part, but because of what the audience learns about him as the story unfolds. For the most part, however, his role in the film is simply as a villainous foil for the clear-cut Haines, which is a shame as it would have been interesting to see just how Bruno became as twisted as he was. Nevertheless, Strangers on a Train deserves the classic status it enjoys, and is worth a couple of hours of anybody's time.",JoeytheBrit,N/A
3,8,A stunning thriller from the master of suspense,"Alfred Hitchcock has made many brilliant thrillers, and many of them have gone on to be hailed as some of the greatest films of all time. One film that tends to get somewhat lost under the Vertigo's and the Psycho's is this film; Strangers on a Train, the most compelling film that Hitchcock ever made. The story follows Guy Haines, a tennis player and a man soon to be wed to the Senator's daughter, if he can get a divorce from his current wife. One day, on the way to see his wife, he meets the mentally unstable Bruno Anthony aboard a train and soon gets drawn into a murder plot that he can neither stop nor stall; and one that could ultimately cost him his life.The conversation aboard the train between Bruno and Guy is one of the cinema's most intriguing and thought provoking of all time. What if two people ""swapped"" murders, thus resolving themselves of all suspicion of the crime, and rendering their motive irrelevant? Could this truly be the perfect murder? What makes this film all the more frightening is that the events that Guy is lead into could happen to any, normal everyday person. Everyone has someone they'd like to get rid of, so what if you met an insane man aboard a train that does your murder for you and then forces you to do his? The chances of it happening are unlikely, but it's the idea that anyone could be a murderer that is central to the message of Strangers on a Train; and in this situation, anyone could.Is there any actor on earth that could have portrayed the character of Bruno Anthony any better than Robert Walker? The man was simply born for the part. He manages to capture just the right mood for his character and absolutely commands every scene he is in. The character of Bruno is a madman, but he's not a lunatic; he's a calculating, conniving human being and Robert Walker makes the character believable. His performance is extremely malevolent, and yet understated enough to keep the character firmly within the realms of reality. Unfortunately, Robert Walker died just one year after the release of Strangers on a Train, and I believe that is a great loss to cinema. Nobody in the cast shines as much as Walker does, but worth mentioning is his co-star Farley Granger. Granger never really impresses that much, but his performance is good enough and he holds his own against Walker. Also notable about his performance is that he portrays his character as a very normal person; and that is how it should be. Ruth Roman is Guy's wife to be. She isn't really in the film enough to make a lasting impression, but she makes the best of what she has. Alfred Hitchcock's daughter, Patricia, takes the final role of the four central roles as Barbara, the sister of Guy's fiancé. She is suitably lovely in this role, and she tends to steal a lot of the scenes that she is in.Alfred Hitchcock's direction is always sublime, and it is very much so in this film. There is one shot in particular, that sees the murder of the film being committed in the reflection of a pair of sunglasses. This is an absolutely brilliant shot, and one that creates a great atmosphere for the scene. Hitchcock's direction is moody throughout, and very much complies with the film noir style. The climax to the film is both spectacular and exciting, and I don't think that anyone but Hitchcock could have pulled it off to the great effect that it was shown in this film. It's truly overblown, and out of turn from the rest of the movie; but it works. There is a reason that Hitchcock is often cited as the greatest director of all time, and the reason for that is that he doesn't only use the script to tell the film's story, but he also uses to camera to do so as well. Strangers on a Train is one of the greatest thrillers ever made. Its story is both intriguing and thought provoking, and is sure to delight any fan of cinema. A masterpiece.",The_Void,N/A
4,9,This film didn't meet my expectations... it exceeded them,"Strangers on a Train directed by Alfred Hitchcock is a crime drama, which follows a tennis star who is recognised by a stranger. Their compelling conversation on the train is followed by a series of deranged events, which immensely torments the tennis star, unexpectedly placing him on the cusp of crime. Going into this film I was expecting great things. Although this film didn't meet my expectations... it exceeded them. Where can I start. The performances are all outstanding. The black and white cinematography is creative, expressive and beautifully artistic. This film contains sequences which are so thrilling, I was genuinely invested, due to how well they hold up. I particularly loved the subtle visual imagery and symbolism which enforces a major concept explored in the film. Strangers on a Train has you invested for the entire runtime. The script is so riveting, as it explores a range of tones without ever slowing down. Many individuals today refuse to see films which are black and white, believing that they are not entertaining. Strangers on a Train rebukes that misconception on every level. This film is an incredible film making achievement so therefore I give it a 9.",charbelelaro,N/A
5,10,Magnificent absurdist fantasy.,"One would have expected Hitchcock's return to major studio filmmaking to err on the side of chastened caution.  Surely few expected his most riotous, unrestrained film, a gleeful melange of vicious black comedy, exciting suspense, mocking manipulation, and astonishing flights of fancy.  But that is precisely what they got: STRANGERS ON A TRAIN.What is remarkable is how much Bruno's transgression disrupts the world of the film.  Much has been made of the masterly crosscutting motif, but its immediate effect is to completely obstruct the straight line of progress Guy is making of his life, and hence the society he represents or is eager to join.  Guy is the archetypal American, the working-class boy made good, moving in influential circles, athletic, successful, handsome.  Bruno is his destructive opposite, gay, decadent, 'European' (he lives off his father, in a Big House, and just lounges about dreaming of murder).  Bruno's life is one of repetition, circularity, whereas Guy moves straight ahead.  It is Bruno's achievement to move Guy into his realm (represented by the merry-go-round) and force HIM to transgress (break the law, hope for murder (Bruno's)).Bruno is quite literally fighting patriarchy.  All the authority figures in the film are criticised - Bruno's father, a man whose brutality we get a glimpse of, but the true horror of which is constantly alluded to in the film (especially in Aunt Clara's paintings - that incredibly intense negative energy must come from somewhere); Anna's incredibly Machiavellian, self-serving father; the insensitive judge who thinks nothing of lunching after an execution; the tennis commentator whose smugly authorative comments are always mistaken.  Far from being the mother-hater of legend, Hitch, as Robin Wood perceived, is deeply hostile to fathers and patriarchy.Bruno's transgression turns the world topsy-turvy.  This is Hitch's most surreal film.  Whenever Guy is in his plot, he is filmed straight, with conventionally romantic music.  But whenever Bruno intrudes, the atmosphere becomes carnivalesque, bizarre, much more fun.  This is Hitch's first truly American film, revelling in the primitive detritus of Americana.  Grown men puncture little boys' balloons, or try to throw them off merry-go-rounds. Distinguished professors of mathematics sing about goats on trains.  Elderly society matrons are strangled at elegant soirees.  Washington is filmed like a series of spare lines in a vast desert under a huge sky, like a haunting Dali painting.  There is one of the greatest, and funniest, scenes in all cinema when we see a motionless, smiling Bruno in a sea of turning heads at a tennis match, an image worthy of Magritte.  Just look at any scene with Bruno in it, and watch it derail into the bizarre.Phalluses abound in the most ridiculous permutations - check all those balloons (Hitch had obviously just seen THE THIRD MAN) - as well as in more staid environs: Washington will never look the same again.  STRANGERS is also, VERTIGO notwithstanding, Hitch's most overtly sexual film - as well as the phalluses, there is the sustained homoeroticism, the remarkable play with 'riding' horses; the gobsmacking fellatio joke when Hitch's daughter spills powder over the policeman.And yet Hitch doesn't stint on good old suspense.  In the very proper endeavour to show what a great artist he was, critics tend to overlook what made him famous in the first place.  Much has been made of Bruno as a prototype of Norman Bates, and Hitch plays merry havoc on audience identification, willing Bruno into murder.  There is a hilariously painful sequence where Bruno loses the lighter with which he intends to frame Guy down a drain.  The gasps of tension and sighs of relief on the part of the audience I was a part of in support of an insane murderer is inherently funny, slightly disturbing, and highly revealing about our true reactions to conformity and success.  And Hitch milks it with callous glee - listen to the mocking music and exagerrated compositions, and kick yourself for taking it all so seriously.STRANGERS is one of Hitch's five best films, and therefore one of the greatest things in cinema.  The dialogue is so strange and brilliant, I can't believe it wasn't written by Chandler.  Patricia Hitchcock is a wonderful imp, standing in for her cheeky father as she taunts Guy.  The fairground finale is a remarkable, dizzying fusion of exciting, tense set-piece, black comedy and symbolic site.  If Bruno's final words condemn him to hell (according to the Catholic precepts Hitch is supposed to embody: compare with a similar ending in THE KILLERS), we applaud his integrity, infinitely preferable to Guy's debased serving of self.",alice liddell,N/A
6,N/A,One of Hitchcock's finest achievements,"""Strangers on a Train"" is a brilliant example of what Hitchcock could do best, continually develop his plot and characters in an atmosphere both creepy and humorous. The film has great dialogue, superb characters, good acting, and naturally superb direction from the master of suspense who is truly at his best here. Robert Walker's Bruno Anthony is a character few will forget; he is creepy, psychopathic, and as M. Night Shyamalan says on one of the DVD's special features it is the fact that he has moral standards, however unconventional and disturbed they may be, that makes him such a dangerous man.Strangers is a truly involving film, one that takes you on a ride you won't forget anytime soon, it has one of the best examples of buildup you could find on film, and as soon as it ends the film takes you on a journey that entertains and terrifies and even makes you laugh. This is a truly brilliant example of film-making, every shot is drenched in suspense, every cut is masterful, every detail important, every second exciting, it never lets go till the very end, and what an ending that is, a delicious bit of humor that is perfectly in tone with the rest of this delightful masterpiece.Some have criticized Farley Granger's performance as Guy Haines, but it really is quite perfect; he delivered all his lines well and makes us feel honestly sympathetic towards him. Robert Walker is simply genius as Bruno Anthony, a great character that wouldn't have been nearly as memorable without Robert Walker's devilishly evil portrayal of him. The supporting cast are good, Ruth Roman, Leo G. Carroll, Kasey Rogers, Howard St. John and Patricia Hitchcock all deliver good performances that enhance what was already a good film and make it a great film. Alfred Hitchcock's direction is, as always, sublime.What makes ""Strangers"" so good is the simple plot. It isn't a complicated story, two strangers meet on a train, and one comes up with a crazy plot: ""You do my murder, I do yours."" One takes it as a joke and shrugs it off, but the other takes himself seriously and goes on to commit the murder he offered to, getting the 'good guy' into huge trouble. The script is adapted superbly well by Whitfield Cook from a novel by Patricia Highsmith.This is really one of Hitchcock's most interesting films from a technical perspective while also providing more than enough laughs, suspense, and thrills to keep just about anybody engaged.10/10",ametaphysicalshark,N/A
7,10,Amazing performance by Robert Walker,"""Strangers on a Train"" was one of those film classics I had always heard about but somehow never gotten around to actually seeing. I finally watched it a few weeks ago and, as always with any Hitchcock movie, it not only stood up to the test of time, it far surpassed most thrillers being made today. You can see the inspiration for future action movies here - the climactic ending with the out-of-control merry-go-round and the two villains dueling each other reminded me of the big action sequence at the end of Jan de Bont's ""Speed."" Of course, ""Strangers"" is over forty years older than ""Speed"" and contains no modern special effects, but the visceral thrill is there - Hitchcock was a true genius.The not-so-subtle gay side of Bruno (Robert Walker in an amazing performance) has taken form in many other psycho-stalker-figures in future movies. Consider him a male version of Jennifer Jason Leigh in ""Single White Female."" He knows about Guy before he even meets him on the train - we almost get the feeling their contact isn't incidental - and is soon entirely obsessed with him.Hitchcock loved the Oedipial elements in his movies (also see ""Psycho"" for more blatant undertones) and there's a lot of that here. Bruno hates his father and wants him to die so he can be with his mother. His effeminate ways and obvious homosexuality must have just slipped by the censors in 1951, when gays were not ""allowed"" to be portrayed on the screen - yet Hitchcock gets the message through effectively when we see Bruno in the lounge on the telephone wearing a very non-masculine robe, flirting with Guy and responding to his mother.The deep layers of this movie make it a fast-paced thriller than you can return to again and again - unfortunately it's being remade as a big-budget Hollywood production, but after seeing the original I honestly can't imagine anything surpassing the sheer white-knuckle thrills of this movie.",MovieAddict2016,N/A
8,8,Hitchcock at his best,"'Strangers On A Train is rarely mentioned as the best movie he made but it is definitely one of his finest. I have watched a few of his movies recently and I regard this as better than 'North By Northwest', 'Notorious'. 'The Wrong Man', 'Vertigo', 'Spellbound', 'Rope'. Indeed I would put it right up there with 'Psycho',Robert Walker is simply fantastic as the psychotic Bruno and why he wasn't even nominated for an Oscar is ludicrous. The fact that he died in tragic circumstances not long after this movie was finished compounds the fact that he had an amazing career ahead of him. Also I must give mention to Patricia Hancock who gives a really fine performance as Babs. Every actor is on point here and there are so many memorable scenes.'Strangers On A Train' is a good movie, it really is that simple. A director at the peak of his powers and a performance from Robert Walker that lingers in the memory.",antide-42376,N/A
9,7,It's 'all change' for the final act.,"Strangers on a Train boasts a neat central idea (the 'swapping' of murders), several classic Hitchcockian moments, and a fine performance from Robert Walker as psychotic socialite Bruno; but despite these admirable qualities the film fails to qualify as a complete success thanks to a severely flawed final act that makes one wonder what the hell Hitch was thinking.Farley Granger's tennis-pro Guy Haines being coerced into discussing murder by charismatic lunatic Bruno—all well and good. The nutter carrying out his side of the plan as discussed—great stuff. Haines afraid to go to the police for fear of being implicated in a murderous pact with a clearly deranged Bruno—hey, why not? People don't always make the wisest of decisions when under pressure.The whole ridiculous fairground finale, however, cannot be so easily brushed aside. Bruno develops telescopic arms, the police act like bumbling trigger-happy fools, and a merry-go-round achieves warp-speed before a toothless old guy confuses a self-destruct lever for the brake. It's like something out of a fever-dream—illogical, perplexing and utterly deranged—a dreadful way to end what was proving to be a very enjoyable thriller.6.5 out of 10, rounded up to 7 for IMDb.",BA_Harrison,N/A
10,8,Still A Memorable Movie,8/10Still A Memorable MovieSpoiler,ccthemovieman-1,N/A
