id,user_rating,review_title,review_text,author,date
1,9,A wonderful conclusion to a wonderful trilogy.,"After eight years in seclusion, Batman resurfaces to face Bane, a mastermind bent on destroying Gotham and has ties to Bruce Wayne's past. Christopher Nolan's conclusion to his Dark Knight trilogy should be treated as a wrap up rather than a third installment. Despite many new characters being introduced, even their conflicts and motives are derived from events that occurred in the previous two films. Such an approach could be seen as a weakness, since the conflict could just end up being sort of a rematch rather than moving the story forward; however, Nolan's approach works terrificly. Over an hour is shot in stunning IMAX, but the film is more touching than it is intense and that's its best quality. Hardy steps in as the genius mercenary Bane, who is slightly bigger, slightly stronger and slightly smarter than Batman, thus making him a challenge best suited for the grand finale. The Joker works best as Batman's arch-nemesis since they are polar opposites, with The Joker standing for everything Batman stands against. Two-Face works best as Batman's most tragic enemy because Harvey Dent is very much like Bruce Wayne the only difference is: Dent copes with his tragedy through revenge rather than seeking justice as Wayne did. Bane works best as Batman's most challenging villain because of his physical and mental superiority—forget the Bane you saw in ""BATMAN & ROBIN"". Nolan carefully chose all his villains in the series wisely and executed them perfectly. Hardy had big shoes to fill following Ledger's posthumous Oscar winning performance; while Bane is no Joker, Hardy does a satisfying job and should not be compared to Ledger's performance as they are completely different roles. It is Michael Caine, however, that delivers the most memorable and touching performance of the entire film. A wonderful conclusion to a wonderful trilogy.**** (out of four)",Geeky Randy,N/A
2,9,Epic,"The Dark Knight Rises was a perfect sequel to a masterpiece. Christopher Nolan took a different direction and focused more on Bruce Wayne/Batman. This movie is filled with lots of emotions. It has such great characters and of course the dialogs is so good. The performances are incredible. It was my most anticipated movie of the century. The more I watch it, The more epic it gets. Personally, I think The Dark Knight Trilogy is the greatest Trilogy of all time and this movie gives the greatest ending of all time in the movie history. I remember seeing it thrice and the more I watched It the more respect it earns. Thank you Christopher Nolan, You Sir Are A Master.",CaptKeshav,N/A
3,9,What a way to end the trilogy!,"Possibly my personal favourite of the Nolan Batman films, and I do like Batman Begins and The Dark Knight very much. Is it perfect? For me, not quite, there are so many plot strand in a long running time that the film occasionally(and there is a big emphasis on that) sags in momentum and some of the strands in the ending could have done with more development. It is a brilliant film all the same, one of the highlights so far of the year. As to expect from Christopher Nolan, it is a visually audacious film, with gorgeous cinematography, a beautifully realised Gotham City and great special effects. Hans Zimmer's score is not one of his very best for me, but there is still an epic and haunting quality that is just perfect for this film. The dialogue provokes thought and makes an emotional impact, and a vast majority of the time The Dark Knight Rises is ambitious and gripping. I don't consider Christopher Nolan one of my favourites, this said he is a hugely impressive director who shows great ambition and a willingness to make his subject matters interesting. He does a really wonderful job here, as the set/action pieces including the plane hijack and Bane's assault on Gotham are enough to make the jaw drop. The performances are just terrific from all involved, Matthew Modine fares weakest but he is far from bad. Christian Bale is still a charismatic presence, Matthew Caine appropriately loyal and Gary Oldman and Morgan Freeman subtly understated. Joseph Gordon Levitt captures his character's idealism wonderfully. Tom Hardy is in beefed-up terrifying mode as Bane, a worthy successor to Heath Ledger's iconic Joker. Anne Hathaway was a curious casting choice, but as Catwoman she is spot on, here is a Catwoman who actually does much more than acting sexy(which she still is), she is very ruthless and no-nonsense here. All in all, a hugely impressive film, the best of Nolan's Batman trilogy- though I'm prepared for any flaming I'll get for this opinion- and one of the highlights so far of 2012. 9/10 Bethany Cox",TheLittleSongbird,N/A
4,10,Batman🦇,"Christopher Nolan's epic trilogy concludes in glorious fashion and gives us a thought provoking and suitably satisfying conclusion to an epic saga. It's emotional, intense and has a great villain in Tom Hardy.",0U,N/A
5,10,"As of 2023, still the standout Batman movie.","There's a storm coming .....Years after being villified, Batman is encouraged once again to come Gotham's aid, as it's in the grip of a group of mercenaries run by the villainous Bane.First of all, you don't have to be a superhero fan to enjoy this great movie, it truly does have the most broad appeal, there's something here for everyone to enjoy. If you liked the two preceding films, I figure you'll love this one, I'm a fan of all three, this is my personal favourite.It's a long movie, but it flies by at a canter, no single frame is wasted, it moves by at a terrific pace, it has incredible action sequences, but the story is terrific.It's really interesting to see Batman coming in from a position where he's decided and feared, he's no longer accepted as Gotham's hero and saviour.Christian Bale is the perfect Batman, and he is matched every step of the way by Tom Hardy. Hardy is off the charts as Bane, the last time we saw the character was back in The Batman and Robin film, perhaps best forgotten, here though he's an iconic villain.I can't speak highly enough of Bale and Hardy, but this is also, I think the best of Anne Hathaway, she is excellent here.A decade on, and this film is still fabulous.10/10.",Sleepin_Dragon,N/A
6,10,Stunning Conclusion to an Epic Trilogy,"Not being a huge fan of superhero movies, I didn't have much expectations for Batman Begins. However viewing the 2005 Christopher Nolan production, I was pleasantly shocked. Then after my huge expectations for, ""The Dark Knight"", Christopher Nolan blew my expectations to the dust. Will the same happen with the 3rd and last film, ""The Dark Knight Rises""? Quite simply, Yes! My big expectations were once again, blown away. What a production! This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The editing, sound, score, visuals, direction and action are all top notch.The film contains a fine cast of talented actors. Christian Bale, of course still makes is a great Batman. Michael Cain is fantastic, as he always is. He gives such a powerful performance, he really ought to be considered for an Oscar nomination. Tom Hardy as Bane is utterly terrifying, at times, and completely ominous. Anne Hathaway as Catwoman/Selina Kyle is a scene stealer. She is completely engrossing. Everyone is so great, the dynamic scenes between the actors are so well done, so well written, and so well directed. The Dark Knight Rises is is emotionally riveting and amazing to view.At a running time of almost 3 hours, the film never becomes dull, which is pretty impressive. The movie's action sequences are spectacularly well created and very intense. The dialogue between the character's are intelligent and highly believable. The movie's soundtrack is terrific and really exemplify's many of the movie's scenes. Extremely well editing and sound use really develop many of the movie's action scenes, so it's not just explosions and visuals like in many other movies. Nolan creates a grand, dirty, engrossing world, and his action sequences just hum.In conclusion, this film is a gorgeous reminder that great writing and direction can enhance any movie-going experience, even superhero movies, which are usually thought of as mindless entertainment. I am wholly satisfied with Christopher Nolan's vision and thank all who worked on this film for bringing such an intricate interpretation of its very famous literary source. I cannot recommend this film anymore than I have, I just have to say everyone and anyone should see it. 10/10""",Joaquin_Collete,N/A
7,10,Best comic movie trilogy ever,10/10Best comic movie trilogy everSpoiler,Maniac-9,N/A
8,10,My personal favourite of the trilogy,"I think as a film stand point, the dark knight is a better movie that is better acted and tense the whole way through. The dark knight rises to me is a more fun and action filled movie that you can sit back a bit more. The acting is still amazing and combined with the atmosphere/visuals of the movie creates a the sense of realism that the movie has. That realism is where the intensity stems from throughout the movie, the audience believing that something like this could actually happen makes it that much scarier. Bane is also an excellent villain, in the dark knight the joker challenges Batman mentally but Bane physically challenges him which is a completely new challenge for Batman. The plot is incredible, it it starts fast and instantly brings you into the action. It then takes a step back to develop the characters further and build up the challenge Batman has to face. Once one of the many challenges was overcome by Batman in launches the viewer straight back into action for one epic final battle that lasts almost an hour......and it is GLORIOUS! Not one second was I bored, it is truly incredible how each movie in the trilogy is this good, it shouldn't be possible. I've not even mentioned the incredible soundtrack to compliment the astounding yet grounded action. I can't compliment this movie enough. If you haven't someone seen this trilogy yet....watch it, you won't be disappointed.",Morejambo54,N/A
9,10,No one wraps up a trilogy like Nolan.,10/10No one wraps up a trilogy like Nolan.Spoiler,darkslash7,N/A
10,6,Dark Knight Rises - falls short of greatness,"I came out with slight disappointment after watching DKR for I had huge expectations from Nolan after an exceptional TDK.I am huge fan of first two installment of Batman Trilogy. I liked DKR, it's a good movie, but it could have been much better.So rather than discussing its merit, which are many, I am pointing out its shortcomings.It's the weaker than other movies of trilogy and simple reason being it lacks strong characters. DKR is all about storytelling, just like Nolan's Inception, but not as efficient. And in doing so, it fails where Batman Begins and The Dark Knight had succeeded.Batman Begins was all about fear, doubt, self-realization and redemption where Bruce Wayne discovers his destiny as Batman. BB had a story arc which set background for main characters - Batman / Wayne, Ra's al Ghul, Gordon (to some extent) and most importantly Gothom City and hence set stage for a fitting climax.The Dark Knight explores the theme of chaos, morality and belief effortlessly and establishes characters of Joker, Harvey Dent/Two Face, Rachel etc. So effortlessly that people choose to ignore even some major plot holes. Heath Ledger's interpretation of Joker was so mesmerizing that it single handily carried TDK to path of greatness/ critical acclaim.But Dark Knight Rises is all about story telling - efficient but not exceptional. Bane, Miranda Tate, John Blake, Peter Folly (Deputy Commissioner), Selina Kyle - characters are introduced but never explored/ expanded - they just start working on their part - just like cogs in the wheel. They are not so much part of the story itself but just the agents which move the story forward.Bane's character is dull and single dimensional and do not evoke any fear or awe. He's meticulous, intelligent and strong and this is established quickly in movie but after that he slumps into a just another movie villain. Taila / Miranda character is never fully explored. Even Wayne/Batman is devoid of any emotions in this one and he feels so sure of himself that I start wondering if it's the same Batman that I saw in first two installments. Only new character which had some shades was that of Selina Kyle and Anne Hathaway did justice to it. Add to that helplessness of Alfred portrayed superbly by Caine. Other actors are good but there's not much for them to do.There's no dilemma, choices, moral battles, hope, chaos or fear - things that make characters and plot interesting and which made Batman Begins and The Dark Knight really good movies. Even the theme of ""Occupy WallStreet"" is very weak and, at best, is closer to London riots with its looting and arson. There's even perfect order in Bane's revolution. Movie moves effortlessly from one plot to another and to climax that it become at times predictable.But maybe Dark Knight Rises was supposed to be like that only and Nolan had too much to deal with in 2.5 hours. And maybe that's the main problem with DKR - too much is going on in the story that it seems crammed at times. And when there are too many characters and so many story arcs, it's tough to do justice to characters and story telling at the same time.Dark Knight Rises have a good story but lacks strong characters and relies on Inception's style which incidentally differs from style of first two installments of Batman Trilogy.And for me, soul of Nolan's Batman Series is its strong characters, their underlying emotions and a theme which is much deeper and meaningful than all fight, gadgetry and style. And this is where DKR fails.6/10.",amrndr_,N/A
