id,author,date,user_rating,review_title,review_text
1,SnoopyStyle,N/A,8,the big lie,"Billi (Awkwafina) is a 30 year old pianist in New York City. She's struggling after being rejected for a scholarship. She and her parents moved to America when she was young. She is mostly Americanized. News come that her grandmother is dying of cancer. Her family agrees to go the traditional route of hiding the diagnosis from the dying grandma. They are going home to China to fake a wedding celebration. Billi is reluctant to go with the lie.This is a great cultural story. It's the Chinese culture but also the influence of Western culture. It's a family story. It's also Awkwafina's best acting performance yet. Her inner conflict and her family conflict are both very compelling. There are funny little insights. It's a very touching film. I would modify the ending a little. Looking back at Nai Nai as they drive away is such a powerful scene. The movie should probably end there. The scream is not a good way to end especially with the text reveal in the closing credits. If they want to go back to Billi for the ending, it should be something more positive considering what Nai Nai tells her during the banquet."
2,ethanbresnett,N/A,8,Beautiful,"The Farewell is such a great film. It opened my eyes to a very thought provoking element of Chinese culture and was full of poignancy, humour, and heart.We follow a family grappling with grief and the way that the film deals with this is so unique and engaging. All of the characters had a part to play in contributing to the story and adding to the film, but the central relationship is between Awkwafina's Billi and her grandmother. It's a very human, believable, and relatable relationship which drives the film and injects so much heart and emotion. It was beautiful to watch.The screenplay is quite minimal, with not a huge amount of dialogue, but it doesn't need it. It manages to convey its meaning and purpose through other mediums, and is highly accomplished in this way.I also loved the direction and cinematography of The Farewell. It felt very clean, very arty, and was just great to look at.A very powerful film exploring familial love and grief in a sensitive, unique, and tender way."
3,sheldonnylander,N/A,8,Beautiful an Heartbreaking,8/10Beautiful an HeartbreakingSpoiler
4,kluseba,N/A,8,Spend as much time with your loved ones as you can while you can,"The Farewell is a bittersweet Chinese tragicomedy that has the potential to become an Academy Award winner for Best International Feature Film. The movie revolves around an elderly Chinese lady who suffers from an incurable cancer. Her sister however hides this information from her and instead tries to bring all the family together for one last time. A hastily arranged wedding between a grandson and his Japanese girlfriend serves as purpose for the family members abroad to come back to Changchun. However, the burden of this lie is heavy and conflicts, confusion and misunderstandings soon occur.The most interesting question about this movie is how you would deal with a situation such as the one portrayed in this film if someone close to you were concerned and how you would like to be treated if you were in a similar situation yourself. The family members in this film try to carry the burden together and decide to not tell the aged grandmother that she is dying. There is no right way to deal with such a difficult decision. If you hide the truth, you might prevent the other person to live every day as if it were the last day and to say farewell. If you tell the truth, you will cause an immense emotional burden to the concerned person who will live in fear of dying every single day. The Farewell offers much food for thought and also shows how differently Western and Eastern cultures approach such a scenario.The acting performances in this film are outstanding. Every character has its own identity from the drunk war veteran who was in love with the elderly lady over the chubby grandchild who is addicted to technology to the deaf housemate who is the only one to mind his own business. Lead actress Nora Lum convinces as concerned granddaughter who disagrees with her family's strategy of hiding the truth from her grandmother and who also has some financial and social problems of her own. Shuzhen Zhao steals the show in her very first movie as headstrong elderly lady with a heart of gold.The movie portrays the differences between Western and Eastern cultures cleverly and also portrays how the Chinese society is changing. People have become greedy capitalists looking for financial opportunities abroad but also try to embrace their ethnic heritage at the same time. Changchun has developed from a rather small city with less than a million citizens to a gigantic city with close to eight million citizens in only fifty years. The movie shows how gigantic buildings and monuments have replaced small houses and gardens.The Farewell also has alight-hearted side and manages to cheer its audience up despite numerous heartbreaking moments. The subtle humour works very well and includes drunk war veterans declaring their romantic feelings, hilarious karaoke performances during the wedding and several running jokes in form of the careless deaf housemate and the disconnected overweight grandson.In the end, The Farewell is an emotional tragicomedy with a profound message: to spend as much time with your loved ones as you can while you can. As someone who is living abroad and far away from his family, I can truly empathize with the movie's meaningful message. Give this movie the chance to inspire your brain and warm your heart."
5,blott2319-1,N/A,9,Great look at family life differences in China,"The Farewell is a tribute to family and an exploration of what sets Chinese culture apart from our own. Writer/Director Lulu Wang drew upon the true story of her own grandmother to inspire this film, and the authenticity of the story shined through. There's something special going on in The Farewell, because I went through an emotional journey with the main character. It's strange how you can start the film feeling that this entire idea and the pretense of their trip to China is so wrong, and then end up seeing the value of it to the point that you don't want the charade ruined. I can't even point to a particular moment or event that was the tipping point which changed my mind, and I don't know if our main character could either. She is clearly transformed by this time with her family, and begins to see that the way of life in China is different, but that doesn't mean it's wrong. The other thing that was magical about The Farewell is that it managed to find humor in the darkness. It's not a big goofy and hilarious comedy, in fact I probably shed more tears than I laughed, but considering how this whole film could feel because of the subject matter, the fact that I was able to find joy in some moments was great.There were a number of great performances in The Farewell. I absolutely adored Shuzhen Zhao as the grandmother Nai Nai. She has such a delightful joy in her performance that you instantly fall in love with her. I think Awkwafina did a fine job as Billi, the protagonist. I did question some times if she was capable of portraying the layers of emotions that would be going through her character's mind, but she was good enough that she didn't take me out of the film. I also thought that Tzi Ma and Yongbo Jiang were marvelous as the two brothers who are trying to be the emotionless rocks for their family, and sometimes find that they too can't hide their feelings indefinitely. The Farewell also has a beautiful visual aesthetic, and I loved the way some of the shots were framed. There are a few scenes where just the staging and the way they cut to a shot made me laugh out loud. It's one of those movies where I felt there was a lot of thought and intention in the way things looked. Perhaps that comes from Lulu Wang visualizing these events so vividly from her past, and knowing how they needed to look and feel on the big screen. The Farewell is a heart-warming film that made me think about what I would do in the same situation, and made me cry a lot too. Getting me both emotionally and logically invested in the plot is an impressive feat."
6,Neon_Gold,N/A,7,It Will Break Your Heart but Will Leave You Wanting More,I don't really know how I can describe the feeling I felt at the end of the movie. It is heartbreaking especially one of the later shots but you kind of feel like you need more resolution or more of an end.And I know films don't always need a clear cut beginning and end but I just felt like the characters didn't really grow or change. Like I felt we ended exactly where we started the film. Like nothing changed.One more negative thing was the tone seemed a bit all over the shop. Very sad scenes would play out and then it would drop the dramatic effect for comedy and it just didn't seem to flow very well into each other. And some sequences just seemed like they belonged in entirely different movies like The Hangover or something. It was kind of strange.I actually enjoyed this movie believe it or not. You could tell it was lovingly made and was so personal. Awkwafina was great and so was Shuzhen Zhao. The films was best when them two were sharing scenes together. They made you feel how much the characters cared for each other.The score was also quite haunting. It fit the sombreness of the movie.So I would say you could watch it but you need to be in the right mood as it can get pretty sad.
7,proud_luddite,N/A,9,Outstanding Screenplay by Wang,"Billi Wang (Akwafina) is a young aspiring writer in New York whose family had immigrated from China when she was six years old. She maintains a happy telephone relationship with her paternal grandmother, Nai Nai (Zhao Shuzhen) who still lives in China in the city of Changchun. Billi's family has received news from another relative that Nai Nai is dying of lung cancer. The extended families travel to Changchun to celebrate the wedding of Billi's cousin although the collective intention is really to say goodbye to Nai Nai - while withholding the news from her that she is dying.Throughout the film - and especially by the end, it is very clear that is biographical and based on the experiences of the film's talented writer/director Lulu Wang. The story is rich for various reasons including its unique take on the universal theme of dealing with the impending death of a beloved elderly relative.Billi is also a stand-in for many ""new world"" North Americans who would find it terribly wrong to withhold from anyone the fact that they are dying. Her points are well expressed but so are the contradictory replies from her elders and those more in line with a Chinese cultural tradition of such secrecy. The reply to the question ""who's right"" is answered in Nai Nai's laid-back, content demeanour (when not coughing), totally oblivious to her diagnosis. This is one of the fascinating surprises of ""The Farewell"" in its acquiescence to old-world values in subtle ways. Here, Wang must be given credit for her humility. She seems to have nodded to a sarcastic quote attributed to Oscar Wilde: ""I am not young enough to know everything"".The main story is powerful enough; yet Wang adds to the wealth by delving into the immigration experience - for those who left their homeland as well as those left behind. Here again, she takes on a universal theme. In conversations and monologues, the viewer hears what it is like to lose all of one's children (two sons in this case) as they leave the homeland (Nai Nai's other son emigrated to Japan). Billi also has a powerful monologue of what it was like to leave behind an extended family and community when she was six. While intelligently avoiding platitudes, the film asks: is there really a 'better life' somewhere else?The fine cast does justice to Wang's eloquent story. Awkwafina fits well in the lead role and Zhao's Nai Nai is so loveable that she makes it very easy to see why so many would grieve her impending death. One particular scene stands out even though it is brief: Billi's mother (Diana Lin) quietly avoiding eye contact in a taxi while fighting back tears. In less than a minute, Lin conveys an experience of every adult at least once in our lives. - dbamateurcriticRATING: 9 out of 10OUTSTANDING ACHIEVEMENT: Screenplay by Lulu Wang"
8,Pjtaylor-96-138044,N/A,7,Go and see your grandma.,"'The Farewell (2019)' is proudly based on an actual lie, one told (and apparently maintained to this day) by director Wang's own family. It's perhaps no wonder, then, that the film feels so thoroughly realistic, despite its somewhat outlandish central conceit. It's, essentially, a slice-of-life drama concerning a worldly Chinese family's attempts to grieve in secret, focusing specifically on Chinese-American Billi as she tries her best to conflate her 'westernised' ideas with her family's 'eastern' wishes. This theme is delicately explored and its conclusions are wonderfully accepting, but it sits firmly as the backdrop for the sometimes strained, yet always loving, family dynamics on display. Everything just seems so grounded, with relationships that feel so lifelike you could almost swear they were real. This makes the experience subtle yet stirring. Often, it mirrors everyday life all too closely. The piece isn't always riveting, or ever conventionally exciting, but it's always enjoyable and often emotionally resonant. By its end, it's hard not to have been moved. In fact, you may not realise just how much it has touched you until just before its credits roll. 7/10"
9,bob-the-movie-man,N/A,10,The Long Goodbye.,"Billi (Awkwafina) is a young Chinese New Yorker struggling to make her way in the world. She has a place of her own to distance herself from her parents - Haiyan (""Arrival""'s Tzi Ma) and Lu Jian (Diana Lin) - but is struggling to fund it. But despite a typically spiky teenage relationship with her parents, family is important to her.There's a big shock then when her beloved ""Nai Nai"" (Shuzhen Zhao) is diagnosed back in China with terminal cancer. The slight complication is that no-one has told her. Her younger sister (Hong Lu) has taken the decision to keep the news from her. This is in line with the Chinese saying ""When people get Cancer they die"". (Based on the rationale that it is not necessarily the disease that kills you, but the fear that destroys your useful life).The whole extended family sign up - reluctantly - to the decision. They stage a final get together back in China around the pretence of a trumped-up wedding. This is between the comically reluctant grandson Hao Hao (Han Chen) and his new Japanese girlfriend Aiko (Aoi Mizuhara).Faced with seeing Nai Nai face-to-face, and being forced to ""celebrate"" together, can the family - and the emotionally attached Billi in particular - hold it together and keep the secret?You might naturally assume that given the subject matter that this was going to be SERIOUSLY heavy going. And in many ways you would be right. Most of us over 50 will have lost an elderly relative. And, unless it was a sudden event, you have probably been through the mental pain of having to drive away from a nursing home certain that that will be the final time you will see your loved one alive. If you are therefore not affected by this film, you are not human.However, the film is so beautifully put together, and the comedy - albeit some of it very dark - so brilliantly inserted that the film is an UTTER DELIGHT from start to end. There are truly insightful scenes that get under the skin of the well-developed social approach in China to family. (Like my wife they love big family dinners around a round-table!) Although there is always the teen - Bau (Jinhang Liu) in this case - with his face permanently in his phone!There are also scenes familiar to anyone who's visited China. The gaggle of ""helpful"" taxi drivers outside the airport made me laugh out loud.Also (unintentionally) funny are the multiple company logos at the start of the film. (This is reminiscent of a classic ""Family Guy"" scene).For such a 'small' film, the scale is sometimes truly cinematic. Director and writer, Lulu Wang, achieves some gloriously memorable movie moments. A stony-faced, determined march of the key players towards the camera - which could be subtitled ""The Magnificent Eight"" - is slo-mo'd for about 30 seconds and is utterly mesmeric. And a scene at a cemetery is a comic masterpiece of Chinese tradition. Bau of course still has his face in his phone throughout!This is only Lulu Wang's second feature, but it makes me now want to check out her first film (""Posthumous"").What I found particularly interesting is that the film is truly multi-cultural. It's not an American film with some local content crudely inserted to cater for the Far East markets. The film is an almost equal blend of American language and Mandarin language with subtitles.Lulu Wang is also not afraid to upset officials in either country. Which is better: US or China? The question keeps getting posed to Billi and discussed among the family. And - as you might expect - there are positives and negatives on each side. The film doesn't really take sides. It's a really balanced position to take.The music is by Alex Weston, and its one of the stars of the film. It's truly quirky with everything as diverse as a vocalised version of Beethoven's Sonata No. 8 ""Pathetique""; a karaoke version of ""Killing Me Softly""; and a hugely entertaining Chinese version of Niilson's ""Without You"" over the end titles.It's a brilliant ensemble cast (SAG awards, are you listening?), and everyone pulls their weight. Even the minor members of the cast are superb: Aoi Mizuhara in particular displays acute awkwardness brilliantly!But leading the charge is Awkwafina. She was in the disappointing ""Ocean's 8"" but much more memorable in ""Crazy Rich Asians"" as Rachel's wacky Singapore friend. Here it's a bravado performance that is genuinely moving. She IS the slightly sulky but emotionally crushed teen.""Sub-titles? I don't do sub-titles"" - Get a grip! Yes, this is a film that has sub-titles. But it uses them when required (unless you happen to be fluent in Mandarin that is!). There is also a large percentage of the film that is in English. It's all eminently watchable, even for ""sub-title-phobes"".This is a feelgood film about a tough subject. The ending of the film pulls off the trick of being both devastating and uplifting at the same time.So get yourself to the cinema and see this film! Without question, it gets my ""highly recommended"" tag. It's also firmly placed itself very high up in my ""Films of the Year"" list.And it's all ""based on a true lie""!(For the full graphical review, please go to One Mann's Movies on the web or Facebook. Thanks)."
10,phd_travel,N/A,6,Serious movie not a comedy,6/10Serious movie not a comedySpoiler
