id,author,date,user_rating,review_title,review_text
1,MadReviewer,N/A,10,"Brutal, brilliant, and one of the best Westerns ever made","A sprawling Western epic that follows the adventures of three gunfighters looking for $200,000 in stolen gold, Sergio Leone's `The Good, the Bad, and the Ugly' is a masterpiece, one that continues to get better and better with each viewing.  In a way, it's a morality play, weighing the consequences of good and evil, but it does so in a realistic manner.  Sometimes, crime does pay, at least in the short term, and sometimes good does go unrewarded. This film probably signaled the death knell of the traditional John Wayne `White Hat/Black Hat' Western.The three main characters make the film.  Lee Van Cleef (`The Bad') is evil personified.  Totally ruthless, he'll do whatever it takes to get what he wants.  Clint Eastwood (`The Good') is the Man With No Name, not really `good' in a traditional sense . . . but he has a certain sense of honor and tries to do the right thing.  (Watch the scene when he gives a dying Confederate soldier a puff of his cigar - powerful, and it sums up everything that the Man With No Name is all about, without saying a single word.)  Eli Wallach (`The Ugly') is Tuco, and he's easily the most complex - if not the best - character in the film.  All impulse and rage, Tuco spins wildly throughout the movie, stealing, lying, pretending to be Clint Eastwood's best friend in one scene, trying to kill him in another - Tuco truly represents `the ugly' side of people.The movie is long, but there's not a wasted scene in the film.  Each one slowly lets the film unfold with a certain style and grace, revealing more about each character and what's going on.  The pacing is incredible, as is the direction - Sergio Leone manages to build a lot of uncomfortable tension in the film, keeping the film from ever getting predictable.  Any typical Western cliché that you can possibly think of is either given a unique twist or utterly destroyed by Leone's masterful storytelling.  Of special mention is Ennio Morricone's score, which is absolutely perfect.  Two scenes - one in a Union prison camp, one in the climatic gunfight in the cemetery at the end of the film - are amazing on their own, but they become absolutely astonishing with combined with Morricone's powerful score.This movie is absolutely brilliant.  If you haven't seen it yet, I strongly urge to do so.  Immediately.  (And then, go watch `Unforgiven' . . . in a way, I think that `Unforgiven' is the sequel to `The Good, the Bad, and the Ugly - it's the story of what eventually happened to the Man With No Name.) `The Good, the Bad, and the Ugly' is easily one of the best Westerns ever made.  A++"
2,steven-f-freeman,N/A,10,Primal honesty and morality,"After many years of barely watching any movies, I treated myself to several classics recently. And this was the best.That I so enjoyed this movie so much came as a shock to me. I literally never before have been able to even sit through a western, which (in my admittedly limited experience) was schlock action starring John Wayne as the taciturn all-American good guy being tough and beating up the outlaws. Watching GBU, I was enthralled for the entire three hours. Twice. And if I had time, I would have watched it a third time.The setting is typically western: a dry, dusty panorama in which men barely co-exist with each other; few wasted words; and lots of action, horses, and gunfighting in a wild west barely governed by incipient institutions of law & order  all shrouded within a morality play of good vs. bad. But what I liked so much is exactly what I hate about John Wayne westerns  the seriousness and honesty with which moral context is considered. In Hollywood, good vs. bad is as thoughtlessly superscripted as the protagonists' white and black hats. In GBU every remnant of moralizing has been ruthlessly cut.Good, Bad, and Ugly are personified in the form of three characters: Bad (""Sentenza"") is the easiest to understand. He is *very* bad, perhaps not so different from other villains, but much more sharply developed; murderous, sadistic, traitorous, and remorseless. Good (""Blondie"") and Ugly (""Tuco"") are more puzzling, but their labels are the key to the movie. Both Blondie and Tuco are outlaws and killers with only the barest hint of morality, but they're not evil in the same way that Sentenza is. Tuco is demonstrative, emotional, loud, wild, and unpredictable; but driven by survival rather than satanic urges. Blondie is cool, calm, rational and controlled  in many ways similar to Sentenza  but whereas Sentenza tortures, maims, kills, and lies for the hell of it, even apparently enjoys it, Blondie simply goes about his business coolly, and shows several poignant hints of empathy, decency, and a sense of justice.GBU takes place during the Civil War and strips away the high-level political struggle of history books, leaving us with the soldier's vantage point of brutality, pointless death, and some individual decency. The politics are indecipherable from this vantage point. GBU hits this point home when our protagonists wind up in a prison camp because the oncoming gray cavalry uniforms turn out to be dust-covered blue. Later, they encounter an army fighting over a worthless bridge, suffering countless pointless deaths and casualties. Because Leone has so rigorously excised traditional off-the-shelf morality, the few instances of humanity are remarkably poignant. One such instance is when Blondie shares his coat and cigar with a dying soldier; another is when prisoners are forced  by Sentenza's orders  to play music to cover up the screams of the tortured. Sentenza apparently enjoyed the irony of beautiful sounds used for such ends; the musicians are, of course, pained by it.That was one of many extraordinarily striking scenes. The honesty of the moral context was what I liked best about the film, but I liked everything else too. Indeed the same primal, ruthless honesty that characterizes the character development pervades the film. The music is unlike anything I'd ever heard  it's an audible version of the arid west and the tensions and lawlessness that characterize the film. Underlying the entire score is one instantly memorable theme starting off with what sounds like a screaming hyena. The story took place in New Mexico, and even though it was filmed in Spain, it really does look like New Mexico; and just as in life in the American west, the wide, breathtaking panorama tends to subordinates dialog. Indeed, it is several minutes into the film before even one word is spoken.The plot was extremely clever  and never predictable. High level suspense is maintained for the full three hours. It was hard to imagine how it could unfold  three uncompromising outlaws in search of one buried treasure; cooperation was not in their nature, but nothing was ever done out of character. Any Western cliché that you can think of is either given a unique twist or destroyed by masterful storytelling. For example there is an utterly irreverent scene in which Tuco meets his brother, a sincere Priest, and turns platitudes upside down. The brother begins with the standard rebuke of the criminal's behavior, but Tuco punches back and says, ""Where we come from there were only two ways out. You lacked the courage to do what I've done."" The movie is also irreverently funny: For example, Twice Tuco gained the upper hand on Blondie and said:""There are two kinds of spurs(?), my friend. Those that come in by the door, and (crosses himself) those that come in by the window.""""There are two kinds of people in the world, my friend. Those who have a rope around their neck and those who have the job of cutting."" Later Blondie gained the advantage of Tuco and observed:""You see in this world there's two kinds of people my friend - those with loaded guns, and those who dig. You dig."" In addition to all these specific attributes, a unique and strikingly cool style infuses the entire film: long scenes of tense silences  never for an instant boring; and telling, startling close-ups and transitions. Most noteworthy was the film's climax. As the protagonists stand there with their fingers on their holsters, waiting for the first person to go for their gun(s), the transitions start out slowly, and speed up as the tension increases. As I write this, I wish I had my own copy of the film, just so I could see this scene again.Not just a great western, but easily one of the best movies of *any* kind ever made."
3,murtaza_mma,N/A,10,"The Good, the Better,  the Best","The Good, the Bad and the Ugly or the Good, the Better and the Best, as I prefer calling it, is a bizarrely sublime and a uniquely aesthetic masterpiece. The actors in title roles have given such extraordinarily superb performances, that it would be impertinent and disparaging to merely regard their swell work as acting. In fact their brilliant portrayals have immortalized Blondie, Sentenza/ Angel Eyes and the enigmatic Tuco. Lee Van Cleef is fiendishly unforgiving as the merciless Angel Eyes. Clint Eastwood is rugged yet suave, cocky yet adorable as laconic cigar-smoker Blondie, a role that laid the foundations of his illustrious career. But it is Eli Wallach, who steals the show with his captivating portrayal of Tuco, a portrayal that is as entrancing as it is enlightening. Wallach is amusing, capricious, nonchalant, uncanny and yet tenacious as Tuco, perturbed by his insecurities and dampened by his solitude. It is the tacit amicability between Blondie and Tuco and their mutual hostility towards the evil Angel Eyes owing to the vestiges of virtue present in them, redolent of their moribund morality, which gives the story, the impetus and the characters, a screen presence that is not only awe inspiring but also unparalleled.Sergio Leone's magnificent and ingenious direction in synergy with Ennio Morricone's surreal music, Tonino Delli Colli's breathtaking cinematography and Joe D'Augustine's punctilious editing makes the movie, a treat to watch and ineffably unforgettable. Initially aimed to be a tongue-in-cheek satire on run-of-the-mill westerns, The Good, the Bad and the Ugly, continues to stand the test of time in its endeavor to attain apotheosis (if it hasn't attained it yet). It will always be remembered as European cinema's greatest lagniappe, not only to the Western genre, but to the world of cinema.It's a must watch for any movie lover. 10/10"
4,a_southern_knight,N/A,N/A,Westerns don't get any better than this.,"This is the third,and arguably the best, of the so-called ""spaghetti western"" trilogy. It is ironic that, at the time the three Sergio Leone westerns were released, they were largely panned by critics as being poor and even laughable imitations of American-made westerns. The fact that they were filmed in Italy and Spain resulted in them receiving their amusing nickname which was intended to degrade them at the time.Somehow, over the quarter century or so since their release, the critics have tended to change their opinions, and now these movies are generally regarded as classics. Perhaps this is because Clint Eastwood was principally known only as the second banana, Rowdy Yates, in the television series ""Rawhide"" when the films were produced but since then has achieved superstardom. But I also think it goes beyond that. I believe the critics decided to take another look at these films and realized that they had been premature in writing them off. Actually, I believe the three films were considerably better than most of what Hollywood produced. In fact, I think that TGTBATU ranks among the best westerns ever produced bringing to mind the magnificent films of John Ford, the undisputed master of that genre, and his protege, the incomparable John Wayne.I have nothing but praise for this film. In fact, I rank it as one of my favorite films of all time. I could write volumes of what is good about this film. But since its qualities have been oft repeated in other viewer reviews, I will focus on what others didn't like about it. Most of the IMDb reviews had only one major complaint: the film is too long. I disagree. In fact, in spite of its nearly three hour length, I was disappointed that it ended. I was so absorbed in the film that I was disheartened to have to return to reality. The combination of story, cinematography, acting and musical score left nothing to be desired other than more of the same! The sequences that seemed to drag on in the opinion of other reviewers were necessary to fully create moods and to drive home important points. For example, the opening sequence might be regarded as needlessly long as Angel Eyes taunts a hapless man over a leisurely meal. But to me, scenes like that are what makes the movie great! The time allows the viewer to fully appreciate the amazing replication of the primitive home and the pitiful life of its dirt-poor inhabitants. I felt as though I was sitting there at the table; I was half tempted to reach for a bowl and spoon to partake of the meal. And all the while the suspense was building towards the inevitable climax. You know it's coming but not when and the length of the scene drives you crazy but makes it all the more satisfying when it does happen.Another example is when Tuco punishes Joe by forcing him to walk through the desert. This is possibly the only time that one might become bored with the film. But again, I think the time for the scene was justified in that we are able to receive the full impact of that experience and enjoy the haunting music at the same time. Joe's subsequent predicament might not have had much credibility had this sequence been abbreviated.In my opinion, one of the essential elements of a great film is creating moods that absorb our attention. This often takes time, lots of time. For example, many of the scenes in the magnificent film ""Dr. Zhivago"" were almost painfully long but they were necessary to create those startling surrealistic moods, and the film would not have been great without them. In many ways, TGTBATU has this same sort of greatness. It is a sweeping epic with very compelling characters and magnificent settings that draws the viewer in and doesn't release him until the closing credits begin to roll. When it's over, you feel that you've been on a long and exciting journey. Such a journey takes time.In summary, if you haven't seen this film, buy it right away. Don't rent it because you will not want to part with it once you've seen it.Then curl up with it on a cold, rainy Sunday afternoon when you are in no hurry to do anything."
5,spider89119,N/A,10,the greatest of the great!,"I wasn't sure if I was going to comment on this film because everything has already been said by the hundreds of other people who have posted their thoughts, but I decided that I should really put my two cents in since this is my favorite movie.This film, in my opinion, is not only the greatest spaghetti western of all time. It is the greatest movie of all time. Period. Regardless of genre. I could probably watch it every day, and be perfectly happy doing so.The music is perfection. The way the music drives this movie is absolutely amazing. The musical genius of Morricone and the incredible direction of Sergio Leone is a combination that will probably never be equaled. The theme song will forever be etched in your brain. In fact, it probably already is, even if you haven't seen the movie! The scene where Tuco runs through the graveyard with the song ""Ecstacy of Gold"" is pure poetry. And the showdown at the end with that great music- just incredible.The story is riveting. There is not a single dull moment. The movie is long, but Leone's direction is so good that you will love the fact that you can enjoy this movie for three hours.Lee Van Cleef is my favorite spaghetti western actor, and he is incredible as ""Angel Eyes."" It is the part he was born to play. Eli Wallach is perfect as Tuco. He really shines in this movie. Some people say he steals the show, and I can see why they think so. Eastwood is excellent as ""Blondie,"" although I don't think Eastwood has as strong of a presence as Van Cleef (I know many will disagree, and that's OK because all three actors are superb in this film so why split hairs?).This movie is hypnotic. It's operatic. It's sad. It's funny. It's gritty. It's violent. It's art. It's action. It's pure entertainment. The film is just so incredible on so many different levels that EVERYONE should see it, regardless of what kinds of movies they are into. And it's so cool that the greatest flick ever just happens to be a spaghetti western. If you haven't seen this movie, stop what you are doing, and go get it now!!"
6,Smells_Like_Cheese,N/A,10,"For a girl who doesn't enjoy westerns much, this was one of the greatest films ever!","Gosh, The Good, the Bad, and the Ugly, I finally saw this film! Who hasn't heard of it? First off, may I say that Clint Eastwood... what a hottie in his day! :D Sorry, had to get that off my chest. Sergio Leone from what I understood was a huge western film fanatic and in the 60's pretty much most folks had moved onto other genre's. I mean, I would agree that most western's are pretty much the same and stereotypical.Sergio however took a story and added some elements to it such as comedy, drama, and war. The story flows so well and just compliments all of it's characters. By far my favorite character was The Good, played by Clint. He is a bounty hunter who captures The Ugly numerous times just to free him before every hanging and splits the winnings with him. When they learn of a coffin in the desert that has $200,000, they go for it. Of course we have the Bad who is a ruthless killer who also wants in on the doe.The Good, The Bad, and The Ugly is a terrific film and I thank all the IMDb users for their useful comments and that pushed me to finally rent this western classic. Let's give it up for Sergio!10/10"
7,Steffi_P,N/A,10,"""There are two kinds of people in this world, my friend""","Sergio Leone always wanted every picture he made to be, in every way, bigger than the one which preceded it. With the Good, the Bad and the Ugly he continued his upward trajectory and rounded off his dollars trilogy in style.This picture was Leone's most stylised and grandiose to date, and brought all the themes and styles he had been developing in his earliest films to perfection. Among the most notable was his characterisation, particularly his all-important introductions of characters. Look at the introductory scenes of the three leads. We first see Tuco bursting out of a window, obviously interrupted in the middle of a meal, and straight away we get his freeze-frame and the title ""the ugly""  this is a simple character, and needs no further introduction. Angeleyes appears out of the distance, but grows towards us until his face fills the screen. We see him commit two despicable acts of murder and treachery before we get his freeze-frame and title ""the bad"", telling us he is pure evil. Finally, in Blondie's first appearance he steps into the frame from behind the camera, as if he had always been there. He rescues Tuco, but only for his own profit. It's not until we have seen him betray and abandon Tuco that we get his freeze-frame and title ""the good""  obviously a fairly ironic label given the way he has just acted.Leone's trademark long drawn out face-offs  exaggerated versions of the shootouts of John Ford westerns and the sword duels of Kurosawa's samurai films  are also brought to a peak here. Not only are they now taken to absurd heights of stylisation, they are also spread out and adapted to cover the whole picture, until the point where even two men sitting opposite each other eating a meal and glancing suspiciously at one another is treated like another stand off. In fact, the entire film can be considered one long series of duels.We also see more of the importance Leone attaches to church and family. The Dollars trilogy could be thought to lack emotion, taking place as it does in a world where there are no morals and everyone is out for gold. However the Good, the Bad and the Ugly contains several moments of poignancy, perhaps the most prominent of which is when Tuco confronts his estranged priest brother.Religious iconography and references crops up time and again. Leone loved biblical epics almost as much as he loved westerns, and there is something of the feel of those pictures here in the overwhelming landscapes and eerie, choral music. On top of this the central trio can be read as an allegory for God, the Devil and humanity. This arguably presents rather a cynical view of the Catholic faith  given the treacherous and chequered nature of the ""good""  but it could be argued to be a typically Italian one. In a country in which the church is so omnipresent and universally accepted, it's sometimes said that God is cursed as much as loved. Having said that, this was clearly never intended as the central theme  Leone wasn't trying to make some grand statement here  it's simply part of the mix of ideas going on in this picture.This brings me onto the war theme. Anti-war sentiments are not directly addressed in this picture, but the way the civil war is woven into the plot makes a powerful statement. For the first half hour we don't see that the war is going on. The central characters aren't concerned with the it  they are only interested in hunting down the gold. However the war encroaches on the plot more and more often, until it moves from background to foreground and takes over the entire picture, culminating in a colossal battle scene. And of course the fact that the film ends in a huge military graveyard is also very significant.I've spent so long talking about the themes and ideas going on in this film I've nearly run out of space to talk about all the genius that has gone into making it so enjoyable. The dialogue is superb, often funny and plenty of it quotable. Technically Leone has perfected his art  he composes a shot like John Ford, edits like Eisenstein, paces like Kurosawa, but all with a degree of his own originality. There is brilliant acting  Eli Wallach steals it as Tuco, probably his best ever performance. It's funny how Lee Van Cleef was cast as a villain here. Van Cleef's early career mostly involved playing mean-looking gang members, but as Leone discovered when casting him as the hero in For a Few Dollars More, while his face said ""bad guy"" his voice and manner could be warm and likable. The good guy Van Cleef obviously proved more popular, as in the dozen or so other spaghetti westerns he made for other directors he was invariably cast as the hero.Just time for a final word on the recent (2003) restored edition. While it's great that several lost scenes have been added, I have to say that very few of them were entirely necessary. The only one of the added scenes I really like is the one in which Angeleyes visits the field hospital  it keeps his story arc going, and also shows an act of compassion from the ""bad"" when he lets the soldier keep the bottle. However the new dubbing for these scenes, strange as it may seem considering today's technology, is mixed absolutely atrociously. On top of this, Clint Eastwood and Eli Wallach are now so elderly, they actually sound less convincing than the guy impersonating the late Lee Van Cleef. As a result the restored segments stick out like sore thumbs, and break up the flow of what is in every other way a perfect motion picture."
8,gogoschka-1,N/A,10,A Cinematic Masterpiece - And Also The Most Entertaining Western Of All Time,"I'll keep this brief: This is simply one of the most entertaining and best looking westerns ever. Director Sergio Leone's unique use of the camera - long, uninterrupted shots in wide angle alternating with extreme close-ups - and Ennio Morricone's unique, wildly inventive soundtrack are blended to perfection. The career-making performances by Eli Wallach (hilarious), Lee Van Cleef (chilling) and Clint Eastwood (cool) are nothing short of iconic, and the film's finale is so good it will send shivers of cinematic joy down your spine. It's a movie of epic proportions; it's funny and violent, but underneath it all there is a strong anti-war message. It's a cinematic masterpiece and one of the most influential movies of all time. Oh, and it's also tons of fun, and you should see it on the biggest screen possible. 10 stars out of 10.Favorite films: IMDb.com/list/mkjOKvqlSBs/Lesser-Known Masterpieces: imdb.com/list/ls070242495/"
9,Stamp-3,N/A,10,film making of the highest order,10/10film making of the highest orderSpoiler
10,vonjenk,N/A,10,One of the Best of all Time,"This film probably had the largest impact on my life. It set the tone for everything I then got interested in. American Civil War. Film Music. Clint Eastwood. Real Westerns. This is the best of the Dollars Trilogy and by far one of the best Westerns of all time. It has drama, comedy, cracking dialogue, some of the most brutal battle scenes - especially around the bridge - that I'd seen up to then, music to die for and set pieces that just ooze atmosphere and tension. I have never forgotten the end shoot-out. This was unique; 3 people?! You can't do that. But Leone did, and he did it brilliantly - all cameras and music. I have now seen this film too many times to count but I'll be back for another blast of buono, brutto, cattivo, someday. My son owes his name to this film. Yep, that there is Clinton."
