id,user_rating,review_title,review_text,author,date
1,9,A Shattering Surprise,"To think I originally dismissed this movie completely and now, after finally having seeing it, it has become one of the best movies I've seen in some time. The surprises are constant, first I had never heard of of the Von Erich, I didn't know the director and I knew Zac Efron. All details that under normal circumstances would have kept me away but. Oh my goodness! What a wonderful movie, beautifully written and directed and then Zac Efron! A performance of such beauty and of such truth that made me want to see the movie again, immediately. I didn't, but I will. It moved me and shattered me because I believed him. He's not alone, Jeremy Allen White is also superb and the last minutes of the movie found me with tears running down my face. Terrific.",marcelbenoitdeux,N/A
2,8,"""You never heard of the curse of the Von Erichs?""","8/10""You never heard of the curse of the Von Erichs?""Spoiler",classicsoncall,N/A
3,8,Heartbreaking Cursed Family,"The Von Erich's were always this odd story I heard when I was a kid. The wrestling family that kicked off what is now the professional wrestling dynasty. They were the superstars that also saddled with one of the darkest most bizarre curse. If you think about the tragedy of Chris Benoit, someone would always bring up the Von Erich's.The story is centered around Kevin Von Erich (Zac Efron), mostly because the tale can only be told through his window. A Texas family whose father Fritz (Holt McCallany) desperately wanted to be at the top of the game. He molded his sons to follow in his footsteps. Cold and focused, he is the father of that era that most today would consider abusive. Back then, to get greatness, sacrifice must be endured. In this case, the early wild death of the eldest brother Jack (who is never really addressed completely) since he was a baby when he passed from an electrocution accident. From that point on, the family presses forward.There is a dark cloud that hangs over the family, yet no one completely addresses it directly. The Von Erich curse seemed to be a real thing. And as a youngster, I always waited for the next Von Erich to die a weird death. Grim as it may seem.The brothers wake up and eat, drink and breathe wrestling. But there is a hierarchy. Broken down by the Fritz. The brothers are meant to compete with each other for the approval of Dad.There is also David (Harris Dickinson) and Kerry (Jeremy Allan White) but not mentioned...a brother Chris. I only knew Kerry, since he made it to the WWF.This at-the-fringe federation of wrestlers were in the NWA, which I always considered the low-rent of wrestling, as if there were such a thing.Kevin marries Pam (Lily James) who is really the most normal of the gang. The mother. Doris (Maura Tierney) seems to be just trying to placate Fritz but also focus on God.I truly miss this type of filmmaking. It is a story of family and tragedy and how they cope with it. Which sometimes I wish they showed more of that and less of the wrestling. This movie's emotional core stuck with me. Though, there are moments that drag, when you think about how awful events followed this family, you are left wondering how they were able to move forward.The answer isn't very clear. These are the moments I wish focused more on Kevin's resilience. Instead, we see he truly believes the family curse. And that would be enough. Perhaps the emotionally absent mother answers the question of pain and loss. There is a great moment when all the death occurs, Mom doesn't know how to cope. Because of her faith, you read the thought bubble which is asking God ""why am I being tested"" a brilliant move by director Sean Durkin NOT to have her say this outloud.One thing that may trouble some viewers is the Fritz's dialogue. At first, I considered it horrible acting. Then it occurred to me. He has been a showboat to audiences most his life. It isn't too far of a stretch that he knows no other way to communicate. He is a tough guy who relies on his sons to be equally as tough. Though he isn't that way at first, he downshifts into it with the success of the family.There's so much to unpack here.Mass kudos to Zac Efron. A brilliant piece of acting which should get him an Oscar nom (perhaps the Academy will never take him seriously...they should). In spite of his stoic mannerisms, Efron still exudes thought processes. In this case, tough guys aren't suppose to cry. But we cry for him.Wonderful work. This is a must to see in theaters. A small screen will not show the subtle performances.",statuskuo,N/A
4,10,Solid 10,"I cannot begin to describe how accurate Zac's portrayal of Kevin is. I knew the brothers in the early 80's. This is a heart wrenching account that delivers every high and low of their lives.The performances are nuanced, with an unexpected depth. This is not a feel good movie. The ending is actually the beginning and that is beautiful. Lily James is stupendous and mesmerizing as Pam, and I simply cannot express my awe of Zac's performance. He deserves an Oscar.Just know that this story is as close to a documentary as it can possibly be. It was beautiful seeing the actual footage from various match ups. Thank you for making this.",austinbeyondcompare,N/A
5,8,"""We will be your brothers, dad.""","8/10""We will be your brothers, dad.""Spoiler",chand-suhas,N/A
6,7,Deserved more attention,"I've watched this movie several times now. It blows my mind that this did not get more attention when it was released! I never paid any mind to Zac Efron except for being a pretty face or in comedies but he truly showed his acting capabilities in this movie! His emotions as Kevin really broke my heart! He truly conveyed how it's like to lose a sibling in their 20s (like I have). He was phenomenal in showing how it affects life when it comes to a spouse, work, etc.It angers me to this day that this movie was overlooked in terms of awards. This is a very well done movie and all the actors did an amazing job!",JaxArcher,N/A
7,8,An emotionally haunting film,"The Iron Claw is incredible yet devastating. It's an emotionally haunting film that is going to stick with me for a while. The film delves into the tragic story of the Von Erich family with the utmost reverence, and while I know next to nothing about wrestling, this movie destroyed me. It's a heavy watch that might be the most moving, profound, and honest depiction of family on film this year. Sean Durkin takes an unfathomably tragic story and tells it with needed grace. Zac Efron gives an absolutely touching and heartbreaking performance as Kevin Von Erich. He delivers his most physically and emotionally demanding performance to date, supported by a flawless cast ensemble as they, along with director Sean Durkin, commit to some of the best depictions of wrestling ever seen on film. The Iron Claw is gut-wrenching and beautiful all at the same time, telling a tragic story of brotherhood, love, pain, expectations, favouritism, and legacy. I found myself heartbroken by the tragedies portrayed on screen, yet incredibly moved by the brotherhood these characters shared. Hold your loved ones close!",parksiet,N/A
8,6,The feel bad movie of the year,"Just brutal. Could you imagine your family's story being so depressing they had to tone it DOWN for an A24 movie? Just wow. RIP Chris Von Erich, hopefully your story will be told too someday.There were a lot of pros to this movie. While Zac Efron and Jeremy White knocked it out of the park, it was a little difficult imagining them as 6'2 wrestlers. But hey I was willing to stretch my disbelief. The Tom Sawyer montage was kickass and I'd be lying if I didn't cry my eyes out at the end. Solid acting and definitely an interesting story.Having said that, when you read the actual Von Erich story it's far more interesting than what the Iron Claw had to offer. It seemed like the studio wanted more of a basic three act drama than the insanely tragic lives the Von Erich's endured. So many lines in the script were so over the top I basically felt like I was being spoon fed by the director. Almost nothing was subtle that it some scenes felt reminiscent of Walk Hard. Some sections of the movie dragged and it seemed like the director just wanted to get from point A to B without really engaging the audience.Overall a decent flick, well acted and certainly had some good scenes. If only there were a stronger script and better director maybe a less Hollywood Von Erich story could have been told.",kevinheisinger,N/A
9,8,Beautifully shot film and great acting.,"The film's visual narrative is meticulously crafted, with every frame thoughtfully composed to not only tell a story but to also immerse viewers into its atmospheric depth. The cinematography is indeed a standout, utilizing innovative camera techniques and lighting to accentuate the mood, tone, and overall aesthetic of the film.Moreover, the acting in ""Iron Claw"" is nothing short of remarkable. The cast delivers performances that are deeply nuanced and emotionally resonant, bringing their characters to life with authenticity and complexity. Through their skillful portrayals, the actors navigate the intricate dynamics of their roles with finesse, making the audience invest in their journeys. The chemistry among the cast further amplifies the film's emotional impact, making the relationships and conflicts more compelling.In combination, the film's well-executed cinematography and stellar acting not only enhance the storytelling but also create a rich, cinematic texture that is both engaging and thought-provoking. ""Iron Claw"" stands as a testament to the power of visual storytelling and the art of performance, making it a must-watch for those who appreciate the craft of filmmaking.",ian-1994,N/A
10,7,"To me, this was good, but not great.","7/10To me, this was good, but not great.Spoiler",Jeremy_Urquhart,N/A
