id,user_rating,review_title,review_text,author,date
1,10,One of my favorite movies of all time!,10/10One of my favorite movies of all time!Spoiler,Smells_Like_Cheese,N/A
2,10,A Film For All Ages,"This is a film that can entertain anyone young or old, I usually don't care for animated movies but this film is the real deal, this is one of disney's best animated movies. The animation is top notch and flawless. This film also features superb work from the vocal cast James Earl Jones, Jeremy Irons, Whoopi Goldberg. This is a standout.",claudonio,N/A
3,10,The Best Animated Film I Have Ever Seen... revisited review some decades later,"This was a foundational text for little me - saw it multiple times theatrically to the point my dad just dropped me off at the Teaneck theater (3 bucks in those days) and watched it by myself for the first time - and back then as it still does today it manages to fill your belly in under 90 minutes with Mythical and even Mystical dimensions while also including Broadway stalwarts like Nathan Lane and Ernie Sabella singing about flatulence. It isn't enough to channel Hamlet or other sources (or even other Disney epics), it's simply that the Lion King is a master's class in pacing and tone and economical storytelling. At heart what strikes me is that it's a saga that can mean a lot to children (and I'm sure adults/parents) because it's at core about that scene where Mufasa tells Simba he's disappointed. That is the worst.Tones are not clashing haphazardly, but flowing from one into another at just the right moments and intervals. You may be lulled into complacency in Hakuna Matata, and then you're reminded times are still dark (how Zazu lived so long is kind of a miracle IMO). It earns its sorrow and painful moments, but only dwells long enough for you to feel its impact. It's a serious film, but there's joy and bright colors when need be and boundless creativity in the set pieces (and my God does Be Prepared play as a lot more sinister after the past several years in this country).It doesn't need to explain why animals who would normally be prey for ravenous lions hang with them, because it has this dimension where things are precisely, comfortably and when necessary harrowingly metaphorical. The filmmakers and animators and storyboard artists have such a solid base for a story that the character work takes center stage: I love animation that is this expressive and soulful, and the director's know that as much as the lines may convey intentions and feelings, sometimes what isn't said speaks even louder (look at Scar and Simba's faces and eyes for like every second they are on screen, some of the best film acting of the decade).I'm glad I still love this movie. Of course there are some seams (its obvious to me now where Jim Cummings came in on Prepared to step in when Jeremy Irons broke his voice on the song), and the comic relief isn't as funny as in Aladdin or Great Mouse Detective from that golden age. But it's powerful and it's a strong example of how cinema can elevate problematic politics (how Mufasa explains the Circle of Life is... hmm...)",Quinoa1984,N/A
4,10,The best Disney animated film ever...,"The best Disney animated film ever...This film had it all, it was funny, emotional, had family drama, and above all, great animation and songs! My personal favorite character is Rafiki, the Baboon! I still cant forget the line he says to Simbe, ""Past can hurt, but as I see it, you can either run from it, or learn from it!"" it is so true! i loved Zazu's weirdness, and shenzi's humor, above all, i loved Pumba's innocence and Timon's intelligence! In short, i found the film the best film ever... The voice cast is also great. Mathew did complete justice to Simba, and what can I say about Mufasa, He is the best King, and dad anyone can ever get! The movie is not meant for kids, its meant to teach every adult a lesson...to find our place in the great ""Circle Of Life"". I give this film a perfect 10.",gdswalia,N/A
5,N/A,This is what kid's movies should be like...,This is what kid's movies should be like...Spoiler,Maintenance_Guys,N/A
6,10,"By far, the greatest Disney movie ever made...","This movie is, quite seriously, the Citizen Kane of Disney animation. Every animated movie from Disney ever since has been a failed attempt to recreate the masterpiece that this film is. This movie is an anomaly in a market usually dominated by formulaic kiddie-fare. Unlike most films from animation studios, this movie will enthrall you, whether you're 5 years old, or 50. An epic plot, intriguing characters, great music and hillarious moments make this film a family classic that will endure through the ages. 10/10",chadgeri,N/A
7,10,TLK is Great,"I watched the film today and I have come to the conclusion that this Disney film is one classic that will keep on delivering to Disney fans like myself...TLK is a wonderful film with great characters and songs with a powerful message that you can always find your way back no matter how hard the journey...I think The Lion King is one of the best Disney animated films matching with the power of Bambi and Brother Bear.I love how Disney Works hard to deliver the best in Animation,Song,And MagicI do believe that 2006 and many years from now The Lion King will Shine and still Roar with Success...Thank-You Disney For The Lion King",David_l_s,N/A
8,10,A living masterpiece,"This is truly one of the best Disney movies ever. I really enjoyed it when I first seen it, about when I was 6, and since then I watched it over and over again. I simply LOOOOVED the music. It's one of the best soundtracks I've ever heard. And, speaking of soundtrack, I just can't tell in words how much I love the song ""Can You Feel The Love Tonight"". Is one of my favorite songs ever. I truly believe that this motion picture could easily be nominated for The Best Picture, but The Best Song and the Best Original Score is really enough. I wonder if they will ever think to make a prequel of this movie in order to understand who is Mufasa, Scar, Sarabi and the other characters. In short, this movie will be remembered in the next 100 years. Truly.",suicune_tudor,N/A
9,10,"Masterpiece, the new one doesnt compare","10/10Masterpiece, the new one doesnt compareSpoiler",kaydrelia,N/A
10,7,one of the best children's movies from my child hood,"This movie was such a sweet heartwarming tale. It had its funny moments its action it really is a perfect movie for the kids. And for the adults the acting was great and it had a very good story very predictable but not when I was a kid.This movie is about a young lion cub ""Simba"" who is tricked into thinking he was responsible for his fathers death so ridden with guilt he leaves the pride and goes off on his own. He grows up on his own but meets lifelong friends on the way.This was such an adorable tale. Everyone is sure to love this movie exspecially the kids but the adults will find it very sweet and heartwarming as well.",deatman9,N/A
