id,author,date,user_rating,review_title,review_text
1,venividiamavi-v,N/A,10,A Timeless Classic,"This movie, and trilogy in general, is a cinematic (and literary) masterpiece, and simply refuses to get old. I love this movie so much it's become a tradition to watch the Lord of the Rings series at least once a year! It's just as good as Christmas"
2,jamiedphilips,N/A,10,15 years on... Still the greatest,"I've just re-watched The Lord of the Rings trilogy for the 1000th time tonight... nearly 15 years since the Fellowship of the Rings was released... I still haven't seen a movie that's better, nor close, to any of these three films. The casting is perfection as well as the incredible acting by everyone in the movie. I can still watch these movies back to back and not get bored. They are a light to this world and wouldn't be the same without them.I miss the good old LOTR's days. The best movies ever created. The Return of the King was the best way to end a thrilling journey through middle earth!"
3,diffguy,N/A,10,Nothing better,The greatest tragedy of the human race is that they will never make a better movie than Return of the King.
4,voltage10-220-804025,N/A,10,This franchise shaped me to the man i am today.,10/10This franchise shaped me to the man i am today.Spoiler
5,OttoVonB,N/A,10,All Good Things come to an End!,"All the threads of Tolkien's magnum opus come together in the most elegant of fashions in the final part of Peter Jackson's adaptation. Humanity makes a last stand at Minas Tirith, the Hobbits travel through Mordor, our heroes try to by time for Frodo to complete his mission and the Evil Sauron gets tired of the whole game and lashes out with all his might and fury.""Return of the King"" is 4 hours of payoff, a third act in a gigantic epic rather than a mere film of its own. As such it is intensely dramatic and dynamic and you can very much sense that though peter Jackson spared no effort on the previous episodes, this is clearly his favorite. the film floats by at a thunderous pace, taking us through unforgettable moments such as the battle of Minas Tirith itself, a marvel of seamless animation and epic film-making, it demands to be seen, as it has too many jaw-dropping moments to choose from. The quieter character moments keep gaining in potency and the full weight of the stakes and their heartbreaking consequences is never in doubt.The cast of these films have played their parts to perfection and again Jackson deserves overall credit for choosing actors that so perfectly match Tlolkien's creations: Ian McKellen and Christopher Lee are their own usually excellent selves, and the hobbits remain endearing, but of all the uniformly great cast, the true standouts are Viggo Mortensen and David Wenham as the tragic Faramir, whose relationship with his brutish father is the most traumatic of the film. Jackson pushes them even further by having them sing at a few key moments (a practice employed to powerful effect by Tolkien in the books), a daring undertaking that works wonders. And though he may offer one ending too many, he does have the decency to show off each surviving character with the appropriate screen time and respect.Now that the trilogy is complete, it can be viewed as one big film, as it should be. After 8 years, Jackson has done the impossible: he has taken Tolkien's huge legend and made films that stand on their own and have revolutionized film-making, setting the new benchmark for cinematic epics. Changes have been made to Tolkien's source novels, but they make for better, more fluid films, more faithful in spirit to Tolkien's myth than anyone had the right to hope for.A masterpiece, whether as part of a bigger whole or on its own. Well deserving of all the high praise thrown at it, and then some..."
6,auuwws,N/A,9,The best trilogy in the history of cinema,Best movie in the trilogy and sealed in the best possible way
7,terrylarosa,N/A,10,Still the greatest movie ever made,"Nothing even comes close and I may well not see it personally topped. Every single scene is magnificent. The acting is superb as is the direction, script, hauntingly beautiful music, cinematography and the incredible battles; especially the hour long battle on the Pellenor Fields and Minas Tirith. The characters
are some of the greatest ever created and to root for. The movie is simply perfection from beginning to end and the 4 hour version is just as majestic. There's not a single negative thing I can say about a movie that deserves all it's nominated Oscars. My family and I watched it 4 times in its first 12 days of release. A joyous experience every time. Magnificent!!!!!!"
8,0U,N/A,10,Great,"Wonderful on every level. Love the characters and special effects. One of the biggest, most massive battle scenes ever put on the silver screen. A great end to a monumental epic."
9,GuyCC,N/A,10,Unprecedented.,10/10Unprecedented.Spoiler
10,TheLittleSongbird,N/A,10,Pretty much outstanding,"I admit it, I love all three Lord of the Rings films. People may say Return of the King is the best of the trilogy, some may say it is the worst. I personally think Two Towers is the best for its scope and better exploration of some of the characters, but while it is still great Return of the King is better than Fellowship of the Ring.My only slight disappointment is the ending, it does feel overlong and bloated for me, almost as if there was more than one ending filmed. That said, what does make the ending at least watchable for me is the way it is shot, the marvellous score and the performance of Gollum.Despite this minor discrepancy, Return of the King is extremely good and in my view one of the better Best Picture winners last decade. Peter Jackson's direction is very impressive here, and the scope is massive and just dazzling to watch. All three films of the trilogy are very well made, but Return of the King defines the term epic. The cinematography is mind-blowing, the scenery is superb, the costumes and make-up are well tailored, the effects are superb and don't distract too much and the lighting is authentic.The score is phenomenal. Fellowship of the Ring had some ethereal, rousing, haunting and charming themes, whereas Two Towers was somewhat darker and more complex. Return of the King merges these together and the result is a perfect mixture of charm, darkness, etherality and complexity. The story is compelling with themes of friendship, strength and loyalty, the screenplay is well-written and literate and while the film is very long the three hours or so fly by seamlessly. The characters are engaging, Aragorn is even more interesting here than he is in the previous films while Gollum continues to steal every scene he appears in.The acting is very good. Orlando Bloom(who I can find dashing yet uncharismatic and bland) and John Rhys-Davies are given less to do but do carry their parts very well, and Elijah Wood is likable enough. Sean Astin captures Sam perfectly and provides the heart of the picture, and Viggo Mortenssen is at his charismatic best here. Ian McKellen is perfectly cast, while the design of Gollum is still superb and Andy Serkis is equally phenomenal. I was slightly disappointed by the lack of any Sarauman, but I was more than I was satisfied with the final result.All in all, an outstanding entry to a great trilogy. 10/10 Bethany Cox"
11,Derek237,N/A,10,They saved the best for last,"Obviously, I'm aware of the fact that the Lord of the Rings trilogy is actually one giant movie, but since it was released in parts, that's how I'm judging them. The Return Of The King is the final chapter, and since it is the climax and resolution of the epic journey, it has a little more intensity and urgency than the previous installments.At this point everyone has come to know and love all of the characters, and the stakes have become tremendously high. Kingdoms are at their knees, and the only two characters who can save the day are getting weaker and weaker. The tension was very high in this episode and I can honestly say that out of all 3 this was the only one that had me on the edge of my seat. There were many memorable scenes (one of my favourites including the part with the giant spider)that made this the classic that it is sure to stay for decades to come.This is the longest of the series, mostly because of the ending that seems to last a while. This was a good ending, and I can see why Frodo did what he did. He, and us the audience, have gone through an incredible ordeal and I think we needed that 20 minute linger. When the battle is over, and the celebrations have ended, there is a sad emptiness felt. The films spanned over 3 years, there have been the extended cuts of course, but after that, it's all over. Peter Jackson gave us an ending that was both appropriate and admirable.These were some amazing movies and this one in particular is the best, in my opinion. As whole, the Lord Of The Rings is a phenomenon. An absolute phenomenon. Much more than just movies. They have a universal appeal and have touched the hearts and imaginations of millions. I'm one of them.Sorry if I'm being all fanboyish and kissing this movie's ass, but I really admire it. It may not be among my personal favourites but generally this seems to be the movie event of the century. There will never be another Lord of the Rings film, and that's a bit depressing.My rating: 10/10"
12,danlongino,N/A,N/A,"Not only the best of the ""Lord of the Rings"" series, but sets a new standard of epic filmmaking.","Saying that this film starts where `Two Towers' left off is somewhat misleading, for the film starts a great distance from the walls of Helm's Deep. `Return of the King' opens with a flashback of Smeagol (Andy Serkis) obtaining the one ring of power and an origin of his deterioration into the creature Gollum. This opening recaptures an emphasis that was somewhat lost within the epic battles of `Two Towers,' at that's the ring. The first installment, `The Fellowship of the Ring,' provided heaps of exposition on the ring's importance and influence, and in `Return of the King,' we see it pay off, big time.After the armies of Isengard have been defeated due to an allegiance between Theoden (Bernard Hill), the king of Rohan, and the elves, the main threat to middle earth is now concentrated in the kingdom of Mordor, controlled by the dark lord Sauron. Sauron has turned his eye towards the realm of Gondor, the last free kingdom of men, and the wizard Gandalf (Ian McKellan) must warn Denethor (John Noble), Steward of Gondor of the impending attack, while Aragorn (Viggo Mortenson), heir to the throne of Gondor, and Theoden gather men to aid against the armies of Mordor. The dark lord Sauron needs only to regain the one ring of power to conquer all of middle earth, and two hobbits, Frodo (Elijah Wood) the ring-bearer and Sam (Sean Astin), must continue their journey, directed by Gollum, to Mount Doom, the only place where the ring can be destroyed. Got all that? If not, you need to bone up on your `Lord of the Rings' before expecting to follow this film.Since all three epics were filmed simultaneously, each individually has the feel of being part of a larger picture - except for this one. `The Return of the King' is just too big, the most epic of a set of epic films. Now that director Peter Jackson has brilliantly constructed the characters and plotlines throughout the first two films, he puts them to use.All of the characters have their best moments within this film. The pair of mischievous hobbits, Merry (Dominic Monaghan) and Pippin (Billy Boyd), are no longer the tree ornaments they were from `Two Towers,' but are split-up, and take their characters in completely new directions. Aragorn, played with an unmatched sense of honor by Viggo Mortenson, is about to meet his destiny as the future king of all men, while Andy Serkis continues his expert portrayal of Gollum (Serkis' provided not only the voice of Gollum, but also assisted during production by acting out the scenes of the computer-generated character with his fellow actors).However, the real acting triumph of the film is Elijah Wood as Frodo Baggins. He continues his descent into corruption with an incredible talent that many could not pull off. Wood's performance is so critical to the film because it determines the ring's power to corrupt, which, needless to say, is absolute.The first two films established Jackson as an incredible visionary, shooting vast landscapes from his native New Zealand. With `Return of the King,' Jackson really gets a chance to show off. With, hands down, the most beautiful visuals of the trilogy, Jackson makes `Return of the King' a gorgeous feast for the eyes, while never resorting to McG level over-the-topness. Jackson stays very grounded in his characters, not letting the effects tell the story, but only assist the wonderful dialogue and characters. Think of `Return' as a mix of `Fellowship' and `Two Towers,' with enough action and character development worthy of ending a film event of this magnitude.The bottom line, fans of the films will not be disappointed. Hardcore Tolkien lovers might be upset by plot changes and interpretations made by Jackson and the other writers, however, it is unrealistic to expect a completely true adaptation of the novels, being that film is an entirely different medium. Despite the alterations, Jackson consistently stays true to the major themes and ideas from the original text, while adding some of the finest filmmaking ever put to screen. `The Lord of the Rings: The Return of the King' is one of the most finely tuned and cinematically perfect films ever made. Not only the best of the trilogy, but a crowning achievement in epic filmmaking."
13,kiwikwi,N/A,6,Still black and white. But the spider's cool.,"Not surprisingly, a lot of good plot had been removed from the story, and a lot of bad plot inserted. This is hardly news; the same happened to the two predecessors. Much was lost by skipping ""The Scouring of the Shire"". The computer graphics are well-done but rarely convincing, and Gollum's only task is to provide comic relief. Most of the audience seemed to find him quite funny. I was just bored.Tolkien's books told a great story basically about the weakness of men (and other races), and the importance of not fighting alone. The best example being the events on the edge of Mount Doom. Tolkien made a strong point in that nobody is perfect, neither perfectly good nor perfectly evil.The film completely ignores this and simplifies things to pure black and white. There's good, and there's evil, with nothing in-between , no shades of grey.And that I think is sad.All that being said, the film has a few but important qualities, and that's the great camera work, the excellent acting and the stunning scenery - CG-scenery too.The rest of the CG is not that interesting, except for Shelob the spider who really makes up for it. The sound of a whole cinema audience simultaneously gasping in horror as ... Well, I won't spoil for those who haven't read the books. But wow. So, in the end, despite all its flaws, I recommend seeing this film. But go see it now, on the big screen. It won't be worth your time on TV."
14,fearfulofspiders,N/A,10,The Supreme Motion Picture of All Time...,10/10The Supreme Motion Picture of All Time...Spoiler
15,athgeo,N/A,10,This movie has marked my childhood!,It is the best movie I can remember I've watched while I was a kid!
16,Hitchcoc,N/A,10,I lived to see them all!,"I am in awe of the knowledge of some of the reviewers. I've been disappointed with virtually every film version of a beloved book that I have seen. I have not studied ""The Lord of the Rings"" though I have read the trilogy twice and parts several times. I know what a scholar Tolkien was and admire his work in linguistics as well as storytelling. The two entities do not need to cross over. If one really wanted to make the book you would have about two hours of poetry and a 56 hour movie. Movie-making is, unfortunately, forced to play by different rules. First of all, this film could not have been made until now. Imagine people dressed as trees. Remember those old Superman serials where whenever the Man of Steel flies, he becomes animated. Now that is genuinely bad. What Peter Jackson did here will be his legacy; had he died the day the film was complete, he would go down in film history. Everything is set up. The ring must be returned. Frodo is drunk with power and is latched on by the forces of evil. Those continuing the quest must face the ultimate and some do. Gollum is in the way, using his wiles to drive the ring back to him. The visual magnificence of Mount Doom and Mordor are unbelievable. One thing that is never mentioned is the incredible acting of most of the characters. Jackson may be a master of spectacle, but Frodo's character is a mass of impulses and expressions. He believes he is going to die and is afraid. Do you see a little bit of Christianity mixed in here? I'm not going down that road because, of course, the Bible is an epic too and has its own story. This is a movie about how friendship, loyalty, and sacrifice will out against evil. The evil is so remarkable and so oppressive.I can't begin to talk in the terms of other reviewers, but I do need to make sure that I weigh in on this film and the other two because this is a product of our society that we can all be proud of."
17,Sleepin_Dragon,N/A,10,I doubt there will ever be a film made of this quality again.,"Frodo and Sam continue their desperate journey to destroy the ring, Gollum has his eyes very much on the prize, knowing they cannot possibly get past Sauron's army, Aragorn creates a diversion.Surely this is a contender for the greatest film of all time, I can think of nothing negative to say, it's everything you want in a movie and more. Action packed, intriguing, funny and several scenes that will pull a few years from your eyes.The greatest battle scenes of all time, they are as relentless as they are breathtaking, if you like action, this is the film for you.There isn't a single lull, at no point does it ever dip, it doesn't matter which character the focus is on, it captivates, that opening sequence with Gollum was off the scale, as was the final, epic battle.I will only watch the extended version, as I find Christopher Lee's absence in the theatrical cut unforgivable, I know it's about four hours long, but that doesn't matter, you lose all sense of time in the wonder and brilliance.McKellen, Mortensen, Wood, everyone associated, incredible.This film truly is one of the best ever made.10/10."
