id,user_rating,review_title,review_text,author,date
1,9,Greatest leading man ever?,"If not, it's pretty damn close. My husband and I are different than most because instead of just looking for movies we tend to find actors we love and then watch all of their movies. We're fans of the star first and then the movie second. Humphrey Bogart had it all. He was authentic, compelling, and could convey so many emotions with just a twinkle or a tinge of doubt, or suspicion, or fear, or lust, or greed, whatever it was he had to convey, he did it with full conviction. If there's a better movie star that ever lived, I can't name them. There may be actors with more range, but not better movie stars. I think actors can be great even if they don't transform as Day-Lewis does. Don't get me wrong, Day-Lewis is a genius, but an actor who is completely authentic and compelling (something going on underneath) is just as interesting to watch as an actor who transforms themselves.",jmclane-57815,N/A
2,9,"Bogart, the hero who was exactly right for his time","9/10Bogart, the hero who was exactly right for his timeSpoiler",Nazi_Fighter_David,N/A
3,8,Attack of the Raptors...,"Sam Spade and Miles Archer are detectives, the private type who you can give directives, after meeting with a dame, there then begins a deadly game, with a group who seem to have, their own perspectives; although they all have as their goal a missing falcon, and soon there are some folks, who find their souls gone, as beneath the dark veneer, there are those quite insincere, as you'll find after a number of liaisons; as the story ratchets up the threads combine, and at the centre of the plot's a large waistline, that speaks with eloquence and intent, as deep within, passions ferment, in a film that is a classic of its time.Great cast, great story, great film - but isn't Sydney Greenstreet outstanding!",Xstal,N/A
4,N/A,The Fat Man Cometh,"Considered by many film historians as the very first noir film, ""The Maltese Falcon"" is cinematically important also for making Humphrey Bogart into a Hollywood star, and for being the debut of John Huston as film Director.The film's story is complex and convoluted, typical of detective films of that era, and involves a valuable statuette. The plot stalls and meanders throughout most of the film, as we encounter an assortment of strange characters and side issues. But this is not a plot-driven film. It is character-driven.And the main character, of course, is PI Sam Spade (Bogart). He's not a particularly nice guy. He comes across as overconfident and egotistic. He smirks a lot. But he's tough as nails. And he knows how to nail the bad guys. A big part of the film is Spade's relationship to femme fatale Brigid (Mary Astor). They engage each other in a battle of wits. And there's more than a hint of romantic involvement between the two. But Brigid is the one who propels Spade into the deceiving and double-crossing world of bad guys who yearn with greed for the priceless Maltese Falcon.Enter Kasper Gutman, that thoroughly rotund and intimidating (in a gentlemanly sort of way) king of greed, portrayed with verve and panache by the inimitable Sydney Greenstreet. Gutman, AKA the ""Fat Man"", is nothing if not erudite and self-assured. In one scene, Sam Spade makes a bold offer. Gutman responds articulately: ""That's an attitude sir that calls for the most delicate judgment on both sides, because as you know sir, in the heat of action, men are likely to forget where their best interests lie ..."".And Peter Lorre is a hoot as Gutman's mischievous elf, Joel Cairo, who tries, without success, to threaten Sam Spade, but only succeeds at getting on Sam's nerves.The film's high contrast B&W lighting renders an effective noir look and feel, one that would be copied in films for years to come. Acting varies from very good to overly melodramatic. The script is very talky. For the most part, the film is just a series of conversations that take place in interior sets.Stylistic and cinematically innovative, ""The Maltese Falcon"" has endured as a film classic. I suspect the main reason for its continued popularity is the continued popularity of Bogart. But I personally prefer the performance of Sydney Greenstreet, the enticing fat man. Yet, together they would reappear in later films, one of which would follow, in 1942, as the classic of all classics.",Lechuguilla,N/A
5,8,First of the great films noir & John Huston movies,"Not only is ""The Maltese Falcon"" one of the first prototypical examples in what would be the subsequent 10 years of great film noir movies, it's also the first movie in the exemplary directing career of John Huston (from the screenplay he adapted from Dashiell Hammett's Sam Spade novel). And, even though Bogart had been acting throughout the '30s in mostly supporting roles opposite great actors (like Edward G. Robinson, James Cagney, etc.) and actresses (Bette Davis, Ida Lupino, Ann Sheridan, etc.), this role was to make him a bankable star & lead.Like many films in the noir genre, the unnecessarily complicated plot devices are secondary to lighting, mood, tone, and the imperfect cast of characters. It's not as absolutely inscrutable as ""The Big Sleep,"" but more or less tied with ""Out of the Past"" on the hard to follow scale. Mary Astor was an old pro by this time, and she'd said that the motion picture newbie, Sydney Greenstreet, was scared to death during his scenes, though you'd certainly never know it from the result.Huston managed to find a little cameo appearance for his father, Walter Huston as the mysterious Captain Jacoby. And the matte black statuette of the title is perhaps the ultimate example of what Hitchcock called the ""MacGuffin,"" and as Bogart tells his cop friend at the end: ""It's what dreams are made of."" Indeed.",dfloro,N/A
6,10,A Potpourri of Vestiges Review: Humphrey Bogart makes his highly deserved tryst with super-stardom in John Huston's directorial debut,"Seven decades have passed but the suspense and thrill of The Maltese Falcon still reign supreme. The movie, despite being in black & white, appears strikingly refreshing both to the eyes and the intellect. Primarily remembered as John Huston's directorial debut, the movie played a decisive role in giving Film-Noire its true identity as a genre. The Maltese Falcon also gave Humphrey Bogart his highly deserved super-stardom that had hitherto eluded him. Huston creates an environment of suspicion, doubt and uncertainty that is so convoluted that even Hitchcock would be proud of it. The movie has multiple layers of mystery and suspense that keeps the viewer engaged throughout.Sam Spade is a private detective who runs an agency with his partner Miles Archer. An ostensibly naive lady, Miss Wanderly offers them a task to pursue a man, Floyd Thursby, who has allegedly run off with her younger sister. The over-simplicity of task arouses Spade's suspicion, but Wanderly's lucrative offer makes the duo overlook it initially. Miles is killed during the pursuit and the police inform Spade of the mishap. Spade only discreetly tells the police that Miles was after a man named Thursby without disclosing anything about Miss Wandely. The police soon find Thursby dead as well and suspect Spade for killing him in an act of revenge. Soon Miles Archer's widow shows up at Spade's office and insinuates of her romantic involvement with Spade, who shuns her away after she tries to incriminate him for the murder. The police come across an anonymous lead and begin suspecting Spade for killing his partner, Miles. The plot thickens with the entry a couple of obscure characters including Joel Cairo, who happens be an acquaintance of Miss Wanderly. He is in pursuit of a highly precious, antique, gold statuette of Maltese Falcon and offers Spade five grands to help him find it. A game of cat and mouse soon ensues, between the various stake holders, which becomes deadlier as the stakes are raised.Humphrey Bogart perfectly fits into the shoes of Spade—a sleek and sharp sleuth—and makes it his own in a manner that only someone of his grit and caliber could. Bogart is in top form right from the inception to the finale, stealing the spotlight in almost every scene that is he is part of. Bogart could only demonstrate his prodigious talent and acting prowess in short bursts during his long ""B movie"" stint in which he was mostly type-casted as a gangster. The Maltese Falcon was Bogart's big break after years of anticipation and he didn't leave a single stone unturned to prove his mettle. Bogart shows his class and stamps his authority as a performer during the portrayal of Spade: he is ever so quick-witted thanks to his sublime articulacy and his prowess at repartee seems unparalleled; the inherent cynicism in Spade and the perspicacity with which he operates soon became Bogart's trademark and catapulted him to super-stardom. Many regard Bogart's performance in Casablanca as his absolute best, but I rate his portrayal of Spade second only to his supernal portrayal of Dobbs in The Treasure of Sierre Madre, where he took acting to hitherto unattainable and unforeseeable heights.John Huston uses the Midas touch he had as a screenwriter to strike all the right cords in his directorial debut. Almost everyone in the supporting cast gives a memorable performance with special mention of Peter Lorre as the deceptive Joel Cairo, Sydney Greenstreet as the witty yet dangerous Kasper Gutman and Mary Astor as the scheming Brigid O' Shaughnessy. The taut plot of the movie, which is masterfully adapted from the novel of the same name by Huston himself, is well complemented by the impressively written dialogs that are delivered with an equal prowess. Amidst the everlasting suspense the movie has an obvious undertone of dark humor that adds great value to the movie. The cinematography undoubtedly features amongst the best works of the time.The Maltese Falcon is not merely a Noire masterpiece but also a testament to the true spirit of cinema that has kept itself alive despite decades of relentless mutilation and sabotage in the name of commercial movie-making. Despite being devoid of modern-day gimmicks the movie is incredibly high on suspense and holds the viewer in a vice-like grip throughout its runtime. It's a real shame that movies like these are seldom made these days. The tone of the movie is such that it makes suspense thrillers of today appear like kids cartoon.PS. The movie is an ode to Bogart, Huston and all those who made it a reality. It's suspense cinema at its absolute best with a completely different treatment to themes propagated by the likes of Hitchcock. It's a must for all the Bogart fans worldwide, and absolutely essential for all those who have a penchant for Film-Noire as a genre. 10/10http://www.apotpourriofvestiges.com/",murtaza_mma,N/A
7,10,One of the great crime films,"Following the murder of his partner, a San Francisco private detective investigates and gets involved with a mysterious woman and three unscrupulous adventurers, all of whom are competing to obtain a valuable fabled falcon statuette.Academy Award nominated film that defined Humphrey Bogart, who plays the private detective Sam Spade. The supporting cast led by Mary Astor, Sidney Greenstreet, Peter Lorre and Elisha Cook Jr. are in fine form and play well off each other. With John Huston in his directorial debut and the crisp dialogue, this is one of the greats. Do not miss it.",russjones-80887,N/A
8,10,"""I Won't Play The Sap For You.""","The Maltese Falcon has a totally atypical Hollywood history. After two previous filmings of Dashiell Hammett's novel, the third time a classic film was achieved. Usually the original is best and the remakes are the inferior product.These characters that John Huston wrote and breathed life into with his direction are so vital and alive even 65 years after the premiere of The Maltese Falcon. You can watch this one fifty times and still be entertained by it.I'm not sure how the code let this one slip through. Humphrey Bogart as Sam Spade is partners with Jerome Cowan in a detective agency Spade and Archer. Client Mary Astor comes into their office requesting help in getting rid of a man who's intruding in on her life. Jerome Cowan as Miles Archer eagerly takes the assignment and gets himself bumped off for his troubles.Cowan is quite the skirt chaser and he certainly isn't the first or the last man to think with his hormones. That's OK because Bogart's been fooling around with his wife, Gladys George. That gives the police, Barton MacLane and Ward Bond, motive enough to suspect Bogart might have had a hand in Cowan's death.As fans of The Maltese Falcon are well aware, there's quite a bit more to the story than that. Bogart's investigation leads him to a crew of adventurous crooks, Sydney Greenstreet, Peter Lorre, and Elisha Cook, Jr. who are in pursuit of a statue of a Falcon that is said to be encrusted in gold and precious jewels.The Maltese Falcon is a milestone film role for Humphrey Bogart. It is the first time that Bogey was ever first billed in an A picture while he was at Warner Brothers. In fact this is also John Huston's first film as a director. He had previously just been a screenwriter and in fact got an Oscar nomination for the screenplay he wrote here. There are some who will argue that this first film is Huston's best work and I'd be hard up to dispute that.After a long career on stage The Maltese Falcon was the screen debut of Sydney Greenstreet. Greenstreet may be orally flatulent here, but there's no doubt to the menace he exudes while he's on screen. Greenstreet got an Oscar nomination for Best Supporting Actor, but lost to Donald Crisp for How Green Was My Valley. Greenstreet created quite a gallery of characters for the next ten years, mostly for Warner Brothers.A favorite character of mine in The Maltese Falcon has always been Lee Patrick as Effie, the secretary at Spade&Archer. She's loyal, efficient and crushing out on Bogey big time. This and the part of Mrs. Topper in the television series Topper are Lee Patrick's career roles. I never watch The Maltese Falcon without hoping that Bogey will recognize how really ""precious"" Effie is.The Maltese Falcon will be entertaining people hundreds of years from now. And please no more remakes of this one.",bkoganbing,N/A
9,6,The Maltese Falcon (1941) **1/2,"Another of those uncomfortable times where I have to step up to the plate as one of the few who finds a universally revered ""classic"" Overrated. THE MALTESE FALCON does have much going for it: It's got one of Humphrey Bogart's greatest performances as tough detective Sam Spade; some sensational dialogue; smart casting in Peter Lorre, Sydney Greenstreet and Elisha Cook, Jr. (Mary Astor - not as smart); dark and brooding noir photography; but the most important thing goes wrong -- the plot is so highly convoluted, full of holes, and so nearly impossible to follow that it makes for a real headache-inducing 100 minutes. I liked the characters and actors so much that I really ""wanted"" to get involved in the story. But everything was strewn all over the place and confused me enough that I was prevented from fully getting into the movie. There have been some films that seemed incomprehensible to me at times, but as long as most of their loose ends become tied up by the time the end credits begin to roll, I'm usually a happy moviegoer. FALCON did not afford me that privilege and was very hard to follow. I can't consider that the mark of a great motion picture. **1/2 out of ****",Cinemayo,N/A
10,10,"""The Greatest Movie Star of all time"" and more","10/10""The Greatest Movie Star of all time"" and moreSpoiler",JFHunt,N/A
