id,user_rating,review_title,review_text,author,date
1,6,Critically-Acclaimed Film with Outstanding Performances Left Me Surprisingly Cold,"This is one of those films which the critics were nearly-unanimous in offering universal praise and yet audiences seemed to be relatively dismissive. (The film didn't quite make back its money at the box office.) The performances of Joaquin Phoenix, Philip Hoffman, and the rest of the cast were outstanding, along with the dialog which seems perfectly suited to its characters. Even the sets of the late 1940's and early 1950's were superb. And there are a number of surprising moments in which you don't know where the story is headed. However, by the film's end, I felt like there was something missing, as if the filmmakers were reluctant to take a risk with the material and say something about their subject through the story. About the last half of the film, the story meanders and never finds again its pace or goal.The film is about the obsession of cult groups which try to answer life's riddles for troubled people. In this case, the group and its leader appear very loosely inspired by Scientology and L. Ron Hubbard, called ""the Cause"" whose leader is Lancaster Dodd (Hoffman). Although Hoffman plays the title role, the story is really about an ex-naval officer Freddie Quell (Phoenix) who is suffering from PTSD as a result of his involvement in World War II. After the war, he is a lost soul roaming through life with a series of misadventures, such as attacking a customer when he works for a department store as a photographer, or accidentally offering a poisonous drink to a migrant worker.At his lowest point, he wakes up on board some kind of small yacht and meets a strange man, Lancaster Dodd, who informs him he's aboard his ship at Quell's request, although our protagonist can't remember having boarded. Quell learns about Dodd at their first meeting who states ""I am a writer, a doctor, a nuclear physicist and a theoretical philosopher, but above all, I am a man, a hopelessly inquisitive man, just like you."" He also says people attack him for his ""dangerous"" ideas. Slowly, Quell learns that Dodd is head of some kind of an underground movement combining philosophy and pseudo-science and publishes books on some far-fetched ideas which probably have no scientific basis. Dodd is often referred to as simply ""Master"" by members of this group. Dodd and his group believe the way to ""heal"" troubled people is by cleansing their souls through a hypnotic process which attempts to heal injuries inflicted during past lives.Probably the most compelling part of the film is the first half, where we as the audience learn about Dodd and the Cause through the eyes of Quell. The most captivating moment is when Dodd is accused of not only illegally accepting a large donation from a philanthropist through a foundation, but practicing medicine without a license. I thought the film would focus on these accusations, but then the film leaves these indictments far behind. Afterwards, the film meanders, a bit like Quell at the beginning. The film becomes an episodic montage of interesting moments which are rather disconnected. By film's end, I didn't feel much more was revealed about Dodd and his Cause than when Quell first joined during the first third of the film.Although all the acting is right on the money including outstanding performances by Hoffman and Phoenix, and the script dialog was absolutely true the characters, the entire film was kind of dissatisfying. We as the audience are given hints of the politics of Dodd and his inner circle but often these ideas are never fully developed. Also, much screen time was devoted to many of the ""past life"" sessions conducted by Dodd, but I think at some point it became wasted screen time. After 3 or 4 sessions, I pretty much understood the idea but instead countless others are offered without giving much insight into Dodd and who he is. By film's end, ""The Master"" was more like a character study than a story. A noble effort that wasn't quite there for me.",classicalsteve,N/A
2,8,Joaquin Phoenix deserved the Oscar,"I will never understand how Phoenix and Hoffman didn't win the Oscars. Specially Joaquin, I truly think it is the best actor performance I ever watched in my life. The movie is great, although is not for everyone, you must watch it with the right mindset and pay attention to every detail. Most new actors should watch this movie to take notes on how to be a better actor. Cheers.",Hazu29,N/A
3,6,Fantastic Performances Without a Story,"If you like good performances, then you should watch this movie. The performances of all the lead actors, Philip Seymour Hoffman, Joaquin Phoenix, and Amy Adams, are superb. Just really very very good. And, as others have mentioned, the cinematography is excellent. Every shot looks wonderful, and the close-ups are great. But if you want a coherent plot that tells a story that makes sense, then this movie is not for you. I never figured out why any of the characters did what they did, and I never believed that some of the things that happened would actually happen. While it does some things Wonderfully, structurally, it's a mess.",billradun,N/A
4,N/A,"Looks stunning, wonderfully acted but the story-telling is weak and gradually loses any momentum it may have had","I came into The Master knowing almost nothing about it and, knowing (and caring) almost nothing about Scientology, it transpires that I may not have been able to take as much from it as someone going in fully informed and ready to be led by the director. I say this upfront because I have noticed that generally, criticism of this film tends to be met with a snobby dismissal of the individual who didn't ""get it"" because they weren't smart enough etc. This said, the film started well and it engaged me for well over the first half, building characters and exploring them in a patience rhythmic manner that mirrors the hypnotic delivery of Dodd himself. Sadly this build doesn't have a delivery to speak of and in the second half of the film it really did lose me.What else it lost was any direction and sense of momentum that it may have had up till that point. The story doesn't go anywhere and it takes its time doing it, meandering through similar ground and offering nothing to really justify the long running time. Some may chose to see this as people complaining about a lack of action etc (again, that snobby of assuming such comments must mean ""I need a car chase"") but this isn't it at all; the story-telling seems to fall way down a priority list and it is a real shame because so much else about the film is excellent.The first thing that grabs you is visually how stunning the film is – and it is a factor that remains consistent across the whole film. The colors, the framing and the size of the images are alluring and engaging. I had not heard of Malaimare before seeing his name in the credits, but his work here is terrific. On top of these images we get great use of music that is like a bedding rather than being stuck on top. It is hard to describe but it works very well, spilling under scene after scene and giving the delivery an oddly engaging feel and tone. As everyone has already said, the film is carried with some very strong performances. Phoenix is really great, with ragged edges and internals on display. Hoffman is more patient but also prone to rage when questioned and he balances this well. Adams surprised me the most as I think I didn't expect her to be as good as she was. The three of them (but mostly the lead two) make the film much better by virtue of what they do – and it is just a shame that the story-telling isn't better for them.Indeed this is true for me of everything, because the film is so well made, looks so beautiful and is a great piece of crafting that it really is such a shame to be left cold by it and to feel it meandering without any momentum or reason. It is a great film and it deserves to be seen for what it does so very well, but in no way is it a good story – and it is this aspect that really lets it down.",bob the moo,N/A
5,9,This is extremely difficult for me. Let me just start.,"Yes, herein contains some of the most ravishing filmmaking of the new millennium. The period details are abstract yet precise. The score has a stark, primordial allure. It's post-WWII America: Psychologically scarred veterans attempt to cramp themselves back into society. One is loner Freddie Quell, adrift in emotional confusion. He's secured a gig as a portrait photographer at a lavish department store imagined like a temple of indulgent commercialism. But Freddie doesn't last long there. In the darkroom, he screws models and chugs rotgut he makes with photo chemicals. Ultimately, he loses it on a customer, not just hitting him but harassing and lambasting him, working out some indecipherable, irrepressible rage.Phoenix's performance as Freddie reduces all he's done before to a preparation exercise. He longs for something, but even he can't tell you what, and that sorrow has clotted into self- destructive ritual. We see his snarly face from angles we haven't seen before. We're not sure if his leery eyes are hateful or if he's dead inside. He's a captivating animal.Then he meets stout, articulate Lancaster Dodd, always circled by people who treat him like a prodigy, hanging on his every word, laughing at all his mugging. Lancaster fancies himself a renaissance man. He's married to Peggy, who's much more vigilant than we first think. His son trails the proceedings with a dormant pose of derision. His daughter marries a man who, like everyone else in their clique, views him as a wizard.The film belongs to Phoenix, but Hoffman more than does his thing, his affectations ringing with conceit and fraudulence. Freddie---father dead, mother institutionalized---is naturally drawn to Dodd, who promises answers, mental freedom, happiness, even claims to cure leukemia. He's written a book his bootlickers treat as a sort of bible. He loves to charm and perform.It's well-known that Lancaster's cult is inspired by L. Ron Hubbard's Scientology. It's not direct, but the manner in which Lancaster draws Freddie into the fold, among other things, is unmistakably influenced by the contentious institution and Hubbard's life. Paul Thomas Anderson doesn't bind to that inspiration for his movie...but he doesn't bind to anything, really. You walk out muddled, wearied, wondering where to start in connecting the dots in this elegant, arresting movie. The story is as confounding as its technique is magnificent.Anderson, the true wunderkind of the Tarantino generation, sets everything up so beautifully, you wait for the turning point to prevail so the intrigue can come to boil. Instead, nothing progresses. The dramatic developments seem to dwindle and become less consistent as the movie drifts along, and Anderson throws in pauses, like a lingering desert scene or an outstretched montage in which Freddie is made to pace in a room, that slow the movie to a drudge. Freddie's sex preoccupation, which was stressed in the film's early stretch, grows dissonant. It's less about narrative arc and more the emotional condition of two men, a twist of trust and mistrust, id and superego. PTA's vision is grand in scope, but his result is not so much ambiguous as opaque and detached.For the first time in his immaculate career, the greatest filmmaker of his generation seems to languish. His newfound frigidness makes the film easy to admire but difficult to love. Anderson is so stunningly impressive, in fact, that it's taken me two viewings of The Master to admit all this to myself. Understandably, some critics have patronized it as deliberately evasive and occult, but isn't that just double-talk? A glorification of an artist's failure to proportionately bear his ideas? Something particularly intriguing is how the movie poses questions not so much about the importance of faith, but how far the human limit for change can extend and to confront emotional devastation so heavy it can never recover. But the film is too ambivalent or cautious to probe them in depth. By the end, it's become an opaque challenge between two phenomenal actors whose commitment to their roles is awe-inspiring, but it's manacled to a work so in awe of itself, the audience gets blockaded.",jzappa,N/A
6,7,"PTA is the Master, but I am not Freddie Quell","7/10PTA is the Master, but I am not Freddie QuellSpoiler",nickm3513,N/A
7,8,"Capital ""A"" Acting","I had no clue what I was heading into when I pressed play. I think it's really hard to make a bad movie when you have Philip Seymour Hoffman, Jaoquin Phoenix, Amy Adams, and Jesse Plemons leading the charge. Hoffman and Phoenix are fully absorbed into their characters and the film forces its audience to try and follow these conversations that somehow feel super grounded (due to Hoffman's amazing delivery) and unsettling at the same time. This movie really could not have worked without the talent of these actors.Amy Adams does so much with so little screen time; I do wish we got more time with her but I think her lack of presence contributes to the messaging of the film. She gives an extremely pulled back/subtle performance of a woman that is truly in the middle of the storm.This feels fresh and distinct from any other movie I've watched, so I'd definitely recommend it.",ralphcorbelle,N/A
8,7,A great film about a great fraud,7/10A great film about a great fraudSpoiler,latinfineart,N/A
9,8,HARD-HITTING. Great performances but seems inconsequential.,"My Rating : 8/10Inspired by Scientology founder L. Ron Hubbard and the development of a cult, 'The Master' is a drama-piece through and through.The movie doesn't have a message or goal as such and sort of does it's own thing.The things worth watching are the terrific performances, weird content and some very fine cinematography.",A_FORTY_SEVEN,N/A
10,7,The Master of his fate,"Paul Thomas Anderson's ""The Master"" is a puzzling, often bewildering film. Very few films have left me shaken and stirred and still leave me wondering, ""What was that all about?"" I can't say that I hated the ride. It is, quite simply, a remarkable film from one of America's best filmmakers today. This film is not for everyone, however.The film's center plot; the one about self-described nuclear physicist, philosopher and professor Lancaster Dodd and his ""organization"" ""The Cause"" - as seen from the point of view from a shell-shocked psychotic drunk Freddie Quell. During the course of the film Lancaster and Freddie bond somewhat with Lancaster progressing his latest works.The main performances by Joaquin Phoenix and Philip Seymour Hoffman are superb, and should warrant both of them Academy Award Nominations for Best Actor. Both of them. Phoenix is literally on fire here, his quirky mannerisms, twitching lips, unforgiving, unsettling eyes and ferocious anger and voice had me on the edge every time I see him on screen. Hoffman also is more subtle, though we see growing anger and rage whenever he feels that his work is being threatened. He can be classy, charismatic, and when threatened, loses all of that and becomes about as desperate as Freddie. Brilliant work by both actors. Watch the scene where Lancaster gets through to Freddie, or the harrowing scene where both of them are in jail cells. Special mention to Amy Adams who, while not really standing out, gives off a peculiar and somewhat sinister aura whenever she's on the screen.Anderson's solid screenplay and his concentrated direction bring the goods. There seems to be a pattern about Anderson's last three films including this one. Both ""Punch-Drunk Love"" and ""There Will Be Blood"" featured lead characters who are extremely lonely and prone to snap to anger. ""The Master"" is somewhat a bit of both, where the lonely man can be both psychotic without reason and yet there are scenes which show he is, after all, a man. Some very well written lines (""If you can find peace without looking up to a master, any master..."") meshed with some really great cinematography by Mihai Malaimare Jr. that brings nice color tones to the 1950 production design. Complementing all of this is Jonny Greenwood's eerie, dissonant score which makes the movie all the more odd, unsettling, and yet compelling to watch.Eventually, both men in the movie are the masters of their own fate, and Anderson his own. It may move some and it may turn away others, but this is a fascinating watch nonetheless. ""The Master"" is one of 2012's very best films.Overall: 91%",dvc5159,N/A
