id,user_rating,review_title,review_text,author,date
1,9,Everything's Jake In Second Trip To Well,"The fix is in, the odds are set, and the boys are ready to play for the big time, both on the screen and behind the camera in this breezy, endlessly entertaining movie classic.Robert Redford is small-time hustler Johnny Hooker, happy to play the marks in Joliet until the murder of his mentor pushes him to go up against the nastiest mug in Chicago, Doyle Lonnegan (Robert Shaw.) Hooker'd rather ice Lonnegan outright, but will settle for a big con with the help of a slightly wobbly but game scammer named Henry Gondorff, played as only Paul Newman can.Newman and Redford, along with director George Roy Hill, had a lot riding on this pony, given it was a follow-up to their earlier ""Butch Cassidy And The Sundance Kid."" To measure up, they had to produce nothing short of another classic. And so they did. ""The Sting"" won the Best Picture Oscar in 1973, and remains the sentimental favorite among many in choosing between the two films.Comparing ""The Sting"" to ""Butch Cassidy"" is kind of overdone sport, and tempers, as Lonnegan would say, run hot. But you can see why ""The Sting"" worked as well as it did by looking at how the director and the stars played it differently within the same basic framework as ""Butch Cassidy."" Newman and Redford are again outlaws and underdogs. Period detail abounds here as it did with ""Butch Cassidy,"" and there's another memorable score amid the proceedings, Scott Joplin rags modernized by Marvin Hamlisch. The score even produced another hit, ""The Entertainer,"" to compare with ""Raindrops Keep Falling On My Head.""What's different about ""The Sting,"" and what makes it such a classic in its own right, is the way the stars service the plot. In ""Butch Cassidy,"" Newman and Redford's comradeship was the story. Here, the chemistry between the two actors is minimized in favor of spinning a yarn with enough red herrings to feed the Swedish navy. The tale here is better than ""Butch Cassidy,"" which is a more elegiac film with grander cinematography and funnier set pieces. ""The Sting"" is an edge-of-your-seat caper flick from beginning to end.You can't really call ""The Sting"" a comedy. Though there are many laughs, especially when Newman hooks Shaw during a poker game, Hill won't let the audience relax enough for that. What this is is a con game, played on the audience, designed not to cheat but entertain by means of clever hoodwinking and constant misdirection plays.You'll get no spoilers from me. This is one worth sitting through with no expectations. Five gets you ten you'll enjoy Newman and Redford, and a terrific supporting cast (one advantage over ""Butch Cassidy"") that includes Charles Durning, Eileen Brennan, Dana Elcar, Harold Gould, and Mr. Hand himself, Ray Walston. There's another familiar face from ""Butch Cassidy,"" Charles Dierkop, Flat Nose Curry in ""Butch Cassidy"" and Lonnegan's right hand here. The best performance may be Robert Shaw's; he exudes menace aplenty but some humanity, too, when he takes Hooker under his wing after learning he came from the same hard streets of Five Points Lonnegan sprang from.Terrific period detail, too. The dialogue is great and feels real in its Runyonesque way, while the cons are elaborate and logically played out. Watching this a second time is especially fun because once you know how the plot goes down, you find yourself catching clues you missed the first time, and enjoying the film even more for them.Why didn't Newman and Redford team up again? Certainly there was another good movie for them to partner up in, but as Gondorff would have put it, only chumps don't quit when they're ahead.",slokes,N/A
2,9,The clever plot makes multiple viewings mandatory for full enjoyment...,9/10The clever plot makes multiple viewings mandatory for full enjoyment...Spoiler,Doylenf,N/A
3,9,The Moral Order Restored,9/10The Moral Order RestoredSpoiler,JamesHitchcock,N/A
4,N/A,You wanna make a film - here's how...,"A delicious wheeze from start to finish. Certainly a film that leaves you thinking that you'd like to have been in Henry's gang and played a part in separating Lonnegan from his dough. The editing is pin sharp and beautifully cast with a superb musical track to keep you company. The framing, the photography, the pace all dovetail exquisitely and if you feel left outside of the game plan in your first viewing, never fear, the second time of watching, you'll enjoy it just as much but it will mean more. Certainly it's a film you'll want to see a second time. At least. Oscars rightly by the handful and nominations are full deserved to combine for a winning performance by all concerned. Definitely in my top fifty of all time.",petangi,N/A
5,10,Working The Big Con,"The Sting, evoking a bygone era of gangsters and con men, was the deserved Best Picture of 1973. The Sting won that Oscar plus a whole flock of technical awards. One award it didn't win was for Robert Redford as Best Actor.That must have been tough for the Academy voters because to single out Redford as opposed to Paul Newman must have felt a bit unjust. For though Newman was nominated many times over his career and finally did win for The Color of Money, did not get a nomination for The Sting.Robert Redford is a small time grifter who while working a bait and switch street con takes off a numbers runner carrying the weekly take. The orders come down from the head man himself, Irish-American gangster Robert Shaw to kill those who did this as an example.Redford's mentor, Robert Earl Jones, is in fact killed, mainly because Redford starts spending a lot of that newly acquired loot that tips them off. Redford wants revenge so he looks up big time con man Paul Newman who himself is dodging law enforcement as is Redford also.They work the big con on Shaw and it's a beauty. The scheme they have is something to behold. They also have to do a couple of improvisations on the fly that lend a few twists to the scheme.The costumes and sets really do evoke Chicago of the Thirties and director George Roy Hill assembles a great cast to support Newman and Redford. My favorite in the whole group is Charles Durning, who plays the brutally corrupt, but essentially dumb cop from Joliet who nearly gums up the works and has to be dealt with.Special mention should also go to Robert Shaw. He's got a difficult part, maybe the most difficult in the film. He's not stupid, he would not have gotten to the top of the rackets if he was. But he also has to show that hint of human weakness that Newman, Redford, and the whole mob they assemble that makes him vulnerable to the con.During the sixties and seventies Robert Shaw was really coming into his own as a player, getting more and more acclaim for his work. His early death was a real tragedy, there was so much more he could have been doing.Can't also forget another co-star in this film, the ragtime music of Scott Joplin that was used to score The Sting. It probably is what most people remember about The Sting. Music from the Theodore Roosevelt era, scoring a film set in the Franklin Roosevelt era made while Nixon was president. Strange, but it actually works.The Sting still works wonders today.",bkoganbing,N/A
6,10,The caper movie uber alles,"A magical plot, dead on art direction, brilliant supporting roles (most notably Robert Shaw, ya falla?), and the guiding hand of Redford/Newman chemistry make this one of the Hollywood's great films.  ""The Sting"" is a hallmark of the ""Golden Age"" of American film, and has molded not only countless films, but numerous genres, few of which have met the challenge of its master.",moman818,N/A
7,10,Quite good--especially the first time you see it.,10/10Quite good--especially the first time you see it.Spoiler,planktonrules,N/A
8,10,And Don't Forget Scott Joplin!,"I agree 100 percent that this is a wonderful movie. I first saw it over 30 years ago, and it remains vivid in my mind while I can't remember zip about movies I saw last week which others have praised and I found wanting. I can't think of another film about double and triple crosses that deserves to be mentioned in the same sentence with ""The Sting"" (which doesn't mean that some of the others haven't been good). In addition to all the things that others have praised, one of the most memorable features of this film is the use of a Scott Joplin rag, which both lends a distinctive period touch and adds a sense of fast-paced motion to the action. I'm not much for ranking films -- top five, top ten, top 250 -- but this is one of the best. If you haven't already seen it, drop everything and find the DVD. As pure entertainment, it can't be beat.",gelman@attglobal.net,N/A
9,10,You falla?,"I was blown away by ""The Sting."" I'm a fan of caper films such as the ""Ocean's Eleven"" or ""National Treasure"" movies, and this is no exception (in fact, this is probably the best caper film I've seen). I didn't think Robert Redford and Paul Newman would be able to top ""Butch Cassidy and the Sundance Kid,"" their previous film together, but they totally did. It's a great plot that ends up ""stinging"" not only the characters but the audience as well (see it to find out what I mean). It's a great balance between comedy and drama; it can be quite dramatic, but when it's funny, it's very funny. The plot involves Newman and Redford taking revenge on a gangster who killed one of their men. It's a complex, fun-filled story that entertains and mesmerizes. Some people are shot with guns, but nothing in the film is too difficult for the average person to watch, in my opinion. Not only are Newman and Redford excellent, but so is the supporting cast, including Robert Shaw, Harold Gould, and Charles Durning. The film won Best Picture of 1973, which was deserved. The film is just excellent. One of my personal favorites.",livealittleday,N/A
10,8,The Smart Swindle...,"Doyle Lonnegan (brilliantly played by Robert Shaw) is a mean and vengeful villain, his retribution leads to you, losing a friend (he's after you too), you find your way to Henry Gondorff (coolly performed by Paul Newman), a sting is conjured around a horse (or horses), then you gather several cons, play let's pretend. The irritation is lieutenant William Snyder (played by the excellent Charles Durning), he's on your tail, and it's not long, before he'll find you, but there are ways to cause distractions, to pervert his satisfactions, as Johnny Hooker (Robert Redford nails it to perfection) you deliver quite a blinder.Perpetual perfection that continues to deliver to this day.",Xstal,N/A
11,7,Undeniable star power and top quality production values lift this depression set caper movie.,"Undeniable star power and top quality production values lift this depression set caper movie into something more than the standard fayre it might otherwise be. In reality, it's lightweight entertainment, but it's put together with panache and a lightness of touch and you can't help but enjoy it.Robert Redford was bigger box office when this film was made and his role affords him much more screen time that that given to his co- star, Paul Newman. It's a shame because it's the scene's that involve the two of them together that leave the most impression. Their previous, superior, outing made the most of their combined chemistry and you can't help but wonder if this movie could have been even more fun.If you feel like a little light-hearted entertainment one afternoon, this will do nicely. Enjoy!",Artless_Dodger,N/A
12,10,The Sting,"Great comedy-crime caper with giants Newman and Redford rekindling their ""Butch & Sundance"" flame to take down crime lord Robert Shaw (his finest role). Marvin Hamlisch beautifully recreates Scott Joplin's great music, while director George Roy Hill and screenwriter David S. Ward keep the film moving with snappy dialogue, wonderful art direction and editing and an excellent supporting cast. Followed by a sequel ten years later with Jackie Gleason.",Coxer99,N/A
13,7,Sensational picture with the greatest stars  and  winning deservedly several Oscars,"In 1930s Chicago, a young con man (Robert Redford's character , Johnny Hooker, is supposedly named after blues legend John Lee Hooker) seeking vendetta for his murdered partner teams up with a master of the big con (Paul Newman) to win a fortune from a criminal mobster (Robert Shaw).Enjoyable picture with magnificent performances, splendid period piece , thrills , humor , plot twists , emotion and amusement . The movie is based on the real-life exploits of grifter brothers Charley and Fred Gondorf, whose experiences culminated in a scam similar to the one shown in the film, known in 1914 as ""the wire"" or ""the big store"". Unlike the movie, however, the actual ""mark"" was more than happy to testify against Charley Gondorf, the front man of the scam, and he spent time in Sing Sing, as did his younger brother a year later for running another scam , both served a few years and were released . Producer David S. Ward got the idea for this movie when he was working on the script for Steelyard Blues, which includes a pickpocketing scene , researching this, Ward found himself reading about con artists ; Ward had shown the other screenplay to Tony Bill, so he now gave him an outline of this story. Likable acting from Robert Redford , Jack Nicholson and Warren Beatty turned down the role of Johnny Hooker before Robert Redford changed his mind and decided to play it . Exceptional Paul Newman as an expert swindler. Robert Shaw was injured his knee and incorporated the resulting limp into his performance , as he steals the show as a nasty mobster , though Richard Boone was the first choice for the role of Lonnegan , Oliver Reed was offered the role but refused to test for it , he would later play Lonnegan in the sequel . Support cast is frankly excellent such as Charles Durning as Lt. Wm. Snyder , Ray Walston as J.J. Singleton , Eileen Brennan as Billie , Harold Gould as Kid Twist , Charles Dierkop as Floyd and Dana Elcar as FBI agent . Evocative set decoration by Henry Bumstead who usually worked with Alfred Hitchcock . Colorful and glimmer cinematography by Robert Surtees , usual cameraman expert on super-productions . Director George Roy Hill wanted to film the picture on location, but Henry Bumstead was adamant that it would be much too hard to get the period appearance right; for example, things like lane markings on the streets ; in the end, the only location shooting was a few days' worth in Chicago and Los Angeles; most of the exteriors were filmed on Universal's back lot . Wonderful score consists of Scott Joplin ragtime compositions well played by recently deceased Marvin Hamlisch , which were composed between 1900 and 1910 , although The Sting helped bring Joplin's ragtime back into American popular culture, they actually predate the period of the story by 25 years. Marvelous gowns by Edith Head who won her 8th and final Best Costume Design Academy Award for this film .Followed by an inferior sequel , ¨The sting 2¨ (1983) by Jeremy Kagan , also produced by David S Ward with Jackie Gleason , Karl Malden , Mac Davis, Teri Garr and Oliver Reed was offered the original role but refused to test for it he would later play Lonnegan in this following. Rating : sublime film , two thumbs up , essential and indispensable seeing .",ma-cortes,N/A
14,5,"Too long, too slow & between impossible to take seriously and not that fun to watch","The Sting, 1973, is the sort of film that gave rise to the grifter /crime type that has since proliferated and taken such forms in the modern day as your Oceans Eleven Twelve series where the whole plot relies on a giant scam which as it progresses reveals smaller sub-plots or sub-scams, like mini twists that keep the movie alive all this time. It turns out this one here is a bit silly in concept, but as a film why not - the only problem is as much as the movie demands a great deal of indulgence from the viewer, it doesn't in turn offer, well, all that much fun. You can do with a couple of inaccuracies and play the role wearing a thick lens for a film's time, but this here is two hours and ten minutes, it just goes on and on and there isn't enough to cover that length.Now some parts are funny, maybe a couple (the painter trick in the Western Union office with the guy randomly giving the secretary a phone message was good), Redford and Newman do well, Shaw is very good as the trustless perpetually wary villain... but it's just too long, oddly paced and neither great fun nor terribly serious, but it's probably one of the first films that started this trend which gave rise to a great comedy like ""Dirty Rotten Scoundrels"".
4.5/10.",Horror-yo,N/A
