id,user_rating,review_title,review_text,author,date
1,8,Well done!!,"As someone who's a fan and who has actually worked behind the scenes in pro wrestling, I can tell you that Randy ""The Ram"" Robinson's story is a very respectful and realistic portrayal of the toll pro wrestling takes on its stars' lives. Certainly not everyone in the biz ends up as destitute and lonely as Randy was - some do, definitely - but those who end up well-off in every sense of the word (like Hulk Hogan, John Cena, Stone Cold Steve Austin, and The Rock, for instance) are VERY, VERY rare. Most end up somewhere in between.Interestingly, as precarious as Randy's health became, however, if he were in his mid-50's (as was Mickey Rourke at the time), he still had a longer pro wrestling career than many others who abused their body likewise. Randy still was made up of some very tough stuff and in fact beat the odds with his career length.When asked ""is pro wrestling fake?"", I always answer, ""only where it needs to be"" - i.e., the story lines and SOME of the action. No one deliberately sets out to end another one's career, but like any other contact sport such as pro football, the athleticism and subsequent pain & injury are all TOO real. There's no ""off season"" in pro wrestling, and certainly no astronomically high salaries as other pro athletes make - not by a long shot. But in pro wrestling you'll find the best athletes in the world.Bottom line: It's a brutal business and an extremely hard way to make a living - period. That's why the men and women who stick with it and suffer all they do is for one reason only - because they love it. May God bless them all. :)",MissyH316,N/A
2,8,The role Mickey Rourke was born to play,"""The Wrestler"" is a beautiful movie, but it wouldn't be half as good if Mickey Rourke hadn't given the main character a face and a heart. There's virtually no other Hollywood actor that could have embodied Randy ""The Ram"" Robinson as perfectly as Rourke, and it's shocking to think how the movie could have turned out had someone else, say Bruce Willis or - as originally planned - Nicolas Cage played the part. With Rourke it's not so much an actor memorizing lines and delivering them convincingly, it's like watching a guy having gone through hell and now showing his scars. Rourke's performance even lets one overlook some rather clichéd elements in the story (the exotic dancer with a golden heart, the neglected daughter, a dance in a romantic dilapidated ballroom). It's all good, because one look at Randy's face reminds us of all the hits and punches he must have taken in the past, and it all becomes real again.So, Rourke obviously makes the movie, but that's not the only remarkable thing. Besides a very good performance by the beautiful Marisa Tomei, ""The Wrestler"" is also worth mentioning because it marks the first time Darren Aronofsky has made a straight forward drama that's not heavy headed or laden with too much symbolism. After the highly pretentious ""The Fountain"" such a movie was more than due. ""The Wrestler"" proves that Aronofsky is not only capable of stylistic extravaganza, but can also handle the art of ""plain"" storytelling.The fine title song by Bruce Springsteen must not be forgotten, either. After ""Streets Of Philadelphia"" and ""Dead Man Walking"" this is his third soundtrack contribution that captures the feel of a movie beautifully. Props to Aronofsky for putting an emphasis on that song by letting it play over a black screen for a couple of seconds before the closing credits start to roll.In the end, ""The Wrestler"" is such a huge success because Aronofsky made the right choice by insisting on Rourke to play the main role, and because Rourke more than lived up to the director's expectations. Sean Penn may have been very good in ""Milk"", but the character of The Wrestler is a thousand times more interesting and memorable, and considering that fact that Rourke will forever be remembered for this great performance, he would really have deserved the Oscar.",Superunknovvn,N/A
3,9,A Haunting Portrait Of Loneliness,"Wow, what a sordid but fascinating film. I can why Mickey Rourke won so many awards for his performance, too. The same goes for the film.The film was shocking to me: For instance, it was a shock seeing Rourke -""Randy The Ram"" - with the long, flowing blond hair and rippling muscles. Hey, it's not that former boxer was ever in bad shape, but he never had muscles like this either. The man must have pumped a lot of iron to get ready for this role as an aging wrestler.Another shock was seeing Maria Tomei, of ""My Cousin Vinny"" fame, naked - and in that state in more than one scene. She didn't leave much to the imagination as ""Cassidy."" A third shock was seeing some of the early wrestling scenes. Yeah, pro wrestling is rough stuff and it's bloody and it's fake, etc., but the scenes in here are pretty brutal, more than I've ever seen on TV. The one extended match with the ""staples"" was pretty gruesome.Evan Rachel Wood is convincing as Randy's daughter ""Stephanie."" This 21-year-old is no stranger to acting, having been doing it since she was four! The scenes with her and her dad are memorable.When the shock of the above scenes of sex and violence (and language) fade away, underneath it all is a very tender, sad tale of a lonely man who invested too much in his career and, after coming close to mortality, realizes the important of family and simply being loved by anyone. That's what sticks with you long after the film ends. Loneliness can be a killer.""Randy"" tries to mend fences and post a few himself - in his final quest not to wind up as an island in this world of humanity - with both successful and unsuccessful results. Sometimes you can never change what you are, and sometimes you can. Both of those are demonstrated here in this oddly-edgy-but sentimental film.",ccthemovieman-1,N/A
4,N/A,"Brutal, Honest, Touching film","The Wrestler is a drama centered around an aging professional wrestler past his prime. It's so much more than that. You don't have to be a fan of wrestling to enjoy this film. The wrestling part of it can be put aside as a back story. Randy ""The Ram"" could be in any other profession, doing any other thing and could be in the same situation. That's what's so great about it. He's just a lonely guy, whose life seems to have passed him by. A middle aged man who doesn't have much going for him. Sure, he's a wrestler, but he needs wrestling more than wrestling needs him. He needs it to feel important, to feel like a somebody. He really has nothing to show for himself, no wife, just a daughter he hasn't been there for his whole life. Missed opportunities. He's sad and alone and we really do feel for him.A closer bond seems to be forming between him and his stripper friend, played by Marisa Tomei, who seems to be in a similar situation as he is. The middle aged stripper who seems to have a real connection with ""The Ram"" is shown in another misunderstood profession. We all may not be as different as we may think. Health problems compromise his wrestling career as he tries to deal with the real world and rebuild his relationship with his abandoned daughter. The scenes with Evan Rachel Wood (his daughter) are touching. Beautifully done. Rourke's character portrayal of the Ram is one of the best in a long time. He's not just acting, he transforms into the character on screen. It's amazing to watch. All the credit he's getting is truly deserved.The film is Directed by Darren Aronofsky, who also directed Requiem for a Dream. He does a beautiful job showing the sport with realism. The film respects the wrestlers and their world, and expects the same from the audience. This film is done in a style that's so real, so honest, so amazing, in easily one of the best films of the year. All around great performances and great direction. Definitely worth checking out sometime.",Billy_Costigan,N/A
5,10,A Broken Down Piece of Meat That Doesn't Deserve To Be All Alone,"It's no coincidence that Mickey Rourke is responsible for the comeback performance of the year if not the decade. Rourke's life and tumultuous past parallel Randy ""The Ram"" Robinson's own life so eerily close it becomes clear that no one else could have ever played this role. Darren Aronofsky's fourth feature is not only his most intimate but also his most accomplished to date. Aronofsky offers his most simplistic film both visually and narratively and ends up creating a film that has more depth and layers to it than any of his previous films.Everything about Randy's life is in a state of decay. He retains a body that is on the verge of collapse, he hasn't seen his only daughter in years, financially he is exhausted, and the only thing that brings him solace in life is the same thing that threatens to end it. The most effective aspect of Randy's character is that no matter what mistakes he might have made in the past his sense of regret is so strong and genuine that it is impossible not to forgive him. As beaten down and alone as Randy might be he never looses his fighting spirit or sense of hope, no matter how little it may be. Regardless what hardship Randy is confronted with he never retreats and is admirably courageous even if being courageous might not be the smartest settlement.For the general public who tend to find professional wrestling laughable and are quick to judge as a form of entertainment rather than a sport will find a deadly adversary in Aronofsky. The Wrestler shows that while outcomes of matches may be fixed the physical tolls these men take on their body are often more extreme and long lasting than most other ""respectable"" sports. The fact that Randy gives so much of himself and is ridiculed from everywhere to the trailer park he lives in to the job he keeps while not in the ring, makes us even more empathetic to the struggle Randy goes through to try and make it back on top. Overall The Wrestler is a constantly engaging and compelling character study with some of the finest acting, writing, directing I have seen in recent years. Oh and I forgot, the last shot will leave you speechless.",BandofInsiders,N/A
6,10,Honest to the core!,"I caught an advanced screening of The Wrestler starring Mickey Rourke last night in Hollywood, CA. Following the screening was a Q&A session with Mickey Rourke, Darren Aronofsky, Marisa Tomei, Evan Rachel Wood, and film composer Clint Mansell.Mickey Rourke delivers one of the most honest and heart breaking performances I've seen from an actor. Very rarely do you see an actor come back with such a role. He is truly extraordinary in The Wrestler. There are times in this film when I wonder just how much of this is Mickey in character as ""The Ram"" or Mickey reacting as Mickey to a situation similar to what he went through in his ""lost years"". The parallels are astounding. There is a scene when Randy ""The Ram"" is in the ring and he points to the audience ""It is not over until you tell me it's over"". Is it Mickey or Randy talking there? As a newly revived Mickey Rourke fan, I can tell you this audience member says it's just beginning Mickey!Marissa Tomei delivers a stellar performance as an aging exotic dancer the parallel story to Mickey's character ""The Ram"". Evan Rachel Wood really brings it as ""The Rams"" angry, abandoned and emotionally exhausted daughter. The chemistry between Mickey and Evan is breath taking!Darren Aronofsky delivers this story to us with honesty, realism and artistic skill. I think this young director will be around making fantastic films for some time to come. At least I hope he is!You can't go wrong with this film. It is rock solid to the core!Facts from the Q&AOnly the 3rd American Film to with the Golden Lion at the Venice Film Festival.The film was made for $7 Million.The filmscore is more atmospheric as the composer did not want to interfere with the documentary feel of the film.Mickey Rourke trained for 6 months to get to the wrestling weight of 235 for the film. Weight training, wrestling training and eating 5,000 calories.The scenes of Mickey Rourke and Evan Rachel Wood were as real as they could get. The actors put on music before the scene and just talked about their real life and Mickey's parallels to the film. When the director felt they were there he would yell action and they would work through the scene.The scenes back stage with the wrestlers were all real as well. The crew would go to wrestling matches and film the wrestlers before/after matches. Mickey would walk in and introduce himself (in character) and the scene was improvised.The film was about 20-30% improvisation from the actors.",natasha-bishop,N/A
7,9,An excellent drama about an aging wrestler,9/10An excellent drama about an aging wrestlerSpoiler,grmagne,N/A
8,10,One of the best films of 2008,"Enough has been written already about Mickey Rourke's real-life parallels with his fictional character in The Wrestler. Yes, it makes the story seem even realer, and is perhaps what attracted Rourke to the project. (Or perhaps not  perhaps, instead, it is what attracted Darren Aronofsky to the actor.) But to focus on such surface similarities seems like an undermining of his work here. Rourke may not be as out-of-his-comfort-zone as Sean Penn in Milk, the only other Oscar-worthy lead performance this year, but that is merely a testament to his fundamental understanding of his character: Randy is an understated guy with big scars, both literally and figuratively. He's been wrestling for years  now reduced to borderline tribute shows in front of dwindling crowds, scrounging up barely enough cash to buy the variety of drugs and steroids he needs to maintain his weight. He lives in a trailer park and gets locked out for not being able to keep up rent. He works part-time at a grocery store and visits strip clubs regularly, because it's the only place where he seemingly has any meaningful connections with another human being  namely the dancer Cassidy (played by Marisa Tomei), who is similarly a bit older than most peers in her ""profession,"" yet doesn't really know any other way to live.The Wrestler draws immediate comparison to the classics of working class cinema, including Rocky and On the Waterfront. Sylvester Stallone returned to his iconic character two years to bring resolution to the life of Rocky Balboa, the Philly boxer who got back in the ring for one final match . It was a good film and touched on similar themes  a nice guy stuck in a mean world, an estranged child and ultimately both films present us with the dilemma these men find themselves in: too old to continue doing what they know best, and too old to learn how to do anything else.Whereas Rocky Balboa was a trip down memory lane, it was hardly as bleak or frank as The Wrestler, which is a vastly superior film. Darren Aronofsky has established himself with this picture as one of the most important of modern American filmmakers; to acknowledge that this work is from the same man who directed The Fountain is astonishing, because they couldn't be farther apart on a sylistic level. The Wrestler is grainy, low-key and rough. It isn't polished, fantastical or elaborate. And that suits the material perfectly. The fact that Aronofsky was willing to almost entirely reinvent his approach for the benefit of the story is more than admirable. He deserves a nomination.Tomei is wonderful in her supporting role, fleshing out her character (again, both literally and figuratively) with greater competence than most actresses would probably be able to manage, because it's a fairly obvious role  the ""stripper with a heart of gold"" who is the object of desire for the gruff guy with a tortured soul. Yet she manages to strike a balance in the film as one of two female roles, the other belonging to Evan Rachel Wood as Randy's emotionally severed daughter.The Wrestler is impressive for all its smaller parts as well as the larger ones. When Randy goes to visit his daughter, the reaction is fleeting; it's not overly dramatic and revelatory, like most films of this nature often create such scenes to be. We can tell by her reaction that it's not the first time Randy has attempted to reconcile with her, as she seems unfazed by his appearance on her doorstep. It is in this fashion that the film jumps through all the mandatory hoops of its genre (think, of all things, The Royal Tenenbaums), yet still manages to seem fresh and realistic.And then there's Rourke. As aforementioned, he deserves the Oscar nom he's likely to receive. And he should probably win. This is one of the best performances of the decade, perhaps even of all time, if we really want to get down to it. It's the best work of his career, at once the most fully developed of his characters and the most imperfect. Randy isn't airbrushed to make him seem more appealing to the audience; Aronofsky and Rourke exploit his faults and present him as a normal man, tempted by vices and haunted by his past. Yet we recognize that the drugs, the empty sex and the generally self-destructive behavior Randy partakes in is rooted in the same emotional enguish that the actor himself seems to carry with him; Aronofsky spotted this quality in Rourke, and he fought the producers for Rourke over their first choice (Nicolas Cage), and his dedication paid off  you'll be hard-pressed to find a more convincing, moving or memorable lead performance this year.Ultimately, The Wrestler is one of the year's very best films  a character study that is at once timeless and powerful. And it's helmed by a director who has managed to bounce back from an aesthetically pleasing but shallow art-house film to produce one of the great works of American cinema in the 21st century.",MovieAddict2016,N/A
9,6,The Wrestler: Gritty realism but I struggled to care,"PlotA faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.CastThe man of one face Mickey Rourke leads while flanked by Marisa Tomei and Evan Rachel Wood. For the wrestling fans you'll see Necro Butcher and Ernest ""The Cat"" Miller, R-Truth and more.VerdictNow let me start by saying I'm a wrestling fan and one who is as much interested (And fascinated) in the industry and the behind the scenes as what is shown on camera. For this reason I was quite excited about the Wrestler though I was very much of two minds about Rourke being the leading man. Does he look the part? Absolutely, fantastic choice. But is he an actor with a broad spectrum? Absolutely not.This is not a tale behind the scenes of a high end wrestler in a large promotion, this is the dark gritty heartbreaking reality of independent wrestling and what happens when wrestlers pass their prime.Now the story itself is realistic, deep and impactful. It pulls the curtain back and shows the seedier side of the industry and the struggles these guy go through. The trouble is the character choice is someone who is responsible for many of his own troubles, who simply isn't a good person and that ruined it for me. You see I have an issue with bad protagonists, if I can't care about the character I'm unlikely to enjoy the movie.I don't entirely understand the critical acclaim, but I do get the appeal. For wrestling fans it delivers, for non-wrestling fans it may provide an education on an industry they insist on calling ""Fake"". But as entertainment and for a guy like me who can't cheer on a drug addled dead beat dad, I struggled.RantsI just watched Supacell, it suffered with the same issue as I just described and in a big way. Let's look at our band of heroes, we have another dead beat down, then we have a drug dealer and then finally we have a violent gang leader who spends the movie stabbing people including a civilian he's robbing. Why is this a thing? Why has there become a trend of awful human beings as protagonists? Remember Attack the Block (2011), the movie starts with our hero robbing a woman at knife point......our hero!!! It's disgusting and it's something I hope doesn't become a trope.The GoodRealistic and gritty
Some decent performances
Lots of easter eggs for wrestling fans
Marisa TomeiThe BadPoor protagonist
Doesn't portray the industry in a great light
Lacks entertainment value.",Platypuschow,N/A
10,9,The Return of Mickey Rourke,"Very rarely an artistic come back is so pointed, so truthful and/or so honest. Mickey Rourke is extraordinary here and I can assure you, he'll break your heart. ""It's not over until you (pointing at the audience) tell me its over"" Who was saying that? Mickey Rourke himself or his character? Both, I think both. I felt a chill run down my spine, the kind of chill you feel when confronted by an unvarnished truth. Darren Aronofsky is definitely someone to watch and to follow. His characters face limit situations and he finds torturous paths for them to travel. What makes the whole thing endurable is the unmistakable signs of self awareness. In ""The Wrestler"" the painful meeting between Ram and his daughter (played by Evan Rachel Wood) have the overwhelming weight of the truth without a hint of sentimentality. As we are approaching Oscar season I imagine already a fight to the finish between Sean Penn for ""Milk"" and Mickey Rourke for ""The Wrestler"" They both deserve the highest accolade. What a year!",littlemartinarocena,N/A
