id,author,date,user_rating,review_title,review_text
1,xamitlu,N/A,8,Toy Story 3 is not a movie for adults who DO NOT want to cry during a movie.,"The only Disney movie I cried in was Lion King. The other Disney film that came close was Pixar's WALL E. I did not cry during Toy Story 3. I went home walked into my room a realized that my Optimus Prime is not at the foot of my door, my Sylvester the Cat stuffed toy was not on my bed, and my McDonald's Sonic the Hedgehog toy was not on my shelf. My conner only housed my stack of video games. I asked myself why did my mother give away my toys without my permission? At THAT moment is when I thought about the last 30 minutes of Toy Story 3 I started to cry. This film was a carelessly thoughtful stoke of genius! It keeps both children and adults entertained. Lots of drama, lots suspense, and lots of toys! Disney and Pixar outdid themselves with this one. Toy Story was a smash hit when it first hit the screens. Toy Story 2, in my opinion, was not as good as its first installment but it was a film that almost never hit theaters so I'll give them the benefit of doubt. But Toy Story 3 set the bar ""to infinity and beyond!"" The VA cast was pheNOMenal. The visuals were stunning! The script was enjoyable! This movie reached all corners of film greatness (and its a kid's movie). I have no idea how Disney and Pixar knock out great movies like this (they make it look easy). I related to Andy in this film just as I did in Toy Story 3. The ending was so tough to watch without sniffling because if you watched Toy Story at around Andy's age during the time and you watch Toy Story 3 around Andy's age now (he was 17 and I am 22 and went through roughly the same hassle as he did when he was moving out for college), you would feel a wallop of emotion. Toy Story 3 is a MUST SEE. If you don't have children to take to go see this film then take friends who saw the first two films."
2,slokes,N/A,9,Metaphysics By Mattel,"Is there Life after playtime? Can you handle a film in which the toys are playing with us, the audience? The third chapter of the Toy Story saga asks some tough questions of viewers, but the rewards of seeing this remarkable film outweigh the emotional toll.It's the last week of summer before Andy heads off to college, and Woody (Tom Hanks) and the other remaining toys in Andy's bedroom find themselves in fear of what's to become of them. It looks like the attic, but events conspire to throw them a day-care center called Sunnyside. It looks swell enough, at first...""You'll never be outgrown, or neglected,"" the toys are informed by the chuckily plush play bear Lots-O (Ned Beatty). ""Never abandoned or forgotten. No owners means - no heartbreak!""It's odd to see a film series that started out as an animated lark turn into ""Watership Down"", but there's always been some existential angst at the heart of the enterprise, c.f. the fragile buddy system employed in the first ""Toy Story"", Sid's hapless victims, and talk of rummage sales. The second film pushed these buttons a bit harder, to the point of losing the humor.This time the drama is stronger than ever, yet the film amazingly manages to stay refreshingly clever and hilarious. We meet Ken (Michael Keaton), who introduces himself to Barbie saying ""We were made for each other"". Ken must deal with wisecracks about being a girl's toy, or as Mr. Potato Head (Don Rickles) puts it, ""an accessory, a purse with legs."" The daycare center is also fabulously realized, a cacophony of misfit toys all showing signs of wear from constant play. Every now and again we break away to see Woody in his new situation, being played with by a girl named Bonnie who is very nice but has a left-field imagination. ""We do a lot of improv here,"" another toy tells him.All this is very funny, and director Lee Unkrich and the Pixar writers and artists find brilliant ways to keep humor close to the center of things throughout. Yet this movie is no lark. One of the funniest scenes the first time I saw this movie three weeks ago, involving a cutaway to a clown staring at a window, got hardly a laugh when I saw it again tonight. I think it was because the rest of the audience, like me, knew what was coming; a sad story about cosmic indifference and cold-hearted abandonment which sets in motion the real emotional undertow of the film.Set against this is Woody's firm if shaken resolution to ""be there for Andy"", even when it seems he and the other toys are no longer wanted by their owner. It's a message of faith you relate to, yet it also brings out another point, the notion of change, even painful change, as needful. The toys know they'll be neglected, perhaps forever, if exiled to the attic, but prefer it to the unknown. This actually makes sense. What can happen out there isn't very nice, but even in the face of extinction the film suggests a certain nobility through acceptance can be still possible. It's a pretty heavy message to take away from watching a G-rated comedy.The film doesn't leave you on a down note, but it's a funny thing. In the past, I always looked forward to the post-credit goof scenes as something to laugh at on my way out of the theater. This time, I appreciated it just as much as a chance to wipe my eyes before I got out of my chair. It still felt good, though."
3,davesawesomeinbox,N/A,8,Much better than I expected,This is a top notch cgi movie. A sequel that does not fail to uphold the original's reputation.
4,dee.reid,N/A,10,"An amazing third ""Story""","Lee Unkrinch directed ""Toy Story 3,"" the third and presumably final installment in the ""Toy Story"" movie franchise. One could argue that this is probably the best one yet (1999's ""Toy Story 2"" remains my personal favorite of the three), and I won't argue with those who think otherwise. I still hold onto ""Toy Story 2"" for deep personal reasons, but ""Toy Story 3"" does build upon events foreshadowed in the previous installment, which does gives this film a weighty emotional punch - a rarity in animated films these days.As foreshadowed in ""Toy Story 2,"" Andy (John Morris) has finally grown up; he's 17 now, and is on his way to college in just a few days. His mom is putting pressure on him to get rid of his old toys, either by throwing them out with the garbage, donating them to other needy children, or simply putting them in the attic (a sort of gone-but-not-forgotten-and-within-reach-type of deal).Woody (Tom Hanks), brave leader of the toys and Andy's favorite, manages to dodge a bullet somewhat, but puts himself in the line of fire when Buzz Lightyear (Tim Allen) and the other toys are accidentally thrown out but somehow or another wind up at Sunnyside Daycare, where they are welcomed with open arms by the resident toys there. This introduces us to Lotso (Ned Beatty), the strawberry-scented teddy bear who runs the place, along with the metro-sexual Ken doll (Michael Keaton) and others. As it turns out, this daycare center is actually a prison, and Lotso runs this place with an iron fist; of course, Lotso has a very tragic back-story that explains his evil ways, much like with Jessie (Joan Cusack), who first appeared in ""Toy Story 2."" So Woody and the other toys must mount a valiant escape if they are to be reunited with their beloved owner before he leaves for college.""Toy Story 3"" is an amazing film, and a fitting end to a wonderful film series that started in 1995 with the first ""Toy Story,"" which also signaled the arrival of the very illustrious and extremely talented Disney-owned animation studio Pixar. They have yet another significant hit on their hands with this picture. The animation here is at its most life-like and real and it's damn-near flawless and strikingly beautiful, which signals just how far Pixar has come in the 15 years since their first hit with ""Toy Story."" And every film since then has added significant amounts of realism, weight, and dimension to their animated stories.While ""Toy Story 2"" had a high nostalgia factor for days long gone by, ""Toy Story 3"" is a film about the inevitability of children growing up and putting away their toys. There are also themes about the effect of loss, love, and friendship going in the proceedings here. In addition, ""Toy Story 3"" can also be an incredibly dark film at times - a bold move considering that this is a family film - but there's no need to worry because the fact is that it's all perfectly balanced out amazingly well with some very light-hearted humor, fast and furious action scenes, and stirring emotional moments that just might bring a few tears to your eyes.""Toy Story 3"" is a triumph of animation and imagination, and I say that as a die-hard ""Toy Story 2"" fan. What we get here, is a fitting closer (?) to an amazing film series that just continues to surprise again and again with each new entry. It's just a great reminder for all of us heartless adults of better days in our youth that have long gone bye-bye.10/10"
5,The_Fifth_Echo,N/A,10,~One of the Best Trilogies of All Time~,"I attended a special screening for Toy Story 3. I went in with HIGH expectations. I LOVED the first two Toy Stories movies. Toy Story is a beloved franchise that almost everyone that I know loves the first two films. Now how about the 3rd film? Well all I could say is that it lived up to my unbelievably HIGH expectations and then some. This is such a good film. It has the laughs, magic and best of all the entertainment. The new characters in the movie feel like they were in the previous two films, they were that engaging and really worked well in the movie. The best part of the movie has to be the ending, I almost cried and was moved to just about to tears. I truly believe that this is one of the best Trilogies of all time. It might even rival the Lord of the Rings Trilogy.This movie has a real chance to become the First Animated Film to win Best Picture. I surely would not be surprised.10/10 An Amazing End to a Fantastic Series Go Watch It"
6,interrealm,N/A,10,How in the world did Pixar make adults CRY over TOYS??!,"The best magic tricks in the world are ones that cannot be unraveled, reverse engineered or dissected to figure out exactly how they are pulled off. This philosophy is doubly applicable to Pixar's ""Toy Story 3"", the storyline-ending outro of the beloved Toy Story, uh, story.I feel it relevant somehow to divulge my age, as it somehow validates the powerful emotions evoked throughout the film. I am a 28 year old male, who, fifteen years ago, was fresh into the teen years of supposed adolescence at the release of some weird, 3d animated movie (wait, they can animate with computers?) entitled ""Toy Story"". This was a pretty bold move, a calculated stroll to the edge of the cliff and a daring leap off into the thin air of creativity and innovation. And it was a hit, ensuring 3d animation a place right alongside (more or less) 2d animation. And naturally, Pixar would be at the forefront, leading the cavalry charge of digital animation ranging from great to gawd-awful.""Toy Story 3"" starts off as comfortably as possible, with our friends Woody and Buzz Lightyear doing what they do the best...playing with Andy in his world of make-believe adventure. We are then treated to some familiar Pixar progression, like abandonment, solidarity, coming back to friends, and the passing of the torch. Clearly, in the eleven years between this point and when ""Toy Story 2"" wrapped, a computer revolution or four has occurred, allowing a world of unsurpassed clarity, reality and imagination to shine through like never before. TS1's spark is TS2's candle, and that in turn is TS3's blazing sun.Roll the last fifteen minutes of film. It became clearly obvious that the figurative tables have been turned, because a good number of the adults in the audience (including myself) were sniffling and teary-eyed, while the kids were looking up, likely thinking ""jeez mom and dad, they're just toys, get over it"".Wasn't it conventional wisdom that just the kids get emotional over losing plastic playthings? With ""Toy Story 3"", Pixar has shown us one of the greatest magic tricks in modern showbiz history, likely not to be outdone or duplicated, that we all have very real and deep connections to our childhoods and to the things and people that allowed us as kids to be free, and innocent, and pure, and most importantly, to dream. This, to me, is a life lesson worth remembering, to infinity and beyond.""Toy Story 3"" gets 10 of 10 blazing stars"
7,diac228,N/A,10,"By delivering an amazing finale to an amazing trilogy, all we can do is bow and thank Pixar once again.","Star Wars. Indiana Jones. Fistful of Dollars. Bourne. These are all incredible trilogies that can, will, and should stand the test of time. Yes, I am neglecting the fourth Indiana Jones. Upon the mention of the third Toy Story, I was deathly afraid. Afraid because it has some major, major shoes to fill. The original is a masterpiece that changed animation forever, and the sequel is among the best in the history of film (I mean that). The first two Toy Story films are among the best movies of all-time and to this day entire animation studios have failed to duplicate an ounce of the magic contained in Toy Story. Could part 3 even come close to the original two? My friends, I am very happy to say, the answer is a resounding yes.Toy Story 3 does exactly what the first two did, delivered on all cylinders, all aspects of film-making and entertainment. The humor is back, the heart is back, the delightful cast of characters is back. This time, thanks to an incredible script, there's more suspense, more drama, and many more surprises. Like any spectacular trilogy, it wraps up all loose ends. It literally is difficult to find any flaw or any slow moment in this movie, and even if there is, it will immediately be forgiven by the next major laugh or the next major revelation. The predictability factor in this movie is low, and the payoff to all the suspense is extremely high. Guys, this is the go-to movie of the summer, and makes up for any disappointment you have seen this year or last.Just like Toy Story 2's subtle and underlying themes, Toy Story 3 revolves around the group of toys and their latest adventure, but dwells far deeper than that. On the surface, this movie is about the toys in a series of circumstances, winding up in a daycare center that isn't all it seems. At the same time, Andy is heading for college, but Woody isn't quite ready to let go of his owner and the memories that follow. The deeper aspects involve aging, growing up, and moving on. Michael Arndt, the Oscar winner that wrote Little Miss Sunshine, was behind the spectacular screenplay in this third trip in the world of toys. Then with the help of John Lasseter and Lee Unkrich (who serves as the director), we see plenty of references to Pixar, other movies, the previous Toy Story installments, and even we even see nods to the influences of the entire animation studio (Miyazaki).The writing wasn't the only thing that was on par with the first two Toy Story movies. The voice acting cast was once again phenomenal, with popular actors, underrated talent, and great character actors filling the bill. Come on now, just read em': Tim Allen, Tom Hanks, John Cusack, Wallace Shawn, Jody Benson, Estelle Harris, Blake Clark, John Ratzenburger, Ned Beatty, Jeff Garlin, and Michael Keaton. Unlike what Dreamworks pulls off on a yearly basis, Pixar carefully chooses their voice cast in terms of pulling off the best performances, not to generate more money. Because honestly, was there even a point to Angelina Jolie voicing the tiger in Kung Fu Panda? On the other hand, very few can pull an authentic Barbie like Jody Benson (a.k.a. Ariel in the Little Mermaid). It takes reliable and authentic acting to pull at the heartstrings, and everyone definitely was on their A-game.Lee Unkrich directed this movie with incredible pacing and just as much heart and dedication as Lasseter, who was in charge of the first two. The truth is, Pixar directs the movie together, as they share ideas and suggestions amongst each other. This fact can be traced to the similar pacing and directing styles seen in Pixar's better works like Ratatoille, Finding Nemo, and Up. They all have the similar technique of incorporating just as many tears as laughs. But unlike all the other Pixar movies (with the exception of The Incredibles), Toy Story 3 has a heave dosage of suspense and peril, which is climaxed by one of the most exciting animated sequences this side of Castle in the Sky (a Miyazaki adventure masterpiece). Other reviewers have noted this before me, but this Toy Story is quite scary in depth and in imagery at some instances, so be wary of this while watching this with the kids. With so much time invested with these toys, the drama runs a bit high.Bottom Line: Toy Story 3 secures its place in cinema brilliance by becoming the best third installment since Indiana Jones and the Last Crusade, the best sequel since Kill Bill Vol. 2, and the best movie we've seen this year. This movie is usually hilarious, sometimes thrilling, and sometimes downright tear-jerking. And yes, just like Up's opening 10 minutes, there is that one major sequence in which Pixar will play with your heartstrings like Eric Clapton playing tears of Heaven. If you enjoyed the first two Toy Stories, there's no need to worry about the third and hopefully final chapter in the quality-filled saga. How Pixar manages to deliver yet again is absolutely beyond me.Walt Disney may not be one-hundred percent proud of his company if he were alive to see it now, but he would be absolutely delighted at seeing what beautiful art Pixar has delivered ever since 1995. Pixar has re-created Walt Disney 's magical methods of storytelling and movie-making, and arguably has taken it a step even further by adding depth to the characters and depth to the overall stories presented. The direction was fantastic, the writing was Oscar-worthy, and the overall production is Best Picture caliber. This is Pixar's best work since Finding Nemo, and a must see by any means necessary. Despite my cynical nature, there's no way I can grade this any less than perfect. Just no way."
8,SoloHero5,N/A,N/A,I'm 19 years old... but wile watching I was a child again.,"I'm nineteen and I wasn't as enthusiastic about going to see this as I was when I was eight years old.I entered the theatre; the lights went out, the movie began, and after the first twenty seconds I was a child again. The laughter came often and natural. The story was even better then the previous two combined.I went to go see this with my seven year old nephew and if I laughed that much when I was his age I know I had a good childhood. The mix of humour and emotion mad this movie one of the best I have ever seen, including big ones like Godfather and Shawshank.This movie is both hard and easy to review because you try to look at the down sides to the movie but the hard part is that there isn't any. I'm sure if you shut off your emotions you could see a fault of two but when it comes to an animated trilogy this is by far the most enjoyable time you can spend in a theatre... The best part, you can bring your kids.I can't vote... in my opinion ten isn't enough!"
9,russb216,N/A,10,A Perfect Tale of Adventure and Devotion,"Since I felt none of the other reviews here do the movie justice, I became compelled to write my own. It is the most inspired film I have ever encountered.The creators of Toy Story 3 have an imagination that is unparalleled. I cannot begin to compare any of the other animated movies that I have ever seen to it. It is a fantasy in an unconventional sense: aside from the talking toys, the environment and settings are typical; commonplace. Yet, the Pixar Team manages to cram every last drop of energy into the incredibly clever story and inventive plot devices out of just common household objects. The animation is so brilliant that it captures shading, lighting, and textures that have yet to be seen on film.Then, Toy Story 3 becomes a beautiful elaboration on the first two, with very clever character development. Its maturity of relationships is concise but witty: Woody, the wise sheriff, leading the other toys with courage and finesse; a spaceman winning the love of a cowgirl; the loyalty of the dog, slinky; the grumpy married potato and his devoted wife; the superficial relationship of Ken and Barbie; the broken spirit of a lost teddy bear. At the same time, Pixar uses a metaphor that is so strong that it drives the audience to love these characters with all of their hearts. It is a similar emotional complex to a happy puppy who is brought into a home and has nothing on its mind but playing with its youthful owners. But these toys never age, and as its owners, once in their playful youths, leave for work and college, these toys still know nothing more than their youth and happiness of living to one day play again. As you leave for work every morning, your dog doesn't know where you go. And every day, he does nothing more than pray that you come back to see him, every day waiting for you to bring out the ball again for a game of fetch.Finally comes Pixar's ability to integrate so many emotions - fear, love, action, and comedy, among others - with each having so much vigor in its own right, that the movie becomes a roller coaster of animation and adventure, wound together by the constant movement of setting and storyline, always keeping the audience guessing on what might happen next. It is a brilliant tale; a perfect movie for children and adults alike. I cannot wait to see it again."
10,beastwarsfan,N/A,10,Simply brilliant!,"I was about 10 or 12 when I watched the first Toy Story in the cinema with my little brother and sister. We were all enchanted! Years later Toy Story 2 came out and it was a blast! Again we all went to the theater to see it and we were so thrilled and excited after the movie! Im 24 now, and just yesterday I was at the Bulgarian gala-premiere of the film. My brother was fortunate to win an invitation for two (he took a photo of himself with our small collection of Toy Story toys and sent it to the website), and we had the chance to see the third part on its first screening... and for the 1st time in 3D! No doubt that the animation is better than ever, the guys from Pixar constantly push the limits, but that's kinda natural for them. But still it feels like 100% Toy Story, with all the improvements, somehow I don't feel this 15-years-wide gap between the first and the third part.What matters more is the (Toy) Story itself! And it is just fantastic! I had really high expectations of this film and honestly, after seeing it, my expectations were surpassed! The plot is really emotional, with so many nostalgic moments... Being kinda grown-up myself, but doing my growing-up with the first two parts of Toy Story, I couldn't relate more with this one! I was really touched! I just wish the theater was empty. Then I could stop holding back my tears! And it's not just t the big story, but also all those little things that go on around it! I don't know how many of those references and gags were in the script and how many were put in there in the making process, but it's just amazing! Even if it's the most dramatic and the darkest of the 3 (as dark as Toy Story can get) the comedy is still there, and I was laughing out loud all the way through! It's a wild roller-coaster, and I'm not even sure who will have more fun with it, if it will be the kids, or their parents! There's just so much more in there for you to notice, admire and laugh at! And I'm sure that after watching the film again I'll find out even more! There's also a really neat Totoro cameo, and it's great of Pixar to pay homage to their old friend, Miyazaki san.The old lovable characters are all here, and they are joined by an army of new ones, and each one of them has his real personality and you can recognize in them characteristics of someone, both visually and with their attitude they express different things and you instinctively feel what these toys stand for. It's really funny to recognize in them some movie archetypes or features of people that you know.I realize that I just poured out tons of superlatives, but there's nothing else you can say about this film! It has everything! (And about how many 3rd parts you can say that?) The only thing I could criticize is that there is one really freaky baby-toy, that can give the creeps to the smaller kids, but it's done on a purpose and for me it was really an enjoyable touch to the atmosphere of the film.To wrap up this review, I will just say - Thank you, Pixar!"
