id,rating,review_text
1,4,I think this is great because the timeline and ending
2,5,"This movie was amazing. I didn’t like it as much as Avengers: Infinity War, but it is definitely the second best MCU movie. I loved the humor, story, and acting in this movie and I thought it was interesting to see the devastating effects of the snap"
3,5,"the saddest MCU movie ever, the action is awesome and tony stark and Natasha Romanoff's deaths are heartbreaking. but they still manage to save the world."
4,5,"Incredible, excelent, amazing and spectacular movie!"
5,4.5,I thought it was an amazing movie until something sad happens not gonna be a spoiler here
6,5,Hands down the best Marvel movie.
7,2,"While it delivers the expected narrative climax, the film lacks the dramatic weight and structural impact of its predecessor. Much of its effectiveness relies on emotional payoff rather than cohesive storytelling, which ultimately made the experience underwhelming for me."
8,5,Wiped the floor with infinity war
9,4.5,A movie I really enjoyed very much. Great twists and an unforgettable plot and final battle sequence. Impressive CGI and melancholy deaths to chill you. Definately worth the watch
10,5,This movie is absolutely cinema!!!! ✋🥹✋
11,0.5,Terrible crap. Anyone pay to see this shame on you. Mhark gharhash-a lot is a brown tyr duh. He like those big ones with peanuts and corn in it. Smelly too
12,5,"Well this made me emotionally devastated and depressed 😔, this was absolute Cinema of a crossover. definitely one of my favorite movie of the MCU, it’s tied with “Avengers infinity war and Black panther”. Now that I’m done watching “The infinity saga” now I’m moving on to “The multiverse Saga”…. PRAY FOR ME."
13,5,Every time I rewatch this movie (watch infinity wars right before) and I am in tears every time. Masterpiece
14,4.5,"Epic finale, but killing off natasha and not giving her the credit and respect she deserves was disappointing…"
15,3.5,"La primera vez que vi esta pelicula en el cine, la emoción de los espectadores hizo que pensara que era una buena pelicula. Después de unos años de su estreno la vuelvo a ver y pues es emocionante como todos los héroes de Marvel de unen para pelear pero se me hizo demasiado larga la primera parte y la segunda parte se resumiendo demasiado rápido."
16,5,what a perfect end to the saga
17,5,I loved avengers endgame and more than I did for infinity war because in my infinity war review that movie was like part one for this awesome final of beating Thanos and there was a bit more plot in endgame than there was in infinity war and that made the movie good even though the action was saved for the end and I cant wait for doomsday next year hopefully that movie holds up just as good as the last Russo avengers movies.
18,5,Absolutely the best super hero movie ever
19,5,Just absolutely amazing
20,5,Cinema at its finest and a truly amazing finale for many characters and the Infinity Saga.
21,5,"I'm a huge marvel fan and this was the epitomy of greatness.it was breath taking and beautiful i could never have expected such an amazing movie,and the ending made it the best marvel movie to date."
22,5,Absolute cinema vingadores avante
23,0.5,"I saw the movie in the cinema when it came out. The reviews in Rotten Tomatoes were over 90% so we thought it must be really good. Specially after watching Infinity War which was good for being a superhero movie. We sat down, and after 30 mins we thought ok.. the movie must be a little slow and it will get better. One hours passes, then one hour and a half.. and then we realize the truth. The critic reviews were a scam. This one the most boring, predictable and lamest movie I have ever seen. The kind of movie I would switch off after half an hour, if I was not in a cinema. We were contemplating walking off, but we were already 2 hours in so we stayed. There are master pieces and Scorsese movies with scores on the 80s and 70s, and this piece of **** gets 90%+? This the moment I knew these scores were useless, and these big budget superhero movies have critics on their payroll"
24,4.5,This last viewing was my favorite viewing of this film.
25,5,Perfecta y entretenida... Cine Absoluto.! 🔥
26,5,"Mano esse filme, deixa qualquer um um chorar, rir e ficar feliz. Absolute cinema o que eles acertaram em tudo, no OSCAR foi roubado eles deveriam ter ganhado. Merecimentos óbvios aos irmãos Russo e o Robert Downey Jr, e sem falar do Alan Silvestri com uma trilha sonora fantástica"
27,4,"Nice movie, though I thought infinity war was better."
28,5,It has its flaws but being able to tie together the entire mcu in a satisfying way is incredibly impressive. Wish the mcu ended here and a new cinematic world had started 😭
29,5,Perfection in almost every way. Thank you Marvel.
30,5,"Filme muito nostálgico e que vai ficar na memória de todos principalmente quem assistiu no cinema emocionado, até hoje assisto esse filme."
31,5,Little overrated because it feels a little long but it carried hard by infinity war but given infinity war exists this is also amazing.
32,5,Such a perfect and impacting ending for the Infinity Saga.
33,3,"As a saga ender, it does what it needs to do. Still, Endgame isn't a film I have bothered to rewatch outside of the cinema viewing experience because I know I am not missing anything. For as long as it is, there isnt much to dive into on subsequent viewings."
34,5,Very good great story
35,5,Peak. Absolute perfection.
36,5,It did such a good job but they did not have to have a prideful person in it. I almost turned the movie off because of that stuff!
37,5,This movie is amazing. Best superhero movie of all time?
38,5,Spoiler warring: Avengers endgame is a phenomenal movie with heart breaking moment such as Natasha’s death great action and a very deep main villain and to see all the charters get there ark such as captain America and is a great expansion on the mcu
