id,rating,review_text
1,5,I was SPEECHLESS! Greatest war movie ever made.
2,5,"Come and See is less ""War Movie"" and more ""Horror Movie"". And not a hack and slash type, but rather one of those rare horrific films that grabs you by the neck. The horrific part of the scenes depicted in the film are that much worse knowing that such atrocities did happen. This film, made some 40 years after the end of the war, shows just how deeply scarred the USSR was by the war against Germany. One could argue that those scars still exist."
3,5,"Una película maravillosa. Esa cualidad cautivadora y a la vez aterradora del cine bélico, que sin duda lo convierte en uno de mis géneros favoritos, seguramente lo seguirá siendo durante mucho tiempo, si no para siempre. Es una referencia directa. Me encanta la composición y el montaje de esta película. Esa constante sensación de vulnerabilidad y riesgo, de que todo podría empeorar, de hecho, la humanidad es aterradora."
4,2.5,"Very disappointed in this ""masterpiece"". I was looking forward to seeing this after the RT ratings and other reviews. As a WWII history buff, this film should have a treat....it wasn't. Slow, meandering plot. The interaction between the lead character and the young girl is pointless. This movie could have been 45 minutes shorter. Maybe this is the Russian film DNA, but I was pretty disappointed. Giving it a generous 2.5 stars."
5,4,"Its a good movie, but a movie I'll never ever want to see again. Watching this movie will make you understand why Dostoevsky went insane looking at that dead christ painting. A slow start but an end that punches you in the gut and stabs you 41 times in the back."
6,3.5,I had goosbumps watching this movie was too brutally insane for me
7,5,"Elem Klimov's brutal masterpiece is definitely the most devastating, disturbing, terrifying and personal one of my favorite war film of all time. It almost feels like you’re watching a horror movie almost. Showing the true cruel reality of war from a civilian perspective. Which is witnessed on a young mind, during these atrocities committed in Eastern Europe."
8,2,"A slow start , but a climax end"
9,3.5,"The movie revels in making its audience uncomfortable. There is very little background music. There is an abundance of long shots where the actors stare right at the camera, or switch to a straight POV shot. It is a war movie with no battle plan and no big picture. We are just given the keyhole view of a young soldier, who learns firsthand that war is the worst. Both sides are full of perverse immature deviants doing monstrous things. The main character is often lost in the shuffle of things. Everyone and everything is filthy in many ways. Given the description, you can understand the movie’s strengths and weaknesses. It is not a ""feel good movie"", it is a ""war is the worst thing ever movie"". You can figure if that sounds like the type of film for you and see for yourself."
10,5,"Starts slowly. The first appearance of the enemy plane motif lurking, menacingly. The protagonist is a rather simple country boy. However, his mother’s pitiful, futile, desperate actions to save her child signify the commencement of the nightmare! From a director who knows what REAL war is! No Hollywood gloss here! You will never be quite the same again!"
11,5,Go and look . . . . .
12,3.5,"The dark horrors of war but without the glorification of the ""winners"". -Negatives: Questionable acting in some scenes."
13,5,"Florya's detachment from reality, confusion, loss of innocence increase gradually during the film, infecting the viewer more and more"
14,0.5,Absolute dogshit. And direction was horrible for letting the actors stare dead right into the camera...
15,5,One of the best war films ever made.
16,5,"It’s not an easy watch, but it’s not supposed to be. A brutally important film that shows the darkest, most vile side of humanity. Words can’t do it justice"
17,1,"Yea sure ""difficult to watch"" they said online because of the horrific depictions of war they said. Really it's difficult to watch because it's so boring and weird. Actors don't really seem to be talking to eachother and lines seem disconnected from each other. The actions of the main protagonists seem as illogical too. Your regular weird art film"
18,2,"This is an overrated war drama that forces you to feel misery. The fact that the movie is 2 hours and 22 minutes does not make it longer than a lot of great films but it just does not have a plot to explore. No dialogue, the plot is just ""survival"", some decisions don't make sense at all. Basically, the whole movie built to the final act which is the Germans committing war crimes. Great cinematography though and semi-descent acting."
19,3,This is a v-e-r-y long movie portrays two hours of misery.
20,4,"A complex opera of horror and violence, staged with a sense of a series of psychological extremes that take the mise en scene into the nether regions of terror. One of the reviewers here, "", Jacob B."" writes that it's a shame that this was the directors only film... which is an unfortunate piece of completely erroneous info.. Elem Kkimov had a pretty well fleshed out, impressive career, with a body of work that's almost universally well regarded. COME AND SEE was his *last* film.. perhaps that got tangled up in translation? Anyhow--i don't view the film as a 5 star masterpiece, sometimes the German soldiers are rendered with a silly pantomime of villainy (a mistake often made IMHO in a high portion of wwII melodramas... the Germans are portrayed as well nigh brain damaged mountebanks.... streamers of spit dangling from their chins the only thing missing) but it's definitely a tour de force of brutal filmmaking, well communicating the steady diet of violence that constituted the daily bread of those subject to the war on the Eastern Front. . . ie WW2's Operation Barbarossa."
