id,rating,review_text
1,5,My most favourite movie of all time!
2,5,What took me so long to watch this masterpiece!?!!! Top 5 war film I’ve seen. Brilliant all the way around.
3,5,"Best War Drama, Best Thriller, Best EVERYTHING Movie. One of the few films that are actually better than the book. Recommend watching the longer Director’s Cut…settle in and take it all in. Stellar from start to finish."
4,4,An intense look at underwater warfare during WWII.
5,4.5,"I’ve watched the director’s cut and it was absolutely amazing. It reminded me why older movies are so special they’re crafted with real passion, attention to detail, and atmosphere that pulls you in completely. Every scene felt alive, the acting was powerful, and the pacing kept me engaged from start to finish. The story had real depth and emotion, even if the ending felt a bit depressing. Still, that doesn’t take away from how incredible the whole experience was. I’d easily give it a solid 4.5/5 – nearly perfect in every aspect."
6,5,"A Must-watch movie. Absolutely brilliant story, great actors and fabulous filmography. Start to End gritty, suspenseful and brilliant ending."
7,5,"Coming from a current Submariner, Das Boot is the pinnacle of submarine movies. It might even be one of the best war movies ever made. You will not regret watching this. Recommend the 3 hour Directors Cut version. It builds each character to the point where they feel like your friends and you are part of the crew. No other submarine movie has ever made me feel that way, and this movie has one of the best endings I have ever seen in cinema. -ETV1(SS)"
8,5,Absolutely The best submarine movie ever A Must Watch!
9,0.5,"Filme fraco, o roteiro é fraco, as cenas são fracas, a história é fraca, o elenco é fraco, e ninguém ajuda a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom, e o filme ficou muito cansativo com mais de 3 horas de duração."
10,0.5,Too long in 2.5 hours!!!!!!!!!!!!!!!!!!!!!!!
11,5,"A lot of war movies spend a lot of time saying “war is bad”. Das Boot instead says “humans are incredible, resilient, ingenious creatures, and war is the worst possible thing we can do with our talents”. The atmosphere is crushing but homey, with fruit and sausages dangling from steel pipes, a shared latrine for a crew of 50, and sopping wet, well, everything. This film uses the camera incredibly effectively, incorporating character close-ups, frantic sprinting shots, and foggy, underwater landscapes to seamlessly, almost unconsciously transition the perspective, connecting you with specific characters at times, and at others, making you feel like just another member of the crew. The set work is very much deserving of all the awards it received. Apart from an occasionally wonky green screen in some external shots (I mean, it was 1981, after all), this film could not feel more real if it was a documentary. And the soundtrack dates the film just a little, but it’s forgivable and maybe a little charming. The pacing of the story is unique, given to the fact that it’s really just a shortened cut of a 6-episode miniseries. But it works for a film of this length, feeling naturally episodic while still consistently building pressure (no pun intended). All in all, Das Boot is a feat of filmmaking and a great option for anyone who likes being stressed (in a good way)."
12,4,Claustrophobic. Wolfgang Peterson captures the intensity of the situation in an incredible way. One of the best films of its kind.
13,4,"Like any really good war movie, this shows the human toll & ignorance of war. Great writing, acting and special effects."
14,5,"I saw this 3 times the first year it was out, 1981, in German with English subtitles. Then later they released it dubbed in English, and I saw it again. Very authentic looking scenes, big or small. Told from the German perspective, if you like war movies, this is as good as it gets, a masterpiece....and I need to see it again!"
15,5,"Faultless. OK the water effects may be improved now, but otherwise can't fault it fir drama, humour, tension, claustrophobia. Amazing film I can watch again and again."
16,3.5,"Solid WW2 German sub adventure, With, you are there, intense realism, Strong characters, Shocking and sobering, Movie really hammers home the futility of war message."
17,5,10/10 absolutely brilliant.
18,4.5,Possibly the best war movie ever made. Simply breathtaking.
19,5,Quite simply one of the greatest movies ever made.
20,5,Fantastic movie! Very well made considering that it's from the 80's. Love it!!
21,5,"DAS BOOT is top notch in ✨every✨ sense (especially for its early 80s production period). Some scenes are mesmerizing suspence and others are almost ""jump outta your seat"" intensity. Probably the most intense part about DAS BOOT is that the story's basis and its different scenes are based in something that actually did occur. GREAT flick...!!!"
22,5,Absolutely one of the best war films ever made. The claustrophopic atmosphere under the sea is descriped and made to feel to the audience. And it gives the feeling of heroics of war just in order to make it clear how much the whole war is a waste of human life.
23,5,The best WW2 submarine film ever made
24,5,"A masterpiece of a war film, letting the audience literally feel the claustrophobia from the insides of a submarine. Due to its tension it doesn't become boring a single moment."
25,5,The absolute best and most realistic submarine movie ever!!
26,4.5,"Realistic, if not a bit too long."
27,5,An all-time great movie. The realism and suspense are insane.
28,5,Hands down one of the best German movies ever done.
29,3.5,"nisam gledao ovo, slucajno sam rejtovao i sad nmg da obrisem..."
