id,rating,review_text
1,2,"Saw it and not really that interested in seeing it again. Nolan, who usually can turn scenes without dialogue into works of art, definitely stumbles here in Dunkirk. The atmosphere at some parts is very convincing, with good use of practical effects."
2,1.5,"In WEST they can't see & go beyond WORLD WARS & ROME(BA""BAR""ANS) for them world doesn't exist beyond that. It's not about holocaust but WHITE SKIN people died, that's all it is. WEST loves tyrants, dictators that's why they praise ROME, Genghis Khan, Winston Churchill & they have special place in history books. Hitler & Nazis were inspired by #America & it's genocidal policies against native Americans. Laws of segregation were taught to Hitler by American #Christians against Jews."
3,3.5,Solid watch. Great visual representation of war.
4,4.5,"A film only Nolan could have made the way he did. His non-linear mastery turns three timelines into a relentless, immersive experience that rewards repeat viewings while remaining overwhelming on a sensory level."
5,5,"This is one of the movies I would most like to see if it ever came back around to theaters (unfortunately I was only 8 when it was originally released). Such stunning cinematography. The wide shots of the planes flying over the water are breathtaking. What a beautifully made, realistic, moving film. I highly recommend this movie - it is appropriate even for young teens who are not too sensitive to peril (there is quite surprisingly minimal violence in this movie, especially for a war movie) - but there are several scenes where various characters are drowning or almost drown, and they are stressful and kind of hard to watch. There are only two f words in this movie which are both quick and not in-your-face, and that is the only swearing. I am very pleased with the level of violence and swearing in this movie, especially violence, because that is the main thing that bothers me usually in movies; I am 16 and very sensitive to violence, but this movie did not disturb me at all. It was just such a cool and incredible film. The end sequence is so moving. The soundtrack is a masterpiece. Hans Zimmer and Chris Nolan together are undefeatable. The cast is also amazing. Fionn Whitehead really impressed me, especially for being less well-known and also quite young. I had never seen Harry Styles in a film, but he is one of my favorite music artists, and I was pleasantly surprised at his performance in the movie. I must confess the main reason I watched the movie was because Harry Styles and Cillian Murphy are in it. But let me tell you I am very glad I saw it, not just because of the scenery. 😂 And Tom Hardy's storyline is simply so amazing, I love his character so very much. Anyhow, getting back to the point... This movie is a 10/10, I have watched it 3 times in the past 6 months and never get tired of it. Go watch it. :)"
6,4,"Just watched this remarkable film again at the cinema. Nolan's extraordinary writing and directing captured so much of what I can only imagine, having no semblance of a personal connection or experience w/ the events depicted or battle of any sort, this stretch of time during the war was like on the beach at Dunkirk as well as the air & sea. It's riveting stuff from the opening scene, with only brief respites between the perpetual struggle to survive and defeat the enemies. The visual work of cinematographer van Hoytema and the editing of Lee Smith must be greatly commended as well for giving us the recreation of place & time and stitching together what to keep & what to cut to make it work so incredibly well. The same goes for the sound crew and composition score by Zimmer. Crowley's production design, the visual effects, and set design/artdirection is all stellar. Nolan works with the best, and this is the standard of art they produce. 4.2 stars"
7,5,"Best cinematic experience in a long time. The score, sound effects, and shooting were a masterpiece"
8,3,"Not bad, but why choose harry styles?"
9,4,"This was a well shot war movie that tells the true story of soldiers trapped on the beach in 1940. If you love WW2 movies, you will enjoy this film."
10,5,"Another Christopher Nolan masterpiece that I loved seeing twice in theaters and is my favorite summer time plus war movie. I really loved how it was told by the perspectives of land, sea and air."
