id,rating,review_text
1,5,One of the greatest movies of all time!
2,5,Probably the best movie ever.
3,4.5,"One of the greatest films of all time. Dated for sure, but that mostly adds to the charm. Almost nothing about this movie needed to change."
4,5,Very enjoyable and heartfelt
5,3.5,"Tom Hanks' rigorously earnest performance keeps Forrest Gump sincere even when it gets glib with American history, making for a whimsical odyssey of debatable wisdom but undeniable heart."
6,5,One of the best movies ever made. Tom Hanks was so good in this movie
7,5,"What a great movie, and Tom Hanks stunning performance"
8,5,"Simply my favorite Tom Hanks film, potentially my favorite film of all time. While lack of awareness/raw intelligence eludes Forrest all his life, it highlights the blessing of naivety that some of us wish we could regain when we were children. Despite all the heartbreak and loss Forrest experiences, it never stops him from moving forward onto his next journey the world laid out for him. I think the world would be a better place if we all just adopted some more Forrest Gump in our lives."
9,5,"“You know, Life is like a box of Chocolates, you never know what you’re gonna get.” “You can tell a lot of a person by their shoes, where they come from, where they’ve been.”-Forrest Gump"
10,5,"Absolutely one of the best movies of all time due to amazing story, visuals, and the way it makes people feel."
11,4.5,"Forrest gump, a man of many stories, that he doesn't even know what a brillant mind he truly is, despite his obviously told iq. Story filled with many emotiins in between scenes, which makes you feel the emotion with him."
12,4,"A charming story with lessons of simplicity, devotion, and inspiring capacities with the iconic Forrest Gump. It was a heart-warming story fit for a family. Was it perhaps slow enough where I needed 3 nights to finish? Possibly. But as a relaxed watch, it made my Sunday-Wednesday splendid. -pookster"
13,5,The most quotable movie ever made. A film as iconic as the main character.
14,5,"This is the 3rd time I have watched this movie. The first time I watched it on a Saturday morning during the school year when I was 14…now I am 35. This movie does what a movie is supposed to do. It tells a story, makes you care about the characters and most importantly. This movie makes you FEEL something. It’s just a good ‘ol story that makes you feel a wide array of emotions. This time it left me feeling peaceful and calm. Jenny chose a life of chasing the wind and never catching exactly why she was hoping for…until she caught up with life’s ONLY guarantee, her demise. Forest’s character remains curious, adventurous and ready to take on life’s many inevitable challenges. Now THIS is how movies should tell a story!!!"
15,5,"5/5 PERFECT. Although as some might say this movie is boring and overrated, well.. OF COURSE it is.. it's a masterpiece."
16,5,It’s a great movie. Run Forrest run to see it!
17,5,"Hilarious, deep, heartwarming, with a tremendous soundtrack"
18,5,"Truly a great movie, entertaining, funny and emotionally grasping."
19,4.5,It’s a great movie and definitely a classic.
20,4.5,95/100 What a classic
