id,rating,review_text
1,5,"One of the all-time greats - with performances, a soundtrack, and a setting that will keep you coming back."
2,4.5,"Such a great film, Russel Crowe IS Maximus, making it truly fantastic. Hate the last 5 minutes and the ""who will bury him"" bit, but aside from that fantastic in every way"
3,5,"this movie always holds something special for me because it was the first R rated movie i ever saw. the plot is really good i love ancient Rome, and the characters are so good. plus quoting."
4,5,Absolutely my all time favorite movie
5,5,This is one of the greatest films ever. I can’t believe it’s only 80% by critics. Thats why you can’t wholly trust critics opinion. A must watch for any young man!
6,5,The 5/5 should say enough about what I think.
7,5,"A True Masterpiece one of the best films ever made, excellent plot thickening and visually stunning great actors arouses emotion in the spirit simply wonderful!"
8,5,"Un cult che secondo me non è intramontabile, probabilmente come molti film, avrà i suoi 40/50 anni di prestigio e poi finirà per scomparire. Ma detto ciò, è un film epico, intrattenente e violento, ma non è una violenza gratuita, è una violenza che ti sposta dal divano su cui sei seduto al campo di battaglia. Magistrali interpretazioni e regia di un altissimo livello di un Ridley Scott che dimostra le sue infinite capacità."
9,5,One of the best films ever made.
10,5,"An absolute cinematic masterpiece, Ridley, Russel, and Joaquin did such a great job on this film. One of my top 5"
11,5,"Fine cast of actors bring this epic movie to life and you feel you're an eye-witness to the intrigue of ancient Rome, the grand-scale battles in Germania, and of course gladiator fighting in the Roman coliseum. This movie is rich in action scenes, enhanced by the big screen cinema and powerful sound. Puts you right there. If you want the ultimate viewing experience, don't rent this movie, see it at the theatre. Gladiator won five Oscars in 2001 you won't be disappointed."
12,5,One of the top 10 best movies ever made
13,3.5,"A vengence story done right but a little too streached out and long in the second half, greatly and beautifully captured shots, really feel the villian was evil and also russel crowe and joaquin pheonix nailed it, really nice, boring in a few parts, could have been cut out a little better, 7/10"
14,5,I still remember coming out of the theater after seeing this movie. It was a fantastic movie! Russell Crowe was born to play this role and Ridley Scott did an unbelievable job directing this movie. One of my all-time favorites.
15,4,92/100 Russel Crowes greatest role?!?!
16,3,"A grand, fast-paced action flick brought down by its lack of moral complexity. It’s just another battle between a perfect hero and a perfectly evil villain with little nuance, and the use of violence is quite gratuitous and overdone, with the deaths blurring together and lacking individual impact. Regardless, the acting, cinematography, and fight choreography were very high quality and create a fun, if somewhat generic film"
17,4,"One of Rome’s greatest generals, Maximus, is stripped of his rank and sent to fight as a gladiator by Caesar’s petty son. This movie has a great plot that seems to drag on a bit at times but will forever be a classic."
18,4.5,This movie was amazing. It started out slow but ended amazing. This is a must watch and I will watch it again. I was on the edge of my seat the whole second half. I loved all the character. When you love or hate a character it means the acting the magnificent. Love everything about the movie!
19,5,"My all time favourite movie, it’s like a Shakespeare book but it’s an original script for a movie."
20,5,"In my opinion, the best movie ever created. Everything about this movie was on point. Casting, plot, scenery, and most importantly MUSIC. The soundtrack to this movie is what made it (like all other classics). However, this was different. The music along with the beautiful story hits you in a way no other movie can. I will glaze this movie until the day that I die."
21,5,"""Gladiador"", continua a ser um dos grandes épicos do cinema moderno. O filme combina uma narrativa emocionalmente poderosa com sequências de acção intensas, criando uma experiência que permanece impressionante mais de duas décadas depois. Russell Crowe entrega uma das interpretações mais marcantes da sua carreira como Maximus, um general romano traído que se vê forçado a lutar como gladiador. A sua jornada de vingança e honra é contada com uma força dramática que prende o espectador do início ao fim. Joaquin Phoenix, como o instável e manipulador Commodus, oferece um antagonista memorável que eleva ainda mais o conflito. Visualmente, o filme é grandioso, com batalhas coreografadas de forma visceral e uma recriação de Roma que mistura realismo com espectáculo. A banda sonora de Hans Zimmer e Lisa Gerrard dá ao filme uma dimensão emocional que o torna ainda mais inesquecível. No conjunto, ""Gladiador"" é um clássico moderno: intenso, emotivo e cinematograficamente impressionante."
22,5,"The best action movie of the decade. The one by which all other action movies are judged! Gladiators, Roman history, honor, war, battle, glory, gore, arrows and spears and swords, life and death, battle scenes the defy description, betrayal and redemption. Outstanding cinematography and music. Great acting. What more could you want in a movie?"
23,5,At this point you should’ve watched the movie all ready. Are you not entertained?
24,4,9/10
25,2.5,"Ehhhh, this really didn't do it for me. Normally not a fan of this ancient history stuff, so my hopes were not super high. Fair to say, my opinions stayed the same. Definitely a solid movie, just not for me."
26,2.5,"Yeah yeah. It might be your dads favorite movie, but is it yours? Not likely. Most definitely not mine. And no, I'm not watching the second one."
27,5,"Ridley Scott enchants with his contemporary Spartacus. Gladiator is a classic film and likely the very best movie of the year 2000. Ridley Scott directs at his peak with historical epics like Kingdom of Heaven, American Gangster, and All the Money in the World. Gladiator is all class in a highly entertaining depiction of a gladiator's tough life. Admittedly, It is long, but the extended edition is worth the watch. The CGI has not aged well, Hans Zimmer's score is remarkably similar to his work for Pirates of the Caribbean. However, the entire film is a testimony to Scott's painstaking recreation of Rome, gladiator fights, war battles, and highly skilled drama. Gorgeous landscapes and environments scale alongside beautiful sets. The scenery is accompanied by bloodshed of the most engaging and thrilling type. Scott's style oozes off the screen. We get a fantastic story, nuanced acting, and a glorious finale. Gladiator deserves all its praise. Speaking of acting, Russell Crowe gives his career best in all possibility. Crowe's sorrow and righteous indignation is only comparable to his perfect performances in A Beautiful Mind or Master and Commander that follow Gladiator. Connie Nielsen lays down one of the most sympathetic roles ever captured on film. Joaquin Phoenix portrays one of the most heinous and reviled villains in cinema history. It is a creepy role that he absolutely sells. Action and excitement are everywhere alongside heartfelt drama. Gladiator will never be forgotten. It will stay with you."
28,5,"What a movie! Maximus is the ultimate protagonist. Violence, friendship, suffering, love, redemption; this movie has it all."
29,5,It is shocking to me that this film has such a low rating on this website. This is an all-time great. The fact that it only has an 80% from the critics and an 89% from the audience shows that Rotten Tomatoes has lost the plot. It should have upper 90s numbers.
30,5,One of my all time favorites. Absolutely stunning film in every possible aspect. A must see for anyone who likes movies.
31,3.5,It is a very good movie and it has a lot of story but it lacks a story
32,5,A masterpiece. Ignore the try hard so called 'pro' critics who just want to be controversial. How it only gets 80% on RT is bewildering.
