id,rating,review_text
1,5,brilliant...... but highly problematic a film you will love or loath //but has ny city ever been more spectacular in american film?? and any film with diane keaton and meryl streep is worth experiencing
2,5,Funny in 1 hour and 36 minutes!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
3,3.5,"Manhattan is a warm and emotionally resonant tale about love, loss and being true to one's self."
4,4.5,"Manhattan is a funny and heartfelt film exploring a wide range of themes, such as love, loyalty, and complex relationships with great sincerity and realism. The film is also wonderfully shot and brilliantly acted, and the ending gave me goosebumps."
5,4.5,"Only bettered by Annie Hall, this is a nostalgic Allen Classic. Engaging, thought provoking dialogue which captures not only life's deeper considerations but also the whimsical chaotic. Turn the lights off, bring out the popcorn and let me be whisked away by the cosmic delights."
6,1,"Filme bacaninha, o roteiro é mais ou menos, o filme tem cenas bacanas, a história é mais ou menos, a química entre o woody Allen e a diane Keaton é muito boa, e o elenco quase não ajuda a melhorar o filme, o filme praticamente só tem cenas de diálogos quase o filme todo."
7,5,"Michael Murphy in Manhattan was ill-suited; in my opinion, he is not an actor. He lets his fellow actors consistently take the lead and do all of the speaking. He appears to have nothing to offer. Any person on the street can fill that position."
8,4.5,"Another quick-witted Woody Allen screenplay on the uncertainty and insecurities of romantic relationships, Manhattan is more thematically timeless than not."
9,3.5,Exceptional blocking and amazing work with shadows and silhouettes. The direction and cinematography probably absolve the movie of the myriad things I have issues with.
10,1,It was the longest 90 minutes I've ever spent
11,5,"This is a mini-masterpiece and one of the high points from a decade filled with high points. Woody Allen has never been better & Diane Keaton, Meryl Streep & Mariel Hemingway are all better than him. Stunning black-and-white cinematography and amazing Gershwin music make for a truly cinematic experience. It is one of the most beautiful & gloriously romantic movies ever made."
