id,rating,review_text
1,4,Hated Scarlett’s character at first. Why was she making it hard for him almost on purpose. In the end I understand it.
2,2.5,"It was great seeing Scarlett and Adam Driver together, but the story fell rather flat and felt uninteresting. I would have much preferred a story in which they got back together lol."
3,5,"Everything about this movie really worked for me while I was watching it. The amazing performances that truly made me feel like they were a real couple throughout the whole movie. The brutal fights between them which show how much they have grown apart. And even the rare beautiful, peaceful moments where they would stop fighting and were happy for each other. But the best thing about the movie is how it does not picture either of them as a monster, but as real people with their struggles. Which shows why this movie is amazing and truly understands how marriages actually work."
4,4,"The performances are impeccable, and the script is exactly what I need to stop thinking about my family problems. It explores the theme of human relationships in a way that feels so intimate and profound that it's impossible not to be moved. Simplicity is the film's aesthetic, which makes it feel so warm. For me, it was a bit long... some scenes could have been shorter, and others cut altogether. The theater scenes and those related to work felt a little out of place with the overall tone, which isn't particularly opulent. Aside from that, while the premise isn't groundbreaking, the story's development will definitely stay with you. And the final scene will probably be hard to get over."
5,5,Great acting and storyline!
6,4,86/100 - amazingly portrayed story
7,4.5,"Ah, este filme! Como gostei dele! Talvez pela excelência do elenco (e, graças a ele, tive o privilégio de conhecer a força da atuação de Adam Driver), somado a um roteiro verdadeiramente denso, um enredo que exige a total imersão do espectador. A produção se caracteriza por longos takes, diálogos que parecem intermináveis, o que apenas reforça o profissionalismo de todos os envolvidos. A cena de Johansson conversando com a advogada, enquanto explica a ela — e a nós — o que levou a situação a esse ponto, é um espetáculo por si só. Além disso, o ápice do filme, a discussão entre os personagens, é de arrepiar. E quando digo ""arrepiar"", é com ""A"" maiúsculo. Cada elemento do cenário contribui para a construção da tensão. Cada movimento, cada gaveta aberta, cada gesto, cada olhar. A profundidade da cena no tribunal, onde ambos aparecem de forma deliberada, sempre no mesmo plano, e ainda assim não se olham. Juntos, mas distantes, envergonhados, uma distância que é maior do que a física. Este filme é, sem dúvida, uma verdadeira aula de cinema: storytelling, roteiro, direção — tudo! O final, seco e realista, sugere que a vida seguiu seu curso, mesmo depois que paramos de assistir. Cinco estrelas, sem dúvida. Não tem jeito!"
8,3.5,"Marriage Story admittedly presents an emotionally realistic picture of divorce and the general reality beyond the end of a serious relationship. It realy doesnt pull any punches or fluff anything up. All the anger, delight and laughs youll feel are real because you understand each part personally."
9,4,A really sad movie. Portrays the broken justice system. The man can't hire the same lawyer that his wife also consulted with for the divorce. The man has to pay some of the wife's lawyer fees for divorce. This is the society's failure. So much money lost during divorces and so many families ruined...
10,5,Success in 2 hours and 16 minutes. Winner of 2020 Academy Award for Best Supporting Actress (Laura Dern).
