id,rating,review_text
1,1,"If you haven’t read the book, this movie would be OK. If you have read the book you’ll be questioning why they took a perfectly good story and changed just about everything in it. They’re also missing the most important character in the book—Mandalay. Du Maurier took great pains describing the house and the grounds and how the second wife was experiencing it. By the time you’re done reading the book, Mandalay is a living, breathing entity. This movie doesn’t capture that at all, nor the inexplicable grief Maxim would’ve had when he saw its destruction."
2,3,"It is very hard to out do Hitchcock That being said, this is a solid version of the material Not a classic like the original but one worth watching"
3,4,"Very good, enjoyed all of the actors, beautiful scenery."
4,3.5,"The 2020 Rebecca is a glossy, modern retelling that swaps Hitchcock’s simmering dread for lush visuals and melodramatic polish. Lily James brings earnest warmth to the new Mrs. de Winter, while Armie Hammer delivers a Max de Winter who feels more conflicted than commanding. Though it never fully escapes the shadow of its predecessor, the film offers a stylish, accessible entry point into the story—part romance, part mystery, and part Instagram-ready gothic fantasy."
5,5,"Loved the thrill, love story, period views,, so well made I would watch it again"
6,1,"Unfortunately the director Ben Wheatley has no sense of style or rhythm of how to pace this story. Why would I believe the two main actors falling in love? No tension, no charm , no suspense... utter failure."
7,5,Loved the book and this version of it in film. Have watched I many times. Great cast and acting.
8,5,"""Rebecca"" (2020) is the fourth screen adaptation of Daphne du Maurier’s novel, following Hitchcock’s 1940 film, the 2008 Italian TV version, and the 1997 mini-series starring Charles Dance and Emilia Fox. I haven’t seen the previous adaptations, so I won’t compare. The film starts off as a romantic story set in Monte Carlo. Azure shores, lush nature, luxurious hotel rooms, the sweet life — the perfect setting for a love story! A young companion to an aristocratic lady — the future Mrs. de Winter (Lily James) — happens to meet Maxim de Winter, a wealthy Englishman. Their relationship grows stronger day by day until he eventually proposes. But once he brings her to his Manderley estate in Cornwall, Maxim changes. It’s subtle, but the new Mrs. de Winter notices it. She also finds it psychologically difficult to live in a house still haunted by the memory of Maxim’s deceased wife. Nightmares and unsettling situations become her constant companions, and she slowly starts losing her composure — much to her husband's increasing irritation. I disagree with those who say Lily James brought nothing to the role. Personally, I think her sweet face and expressive eyes — perfect for portraying horror, quiet confidence, and transformation — worked well. She plays a woman of humble origins: orphaned, working for pennies as a lady’s companion. She’s the epitome of modesty and meekness. In her new home, she acts like a guest, not the mistress. Her word holds no weight against that of the housekeeper, Mrs. Danvers (Kristin Scott Thomas), which only worsens her fragile state. Imagine: the help has more authority than the lady of the house! Everything in Manderley screams ""Rebecca"" — from household items and furniture to monogrammed handkerchiefs. Her invisible presence weighs on the new wife’s delicate shoulders and threatens to crush her. And then there’s Maxim — the once charming, attentive man from Monte Carlo is now cold and withdrawn, seemingly haunted himself by his late wife. Emotionally, this film works quite well. Director Ben Wheatley skillfully divides the story into a romantic first act and a psychological thriller with a hint of mystery thereafter. The relationship between the de Winters flows in waves — apologies quickly turn to coldness, affection to outbursts, hope to despair, and back again. If you haven’t read the book or seen earlier adaptations, you might even doubt the main character’s motives at first — after all, it could seem like she just wants to snare a rich man. But Maxim’s strange behavior raises its own suspicions. And then there’s Mrs. Danvers — the moment you see her, you just know not to trust her. Over time, your perception of each character might shift entirely. And maybe that’s what makes Wheatley’s ""Rebecca"" work — it flows in black and white stripes. A dark scene is followed by light, then dark again… and so on, until the very end. But hey, that’s just my take. Watch it and decide for yourself!"
9,3,Maxim's old Etonian tie is a nice touch
10,2,Bland to the point of boring.
