id,rating,review_text
1,5,I feel like I’m reading the comic again
2,5,Sony’s magnum opus! 1000000/10 movie. Must see
3,5,The style it’s absolutely peak I like animation my favourite one is clip with the song called (what’s up Danger)
4,3.5,"The movie has potential, but people praise it way too high the best animated spider man still remains the tv show 'spider man' [1994]."
5,5,PEAK Cinema this was the best movie in my opinion
6,4,I wish Arron didn’t die
7,5,BEST. 2D-3D HYBRID ANIMATED MOVIE. EVER. 10/10
8,5,I LOVE GWEN AND THE COLORS AND ANIMATIONS ARE SO SO COOL I LOVE THIS MOVIE
9,5,Visual MASTERPIECE with a great story and amazing characters
10,5,Is just so good gng
11,5,"I really loved this story and dynamic with the characters are perfect. It,s good to try new thing and Miles did a very good joob as Spider Man i very very very much like the trio Peter Gwen and Miles there dynamic was just supergood. And that was my first marvel i saw and i really like that is teaches enyone could wear the mask."
12,5,"My #1 best movie of all time! Really, really amazing! It truly is a certified complete masterpiece / complete perfection! 😍"
13,3,"Me gustó la historia de origen de este personaje lo sentí muy direfente al resto, mi principal problema con la historia es su humor y siento que no hubo tanto desarrollo como esperaría."
14,5,I Love This Spider-Man Animated Movie 😍
15,4.5,"L'animazione è molto sorprendente, l'umorismo c'è e la storia è piena di azione che farà saltare dalla sedia gli amanti del genere ed esalterà anche quelli che non lo sono. L'umorismo si combina con un dramma umano intelligente e commovente che rende King Ping un cattivo credibile e adatto ad un film di questa stazza"
16,5,"Artisticamente único, trilhas sonoras ótimas, personagens carismáticos e história envolvente é um excelente filme de super herói que ao mesmo tempo mostra o esgotamento do gênero utilizando isso como artficio de piada"
17,5,"Spider-Man: Into The Spider-Verse, my favorite animated movie ever. They do a lot of things right. The animation, the cinematography and the characters are all amazing. The action sequences sometimes get a little out of hand, especially for a PG rating. Overall, I give this film a 10/10 or 5/5 stars."
18,5,Awesome Movie of 2018!!
19,4,"its just too good. but i feel like the plot was kinda...eh. didnt really vouch for anything. but it was emotional and had its moments, and GWEn. i loved the character designs and the world builidng the most before anything. teh ccracters themsleves were pretty good too. one of the greatest kid movies ever i might say"
20,4.5,"It’s possible to turn differences into strengths. They believe no one has to stand alone, and trust that this shared faith will carry them through every battle in the Spider-Verse, passing the spirit of courage to every ordinary soul with a hero’s dream"
21,4.5,"While I can’t say I’m as passionate about this one as some (maybe that’s just because I’ve seen it WAY too much), this is undeniably an extremely impressive, even groundbreaking feat, for all the obvious reasons."
22,5,Amazing Story Telling🕸️🕸️🕸️🕸️🕸️
23,4.5,"Epic movie, sometimes emotional I love it"
24,3.5,"Visually satisfying, great artistic interpretation of comic to 3D movie. Story I don't know"
25,3,Good movie but ends on a cliffhanger
26,5,This movie is definitely a must see! While it has dark themes it’s more humorous than dark. In a good way! Spider-ham is a great example of comedic relief! And with a villain like kingpin this movie was one every person must see before they pass!
27,5,The greatest spiderman movie of all time bar none.
28,5,It is the best superhero film ever it embodies the feeling of reading a comic book and is original in its style. It is a breath of fresh air as something different and it’s best achievement is how good it gives you the feeling as if you are the main character
29,5,"So goood, animation style is just so fun and beautiful"
30,5,"One if the best, most impactful animated films of this generation. This film created a whole new, complex style of animation which many movies have adopted after its release. The storyline and execution is top tier and it keeps the audience very interested. In my opinion, visually, this is the best spider-man series we have seen."
31,5,Best Spider-Man movie out there
32,5,just watch it you bum
33,5,My favorite animated movie of all time and on some days my favorite movie of all time
34,5,Esta es literalmente la mejor película de spider-man que ha existido.
35,5,Best animated movie of all time. Hands down.
36,4,it was a good story but if you look closely it has some choppy animation at some points.
37,4,"The filme is an innovative and visually stunning animation that brought new possibilities to the superhero genre. Miles Morales story is exciting, Fun, and Full of personality, addressing themes such as courage, identity, and responsibility. The filme stands out as a creative and inspiring work and is certainly onde the best spider-man movies"
38,5,Absolute masterpiece
39,5,Easily one of the top pieces of Spider-Man
40,5,BEST. ONE. EVER. WATCH IT. NOW
41,3.5,Pretty good spiderman movie
42,5,Animation has never been the same after this.
43,5,One of the greatest marvel movies of all time
44,5,"Art. In this age of endless animated movie releases from the multi-million dollar big studio production to the straight to streaming budget slop I can see why so many people think of cartoons as simply a child's medium. But animation when done right is Art. Art that can invoke emotion and leave you breathless. Though this movie needs to be a comic book origin movie the WAY they decide to approach it when it would have been SO MUCH EASIER to make it ""just a cartoon"" shows care, skill, and yes, artistry. This movie had scenes that I would put on my wall, a story of growing into your destiny, of fathers and sons, all rolled up together with fun fight scenes and jokes and just plain fun. This is my favorite Spider-Man movie. Even including the live action work that has come before and since this movie captures the essence of Spider-Man. There's so much more to say about it so just watch it for yourself."
45,5,Amazing Movie great
46,4.5,"Visually stunning and endlessly creative, with heartfelt storytelling and sharp humor"
47,4,It awesome I love it
48,5,MARAVILHOSO ROTEIRO INCRÍVEL ANIMAÇÃO INCRÍVEL DIREÇÃO INCRÍVEL AINDA 9/10
49,5,"Critics Consensus: Visually groundbreaking and emotionally resonant, Spider-Man: Into the Spider-Verse isn’t just the best Spider-Man movie—it’s one of the best animated films ever made. Bursting with energy, heart, and innovation, it redefines what superhero storytelling can look and feel like. Shameik Moore shines as Miles Morales, a relatable and inspiring new hero whose journey of self-discovery captures the essence of what makes Spider-Man timeless. The film’s dazzling animation style—a kinetic blend of comic-book art and cutting-edge technique—creates a visual feast unlike anything seen before. Phil Lord and Christopher Miller’s witty, heartfelt script blends humor, heartache, and heroism with effortless precision. Every Spider-person—from Jake Johnson’s weary Peter B. Parker to Hailee Steinfeld’s confident Spider-Gwen—adds texture and warmth to this multiversal masterpiece. Into the Spider-Verse isn’t just a love letter to Spider-Man—it’s a love letter to creativity itself. Bold, beautiful, and bursting with soul, it’s pure cinematic magic."
50,5,"The best spider-man film. Beyond being funny, creative, and wonderfully animated, it truly has an understanding of the character of Spider-Man."
