id,rating,review_text
1,4,"Important story very well told,"
2,4.5,"Really good, but disturbing..."
3,5,Absolute Knockout. A masterful punch that hits hard and leaves you reeling!
4,5,Excellent story and writing. Superb acting. Have watched it 4 times already.
5,5,"It is not very often that I a can say this, and not truly question it. This is one of the most important movies that has ever been made."
6,4,"It was very well done - the script and acting and photography - and the story of the abuse and cover up by the Church was clearly depicted. The story caught my interest and it felt if I was being given insights how investigative journalism worked. So I admired it, but it didn't stir my emotions and was, perhaps, a bit too long."
7,4,"Que fuerte no? No se como dejamos que en el ambiente de la iglesia católica pasen cosas así. Que buena historia basada en hechos reales, que bueno saber que si se hizo justicia. Pero que triste que en otros lados no hagan nada y la iglesia los domine."
8,5,One of my all time favorites Very rewatchable. 10/10
9,4.5,"Father Knows Best...That He Has Sinned This film could have been called Stoplight for it greatly helped put a stop to the physical, sexual and mental abuse of children. England’s Lord Acton famously said “Power tends to corrupt, and absolute power corrupts absolutely”. It harms not only the weakest among us but also the most powerful of institutions. History's repeated irony is that they circle the wagons for fear of losing authority, yet the end result is usually far worse. The Roman Catholic Church and its Clergy were once and not so long ago held in high esteem. As punishment for not policing its own and for failing its faithful, it has caused many to lose that faith and has become a figurative punching bag and literal joke across society. Priests are now synonymous with perverts. Spotlight follows in the footsteps of All The President’s Men in prioritizing accuracy over sensationalism and in telling a true story that builds suspense even though the outcome was already known. Spotlight includes an interview with a victim and a reporters’ meeting with another leading a group, but the film does not spend much time here. The focus is on the reporting."
10,4,"Outside of All the President’s Men, this is the best journalism movie ever"
11,4,"The story featured in this film is a very interesting one. However, it is told in the most dry, lifeless way possible. I felt like I was sitting in their little office for two hours, waiting on the phone to ring. The phone never rang for me and the film never grabbed my attention. The movie wasn't bad, but it also wasn't great or even that interesting. With this subject matter and an awesome cast to bring it to life, there really is no excuse for this film to be so uninteresting. I was really disappointed. How can an A+ story and an A cast result in a C+ movie? Well, it did just that. Others may like it, but I don't recommend this film. 82/100"
12,5,"When I read the review for this movie, I said to myself, ""I have to go see this."" I did and it was well worth my time. I was impressed by the work and research the Boston Globe's Spotlight team put into investigating the horrific child sexual abuse going on the Catholic church. Having been raised a Catholic, I was shocked to see in the closing credits FOUR screens of the lists of cities, towns, and countries where the abuse happened. I'd already known about the abuse, but I had no idea just how widespread it was. At that, I had to stop and cry before I left the theater. ""Spotlight"" showed us the truth about what my childhood church tried to cover up--and gave validation to the victims still suffering all those years later. The Spotlight team truly did their jobs."
