id,rating,review_text
1,4.5,"Great storyline and interesting characters. Has its flaws, but overall a great show. Looking forward to the next season."
2,4.5,A strong addition to Star Trek
3,5,This the place to be
4,5,I enjoyed this iteration of the original crew
5,2,"Visually stunning and energetic, but the timeline split feels unnecessary - a shortcut rather than respecting established continuity. The action spectacle often overshadows character development, sacrificing Trek’s thoughtful core for blockbuster thrills. Good sci-fi action film, but not quite Star Trek at its best.​​​​​​​​​​​​​​​​"
6,4.5,I have always been more of a Trek fan than Wars & these StarTrek movies scratched that Star Trek fan than wars. This Is Star Trek!
7,0.5,Story is not too bad but soundtrack is probably the worst ever seen in a movie. It us so repetitive that you will hate the while movie
8,5,"Highly entertaining, great feel-good movie, you root for Kirk through the movie. Solid acting, likable characters."
9,3.5,"The levels of plot hole and contrivance are off the charts (along with the lens flares), but it's still an undeniably fun film. Shame things went downhill so fast after this one."
10,1,"BOOOOOOOORING! Chris Pine can't do Kirk, I'm sorry. At least Zoe Saldaña was a good Lt. Uhura but that's all I can give it. The action is boring, the score is boring, the story is boring, and the effects are boring. Just a bunch of CGI slop."
11,5,"Very good story, perfect characters, excellent effects. It adapts the original series with great respect and elevates it with a good story."
12,5,Captures the essence of star trek and really impresses me with the insane scenes and CGI.
13,4,"Taking into account that this movie takes place in an alternate universe, it is a great reboot of Star Trek. Full of action, drama, humor and surprises, I feel that it was a nice homage to the original series. I've watched it at least twice, years apart, and it made me feel like an 11 year old, watching OG Star Trek reruns with my dad."
14,4,"Star Trek (with Chris Pine) successfully revitalizes the franchise, delivering a fun, engaging, and action-packed experience. Chris Pine steps in as the new leader with charisma and confidence, providing a fresh energy that propels the story forward while honoring the essence of the original series. The action sequences are thrilling and well-choreographed, keeping viewers invested throughout, and the director does an excellent job balancing these moments with character development. Each main character receives attention, including backstory and emotional depth, which helps audiences connect with the crew. The screenplay is generally strong, effectively updating the franchise for a modern audience while maintaining the core Star Trek spirit. Minor missteps exist, but they do not detract from the overall experience. Pine’s performance is particularly noteworthy, portraying a leader who is both heroic and relatable, making this iteration of Star Trek highly enjoyable."
15,3,"Action packed and fun, but generic and lacking of any meaning, which is a Star trek staple. Time traveling plots always suck, and the villain looks cheap."
16,3,"As a movie, I don’t think it’s that good. It gave me a Transformers cinematography vibe. Made sense when I saw JJ Abrams come up on the screen. However, I think it’s still a fun movie. Despite characters developing rapidly, it made me want to watch the old Star Trek series (I didn’t realize there were so many) and understand what real Sci-Fi from the 60s-80s was like. My wife loved it because of all the gnarly monsters and big explosions."
17,4,"I hadn't seen much of the show before I saw this movie, and it pulled me in like a black hole!! The story is gripping, the characters are great, and (as always) Michael Giacchino kills it with the music!!!"
18,5,Awesome movie both acting and visuals. Throwback and nostalgic with a modern twist. Even the comedy breaks made this movie familiar!
19,3,"In future startrek movies..please slow down the action as not to have to use your slow motion to comprehend. Also, not every action scene need full on philharmonic orchestra."
20,2,"Boring, flattened and sometimes stupid. The opening is very slow and the other Spock just feel weird."
21,4,"The future begins. Star Trek is a 2009 American science fiction action film directed by J. J. Abrams 🛸 It’s very good! 😀 I’d definitely recommend it 👍🏼 The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again."
22,5,"Rebooting the classic iteration of Star Trek is done to perfection. The crew of the Enterprise maintains their long-standing characteristics while possessing a few modern eccentricities. The casting is also flawless, especially Zachary Quinto as Spock, whose performance nails the mannerisms of Leonard Nimoy's timeless portrayal of the character. The special effects are wondrous to boot, given that the technology has caught up with the genre. This spacefaring adventure has heart, drama, and thrills."
23,4,"A crowd-pleasing reboot that honors Star Trek’s adventurous spirit while giving it blockbuster energy. Not perfect, but a stellar reintroduction to the final frontier."
24,0.5,"Filme fraco, o roteiro é fraco, as cenas são fracas, a história é fraca, o elenco é fraco, e ninguém ajuda a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom"
25,5,"This was the reboot so many hoped to get, and it delivers. Great story and action along with a new introduction to familiar characters recast."
26,5,"Success in 2 hours and 6 minutes!!!!!!!!!! Rated PG-13 for Sci-Fi Action, Brief Sexual Content and Violence!!!!!!!!!!!!!!!!!!!!!!!!!!! The USA grossed over $257,700,000.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Dubbed and subtitled in worldwide studios!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
