id,rating,review_text
1,5,"Anything Hoffman was in keeps me interested. Well acted, I just wish that he had held on and lived years longer. One of the best actors of all time."
2,4.5,A beautiful shot and masterfully acted film. It's a psychological drama that will make you feel depressed in the end. This is a slow burn so you're in for a ride. But whenever Hoffman is on screen he steals the show.
3,2.5,Idk for a film about a ptsd ridden WW2 veteran joining a cult i thought it would be more tense it was fine for one viewing but I dont plan on watching it again.
4,4,Another gem for PTA. It warrants a second veiwing though; the rating could go up even more after.
5,4,"Some of the most mesmerizing & engrossing acting of this century. The strange & unsettling style of Anderson is in full swing yet it works so well. Deep layers of themes about power & authority are emotionally provoking & sweep me up into the drama. Every aspect feels very intentional, even if it’s not terribly clear. Definitely not the type of film for everyone but diving into the uncomfortable is hugely rewarding."
6,1.5,"I wanted to stop watching this movie with only ten minutes left — and that says a lot. I forced myself to sit through it, waiting for it to get better because of all the rave reviews. It never did. Is it about cults? PTSD? Or just two actors showing off their skills with ultra-mundane subject matter? It never seems to decide. Joaquin Phoenix and Philip Seymour Hoffman are both outstanding actors, and their performances are the only thing holding this together. To be honest, I didn’t think much of There Will Be Blood either, and I still don’t understand what all the fuss was about — that one also had Daniel Day-Lewis putting on an acting clinic, just as Hoffman and Phoenix do here. Unfortunately, great acting can’t save a film that’s ultimately unfocused and emotionally inert. The Master is a beautifully performed slog."
7,5,"when you watch the master, it feels like watching high art. every frame and scene feels like something you would find in a royal palace, every emotion and act. it makes you believe in scientology, then brings you back to reality, then shows you the true absurdness and horror of it. how paul thomas anderson arranges every little detail and gets every actor in the movie, no matter how big or important the role, to feel so insanely realistic is beyond me. obviously, there's the famous scenes that everybody knows, and while their famous for a reason it's the little bits of emotion in everything that drive the master for me. it makes me feel so many things. truly high art, and one of philip seymour hoffman's last and greatest performances."
8,4,"7.8/10 So slow but Hoffman and phoenix are incredible actors, it’s like a battle of geniuses"
9,4,"The Master is a spectacular look into the formation of cults and the relationship between men who are dependent on each other, but use different ways, sometimes crueler, to fulfill their dependency on others."
10,2,It acting is very good. Just felt like it was confusing slow paced and a very strange main character that I didn’t care for at all
11,1,"Filme mais ou menos, o roteiro é fraco, o filme tem uma história desinteressante, mas as atuações do Joaquim phoenix e do Philip seymour Hoffman dão um salvada no filme, as cenas do filme são meio fracas e o elenco em si tenta ajudar mas não consegue."
12,5,Favorite movie of All Time
13,1.5,"I love Philip Seymour Hoffman, and Joaquin Phoenix- and the acting here is great. But other than that this movies ended and I was left wondering “what the f**k did I just watch?” … sure there’s some themes and thoughts to be had, but ultimately this movie just starts with nothing and ends with nothing."
14,4.5,"A uniquely beautiful and completely platonic love story between two friends, Freddie Quell and one Lancaster Dodd, the creator of a religious movement, called ""The Cause"" in this film. Quell is a veteran of the second world war and suffers from the residual effects of that experience. Their collective journeys intertwine and creates the most unlikely of friendships. The acting in the film is otherworldly. The original score and overall sound design are spectacular. Paul Thomas Anderson deserves all the praise for bringing his written vision to life in this marvelous motion picture, The Master. I highly recommend. 94/100"
15,1,"It's amusing to see all of the critics obsequiously praising this film, mainly because they're terrified of being unhip. This film communicates virtually nothing. It has not one singe likeable character. It chronicles aberrant human behavior, but it refuses to take a position on it. It's loosely based on the activities of Scientology founder L. Ron Hubbard, Hubbard conned a lot of people into following him. Likewise, filmmaker Paul Thomas Anderson has conned a lot of people into believing that he's a brilliant filmmaker. This is one of the most meaningless films I have ever seen. The only message I got from it was ""If you don't like this movie, it's because you're too stupid to understand it."" Well, guess what? I'm not stupid. I'm discerning. And I recognize pretentious crap when I see it."
16,2.5,"I only managed to finish this thanks to Phoenix's solid perfomance. He's always impressive when it comes to playing troubled characters, that's his thing. This movie had massive potential but the second half really drags and ends up going nowhere. Some critics tried to find poetry here, but there's actually no hidden depth or message, in fact it feels quite unsure about its direction. Instead of being the wake up call it could and should have been, it's quite ambiguous and shy, refusing to really dwelve into the destructive world of spiritual con men and really condemn it. Too bad."
17,0.5,"Wow. I literally can't believe anyone rated this movie better than maybe 2 stars- at the most. I own a lot of PTA's movies and have seen all except this and PT. SO glad I didn't buy this first, I was going to. This movie was so long/ and so boring/ and so pointless. This is one of those movies where people like everyone involved so they say stuff that simply isn't true. The performances were great, why wouldn't they be, but the subject matter was truly horrendous. I think it's a testament that this BOMB= 4.4 million- at the box office. I didn't love Inherent Vice much either, which I also own. This is like a typical netflix made movie where you sit and wait for it to get good- and you do that until the credits start rolling. (Oh, I DID like Licorice Pizza though, that I'll buy- this I won't and just call it an outlier)"
18,3,"Awesome performance by Joaquin Phoenix and also by Philip Seymour Hoffman, but it's just their acting that elevate this film. Otherwise it's oddly paced."
19,2.5,"Joaquin Phoenix' performance is amazing and really drew me in for the first half of the movie, but it stretch out for way too long and I just wanted it to be over about half-way through it."
20,5,"Sometimes to find purpose in your life is to embrace yourself or find yourself a master! Freddy Quell is a troubled veteran who is drawn into The Cause by the charismatic Lancaster Dodd, which sparks an invigorating and disturbing connection between the two of them. In the context, it's hard to tell who's being genuine or making things up, making it an intense analysis of the human psyche and an intriguing story!"
21,4,I didn’t really get the ending but phoenix and hoffman were fun to watch. A-list cast
