id,rating,review_text
1,5,One of the very best crime dramas ever. 99 Stars
2,3,The Usual suspects is a complicated 3 stars because the movie had a complicated story. Full disclosure: I had the twist spoiled 8 years before I saw anything else about this movie. So automatically it wasn’t as impactful for me. The story spends the first 40 minutes just setting up the pieces. Once it does final start moving the pieces it was throughly engaging. I just wish it had kicked into gear sooner.
3,3,"The film is certainly gripping. It's packed with action and suspense. I found it technically interesting in terms of photography and editing. The narrative jumps around, from flashbacks to characters engaging in dialogue. Occasionally, random aphorisms about power and life, more or less profound, pop up. It's definitely not my kind of film. I'm not a fan of those where the gun is turned. But overall, it's a cute story and quite enjoyable, especially if you're an action fan. The performances are on point. My only criticism is that it can sometimes be difficult to follow the narrative thread: I recommend staying alert."
4,5,I first saw this movie on a flight decades ago. I continue to go back to it over and over again.
5,5,One of my favorite reveals of all time. Leads you all around. Love the different characters.
6,5,"Classic crime movie. Not to be slept on! The story, acting, pacing is on point. Really fun watch, would recommend to anyone into action, crime or thriller! Some amazing shots of NYC too!"
7,2,"Inspid plot, poor acting, dumb twist"
8,4,9/10
9,4,"I didn't know the twist ending, but I knew that there was a twist ending... and that kind of ruined the twist ending. Beautifully shot and cleverly written, I was highly invested throughout the whole movie. I don't usually say this, but I think that it could have used another 20 minutes or so to connect us to the characters. I'm not saying that Ocean's Eleven is a better movie, but I was much more invested in that group of criminals that this one. Best Character: Verbal Best Quote: ""The greatest trick the devil ever pulled was convincing the world he didn't exist."" Best Scene: Looking at the Board in the Office Note: The name Keyser Söze is chilling. Watch Filtered on VidAngel"
10,1.5,The film is shot in a dark environment and basically features sequences of various people shooting at each other without much evident plot development!! We expected more.
11,4,"The only things missing are Edward Norton, Steve Buscemi & Harvey Keitel"
12,4,"A pretty solidly constructed and well executed elaborate tale of a myth... a villainous mastermind hiding in plain sight, executing long-planned revenge and retribution... mercilessly and with absolute relish"
13,3.5,"I didn't really like it because it was all confusing. But it did have a really good cast, and I struck with it. A classic as well."
14,3,Fun thriller but the supposedly incredible plot twist was very forseeable for a first time viewer.
15,5,"The Usual Suspects (1995) remains one of the most clever and captivating crime thrillers ever made — a puzzle box of deception, loyalty, and manipulation that rewards every rewatch. Directed by Bryan Singer and written by Christopher McQuarrie, the film is a brilliant blend of sharp dialogue, atmospheric tension, and one of the most unforgettable endings in cinema history. The story unfolds through the eyes of Verbal Kint (Kevin Spacey), a small-time conman recounting a tangled tale of crime and betrayal that begins when five criminals meet during a police lineup. What follows is a masterfully woven narrative of heists, double-crosses, and the enigmatic figure of Keyser Söze — a name that sends shivers through the criminal underworld. The ensemble cast — including Gabriel Byrne, Benicio Del Toro, Stephen Baldwin, Kevin Pollak, and Chazz Palminteri — delivers exceptional performances, each bringing a unique energy to the group dynamic. Spacey’s portrayal, in particular, is mesmerizing, full of nuance and subtlety that make the film’s final moments truly jaw-dropping. Visually, The Usual Suspects thrives on its moody cinematography and gritty atmosphere. The pacing is tight, the dialogue is razor-sharp, and the soundtrack enhances the tension without ever overwhelming it. Every detail feels deliberate — every line, every glance, every flashback — leading the audience deeper into a web of lies that culminates in one of the most iconic twists in movie history."
16,5,"I cannot believe that people actually don’t like this movie. I understand that the plot led you to think what is the point, but really, can we just ENJOY THAT BEAUTIFUL ENDING?"
17,4.5,"Not quite as mind-blowing as it's sometimes built up to be, but solid crime flick."
18,1,Great actors and all that but it didn't engage me in any way. Nothing in it that made me care about what was happening.
19,5,"So I usually get to raving about this movie in this way. I'm 62 and sometimes especially when I get up after sitting too long, my first few steps are kind of unsure and they tend to get better as I walk. In describing this to other people, I say that it's like Verbal's gait at the end of The Usual Suspects. If they're a fan of the movie, they will nod in understanding. If they haven't seen the film, I try to explain what I mean and what the film's about but realize I would spoil the plot if I try. In the end, I just tell people to sit down and watch it. Many of those people have come back to me and raved about it. A truly excellent film that I could watch over and over."
20,3,"This is one of those films where all involved were trying to create great art, yet by the end I was left wondering what the point of it all was. Beautifully shot, some fine performances but not once did I feel moved or have any empathy with the characters. The twists and turns and cutting back and forth between the past and the present just felt tiresome to me and I wanted something concrete to anchor my relationship to the onscreen events as a viewer. Not one I'd wish to watch again."
21,4.5,"Great performances all around, great plot, worth seeing"
22,5,5.0 stars; An instant classic. So unique and original that it started a genre of crime movies.
23,2.5,"This movie is highly rated by critics and the rest of us, but it is definitely not my favorite. Interesting, but not great."
24,5,"This is in my Top 5 favourite movies of all time. Everything about it is great, it has action, thrills, suspense, drama and a twist u won’t see coming !!! It’s aged well I still feel and all the actors are at the top of their game here and the music draws u right in. I went into this completely unknowing anything about it and maybe that’s why it scored so much better as I wasn’t expecting much at all and instead got steamrolled by a great cinematic piece of work. Quotable lines u will share with friends and a villain up there with Darth Vader as possibly the best ever, Kyser Soze. Grab a coke a pack of chips a spliff if that’s ur thing and sit back and enjoy a masterpiece."
25,5,"When you can tell in a gripping way an apparently pointless story, you achieved the height of ""art""."
