id,rating,review_text
1,4.5,"I see this film a bit differently than most. The attraction for me is not the exposé of racial injustice in the South because that is well-trodden ground. I was much more intrigued by our understanding and MISunderstanding of mental illness, and the innocence of the children as they are thrust into complexities of a grown-up world. Oh, and the score is wonderful."
2,5,This movie is timeless well worth watched if you have read the original book
3,5,One of the best movies ever.
4,1,"Filme mais ou menos, o roteiro é fraco, as cenas são mais ou menos, a história é fraca, o elenco é fraco, e ninguém ajuda a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom"
5,5,"One of the rare movies that lives up to its exceptional literary parent. Stunning performances by all and absolutely masterful acting and directing. This is a cinematic adaption of a supremely powerful book, and it pulled off masterfully"
6,5,"Fantastic movie, definitely worth watching!"
7,5,This is my favorite movie. It is a wonderful adaptation of an important book. This is storytelling at its best.
8,5,"When I saw the movie, it moomooed"
9,5,"Ambientado no sul dos Estados Unidos, durante a década de 1930, uma época fortemente época marcada não apenas pela Grande Depressão, mas também pela segregação racial, esse drama jurídico é a verdadeira definição de um clássico atemporal, pois seu peso artístico é tão importante quanto a sua contribuição social. Ao mesmo tempo que dá uma aula de narrativa cinematográfica, o filme aborda questões sociais que seguem pertinentes até hoje, mais de 60 anos após seu lançamento. Mais que um título incontornável para os amantes da 7ª arte, ""O Sol é para Todos"" deveria ser leitura obrigatória nas escolas e quaisquer outros ambientes em que sociedade e huminadade são objetos de estudo, discussão e aprendizado."
10,5,A beautiful movie with the perfect actors and voice over. Lovely tribute to America's favorite novel.
11,5,I read the book before watching this and I will say that it perfectly captures the themes and stories of Harper Lee's novel.
12,5,A true classic. Based on a wonderful novel. The acting across the board is great. A a movie that reminds us that justice doesn't always apply equally.
13,5,They don’t get any better.
14,4.5,I saw it many times. A true classic!
15,5,"A classic film and well-done, faithful adaptation of the timeless novel."
16,5,Its a must see movie! A true classic!!
17,5,Greatest movie I’ve ever seen!
18,5,The best classic movie
19,5,I love seeing classics at the movies
20,0.5,"It was so boring that i busted all over the screen, the busting was good but the movie sucked. 1/2 stars😡😡😡😛😡😡😡"
21,5,"It's a classic film focused on treating others with dignity and highlighting the ugly side of racial prejudice. Gregory Peck's, one of the best actors in cinema history, gave his finest performance."
22,4.5,Excellent acting in a very strong adaptation of the classic book.
23,4,Read this book in middle school and we watched some of the movie clips in class. Looked interesting enough to where I wanted to check the whole thing out. Correct decision. Such a great film!
24,4.5,"Harper Lee's distinct sense of humanity and humour is translated flawlessly to the silver screen. Every element of this film works so fantastically, and those elements don't dilly-dally in execution. Gregory Peck's reserved, stoic, and mysterious characterisation of Atticus Finch and Elmer Bernstein's memorable score are the obvious standouts."
25,5,I would put it in the top 10 best movies of all time.
26,5,Just as good a a movie gets!!! A must watch!
27,4.5,"If your only exposure to To Kill a Mockingbird was being forced to read and/or watch it in school, you should watch it again by choice. This is a powerful film. It also manages to convey a moral message without coming across as heavy-handed. The cinematography is simple, but that gives the story and the acting a chance to shine. Gregory Peck portrays Atticus Finch with a quiet dignity that I hope to emulate in my life, and the child actors both give performances that feel completely natural. To Kill a Mockingbird is a well-crafted film adaptation of one of the most iconic American novels of all time."
28,5,This movie is an illustration of how to effectively adapt a book for the screen.
29,4,"I haven't watched this or read this in a long time and wanted to check it out again. The story/plot is well written and shocking/sad and for the time, this movie has good acting. The music and cinematography, camera work, and directing are all great as well. It even comes off as a creepy film every now and then which I actually enjoyed. I was surprised by Robert Duvall's performance and character, he wasn't in the movie much and didn't have any lines at all but his presence on screen felt special for some reason and was placed well at the end. There were a couple of slower scenes in the movie that could've been cut out in my opinion, however that definitely didn't ruin it. I can see why this has a high rating!"
30,4.5,"a very beautiful story i think it has to be a must watch, and a must read book, for everyone. the innocence of childhood, prejudices and racism are just a few of the topics this marvelous story guide us through. scout and jem are two precious children of the one and only, the lawyer supreme, atticus finch, who teach his son and daugther, as well as the audience and the entirety county of maycomb, how a man is not just guilty because of the fact that he's black, and how people often abuse their power in order to cause trouble to others less fortunated or in a different position/status. i read the book prior to watching the film, as even though things don't happen exactly as they did in between the pages, the main storyline is there and the characters are portrayed to perfection. literally i can't imagine a different cast for the movie. it's one of the first ones, not to say the first black and white movie i've watched from start to finish in my life, so it'll always be extra special for that as well. i though that because it was old and a film noir i wouldn't like it or appreciated as much. let me tell myself that this factor was a key part of the story (being somewhat focused on race and privilege) and i think that made it work better because i don't think i would have liked it if it was full on color. plus, the whole format of it all was incredible to experience, so maybe i'll start watching more of those in the future. the story, being told from the perspective of scout, a girl in the midst of this whole problem, is just amazing. as i said, it combines the innocence of a child with problems that concerned the adults of the society, narrated by the protagonist grown up! the movie felt like a dream after reading the book, being a proud adaptation of it all and demonstrating how good words can become an experience. everyone should know this story and film, and even though i don't consider it one of my favorites because i mainly find others better, i think it's important to share this type of content more often in these days when discrimination is sadly still a problem!!! some things haven't changed since the 1930s and i think it's time to change that <3"
31,4.5,"Is a triumph, Gregory Peck is magnificent, one of the best legal drama films."
32,4.5,"this movie is a totally example of the reality for the people in that time, with the look of a child."
33,5,Best book actuate movie ever. It's a sin to kill a mockingbird alright and you know it! Atticus is so good!
34,5,"The adaption of one of the most famous books ever written, is nothing short of exceptional. The casting of Peck as Atticus Finch is perfect, The script is as tight as the book and it's impact as profound. Must see"
