id,rating,review_text
1,4,This is an excellent movie from all angles but I reserve my only 5 star review for a Western to The Outlaw Josey Wales. It is a better movie in the same genre. Unfortunately made when Westerns had gone out of fashion.
2,5,Fantastic Movie. A western as you haven’t seen before.
3,5,"If Eastwood only got one thing right in his entire career, this was it."
4,5,"Unforgiven is a fitting Western that Clint Eastwood masterfully stars, produced and directs. With a stellar supporting cast. Eastwood masterfully brings the audience to acquaintance of gunfighter William Munny. Munny has been away from murdering and is pulled back into his gun for hire ways , when a woman has been scarred by some cowboys. Great morality film about remorse and redemption. Another winner of a Western by one of the best in the genre."
5,4,"Pretty great movie, especially from a technical point. The editing, action, the score were all excellent and the cinematography was exceptional, what a beautiful looking movie. As a story, I think it was amazing. Sure, the overall story was nothing new but it's how the story played out that was the stand out with a great deconstruction of violence. I do think that some of the dialogue made me roll my eyes a little but after a while I kind of felt it was intentional and his acting was more his character that was acting so it felt like it was put on. Not sure if that's what they were going for but that's how I saw it. I also think the movie lost a bit of pace in the middle, didn't really seem to do much other than drag out the runtime. Gene Hackman steals this show though, my word what a fantastic performance. Overall I was gripped and thought that it was great but the pacing dropping at times and the kind of somber ending means I'm not going to rush back to it but man, it was great"
6,3.5,"I have mixed feelings on Eastwood's ""Unforgiven"". While I adore Eastwood and his usual style of Gunning and being a cool vigilantie in his Westerns, Unforgiven does nothing to stick out other than Gene Hackman, however even his character feels generic. Eastwood and Freeman have good chemistry and you can feel anger boil amongst Eastwood's character at times. It's just Unforgiven feels very similar to most other Westerns, usually final shootouts are in a saloon. I don't blame other Westerns, but this was released in 1992, he should've realised this and thought out a new plot.. On a little bit of a generic side, still works with good all-round performances and a nice film part of Eastwood actor/director formula."
7,0.5,"People giving this movie 5 stars makes me thing we watched a different movie. If big name actors were not in the movie it never get a 5 star from anyone. An old Clint Eastwood has a fever, gets beat up so bad he thought he would die yet 3 days later he was right as rain and ready to fight. Just one of the unplausible events in the movie and there were many many more."
8,0.5,The most overrated movie I have ever seen. And I'm a fan of the four legendary actors in it.
9,3,I can't believe how high this movie scored. Absolutely crazy. It was OK at best. But this is just me. I'm not really a fan of these genres. Only reason I watched it cuz it was 18+.
10,5,Probably the best movie ever made!
11,5,"Arguably the greatest western of all time, with Eastwood, Freeman, Harris and Hackman at their best. Gritty and hard hitting. Mummy releases his old demons in a great climax. I always want to see more of what happened to him after I watch this."
12,5,Utter perfection if not a bit predictable.
13,5,"The best western I have ever seen as a fan of them. Well deserved Oscars and the great performances of all the actors, its truly a film."
14,5,"Extremely well written, I was engaged in all acts. The actors were great and it’s one of the best westerners I’ve seen so far. Eastwood, Hackman, Freeman, woolvett, Harris (RIP), and David Peoples (writer) all deserve their flowers."
15,4.5,Classic movie one of the best westerns
16,3.5,A unique and dark western!
17,5,"William Munny is one of the great movie characters of all time because Clint Eastwood plays him with a quiet weight, a man who’s tried to bury the violence in his past but can’t quite escape it. He’s not a hero, and he knows it. He’s a pig farmer, a widower, a father doing his best to stay straight when society doesn’t make that easy. What sets Munny apart is that his transformation isn’t some triumphant return to form. It’s a slow, grim unraveling. When he picks up the gun again, it’s not because he wants to, it’s because the world drags it out of him. Eastwood doesn’t glamorize it. He portrays Munny as cold, methodical, and haunted."
18,5,"Best western movie ever made, bar none. Fantastic story, acting, directing, cinematography. It's the kind of film you know is special from the first watch thru. It grabs you from the beginning and keeps you engrossed the entire time."
19,5,"My favorite western, ever. Nuff said? Nuff said."
20,4.5,"The acting is top notch. Especially Gene Hackman as the no good corrupt sheriff. The best part is that there are no good guys in this film. Most of the main characters deserve to be hung. William Munny most of all. After all he openly admits to killing children. However many will find themselves rooting for him. This is a perfect example of how seeing the evil acts firsthand overshadows knowledge that evil acts occured in the past. People feel bad for Morgan Freeman's character, however his fate is just. He to is guilty of murder during his time as Munny's partner. That's what elevates this film over your everyday western."
21,5,"Uma obra prima do gênero western, com uma desconstrução do mito dos cowboys e a crueza e violência da época."
22,0.5,"Why **** up Clint Eastwood's career?!!!!!!!!!!!!!!!! The USA grossed over $100,000,000.00!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
23,2,I'll never understand the love for this movie. There's nothing to it. It's very straightforward and dull. To each their own.
24,5,An absolute banger of a movie with a really sad story...
25,5,Simply amazing! A real great movie from top to bottom!! Good times...
26,5,"Unforgiven is without a doubt, one of, if not the best Westerns. Definetly the greatest ""Modern"" Cowboy flick. The epitome of a Revisonist/Alternate Western, depicting the depravity of what it means to be a legendary outlaw. Eastwood literally learning to get back into the saddle while trying not to relapse in both the booze and the business of killing leads to an empathetic character, but one definitely morally bankrupt. The film at no point trys to justify Eastwood's character's past, and, through the Schofield kid, shows how gutteral it is to take a life."
27,5,"The best western in sometime, a must watch."
28,5,Good luck finding a better western ever made. Ensemble cast containing arguably 4 of the best actors in that last 40 years of film. Supporting cast is excellent. This film is timeless and as Clint has proven many times stacks up there as his best work in front of and behind the lense.
29,4,An excellent film that confuses the issue and makes the viewer ask the question: who really is the bad guy?
30,5,"An timeless story where there are no heroes in the old west. A well crafted character study with a straightforward narrative that doesn't bore and gut punching themes. Justice, good, evil, dignity, kindness, redemption. Fantastic cast and an 'embarrassment of riches' in acting talent. Memorable and mesmerizing. Cinematography, tone and sound design is flawless. A classic Must-see!"
31,5,"My favorite Eastwood movie. Wonderfully directed and performed by Eastwood, along side Freeman and Hackman."
32,5,"Best western ever made, period."
33,1,"Filme mais ou menos, o roteiro é mais ou menos, Clint Eastwood é bacana como protagonista, mas o elenco não ajuda muito, a história é mais ou menos e as cenas não são tão boas e nem interessantes e praticamente os diálogos melhoraram e salvaram o filme é também fizeram esse filme ganhar o Oscar."
34,5,This is the best Western ever made.
35,2,"Extremely slow burning, the characters are boring and the plot is extremely predictable. I got fooled to think that would a great-classic C.Eastwood movies. BORING."
36,1.5,This is a poorly acted cliche fest.
37,4,Didn't know where it was going. Kept me engaged the whole time. Great movie.
38,5,"One of the extremely few movies alongside gems like Unbreakable (2000) that manages to utilize it's extremely slowburn pacing to full degree, without ever actually feeling boring. Absolutly IMMACULATE performances by everyone here, alongside one of the finest and rich-in-detail scripts ever crafted, coupled with the amazing, full of symbolism, callbacks, details, and just about every other adjective you can think of, direction of master Eastwood himself. Definetely top 5 Westerns ever made."
39,5,The best Western ever made.
40,4.5,Clint Eastwood is a genius
41,1,Potentially the worst movie of all time. Clint Eastwood plays one character for 50 straight years in Hollywood.
42,5,Great movie. The dialog between the main characters is magnificent. Definitely a best picture.
43,5,"Excellent movie, good rythm all along and scenario well done"
44,3,"The plot delivers in the final moments but it’s not enough to justify a long, choppy buildup and a script as bland as the scenery is monotonous. Hackman is the highlight. At the end of the day, it’s representative of a genre that hasn’t aged well."
45,5,Perfection. Cinematic purity.
46,5,"It may appear trite to concur with other reviews , But , I have to say Jeez , What a Movie . Classic , is a description that has been bestowed like confetti at a wedding . Enjoy this Film and have no doubt that you have witnessed a true Icon at , arguably , his best to date . But , Wait , Eastwood does it again in later productions .."
47,5,"This one is an absolute masterpiece, Morgan Freeman is a great actor, just great. Eastwood is still a helluva cowboy!"
48,5,Top 5 of the best westerns ever made and overall one of the best movies ever. This movie doesn't glorify violence is the main topic I think. Honestly can't find a single flaw in unforgiven it's a masterpiece made and starred by the legendary and iconic Clint Eastwood and I think it's his best directed movie his magnum opus
49,5,I've watched this movie about 50 times and could probably watch it 50 more times. It could be a study on redemption but I don't think it is. How can a man especially good at killing be redeemed by falling back into his old ways? Maybe it has to do with who he's killing? Or maybe this is more of a story about bitter revenge. Or how reality can never live up to the legends of the wild West. Or you could just sit back and enjoy the mayhem.
50,5,the greatest western ever made
