id,rating,review_text
1,3,有事儿没事儿精神胜利，完美契合外界对巴拉特的刻板印象。男1号这样的天纵奇才，但凡能多花点时间帮俩铁哥们儿补习功课，他俩也不至于常年在学校吊车尾了
2,5,all is well.. i like movie
3,5,"Love this movie. Really funny and a good ending. And just remember when your ever in a tough situation... ""ALL IS WELL!!!!!!"""
4,5,"ABSOLUTE CINEMA 🔥TILL TO THIS DAY, NOT EVEN KIDDING."
5,4,"This movie has a lot. It is a comedy, but it is also tearjerking. It is really clever but also has its fair share of fart jokes. It shows the importance of education while highlighting the flaws of schooling. Sometimes it is a musical, and sometimes it is black and white. Its runtime may be nearly 3 hours, but it fills it up with a variety. The friendship of the three main characters is so charming. Rancho's simple but profound way of looking at things is effortlessly endearing. The film helps show that your happiness is not dictated by your income, and grades do not determine your intelligence. On the negative side, there are some frustrating character decisions that are... well, idiotic. The way in which a character named ""Virus"" is portrayed so much as an over-the-top strawman, he is just the worst. Sometimes it can be comedic, but a lot of times it is too much. And there is just two too many scenes of people peeing on things. Overall, this is a great film. It is profound without being pretentious. And it is optimistic without feeling fake."
6,5,watched multiple times. changes mindset in a good way.
7,1,Good movie but way too much overacting by the female lead.
8,5,One of the best films ever made!!!
9,3.5,One of the most entertaining Indian films ever made.
10,5,One of the best films I've ever seen! Absolute masterpiece!
11,5,"Absolutely u have to see this film, so cool"
12,4.5,"wow, that's amazing, the movie is so cool"
13,5,Nonton sampe abis ga bikin boring
14,5,Aamir Khan is stupendous as the rule-breaker Rancho. But the rest of the cast doesn't remain in the shadows.
15,5,"It is a definite must watch especially for children and teens. Have watched it numerous times and always enjoyed the comedy and genre of every single plot. The movie brings out the struggles and pressure of heavy competition, parents, teachers and peers faced by students at every educational level. It also showcases the brighter side of friendship and trust that every student and adult needs in their life. It is and amazing piece of work and I highly recommend."
16,4.5,one of the best movies in history
17,3.5,watch full amazing movie online on https://glamcinema.com/
18,5,Best movie of all time in the Indian cinemas
19,5,"On the canvas of student life, the movie 3 Idiots paints an inspiring picture that invokes a spectrum of feelings in the viewers' minds starting from humor to happiness and sorrow. It strikes a perfect balance of smart wits and realism in the dialogues. Although most of the movie plays on the themes of hilarious satire, it tugs at the heartstrings when it does not shy away from incorporating the grim fates some hapless students are inevitably faced with. Anyone who has had any form of formal education can easily relate to the plot and stay mesmerized throughout the screening of the film, drawing correlations involving teacher-student, parent-student and student-student relationships as well as getting fascinated by the distinct dynamics such relationships contain within them. All-in-all, a must-watch masterpiece intended for viewing of all age-ranges. Behold, the canvas of student life in the form of a feature-film, its colors shaded by the vicissitudes of it."
20,5,"Phim hay, đáng xem cho sinh viên và học sinh, hài và cảm động.👍☺️"
21,2.5,"I get the appeal of the film's success as one of the best India ever made, but I found 3 Idiots a little too silly for its deeply philosophical message. Its lengthy runtime could've easily been reduced had the many unnecessary funny scenes been trimmed."
22,5,"Absolutely one of the best movies i have ever watched. Great story with lots of humour, heart and hurt. Laugh and cry at the movies"
23,4.5,Literally awesome this movie shows how the Indian Engineers struggles to be a successful person. In every Rajkumar Hirani film we can see an Indian biggest problem in humorous way.
24,1.5,A Bollywood favourite but it's yet another awful film from India. Memorable only for its corniness and awful songs. For some reason we're provided with a very weak love story when in truth the three guys really need to get a room together. The endless tears make the characters feel a little unhinged. This really is dross.
25,5,"The film tells the story of three good friends Rancho, Farhan, and Raju studying at a prestigious school, Imperial College of Technology in India. The three students went to the university for different reasons. Farhan wanted to fulfill his father's wish, Raju wanted to improve the poverty of his family, and Rancho simply wanted to gain knowledge. In a school where grades determine everything, Rancho encouraged Farhan to follow his passion to become a wildlife photographer, heartened Raju to be more confident in himself and let go of his mental burden, and also persuaded the principal's daughter Pia to leave her fiancé who only cared about money. After Rancho, who challenged the education system with his attitude toward life, helped everyone find their value and meaning in life, he disappeared without a trace on the day of the graduation ceremony. When his friends tried to find him, they discovered that Rancho was not whom he said he was. The theme of the movie is self-actualization. The message is to follow our passions to become successful and, more importantly, happy in life. Although Farhan loved photography, he entered engineering school to meet his father's expectations. His father firmly expected him to become an engineer to make more money. At that time, Farhan said, ""because he is not interested in engineering, even if he is an engineer, he will be a bad engineer."" Encouraged by Rancho, Farhan made up his mind to pursue his passion for wildlife photography and drop out of engineering college. After ten years, Farhan became an outstanding photographer, and he cited what Rancho had been teaching him, to ""make your passion into your profession, then your work will become play."" Throughout the movie, Rancho taught Raju and Farhan a lesson that doing what the world asks us to do instead of chasing what we love creates unnecessary stress, which can ultimately become a burden, hindering the way to a happy and fulfilled life. Working without enthusiasm and interest will eventually lead to mediocrity, rather than becoming successful. On the contrary, choosing a career that matches your interests may be more rugged, but with passions as the best backing and driving force, it is possible to stand out in a competitive environment. Another message in the film that conveys the theme is to ""chase excellence and success will follow,"" a quote that was mentioned by Rancho in the movie. The protagonists studied in India's leading science and technology college. The principal is an old-fashioned professor who always judges students by grades. In his opinion, grades are everything. In contrast, Rancho is keen to practice the theories in the books because the purpose of his schooling is not just to get a diploma, but to learn knowledge and skills that can really solve problems and help in life. Despite the fact that he often gets into trouble at school, the results of each experiment give him valuable experience. There is a scene in the movie where Rancho was trying to help his senior make a camera drone with flaws in the design. Although the principal ruthlessly said that this thing has no practical significance, in the process of pursuing excellence, Rancho not only obtained relevant knowledge but also put the spirit of chasing excellence into practice. Chasing excellence is an attitude, and as long as we genuinely want to acquire that knowledge, and accumulate important experience in the process, there will naturally be a chance of success. I personally love the movie 3 Idiots. The director did a great job of making the movie and conveying the themes by using comedy and music. In addition to being extremely entertaining, through meaningful stories, this film also attempts to point out important issues in society that need everyone's attention but are ignored. However, if I were the director, I would convey that success is not necessarily the accumulation of wealth but also the continuation of happiness by making Rancho a happy teacher instead of a rich scientist in the end. Despite the criticism, I would still give it 5/5 stars and I highly recommend it."
26,5,Very good movie! I had a lot of fun watching it. It was fun throughout with some drama and sad bits thrown in to keep it serious. This is probably my favorite foreign film that I've watched this year. Highly recommend that others watch it as well. :)
27,1.5,"Tedious, cliched bollywood. There was some original quirky humor, but that was lost in its cheesy plot and length. It must have been an expensive production, but it certainly didn't translate well. I enjoyed learning about some of the Indian cultural issues around education, caste and family. It was on Netflix."
28,5,This movie is my favorite indian flim The movie was so funny and at the same time taught me so many lessons
29,5,A fun and enjoyable movie which delivers on its objective.
30,5,"One of those film which you enjoy watching again and again. It has all the emotions, you will laugh, you will cry, and you will learn. It is a must-watch."
31,5,"Best comedy film ever. Students life, overly competitive education system has displayed in a light comedy. Must watch. Amir Khan is my all time favourite actor."
32,4,"Entretenida comedia, livianita. Un poquito cursi."
33,5,"yes its a Bollywood film, and yes it represents the best of it! International audience might think oh yet another Bolly movie with songs in the rain! But, but, the overall emotions that we go through while watching this, is worth the long run-time A fantastic script, where almost everything comes in full circle. this should forever be in India's top 5 films ever made. It has a beautiful message, and even better execution with stellar performances. 5/5"
34,5,"for me a chinese, to see this movie. i have the same education as the indians. i can truely understand the bad thing about this kind of education...very funny and great!"
35,4,The best critic film for education
36,5,"An excellent movie. Great characters, story, acting, humor, emotions. I can go on and on and on. A true masterpiece"
37,4.5,"awesome. cliche, almost slapstick at times, but as a critic mentioned you'll have a huge smile on your face at the end. A typical Sunday afternoon feel-good movie."
38,5,Mind-Blowing movie with lots and lots of emotions all narrated in a brilliant story.
39,4,"All is Well. I know Bollywood movies can be good, and this is one of them. The storytelling was solid. I appreciated that it wasn't linear, which actually helped setting up some mystery and revealing surprises that caught me off guard. The amazing story itself also helped. Although some of what the main character said about teaching was a bit too philosophical, the idea behind it in the movie were still impactful and relevant. Stress in school is a real deal, not only back in when the movie is made. I think that some better execution and writing could make the theme more impactful and profound, but this is still relatable enough. Another great achievement was the mixing of serious theme with light-weight comedy. Despite how much I laughed at the funny jokes or goofy characters, this doesn't undermine the message that the movie was going for. That was not an easy thing to do, considering how usual Bollywood movies like to accommodate comedy. Even though I have problems with the movie, they don't bother me as much as others. The runtime was still long, as I think a good 15-20 minutes can be easily cut off. One part is to get rid of the musicals. All the musicals and dancings in the movie only occurred near the beginning, and most of them were not necessary, except the one that transitioned into a very dark scene. I said that the storytelling was solid, but the scenes where the characters got rewarded felt cheesy and not as satisfying as I wanted. Overall, I definitely see why this is one of the classics. 8-8.5/10"
40,4.5,"One of my favorite Bollywood movies, loved the plot and comedy. 9/10"
41,5,It's a shame it wasn't any longer.
42,3.5,"A film that actually justifies its long run time, entertaining throughout"
43,5,"থ্রি ইডিয়টস বন্ধুত্বের উজ্জ্বল দৃষ্টান্ত স্থাপন করেছিল।রাজকুমার হিরানীর এই মুভিতে অভিনয় করেছেন আমির খান, মাধবন আর শারমান যোশি।মুক্তির পর ভারতের সব ওপেনিং বক্স অফিস রেকর্ড ভঙ্গ করে।পরবর্তীতে যা ভারতীয় সংস্কৃতিতে স্পষ্ট প্রভাব ফেলে।এটি অতীতের সব রেকর্ড ভেঙে দিয়ে ৪০০ কোটি রুপি ব‍্যবসা করে।তিনজনের বন্ধুত্ব, হাসি-ঠাট্টা, বিরহ-ব‍্যথা, ট্র‍্যাজেডি, ছোট ছোট ভাঙা-গড়া নিয়ে কাহিনী এগিয়েছে। ২০০৯ সালে মুক্তি পাওয়া এই মুভিটিতে আনুশকা শর্মা অডিশন দিলেও কাজের সুযোগ পাননি।পরে অবশ‍্য হিরানীর ছবিতেই পিকেতে পাঁচ বছর পরে ফাটিয়ে অভিনয় সেরেছেন।চলচ্চিত্রের কোনো এক গুরুত্বপূর্ণ মুহুর্তে রাঞ্ছোড় দাস ( ডাকনাম র‍্যাঞ্চো ) হারিয়ে যায়।ফারহান ও রাজু তাকে একদম শেষে খুঁজে বের করে।ফারহান ও রাজুর তুলনায় র‍্যাঞ্চো ছিল অধিক মেধাবী।হাস‍্যরসাত্মক নাটকীয় ভূমিকার চলচ্চিত্র এটি।মাঝে-মধ‍্যে চমকে দেবার মতো ঘটনা আছে।বলা যায়,ইঞ্জিনিয়ারিং পড়াশুনোয় তাদের কারুরই মন ছিল না।সাথে কারিনা কাপুরের প্রেরণাদায়ী ভূমিকাটাও গুরুত্বপূর্ণ।"
44,4,"Definitely, the best Indian movie I have ever watched. The perspective suggested in this film is probably 10~20 years ahead of that being taken place in my hometown. And also, Aamir Khan is my favorite Indian actor now."
45,5,Best movie of all time. Perfect in every sense.
46,5,"Raj kumar hirani delivers a good Moral Story again. It's a gem in Indian cinema. Aamir, Madhavan, Joshi all Nailed their roles. Entertaining in all sense."
47,5,Absolutely astounding...This movie helped me rethink about education system...
48,5,"When I was a kid, everyone in my class had watched 3 Idiots. They all used to laugh at me for some reason because I didn't watch it. So the day this movie featured on TV, I watched it. And I have seen it every single time it comes on TV. And afterwards I began laughing at them because I had seen it more number of times than them. But well, immaturity aside, let's review this movie. The film talks about the rat race that everyone goes through, that we have been brainwashed into believing ever since we were teenagers. They always tell us that we need to get into a good engineering college if we want to have a good job irrespective of which field we work in, then that will play out when we have to get married, then we will have children and then the cycle will go on for them. We don't dare to think otherwise, because the elders always have a sense of insecurity about us and also because they always resort to shouting and scolding whenever we dare to question their authority. The film has become something of a synonym with engineering life. Everyone learnt about the various things that happen in the top engineering college, because I think this is one of the first commercially successful Bollywood films to talk about the environment. There are three protagonists, each being a stereotype of an engineering student we all can relate to - Rancho the brilliant guy who doesn't study much but still gets good marks because he loves what he's doing, Raju who is a superstitious and cowardly guy coming from a poor household, and Farhan, a student who really has a passion for photography but his parents are forcing him to do engineering. Basically the three types of engineering students we all know. Together they spend their college life in fun ways, teaching each other the meaning of life and the points of views of each person. And then after they leave college, they all decide to meet each other because of a ""challenge"" that Chatur, a teacher's pet had given them. Chatur wasn't exactly wrong from his point of view, since he came from Uganda, a country where Indians were being persecuted back in the late 20th century. He had learnt early in life that one has to take all means possible in order to achieve success, and that's exactly what he was going with. Every time I watch this film I end up managing to find a new detail that I had previously missed. I watch it every time it comes on TV because of that reason. It was only later that I got to know this is actually a book adaptation of Five Point Someone by Chetan Bhagat, and those friends of mine who laughed at me for not having seen this film are the same people who ridicule Chetan Bhagat for his terrible books. And to be honest they are kind of right, since this is his only good book adaptation. And by good I mean absolutely flawless."
