id,rating,review_text
1,3,Lot of strong languishing Anda bleeding
2,4,"Superhuman 'normals' demand: convincing direction, stellar acting, backup music if either of the previous two fail. John Wick? Triple perfection."
3,3,"5/5 for bucking the action movie trends ie. John Wick just shooting people dead, with no one-liners and conversation beforehand, which ultimately always seemed unrealistic and spoofish 1/5 for undoing this realism by unnecessary impossibilities such as JW always getting stabbed in the same place. If you're going to do that for some poetic point, make more of a thing of it. It's always good to see Keanu acting the unexpressive, uncluttered cool cucumber but sad that irritating details jarred against his performance and overall made a great film only good."
4,5,10 out of 10 best franchise ever
5,2.5,"Lots of shooting, but story wasn't very developed."
6,5,It's so sad that his dog died in this movie and he got payback
7,5,"There are those guys in cinema that you do not want to be on wrong side of, like the accountant , Jason Bourne , John Rambo to name a few. John Wick is certainly in that category. Don’t steal his car or harm his dog. That’s the basic premise of this action packed film. Never bogs viewer with boring story or dialogue . Has adrenaline pumping, fast powerful in droves. Good movie."
8,5,"John Wick succeeds because it treats action as craft, not noise. The fight choreography is clear and deliberate, gunfights are staged so you can see every movement, reload, and decision, such as the close-quarters club scenes where Wick blends hand-to-hand combat with precise shooting instead of relying on shaky camera work. Nothing feels random. The world-building is shown, not explained. The Continental Hotel, gold coin economy, and strict rules around neutrality quietly establish a code-driven underworld without long exposition. These details make the stakes feel real and consistent. Most importantly, the film grounds its violence in motivation. Wick’s response to the killing of his dog isn’t played for shock, but as the final breaking point of a man who already lost everything. That emotional anchor gives the action weight and focus, turning John Wick into a disciplined, stylish action film rather than empty spectacle."
9,4,85/100 a great start to a great franchise.
10,5,"Although Ive seen this movie at least a dozen times, I 10 outta 10 recommend seeing it on the big screen. The action, the audio, and the story is so much better in theatre. Treat yourself and go see John Wick today."
11,5,Still just as good as when it first released back in 2014.
12,5,This is a perfect example of action movie
13,5,It was very interesting story was good I would definitely recommend to watch it
14,3,"See it’s hard to 3/5 because well some of the speech was corny or just bad, some of the cuts and parts were random but overall I liked the plot, the whole John wick is like the James Bond of this universe is cool and I enjoyed all of the action."
15,3,"is a blast of pure, disciplined violence. The movie doesn’t waste time with complicated motives — it gives you a man, his grief, and a reason to burn everything in his path. The action is tight and brutally efficient, shot with clarity that puts most modern blockbusters to shame. Keanu Reeves isn’t delivering depth here; he’s delivering presence, and it works. The world-building hints at something bigger without ever distracting from the revenge story at the center. It’s not a perfect film — shallow in places, predictable in others — but when it fires, it hits hard"
16,5,"Easily one of the greatest action movies ever. The character has clear motivation, and the core of the movie is a very sad story. Action scenes are amazing, and the acting is top-tier."
17,5,"There is only 1 word to rate this movie: PEAK!!! I love the action scenes of the movie, they are excellent. Keanu Reeves is a perfect choice to play John Wick."
18,5,"I'm writing this review for all 4 movies as a whole. Overall, great franchise. My favorite one was the 4th one. Saw it in theaters. Absolutely magnificent. I had a teacher in high school who looked just like the Russian villain in the first one LOL."
19,5,"My personal favourite film. That reload is an actual reload, and the dog."
20,5,This is probably the greatest introduction to an action character that I have ever seen. Everything about this movie is absolutely incredible. The fact that there are critics on here that scored this movie rotten is why critics are meaningless to movies today.
21,5,"Top 3 movies I’ve ever seen, the fight scenes are great."
22,5,"Favourite movie of all time, just 10/10"
23,4.5,this movie could be called action : the movie
24,4.5,"One of the best action movies of this century. The story about a retired hitman taking down an expansive criminal organization out of revenge for his dog dying is still pretty goofy, but between Keanu Reeves’s impactful performance, a surprisingly interesting sense of worldbuilding, and some of the best action sequences ever put to film, it’s a great time."
25,5,"What can I say another awesome Keanu Reeves movie, with a lot of action👍"
26,4,I haven't seen an action movie done like this in a very long time. It was incredible and action packed. Another reason it was amazing was that it was also very artistic
27,5,The fight stylization in this film was ahead of its time. Close quarters brutality and violence at its best. The settings drew you in and the choreography of the gun guy was awesome to watch. The film makes you think about what you would do in that circumstance. Your humanity and connection are taken away from you. You have a certain set of skills. You kill them all. Keanu Reeves is John Wick. There couldn't have been a better actor chosen for that role. You believe in his authenticity and genuine heartbreak. The will he brings is inspiring. He is the unstoppable force deep down all guys want to be.
28,5,A great movie with a great story and great characters.
29,5,"John Wick sets the bar high for action films of today. With a fantastic spread of characters, an intriguing and mysterious world, and a straight-to-the-point plot with an instantly sympathetic character motivation, you really can't go wrong!"
30,4.5,"Esse é um raro caso de filme de ação que encontra um perfeito equilíbrio entre substância narrativa, estilo visual e cenas de ação de qualidade. Ancorado por um herói emocionalmente motivado e profundamente desenvolvido, ambientado em um universo complexo e imersivo, marcado por uma hipnotizante estética techno e rechado de cenas de ação lindamente coreografadas e executadas, ""De Volta ao Jogo"" é um dos melhores filmes de ação da década de 2010."
31,5,An Absolutely amazing action movie
32,4,This was such an awesome film with great acting and storyline. I liked so much I bought it. Sure Keanu Reeves can be a tad clunky at times but he was excellent in this. It's definitely recommended.
33,5,Great movie from start to end its endlessly rewatchable and the fight scenes are heavily boosted by the amazing song selection they have
34,5,The Boogeyman is gonna get you. He’s going to get you. ThE BoOgEyMaN iS cOmInG….. lol 😝
35,4.5,"Great introduction to this character, if not for two scenes, I'd have given this one 5 stars. Spoiler, it's not the puppy scene, that just made me want to see all of them get taken out slowly... that means you Theon!"
36,4,"John Wick is a stylized action film built on a simple premis a retired hitman returns to the underworld to avenge the death of his dog. While the plot borders on absurd, the film makes up for it with sleek fight choreography and striking visuals Keanu Reeves delivers a cold yet effective performance more physical than emotional. The criminal underworld is intriguing but underdeveloped in this first installment. The story is linear and predictable, serving mainly as a setup for well executed action sequences"
37,4.5,The one that started it all proving Keanu is still the “one” when it comes to action!
38,4.5,Phenomenal action movie. Every action movie tries to be John Wick
39,5,"I liked the movie because it is very interesting, it has a lot of action and with John's motive to go after the tycoon's son it is very interesting. In addition, John's coldness when killing gives a colder and more tense touch to the movie. JORGE FRANCO"
40,3.5,John Wick Review - B
41,5,"This movie is one of the best I've seen, the effects are incredible, the action scenes are extremely cool, this movie was definitely made with love And Keanu Reeves' performance is very great, he really puts a lot of effort into the character, and the details are very very polished, definitely 10/10 Pablo Ramirez"
42,5,Absolutely a masterpiece!
43,1.5,"Filme bacaninha, o roteiro é mais ou menos, as cenas são bacaninhas, a história é mais ou menos, o elenco é fraco, e só o keanu reeves ajuda a melhorar o filme, os personagens são mais ou menos, e o filme deveria ter cenas bem melhores e relevantes."
44,5,I became a fan as soon as Wick started to weed out the bad guys in the Red Circle club. This is a masterpiece on so many levels and for action movie fans an absolute must-see.
45,5,One of the greatest action movies ever made!
