id,rating,review_text
1,4,"Just great, beautifully made, terrific acting, funny and touching without being overly sickly. Love it"
2,0.5,"everyone loves it except me, i spent my whole childhood watching this over and over and over as a family and it is just so stupid."
3,5,"A fantastic sequel and easily one of the most wholesome & uplifting family films I've seen in ages. It's incredibly charming, gentle, kindhearted, and very funny. Paddington is such a sweet optimistic that tries to see the best in people and the world around him. The movie is very emotionally heartfelt and will put you in a good mood. The movie has a great villain played wonderfully by Hugh Grant, who frames Paddington for his burglary. Thankfully, Paddington's naive innocence allows him to change the prison, not the other way around. Especially with his friendship with the prison chef Knuckles, who's hilariously played by Brendon Gleeson. The movie has great direction, cinematography, and artwork. The movie has great pacing and comedic timing. The movie has a very sweet and heartwarming ending, with everyone coming together in gratitude for everything Paddington has done for them with an adorable final shot. It's such a lovable and whimsical movie that will put you in a good mood."
4,5,A heartwarming and beautiful movie that is not only entertaining for kids but for adults as well. There are many funny jokes throughout the movie which are really well done. But the best part is easily the emotional connection between paddington and his aunt Lucy. Which drives the whole movie and makes it so enjoyable to watch. And the ending is so beautiful it can lead to tears. 10/10!
5,5,One of the best movies of our time
6,4,"I'll admit, I don't think this film is God's gift to humanity that so many people think it is. I've seen this on lists of being the top 20 films of all time. And I'm glad this film is getting that kind of recognition. It is sweet, wholesome, charming and just puts you in a good mood when you watch it. And I like it too."
7,5,I mean it’s not a movie I would watch unless I had a kid around but that said it’s a movie that both can enjoy
8,5,"This movie proves that a children’s movie can be just as great as any other movie. It is, without question, my absolute favorite film in the whole world. It leaves me feeling absolutely wonderful every single time, and I never tire of it. Absolutely recommend! Especially if you’re feeling a bit down like we all do sometimes"
9,5,This movie is an absolute cinematic masterpiece and a master class in telling a sweet and wholesome story.
10,5,My daughter ( aged 9 ) said it was the best film she had ever seen. I agreed that it was excellent.
11,5,A really special film with an unforgettable ending. It is a unique work of art.
12,5,"After so many years... this movie has given me hope that cinema and movies is not dead. Well written, well made, very smart story, takes you away with imagination... well done"
13,5,"Medicine in a movie, can watch this every year and see new things each time, wish real life was like this, pass me some chocolate roulade!! 😋"
14,5,"I love Paddington! Heartwarming, happy and pure joy. 🥰🐻"
15,5,This movie was the best movie I have ever seen. Number 1 movie ever!
16,5,This is an absolute classic which never misses a joke and is a British mastirpiece
17,3,"Ok, I'm very sorry, but I must be missing something. This was pitched to me as the 'best' kid's movie, possibly the best movie in a long time. But what I saw was, I mean....not bad? Definitely nowhere close to expectations. I mean you expect a lot when people say things like that. It was...cute. Sweet. Occasionally funny or clever. That's about it. Nothing wrong with it. Just slower and less entertaining than I had hoped. About the same as the first Paddington."
18,5,"I don't believe in the psychology here, but enjoy the film anyway"
19,4,Wow.So much heart and a brilliant film for the family.Love Almost everything about this film.
20,5,this movie is just absolute perfect you can ruin the animation make it bad but the story is a masterpiece
21,5,I thought it a absolutely perfect films it so good perfect funny film I absolutely love it was a absolutely loved it a absolutely loved it a absolutely wonderful film I absolutely really recommend it to you and perfect perfect film
22,5,"In a world where Disney movies are just not doing it anymore, “Paddington 2” not only is one of the greatest family pictures of all time, but it is one of the greatest sequels of all time. Director Paul King masterfully directs the feel good movie of the decade, and there is nothing not to love here. The film promotes terrific family values, is nonstop funny, and is visually appealing for every frame. Believe the hype because “Paddington 2” is as good as everyone says it is."
23,5,Easily the best and most entertaining movie of the year yet!
24,5,"This is one of the best, heartwarming movies I’ve seen in my entire life, all of the emotions a CGI bear makes you feel is crazy, from smiling and laughing to crying your eyes out, this movie is definitely a must watch 😁"
25,4,"I wouldn't say it's a 99% movie. But it's definitely a well done sequel that, in my opinion, flies high above the first one."
26,2.5,"Not as good as the original, but watchable. It's got some great comedy and some good acting, but they try to go for a mystery angle which is ruined when they revealed the villain way too early. This completely kills the tension, but overall... its a decent film."
27,5,Pure Wholesome Entertainment
28,5,"Increíble película, se convirtió en una de mis favoritas, es la perfecta armonía entre ternura, frescura, diversión y emociones que te atrapa de inicio a fin con mensajes hermosos! Básicamente un rayo de sol que te alegrará y calentará el corazón en cualquier momento."
