id,rating,review_text
1,4.5,"This is the first inductee on the ""Western Mount Rushmore"". Easily transcends almost a century later."
2,1,"Filme mais ou menos, o roteiro é fraco, as cenas são mais ou menos, a história é fraca, o elenco é fraco, e ninguém ajuda a melhorar o filme, os personagens são fracos, e o filme deveria ter cenas bem melhores e relevantes, para fazer o filme ser bom, o começo até que é bom, mais o resto é fraco."
3,3.5,It has been a while since I last watched this movie. The subversive use of dialogue to insinuate rather than spell everything out for easy comprehension by the audience makes it an interesting way of conveying messages telepathically. The Hays Code compelled filmmakers to become more creative with insinuations.
4,5,"A truly essential classic, this is the first film we watched in my film appreciation class in college. Beautifully filmed, acted, directed with all the classic conventions of the Westerns genre. Which is, of course, the very reason it was the lead film shown and the only western. It also brings so many of the touches that John Ford used so successfully throughout his career, including Monument Valley. Did I mention it was the film that made John Wayne a star? And, for me, I will always appreciate the introduction of Claire Trevor into my movie awareness. Did I mention I love this film?"
5,5,"I'm not into western films, but this one is definitely good. It's worth it. Recommended."
6,5,A western classic. The Duke delivers
7,5,"Words cannot describe how much I loved this film, it was shown during my Intro to the Film class and I was super invested and it was just that good"
8,4,"Assistindo alternadamente às versões de 1939 e 1966, poucas ou quase nenhuma mudança, uma modernização e adequação abismal entre as duas, ambas coloridas, mas a qualidade de filmagens, as atuações mais primorosas. Peguei amor pelos personagens (super carismáticos, engraçadinhos e fofos) mas torci pelos indígenas. Na versão de 66 o final foi um bang-bang de luxo. Aqui encanta me a qualidade da produção considerando toda limitação da época, um faroeste cômico, leve, despretensioso e apaixonante…"
9,4.5,"I've never gotten around to seeing this until very recently, despite the fact that I've seen a couple of the remakes, and it was really worth the wait. Despite it's old age, the film doesn't creak at all. The dialogue is crisp, the action is very good and the direction is first class. The acting is uniformly good and never corny, and it's easy to see why this film made John Wayne a star. Pretty much a must see for anybody interested in classic films, particularly westerns."
10,4.5,"Fantastic Western, and the first John Wayne movie I’ve ever actually sat down and watched all the way through. I really like the story too, a group of people all headed for Lordsburg are in the same stagecoach. I like how all the characters personalities clashed, and caused a lot of conflict throughout the film. There was some great stunt work in this film too, specifically the leaping from horse to horse done by what I assume was a stuntman. I also loved the dramatic use of camera turns, to show things hidden off screen or things that happened while the camera was pointed away. Good movie 4.5/5 stars. The Good, The Bad, and The Ugly is and always will be my favorite western. (Django Unchained & The Outlaw Josey Wales are very close though)"
11,4.5,"""Stagecoach"" is a grand sweeping western epic with realistic [for the time] landscapes, thrilling, gun fights, and a dramatic climax. Stagecoach is worthy of every Oscar nomination it got and one. The picture has many memorable characters, with the one standing out to be John Wayne, for even at the time you could see he would become a great western star."
12,3,"There's much to like about this movie. Then there's that ending. The sheriff turns a blind eye to the ""hero"" seeking out and killing a couple of bad guys (as long as he agrees to go far away as soon as he does the deed), which endears him all the more to his newfound love; sick."
13,4.5,"The characters are rich and interesting with good arcs, which really anchors this movie. To see how not to do it, try the 66 remake."
