id,rating,review_text
1,5,"The Apartment plays like a comedy until you notice nobody in it is actually okay. Jack Lemmon turns loneliness into politeness, and Shirley MacLaine, who is the original Manic Pixie Dream Girl in this film, as far as I’m concerned, makes the movie ache without asking for pity. Billy Wilder lets you laugh, then makes you think about why you did. An unconventional Christmas movie about whether a person decides to be decent… or not. Often they don’t, as we all know. But not always!"
2,5,"Incredible stuff, doesn't seem to have a single moment or line that doesn't contain a payoff. A three in a row of Witness for the Prosecution, Some Like it Hot, and The Apartment is all time stuff from Wilder. ""Premium-wise and billing-wise, we are eighteen percent ahead of last year, October-wise."" is a throwaway line worthy of the best comedies."
3,4,"The Apartment is funny, sad, and sweet—a realistic love fairy tale that feels incredibly genuine. It resonates especially deeply when watched after a breakup, on New Year's Eve, or whenever you find yourself single. A bittersweet and charming classic."
4,4,Definitely worthy of praise but I thought some of the pacing gets sluggish around the 3rd act. I wouldn’t call it a Christmas movie but it’s a captivating classic. Can’t believe he paid $85 a month for the apartment.
5,1.5,Not a christmas movie. Couldn't be made today.
6,5,"This might be the apotheosis of American filmmaking. A script to die for, perfectly weighted direction, wonderful performances from all concerned and a delightful ending to wrap it all up. They really don't make them like this anymore."
7,5,Rarely do they make movies like this nowadays. It's a classic. Great acting...great plot.
8,5,"Brilliant. Obvious why this movie was considered a turning point in Hollywood filmmaking. Great story, very well written and brought to screen. Whole stellar cast excels convincingly in character. Lots of intrigue, mystery, drama and flair. Well worth a watch"
9,5,"I can understand why this movie has often been said that its a turning point in Hollywood. This movie marked the death knell of Hayes Code. It changed cinema forever, and any cinephile should want to see this. Anyone that enjoys a charming drama, they should also watch it. The movie has a comedic start, a dramatic turn, and a very sweet ending that I was happy to have."
10,5,Hilarious! Really such a classic.
11,5,"THE APARTMENT (1960) has ""one of the greatest films ever made"" status, which can complicate (and often disappoint) viewer expectations, especially for older films. In this case, however, it's totally deserved. The film remains remarkably effective--by turns funny, incisive, romantic, and tender--and the continued resonance of its themes speaks to modern isolation in powerful if understated ways. Don't miss it."
12,5,"A flawless masterpiece, and one of my all-time favorite movies."
13,5,"The names in the cast alone give you an idea of what to expect from the film, which is a glimpse into what life was like back then in an apartment. It's as close to a classic as you can get."
14,3,"""Ya know, you see a girl a couple of times a week, just for laughs, and right away they think you're gonna divorce your wife. Now I ask you, is that fair?"" ""No, sir, it's very unfair... Especially to your wife."" lol wow Gotta be honest, I kinda checked out halfway through. It just kept going when I thought the storyline was wrapping up. So it lost me a bit and I'm not sure my feel of the film is fair. But still I don’t get why it's considered a classic and has such amazing reviews. It doesn't stand the test of time to me in being an essential film. It’s fine. Maybe good, even. But one of the best films of all time? Not seeing it. It does stand the test of time though in some ways, as one critic put it: ""Remarkably modern in both its construction and sensibility."" I agree with that, it didn't feel super dated. But I dunno, maybe I need a film school nerd to explain this to me. So... I’m assuming it’s me. Hi, I’m the problem, it’s me."
15,5,It’s a perfect movie. Sad and romantic and funny.
16,5,"Funny in 2 hours and 5 minutes!!!!!!!! Starring Jack Lemmon as C.C. Baxter, Shirley MacLaine as Fran Kubelik and Fred MacMurray as Jeff D. Sheldrake!!!!!!!!!!!!!!!!!!!!!!!!! So worth the time of day!!!!!!!!!!!!!!!!!!!!"
17,5,"Beautifully acted, The Apartment is a still a timeless classic after nearly 7 decades."
18,4.5,"With a fantastic script and superb performances, The Apartment is a well structured, compelling and athmospheric classic that sees director Billy Wilder nicely blending humor and romance into a concise totality despite a few elements in its story that could have been done a bit better."
19,5,"Utterly charming, with a sweet, funny, and tender story and likeable leads."
20,4.5,"A great cast and a nice reminder that rich white guys are terrible. The entire premise falls apart if you consider that hotels cost like $3. I saw this on TV when I was a kid, the only thing I retained was a memory of straining pasta through a tennis racquet."
21,4.5,"A brilliant story. Heartwarming, witty and funny, while also tackling the significant mundane problems of life."
22,5,"Beautifully filmed, beautifully acted. A must see."
23,2,"Yeah... this didn't do it for me. In fact, it was frustrating to sit through. I am actually surprised this movie came out when it did. This was back in the day when parents in sitcoms slept in different beds. Nothing wrong with the production quality or storytelling, the story just bothered me on a cellular level."
24,4.5,Great movie. I did enjoy a lot.
25,5,"There can't be anything said that hasn't already been said. It's striking, charming, clever and so perfectly written. Wilder's best."
26,3,"A great story, doesn't shy away from any deep and dark topics. While there is no happy beginning or middle, the end does satisfy. Put on your Christmas watchlist."
27,5,"The Apartment - 10/10. What a sweet and dour film. Bittersweet to its core, and surprisingly heart felt. The Apartment follows a lovable pushover/loser (played ever so brilliantly by the late great Jack Lemmon) who just so happens to be the holder of the apartment for mischievous happenings in his apartment. Wanting a promotion and not to be a troublesome sore to his cheating bosses, he lends his apartment to them to continue their toxic behavior, while he sadly has to mope and bide time till their done. But fate has him tied up with his boss and the elevator operator/mistress (played amazingly by the effortlessly charming Shirley MacLaine). What's incredible about this film is how far ahead in time this story is. I'm actually a bit shocked a movie of this nature was made in its time. Its beautiful in showing how this sweet individual, who just wants to be loved and good to the world, ends up being used and pushed around. Beautiful in a sense when the final portions happen, where he finally gains his spine and does things his way, it makes for a triumphant emotional experience. Also, loved the way the movie makes connections to lines and convos from earlier in the film, its so nicely done and never feels forced or out of the norm. This also happens to be, in a strange and odd way, a beautiful melancholic christmas/holiday film. It shows you how human connection (genuine, human connection) matters. And how that said connection can help save a life (literally), give hope to one, and also make you realize that you should stand up to greedy individual and make sure they know your morales and mentality are never compromised. I got super emotional here, cause I too have gone through moments in life where I unknowingly (and knowingly) have been used. So at the end, when the happy ending came to the lovable character, it gave me hope. We all deserve happiness, whether it be during the holidays or not. Good people don't finish last: they just have more beautiful stories. Never compromise your soul folks. It's what makes you, you!"
28,5,"Can I give it 10 stars? Billy Wilder’s 1960 comedy romance is at once prescient, tender and heartbreaking all at the same time. Before most people even knew the term ‘sexual harassment’, writer-director Billy Wilder was giving us a film that skewered the world of corporate sexual escapades and extra marital trysts. Not only does THE APARTMENT inform the audience about the goings on behind closed office doors, but it also entertains by giving us the story of two young people over their heads in a world of sharks. Can Baxter and Miss Kubelik escape the soul numbing world of corporate sexual harassment and back handed payoffs to find true happiness? See THE APARTMENT to find out."
29,5,Incredibly entertaining film. I saw this when I was young and the feeling still stands today - MacMurray is a pro - a machine unlike anything I'd seen- in his performance.
30,4,"Cozy feel of classic Hollywood on a cloudy day🫶🏻. It’s charming and tender, ultimately more melancholy than romcom if you ask me, but strikes a difficult balance of emotions and captures them perfectly. Kind of like smiling to stop from crying but in movie form. Shirley MacLaine is spectacular. Also working in an office pre cell phones and AI looks so fun🙃. “Well that’s just the way it crumbles. Cookie wise”"
31,4,"Movie-wise, there has never been anything like ""The Apartment"", love-wise, laugh-wise, or otherwise-wise!"
32,4.5,Fantastic movie with no wasted time! I found it to be very ahead of its time.
33,5,Simultaneously touching and razor sharp. Not to be missed. Billy Wilder always delivers.
34,5,"I don't think I've ever seen a movie that blends comedy and drama together so seamlessly and beautifully. Although 60 years old, this motion picture holds up beautifully and gets exactly right what 99.9% of its followers have gotten wrong. This is indeed a timeless film, and as I continue my odyssey through all the Best Picture winners, I'd be shocked if this doesn't rank among the very top of the heap. The cast can't be improved upon, and the two leads give arguably career best performances. MacLaine, in particular, is revelatory here and achieves a beautiful combination of strength and vulnerability. When she's onscreen it's virtually impossible to look elsewhere. Sparkling dialogue, scenes alternately hilarious and heartbreaking, pitch perfect direction and editing - this is what happens when everything falls into place, and it deserves to be considered a classic!"
35,3,"There are so many things to love about this movie, Billy Wilder's screenplay and Shirley Maclaine's performance chief among them. In many ways, I think the execution was basically flawless. Despite that, I found myself a bit bored at several moments - I think the premise is just somewhat lacking, and no amount of perfect execution can make up for it. I think it might've drawn me in more if we spent more time with our leads, developing their connection through dramatic dialogue. I also struggle with the nice-guy trope that is CC... he's ultimately sort of underdeveloped and we don't spend a lot of time with his moral dilemma. He spends a lot of time helping Sheldrake at Jubilee's expense, but we're supposed to think he's a good guy the whole time. If the looming loss of a job felt more realistic and threatening, I may have accepted this behavior, but it wasn't discussed enough, leaving him feeling very yucky to me."
36,3,"Don't kill yourself, that's so childish."
37,4.5,Great story about a guy who lends out his New York City apartment to his work superiors in exchange for continued promotion at the company. What could go wrong?
38,4,"Warm and tender, yet it dares to go to some pretty dark places I did not expect and somehow manages to still feel poignantly relevant in 2023"
39,4.5,"Cleverly written with ample humour, The Apartment solidifies its place among the best films of all time, transforming from a cynical start to an optimistic conclusion."
40,5,Para mim um dos melhores filmes já feitos da história. Jack Lemmon está perfeito no papel.
41,4,"If you were born after 1980 there are many things in the movie that you will not understand. Rotary dial telephones, manual adding machines, elevator operators, etc.. It's a wonderful movie, blending comedy sadness, sweetness drama. Well written well acted and fairly well directed though. It could stand to use about 20 minutes of editing because it times out at over two hours. Fred McMurray is totally different than he is on my three sons, great actor! Jack, Lemmon and Shirley MacLaine also do a spectacular job in the film."
42,4.5,"One of those classics that's constantly pegged as ""romantic"" by people who seemingly never noticed the obvious cynicism. Lemmon's at his very best here, nailing the comedy but never losing the character's deep sadness."
43,5,"All Time Classic. Pretty much everything about it is flawless powered by a razor sharp witty and focused script. All 3 of the leads have great chemistry, witty low key humor is constant throughout, and there is loads of charm. This is really cynical and clever but more than anything it's also very sweet as well and its amazing how that shines through more than anything. Everyone should give this a try once."
