id,rating,review_text
1,5,I cried watch this movie in primary school infront of accually everyone fam please watch ts
2,5,Toy Story 4 another great film I really enjoyed it and it was disappointing to see Woody not return back to Bonnie's playroom
3,2,"It’s not bad, but it is the weakest one.🍅"
4,3.5,"Good movie. They definitely are milking Toy Story but it still brings back childhood memories. The fair was a great comedic experience with lots of laughs. These movies are great, but milking a franchise and keeping it on life support is bad."
5,4,My Rotten Tomatoes score: 🍅
6,3,"They Judged by Quality, not Quantity. When you thought the franchise concluded in 2010, a 4th instalment was decided, not even Pixar aninators asked for this. I did not get into it as much as others. Maybe, I would care because it is ""Toy Story"" & a bias on nostalgia. You did not really need to have some big stars like Keanu Reaves portraying a character (Duke Kaboom) & is it funny how the toy rabbit & duck at the carnival were voiced by men. I believe that it was a miracle to reintroduce Bo Peep, who seems more of a girlboss & she was absent in the predecessor. At least we got some funny moments from characters like Duke Kaboom. I could never believe that Gabby Gabby is actually villainous - she was not chosen before & what was her voice box? At least she had somebody to love. Loved the family Andersons dilemmas. Isn't the flashback scene at the start inconsistent? Can't wait for what happens in ""Toy Story 5""?, although the franchise got apparently tiresome?"
7,4,I knew i was going to enjoy it although I was nowhere near prepared for how much emotion it was going to bring.
8,4,"Hey man, this movie’s overhated. While it’s not on the same level as the first three, I found this to be an undeniably poignant, emotionally fulfilling epilogue to the trilogy. Because that’s what it is: an epilogue. Sure, it’s called Toy Story 4, but if you interpret it through that lens, this is really about Woody’s story coming to a close, and symbolically, what life is like as a parent after your child has left you. And so I found Woody’s decision to not only be in-character at this point in time, but also to make sense thematically. It attains the franchise’s overarching narrative about growing up, and letting go, and what change looks like as you move forward in your life. It’s a bit more somber, and not as thrilling as an adventure because of this. It’s the most flawed of the four films, and the absence of most of the other iconic characters definitely hurts it. But overall, I found this to be a poignant, satisfying send-off for Woody, and at the time, this franchise."
9,4.5,"It's still pretty good for what it is but I kind of wished they stopped the Toy Story series after the third movie. It's a little hard to care about some of the new characters. Hopefully, Pixar won't mess up Toy Story 5."
10,3,"Well, it's a mix. Having great characters and memorable moments I paused halfway through and said to myself why was this made? Toy Story 3 had the absolute PERFECT ending and I much prefered Andy rather than Bonnie or whatever her name is. But overall, decent movie."
11,2.5,Looks so pretty good masterpiece
12,4,"My son (4) loves this movie because ""There is crazy stuff, and no dancing"" and he loves forky, and because it was a bit creepy."
13,5,way way better then the first one the second one and the 3rd one
14,5,If your a true Toy Story fan like I am I’m the true true fan here and if u was or r YOU! shouldn’t disrespect it and I know a lot of u saying eh it should of ended Toy Story 3 but bro made another Toy Story movie should be happy and not hating on it
15,4,Good movie. Bad sequel.
16,3,Wasn’t a bad movie. It was cute.
17,4,It was good but really don’t see the point in it… could’ve ended at 3
18,2,"Toy Story 4 tem uma animação excelente e linda de se comtemplar, mas infelizmente, não respeita o passado da franquia, mudando a personalidade de alguns personagens (como o Woody, que, em Toy Story 3, faz de tudo para se unir aos amigos, mas neste filme, se separa deles sem pensar 2 vezes e correr para Betty. E Bonny, que, no 3° filme, mostrou tanto carinho ao Woody, neste filme, ela não liga para ele e nem percebe que ele fugiu no fim do filme) e mostrando que a Pixar poderia ter pensado mais para ser uma sequência tão boa como os outros são."
19,0.5,"This is like a middle finger to the 1-3 movie, the 3rd was the perfect ending but this just RUINED IT that nice conclusion."
20,5,"Pixar done it again, music and scoring was perfect. It makes animated movie feels so alive."
