review_id,user_rating,review_text
1,100,This is the way this ground-breaking monument was meant to be seen: in mind-boggling 70mm.
2,100,"Its special effects are used so seamlessly as part of an overall artistic strategy that, as critic Annette Michelson has pointed out, they don't even register as such, and thus are almost impossible to trivialize, a feat unmatched in movies."
3,100,"Only a few films are transcendent, and work upon our minds and imaginations like music or prayer or a vast belittling landscape...Alone among science-fiction movies, 2001 is not concerned with thrilling us, but with inspiring our awe."
4,100,"A masterpiece that can still leave you dizzy with wonder. As much as any movie ever made, this visionary science-fiction tale of space travel and first contact with extraterrestrial life is a spellbinding experience."
5,100,"Its faults - sketchy narrative, overblown abstraction - are counterbalanced by its gripping engagement between man and machine, and its rhapsodic wonder at heaven and earth and the infinite beyond."
6,100,Still the grandest of all science-fiction movies.
7,60,"The movie is so completely absorbed in its own problems, its use of color and space, its fanatical devotion to science-fiction detail, that its is somewhere between hypnotic and immensely boring."
8,100,"With 2001, Stanley Kubrick proved that a sci-fi movie could be philosophical rather than pulpy, profound rather than pedantic."
9,100,"Watching this film demands two qualities that are sadly lacking in all but the most mature and sophisticated audiences: patience and a willingness to ponder the meaning of what's transpiring on screen. 2001 is awe inspiring, but it is most definitely not a ""thrill ride."" It is art, it is a statement, and it is indisputably a cinematic classic."
10,100,"Beloved for many different reasons, including its scrupulous scientific accuracy, its vast reach from ""The Dawn of Man"" to the next stage of human evolution, its unrivaled integration of musical and visual composition, its daring paucity of dialogue and washes of silence, its astonishingly creative psychedelic sequence and its still-gorgeous pre-digital special effects."
11,90,"A beautiful, confounding picture that had half the audience cheering and the other half snoring. Kubrick clearly means to say something about the dehumanizing effects of technology, but exactly what is hard to say."
12,40,"A major achievement in cinematography and special effects, 2001 lacks dramatic appeal and only conveys suspense after the halfway mark; Kubrick must receive all the praise - and take all the blame."
13,10,"A crackpot Looney Tune, pretentious, abysmally slow, amateurishly acted and, above all, wrong."
14,100,Maintains its artistic magnificence after more than 30 years.
15,100,"It is, as promised, ""a majestic visual experience,"" quite unlike any film we have ever seen...These details are merely a means employed by Kubrick and his distinguished screenplay collaborator Arthur C. Clarke, to provoke the more limitless imaginings of the mind, to assault the viewer with tantalizing enigmas to force exploration of that personal universe in relation to time and space, meaning and potential."
16,100,"Something in its mandarin blankness and balletic vastness, and refusal to trade in the emollient dramatic forms of human interest and human sympathy. Kubrick leaves usual considerations behind with his readiness to imagine a post-human future."
17,100,"The final passages are the most exultant in their taking us beyond ourselves into a wide-eyed state of untarnished possibilities; entirely without words, the film reminds us that, despite how far we’ve come, the real odyssey has only just begun."
18,63,"Kubrick leaves himself wide open to ridicule from the minute he picks up Dr. Floyd’s space investigation of the mysterious monolith...The setting is a technical marvel, but advertising plugs make it a super-commercial and destroy its impact."
19,30,"In the first 30 seconds, this film gets off on the wrong foot and, although there are plenty of clever effects and some amusing spots, it never recovers. Because this is a major effort by an important director, it is major disappointment...What is most shocking is that Kubrick’s sense of narrative is so feeble."
20,100,"It remains as intelligent and provocative as ever, bearing years of conceptual dreaming."
21,100,"Whether you think it's pretentious or profound, you can't deny that Space Odyssey is a significant landmark in the history of cinema. It's also, as the original posters proclaimed, ""the ultimate trip..."""
22,80,"Like Space Odyssey itself, the ambiguous ending is at once appropriate and wrong. It guarantees that the film will arouse controversy, but it leaves doubt that the film makers themselves knew precisely what they were flying at. Still, no film to date has come remotely near Odyssey's depiction of the limitless beauty and terror of outer space. In this 2-hr. 40-min. movie, only 47 minutes are taken up with dialogue. The rest of the time is occupied with demanding, brilliant material for the eye and brain. Thus, though it may fail as drama, the movie succeeds as visual art and becomes another irritating, dazzling achievement of Stanley Kubrick, one of the most erratic and original talents in U.S. cinema."
23,100,"Fascinated by the technology of movies as much as by the technology of space—it presents film as a fabulous, exciting plaything, reviving Orson Welles's observation that a movie set is ""the biggest electric train set a boy ever had."""
24,40,"It’s a monumentally unimaginative movie: Kubrick, with his $750,000 centrifuge, and in love with gigantic hardware and control panels, is the Belasco of science fiction. The special effects—though straight from the drawing board—are good and big and awesomely, expensively detailed. There’s a little more that’s good in the movie, when Kubrick doesn’t take himself too seriously. [Harper's]"
25,100,"It’s an overpowering experience, awe-inspiringly photographed by Geoffrey Unsworth, groundbreakingly enhanced by Douglas Trumbull."
