review_id,user_rating,review_text
1,90,"Despite years of imitators, sequels (some great, some not so), and edited-for-television broadcasts, Alien has lost none of its power, and the big screen only intensifies its impact."
2,88,"The most important features of this ""new"" version are the digital cleaning of the print and the re-mastering of the sound. There are a few added scenes, but they are mostly insignificant and have been previously seen (at least by fans of the movie) on the laserdisc or DVD releases."
3,90,"Twenty-four years later -- digitally spruced up, with some scenes shaved and others padded with previously cut material -- Scott's film still shreds nerves."
4,88,"Alien, even with some scene tinkering that has left this ""director's cut"" one minute shorter than its original release, is still one of the creepiest, scariest, most shocking films ever."
5,88,"What's most unusual about the original 24 years later, though, is its elegant minimalism."
6,88,"An old nightmare, made shiny new."
7,88,"Mostly it's worth seeing Alien, which established Scott as an A-list director, in a theater because his brilliant and often expansive visuals have always worked better on a big screen than on video."
8,100,"This is the breakout role for Sigourney Weaver, whose iconic presence still propels this ride beyond the scores of substandard imitations that followed. Why see it on the big screen? Because it's bloody brilliant."
9,30,"An empty-headed horror movie (1979) with nothing to recommend it beyond the disco-inspired art direction and some handsome, if gimmicky, cinematography."
10,100,Feels like a streamlined improvement on the original.
11,91,"A landmark film, the unnecessary tinkering has not perceptibly harmed its overall effectiveness and it's a special Halloween treat to see it digitally spruced up and on the big screen for the first time in 25 years."
12,100,"With the visuals and soundtrack given a wax and polish job for the big screen, Scott's masterful use of shadows, framing and sound has never been more terrifying. No matter how many times you've seen this, you'll still be hiding behind your fingers at every conceivable juncture."
13,30,"Unfortunately, fulfilling an apparent need to assert absolute control over his early successes no matter the cost, the director has gone ahead and loused up his 1979 masterpiece of gothic sci-fi horror."
14,100,"Pay attention to the enhanced detail audible in a new six-track sound mix, which may be the most important cleaning job of all; silence and Jerry Goldsmith's score have never twined so hauntingly."
15,50,"The overall effect is about the same -- slow start, then escalating suspense and violence. Today's shock-movie fans will enjoy shrieking at it, and others should skip it. In space, no one can hear you ask for your money back."
16,100,This edition -- clean and tight as Scott would have it -- presents a strong case for Alien as both the greatest horror film and the greatest science-fiction film ever made.
17,100,"The scariest movie in history is actually a bit shy. The subtle, romantic score by Jerry Goldsmith is what keeps the tension at a simmer."
18,80,"And while this director's cut doesn't really differ all that much from the original 1979 release, it contains a few minutes of never-before seen footage, including one serious bitch slap and an entire scene in which Ripley stumbles upon a few not-quite-dead crew members whose terrible fates foreshadow James Cameron's 1986 sequel."
19,100,This is a five star film because it is one of the most perfect science fiction thrillers of all time.
20,100,The best thriller of 2003 was made in 1979.
21,100,I recognize how few horror movies I've seen before or since that ever manage to capture such a tangible feeling of menace.
22,100,Watching it again reminded me how remarkably the sound engineers did their jobs. Listen to the subtly amplified heartbeat - Ripley's? the ship's? - that pulses under the soundtrack through the last 15 minutes.
23,100,"One of the great strengths of Alien is its pacing. It takes its time. It waits. It allows silences (the majestic opening shots are underscored by Jerry Goldsmith with scarcely audible, far-off metallic chatterings)."
24,100,"The most startling thing watching Alien again is its pacing. For the first 45 minutes, little happens. It's all slow, exquisite build-up, which makes the second half seem all the more horrific. [2003 re-release]"
25,100,"It’s the creature’s instinctual murder spree that makes the immediate impression, but that would be nothing without the simmering tensions among the human counterparts. [30th anniversary release]"
26,100,"If you've never seen Alien on the big screen, this is a must-have cinematic experience that will leave you shivering and adrenalised. And even if you have seen it, the same holds true. It really is that damn good. [2003 re-release]"
27,100,A movie masterpiece.
28,100,"Ridley Scott's direction seems even better than remembered, starting off languidly and picking up speed as the horrors mount. [2003 re-release]"
29,100,"The film is superbly paced, imaginatively designed, consistently suspenseful and never attracts an unintentional laugh. [2003 re-release]"
30,100,"This is a creature flick, yes, but Alien is also on par with a genre masterpiece such as Jaws. The craftsmanship is that sound, the inventiveness that clever, the characterization that strong. And then there is the not-small matter of Alien being a seminal feminist action flick."
31,100,"For sheer theatricality, the very thing Weaver thought she was abandoning, Alien is difficult to beat."
32,100,Editors Terry Rawlings and Peter Weatherley cut the film so cleverly so that we never have a clear notion of what the alien actually looks like until the very last shots.
33,100,"Still Scott’s greatest film and better than James Cameron’s sequel, the director’s sci-fi horror is an exercise in minimalistic terror, manifesting it in the most unknowable, terrifying extraterrestrial creature ever seen on screen."
34,100,"Just as Ripley is the female action hero against whom all others are judged, so the alien itself, brilliantly conceived by HR Giger and, equally brilliantly, concealed by Scott and kept in shadow for much of the film, is one of the most terrifying monsters in cinema history."
