review_id,user_rating,review_text
1,70,"The movie can't explain as much as it wants to about what makes (and unmakes) a skinhead, but it carries us a fair distance."
2,50,"For all its surface verisimilitude and for all its focus on a problem that couldn't be more current, this film can't manage to feel more than sporadically real."
3,91,"Feels as true as a documentary, as painful as a blow to the heart."
4,80,"Jolting, superbly acted film."
5,80,"A true achievement -- no matter who eventually wants to take, or deny, credit for its creation."
6,50,"As a visit to a world and a way of life most of us will never experience, American History X is vivid, and it feels honest. At the very least, it's not typical."
7,75,"While this movie is sometimes overbaked, it is the first major studio release in a while to engross wall-to-wall."
8,70,"Trenchant and visceral, American History X may not be perfect, but it's a darn sight better than good."
9,20,A mess of a film.
10,80,An inflated yet gut-slugging film.
11,63,"Excellent in flashes, unintentionally absurd and lead-footed at other moments, the movie stumbles under the weight of its own grandiose intentions."
12,20,A mousy little nothing of a picture.
13,75,"May be flawed, but it's not easily forgotten."
14,40,Fails dramatically as well as ideologically.
15,83,"This is the sort of incendiary role a lot of actors would kill for, yet the shock of Norton's performance isn't its showboat flamboyance. It's that he makes this sadistic junior sociopath rueful and intelligent."
16,100,"A shockingly powerful screed against racism that also manages to be so well performed and directed that it is entertaining as well. [30 October 1998, Friday, p.A]"
17,60,"There may be much to like about his movie, but it's all been done before to more challenging degrees of moral ambiguity. That's a pretty fatal flaw."
18,70,"Norton's performance, which is every bit as varied as his Oscar-nominated work in Primal Fear, once more demonstrates that he's one of the most remarkable chameleons working in film."
19,90,What makes this film so powerful is that its unanswered questions force the audience to examine hate and its consequences making American History X one lesson you can't miss.
20,70,"It's Norton who makes the film such an enlightening experience, and he's mesmerizing."
21,70,"It's a testament to Norton's utter immersion in the role that he can even halfway connect the dots between this fundamentally sweet, brainy kid and the magnetic, white trash monster who'll haunt our minds long after the movie's liberal pieties fade into static."
22,60,"It's hard to know whom to blame for the film's choppiness, its mixture of rage and sentimentality, the stridency of some of the acting."
23,67,"A violent, sober cautionary tale, strictly middle-of-the-road when it comes to its much-ballyhooed politics and grimly obvious in its telling."
24,60,"Director Tony Kaye may be reaching for opera, but screenwriter David McKenna has set his sights distinctly lower."
25,75,"Unflinching in its depiction of racism, anti-Semitism, violence and jailhouse politics."
26,60,This material is charged enough without piling on the melodrama and the lip-smacking violence. The movie too often sacrifices reportage for razzle-dazzle.
27,75,"A series of well-drawn sketches and powerful scenes, in search of an organizing principle."
28,50,"The picture is smothered by solemn right-mindedness, and hobbled by scripter David McKenna's simplistic, knee-jerk liberal take on suburban white racism."
29,80,"Despite a cheap, Hollywood ending and despite Kaye's kooky campaign, X is a killer."
30,25,Norton's high-energy acting is the only element that saves the picture from being a total loss.
31,75,"Such an ambitious, well-acted film that it's easy to overlook its flaws as relatively minor."
32,80,American History X is a crash course on how to make a message movie that resonates with crackling power.
