review_id,user_rating,review_text
1,95,"Blade Runner 2049 is terrific, a worthy heir to one of the great science-fiction films of all time."
2,60,"While it certainly stimulated and overwhelmed my senses, Blade Runner 2049 rarely got my mind whirring the way one always hopes this kind of artful, serious-minded sci-fi will."
3,85,"There’s a humanity in Gosling’s K we haven’t quite seen before in this world of frowning people and weirdos. And it’s those little, subtle inflections that makes Blade Runner 2049 a success."
4,100,Blade Runner 2049 is not a perfect film. The pace occasionally puts the plod in the procedural and some story elements are introduced only to drift away to the land of possible sequels. But Villeneuve has created a genuinely thoughtful piece of sci-fi which escapes the gravitational pull of its inspiration to become something - to paraphrase Dr. Eldon Tyrrell - more Blade Runner than Blade Runner.
5,50,"Denis Villeneuve’s film is designed to reward the audience for recognizing references in the midst of an action pursuit, and, after an hour or so of the clipped and earnest signifying, one may find themselves nostalgic for Ridley Scott’s unforced indifference to the issue."
6,90,"The latest Denis Villeneuve achievement, Blade Runner 2049 is the rare sequel that both pushes the franchise to challenging new places and serves as a natural extension of what's come before."
7,58,"There are flashes of visual grandeur in Blade Runner 2049, which was shot by the always-inventive Roger Deakins, but there’s not much reason for this film to exist outside of its fan base."
8,88,"The new film is the rare sequel that truly merits its existence, updating and expanding the themes of the 1982 original to bring them from the 20th century into the 21st. Yes, Blade Runner 2049 is one hard-working and deep-thinking replicant."
9,80,"As shaped by Villeneuve and his masterful creative team, especially production designer Dennis Gassner and cinematographer Roger Deakins, this film puts you firmly, brilliantly, unassailably in another world of its own devising, and that is no small thing."
10,100,"Director Denis Villeneuve (“Arrival”) delivers a moody, visually stunning celebration of existential angst. Not that he skimps on the kind of mayhem that’s de rigueur these days, but you have to wait for it — and wait for it. But when it does arrive, it’s awesome."
11,84,Blade Runner 2049 should resonate deeply with anyone who’s ever held love for the original.
12,75,"Blade Runner 2049 is long and slow. It’s never boring, but it’s a little too mired in one sustained note of sadness to break out as a great experience or to stand out as a great movie. Still, there are some remarkable scenes."
13,60,"It’s not mere fan service; the film tries very hard to sustain interest with new characters and developments that draw on the past without being handcuffed to it, throughout its sometimes ponderous 163-minute runtime. But far too often that attempt to be interesting fails."
14,80,"Despite all the overlaps, this is not a simulacrum of a Ridley Scott film. It is unmistakably a Denis Villeneuve film, inviting us to tumble, tense with anticipation, into his doomy clutches."
