review_id,user_rating,review_text
1,100,"There’s dignity and folly to The Tramp in City Lights, and everything in between."
2,100,"If only one of Charles Chaplin's films could be preserved, “City Lights” (1931) would come the closest to representing all the different notes of his genius. It contains the slapstick, the pathos, the pantomime, the effortless physical coordination, the melodrama, the bawdiness, the grace, and, of course, the Little Tramp--the character said, at one time, to be the most famous image on earth."
3,100,"Both funny and touching, this showcases Chaplin at his best."
4,70,"It’s not Chaplin’s best picture, because the comedian has sacrificed speed to pathos, and plenty of it. This is principally the reason for the picture running some 1,500 or more feet beyond any previous film released by him. But the British comic is still the consummate pantomimist, unquestionably one of the greatest the stage or screen has ever known. Certain sequences in “City Lights” are hilarious."
5,100,"Of all Chaplin's films (with the possible exception of Modern Times), City Lights offers the fullest characterization of the Tramp. He's a loner who comes and goes almost like a dream figure or a drunken angel. Without family, friends, or a place to live, he stands outside of our reality, sometimes trying to fit in and sometimes not caring whether or not he does. Yet, like a child, he is a complete innocent with a pure heart and the best motives."
6,100,"We're exhausted because we laughed so much and so heartily at City Lights that we feel considerably weakened. Here's praying that we fast regain our strength so that we may journey to the George M. Cohan theatre to see Charlie again - and again - in this new heart-breaking masterpiece of comedy which he offers pantomimically to a worldful of movie-goers...City Lights is excruciatingly funny and terribly, terribly sad. It makes you chuckle hysterically. You have the greatest time imaginable, and yet, occasionally you find little hurty lumps in your throat."
7,100,It was a joyous evening. Mr. Chaplin's shadow has grown no less.
8,80,The movie exemplifies everything that was great and grating about the filmmaker’s artistry: his impeccable physical slapstick (see the boxing match) and his overreliance on embarrassing sentimentality; his intuitive understanding of the medium and frequent displays of the mammoth martyr complex that informed the comedian’s every move.
9,100,Its last few moments are among the most brilliant (and risky) endings in film history.
10,100,A beautiful example of Chaplin's ability to turn narrative fragments into emotional wholes. The two halves of the film are sentiment and slapstick. They are not blended but woven into a pattern as eccentric as it is sublime.
11,88,"The first great peak in City Lights, the boxing scene, may be the most brilliant single comedy sequence of his career, not least because of the participation of Hank Mann, who plays the Tramp’s Bluto-like opponent in the ring, and Eddie Baker, who plays the referee."
12,100,One of the cinema's greatest and most durable masterpieces.
13,88,"A paradox in City Lights is the virtually equal weight given the theme of courtly love and male camaraderie. Indeed, one of the most interesting characters in the Chaplin canon is the rich man (Harry Myers) who embraces the tramp during their nocturnal revels, but who invariably forgets their association by the dawn’s ugly light when they have sobered up."
14,100,"The closing shot of Charlie Chaplin's face in City Lights, his heart breaking: the highest form of screen acting, the most effective tear extraction exercise the medium has yet to offer."
15,100,One of the films in the running as Charlie Chaplin's funniest and most adroitly balanced between comedy and pathos. [7 Sept 1990]
