review_id,user_rating,review_text
1,100,"Stirred up impassioned debate everywhere; it would seem the greatest compliment that could be paid a stunning entertainment. [30 June 1989, Calendar, p.6-1]"
2,100,"This is a sumptuous work, from its unconventional title sequence of a woman dancing hard in the streets to its provocative ending with conflicting quotes from Malcolm X and Martin Luther King Jr .[30 June 1989, Friday, p.A]"
3,100,It comes closer to reflecting the current state of race relations in America than any other movie of our time.
4,100,"Has more originality, nitty-gritty humor, spirit and spunk than all the summer blockbuster retreads combined. Underneath the jousting and jiving, there's a sharp, uncompromising look at the anatomy of a race riot in the movie. [30 June 1989, Daily Notebook, p.E3]"
5,60,"To accept the film, though, one must first understand its point of view, and that is maddeningly difficult. All we know for certain is that Do the Right Thing is not naturalistic. [July 3, 1989]"
6,88,Lee has forged a work of art in the classic sense -- art that delights and instructs.
7,100,A remarkable piece of work. [30 June 1989]
8,100,There's no doubt about the film's sheer power and taut originality.
9,80,Combines a forceful statement on race relations with solid entertainment values.
10,70,"There's a great deal in black America that has yet to reach the screen, and Lee is a prime candidate, in gift and gall, to help fill the gap. [July 3, 1989]"
11,90,It is a subtle and humane entertainment with a refreshingly serious view of the world.
12,100,Witty portrait of a troubled community.
13,80,This is a powerful and persuasive look at an ethnic community and what makes it tick.
14,90,"A movie made by filmmaker working in sync with his times -- an exciting, disturbing, provocative film."
15,100,"This is a fascinating movie experience. [30 June 1989, Life, p.1D]"
16,100,"Sal is not ready for a new political world, whose dawn Lee sketches out here, in which it is not enough simply to refrain from making overtly racist gestures: omission or erasure is equally insulting."
17,100,"With its ingenious camera style, keenly dramatic music score, and brash yet indomitable humor, Do the Right Thing is the richest and most thought-provoking portrait of underclass experience that Hollywood has ever given us."
18,80,"As before, Lee's acute observation distils humour from accuracy rather than caricature but his growth as a filmmaker is impressive."
19,90,"Any way you  judge it, Thing reaffirms Lee's position as a filmmaker with audacity, courage and ideas."
20,88,"In the final analysis, the best thing one can say for Lee is that he takes risks, like all true artists. For unlike most of today's film makers, he's not afraid to really challenge a movie audience to do some serious thinking."
21,70,"Lee is nimble-witted, and he’s always on the offensive; he stays in your face until you’re too exhausted to resist. You have to watch your reactions closely or he’ll speed right past you, get you to nod assent to an argument you haven’t fully realized he was making. Most American movies just want to knock you senseless immediately and get it over with; Do the Right Thing tries to wear you down, and its strategies are fascinating."
22,100,"One of Lee's great successes with this film is that he is able to present every character, regardless of race, gender, or age, with three-dimensionality and a degree of sympathy. No one is demonized or lionized. No one individual is blamed or exonerated for the events which transpire. Each individual with significant screen time is shown to have good and bad qualities, and we come to understand what motivates them, even if we do not agree with them."
23,100,"Lee offers no reassurance, no uplift, no call for all races to join hands and spout liberal platitudes. What he does offer is a devastating portrait of black America pushed to the limit, with the outcome still to be written. There’s only one way to do the wrong thing about Do the Right Thing: that would be to ignore it."
24,100,"Lee deftly follows the actions of two dozen people on what turns out to be one of the longest, hottest, most memorable and maybe most tragic days of their lives. And he does it without so much as a single lugubrious or extraneous moment."
25,100,"Lee creates a remarkably even-handed and nuanced portrait of the way that violence can flare, and how bigotry can build to something much worse"
26,100,"Effortlessly moving from comedy to serious social comment, eliciting excellent performances from a large and perfectly selected cast, and making superb use of music both to create mood and comment on the action, Lee contrives to see both sides of each conflict without falling prey to simplistic sentimentality."
