review_id,user_rating,review_text
1,100,"Lynch's Hollywood is a grand old girl, but she's one with some very treacherous curves. To trace the contours of her sensuality, you need a camera as sensitive as a set of fingertips. Lynch's is."
2,100,"Like ""Memento,"" Mulholland Drive is an amnesiac noir in the tradition that goes back to ""Spellbound"" and ""Somewhere in the Night."""
3,75,"It will frustrate viewers who like stories to make instant sense, but fans of provocative puzzles will have mind-teasing fun."
4,75,"No classic like ""The Big Sleep,"" another famously impossible-to-follow Los Angeles thriller. But for those willing to hang on for dear life, Lynch makes it worth their while."
5,100,"While this road may contain too many potholes -- and plotholes -- to sustain an even ride, there are moments of greatness scattered throughout to remind us why Lynch is vital and why the French think he's so nifty."
6,75,"Exhilarating not only for its dreamlike images and fierce, frequently reckless imagination but also for the fact that it got made (and released) at all."
7,67,"As riveting as it may be, his film is a total shaggy-dog story."
8,88,A dizzying - sometimes frustrating - marvel of moviemaking instinct and ingenuity.
9,100,A genuinely ominous and suspenseful thriller.
10,88,"It just requires an open mind, a love of film and a willingness to dream."
11,90,"Viewers will feel as though they've just finished a great meal but aren't sure what they've been served. Behind them, the chef smiles wickedly."
12,40,"Lynch needs to renew himself with an influx of the deep feeling he has for people, for outcasts, and lay off the cretins and hobgoblins and zombies for a while. Mulholland Drive is the product of David Lynch, Inc."
13,60,"Mulholland Drive is an extended mood opera, if you want to put an arty label on incoherence."
14,90,"The movie, at two and a half hours, retains much of the unhurried suspense -- the careful cultivating of our patience, of our narrative loyalty -- that is bred by the best TV."
15,75,"It's flawed, but it's also rich. And how many films make you feel that you and the filmmaker are following the course of a dream?"
16,100,"Mulholland Drive isn't a ""puzzle"" like ""Memento,"" in which the pieces (sort of) fit together. There are some pieces here that will never fit -- except maybe in Lynch's unconscious. And yet -- and yet -- this distinctly Hollywood nightmare makes a deeper kind of sense."
17,83,Rapt and beautiful and absorbing.
18,90,The challenge is exhilarating. You can discover a lot about yourself by getting lost in Mulholland Drive. It grips you like a dream that won't let go.
19,100,"For film buffs and Lynch fans, this is a glorious high."
20,90,Thrilling and ludicrous. The movie feels entirely instinctual. The rest is silencio.
21,91,"It's surreal, erotic, creepy, frustrating, absorbing, transporting and torturous in the way only a Lynch film can be."
22,50,"Relax, sit tight, and enjoy the ride."
23,60,"Watching this surrealist silliness, I would have welcomed the sight of a geezer on a riding mower."
24,100,"This is a movie to surrender yourself to. If you require logic, see something else. Mulholland Drive works directly on the emotions, like music."
25,75,"It's a lush, lovely dreamscape of a movie, steeped in familiar vernacular (film noir), yet capable of shooting off in totally unfamiliar, surreal directions."
26,70,"There's a lot to enjoy, and plenty of potential, but none of it pays off. So we're left with what amounts to some very clever experimental cinema in the Lynch vein. Which, if you think about it, isn't all that bad."
27,100,"Not just everything you want in a David Lynch movie, but damn near everything else you want in ANY movie."
28,100,"Likely as not, these things mean nothing in a conventional plot sense, but as powerful images, as pictures from a dreamlike world, they are unforgettable. And that, David Lynch would probably say, is exactly the point."
29,100,"Watts and Harring even turn out to be the hottest Hollywood couple of 2001. The plot slides along agreeably as a tantalizing mystery before becoming almost completely inexplicable, though no less thrilling, in the closing stretches--but that's what Lynch is famous for. It looks great too."
30,75,"Lynch does ""explain"" what's happening via a plot twist two-thirds of the way through ""Drive,"" which will satisfy you (as it did me) or leave you asking, ""Is that all there is?"""
31,80,"An intriguingly mysterious, self-reflexive ode to the dream factory, it's one of Lynch's most satisfying films."
32,100,"By surrendering any semblance of rationality to create a post-Freudian, pulp-fiction fever dream of a movie, Mr. Lynch ends up shooting the moon with Mulholland Drive."
33,80,"Lynch's new movie, Mulholland Drive, is a trip and a half: It's like playing Twister and Scrabble simultaneously while high on LSD. Oh, and it's dark out."
34,100,"Amid the chaos of this marvelous, uncategorizable film squirms one of the year's best performances."
35,100,"Alluring and unnerving, Lynch’s horror-show reminds us how much cinema misses him. Watts is electric, too."
36,100,"Mulholland Drive is as brilliant and disquieting as anything Lynch has ever done. It is psychotically lucid, oppressively strange, but with a powerfully erotic and humanly intimate dimension that Lynch never quite achieved elsewhere. It is a fantasia of illusion and identity, a meditation on the mystery of casting in art as in life: the vital importance of finding the right role."
37,100,"A bone fide masterpiece. An erotic, deeply unsettling, darkly comic journey through the subconscious city of night."
38,100,"Mulholland Drive is a haunting, selfish masterpiece that literalizes the theory of surrealism as perpetual dream state."
