review_id,user_rating,review_text
1,80,It's hard to deny that Marlon Brando's performance as a dock worker and ex-fighter who finally decides to rat on his gangster brother (Rod Steiger) is pretty terrific.
2,100,"The acting and the best dialogue passages have an impact that has not dimmed; it is still possible to feel the power of the film and of Brando and Kazan, who changed American movie acting forever."
3,80,Moviemaking of a rare and high order.  (Review of Original Release)
4,88,"On the Waterfront may have baggage, but that doesn't prevent it from being one of the great American productions of the mid-20th century."
5,100,"A draining experience from beginning to end, relentless in its portrayal of inhumanity."
6,80,"Under Elia Kazan's direction, Marlon Brando puts on a spectacular show, giving a fascinating, multi-faceted performance."
7,80,"Like many cult films, it is also less than the sum of its parts."
8,75,"Brando made one of his most indelible impressions in this relentlessly dramatic, ever-controversial tale of loyalty and betrayal in the world of working-class unions."
9,100,"The chance to watch a four-star classic the way it was meant to be seen -- fresh print, big screen -- is so rare as to be worth the trip."
10,100,"As unspoiled in its key elements as the day it was made, ""On the Waterfront"" is indisputably one of the great American films, its power undiminished. Even more today than half a century ago, it demands to be seen."
11,100,"This brutal, violently realistic drama, set against the sordid background of the New York waterfront, packs a terrific wallop that results in topflight entertainment."
12,80,"We must salute screenwriter Budd Schulberg (his speech for priest Karl Malden in the loading bay is still stirring). Add the acting/writing heroics a restrained score by Leonard Bernstein and a striking, charcoal look by cinematographer Boris Kaufman, and you have an elegiac portrait of labour relations that feels like a kick in the slats."
13,100,"Politics apart, though, it's pretty electrifying."
14,100,"Outstanding performances are turned in by Karl Malden in the role of a priest who makes the waterfront characters his particular charge, by Lee J. Cobb, as the big bully who bosses the boys, by Rod Steiger, John Hamilton and a couple of well-known pugilists, Tony Galento and Tami Mauriello."
15,90,"Kazan succeeds in producing a shrewd piece of screen journalism, a melodrama in the grand manner of Public Enemy and Little Caesar. But he fails to do anything more serious—largely because he tries too hard. In searching for the general meaning in little lives, Director Kazan has trained his lens down fine on small events; he has too often watched his characters through the magnifying glass of special prejudice—the old sentimental prejudice that ordinary people are wonderful no matter what they do."
