review_id,user_rating,review_text
1,90,"A big movie for the ages, full to the brim with sympathy, imagination and sheer visual delight."
2,100,One of the most visually inventive films I have ever seen.
3,80,"Exceedingly imaginative, beautifully realized animated epic adventure."
4,50,As spectacular as it is dense and as dense as it is colorful and as colorful as it is meaningless and as meaningless as it is long.
5,85,"Like a lot of anime, it's overlong and gets way too metaphysical at the end, but ultimately, this is a Princess worth worshipping."
6,70,It's Miyazaki's use of sound--and silence--that takes your breath away
7,80,The film's storytelling and heartfelt pantheism are both impressive.
8,75,A must-see for animation fans.
9,88,"Rarely does any film, animated or otherwise, immerse you in such a vivid landscape and engage your senses so strongly."
10,100,"Its breadth, profundity, and stunningly rendered vision make idealism seem renewed and breathtaking again."
11,80,Opinionated magic and mayhem
12,70,Much more mythic and risk-taking than the usual Hollywood product.
13,63,A thing of beauty and imagination.
14,80,The beauty and scale of Miyazaki's vision shines through.
15,75,More thoughtful and varied than the average Hollywood cartoon.
16,78,"A film for the young at heart and those who still appreciate honor, valor, love, and the earth."
17,83,"A dazzling movie, gorgeous to look at, involving on both emotional and intellectual levels, and often thrilling."
18,70,"Its imagery is never less than breathtakingly beautiful, and is occasionally truly awesome"
19,75,"In theme and technique, it pushes the boundaries of animation and opens up new and imaginative possibilities."
20,88,"The majestic pageant of images - no sylvan landscape has been this indelibly, dimensionally alive - is inextricably welded to the multifold spiritual / ecological questions about the future that Miyazaki is contemplating."
21,70,"While Mononoke is often gorgeous to look at and has a far more sophisticated story than most Japanese animated features, it still feels overlong and dramatically unengaging."
22,88,A visually stunning film.
23,90,A landmark feat of Japanese animation from the acknowledged master of the genre.
24,75,A rare spectacle on the big screen.
25,90,Amore satisfying use of the medium would be difficult to imagine.
26,80,"Complex, superbly rendered, and wildly eccentric anime-even by Miyazaki's own standards."
27,100,Has the effect of making the average Disney film look like just another toy story.
28,70,"A Zeitgeist potpourri, strung with late-20th-century fear and anxiety."
29,40,"Wacky, vividly conceived but mundanely executed cartoon fantasy."
30,100,"Superbly imagined and visually sumptuous, it's let down only by Hisaishi's sub-Miklos Rosza score."
31,80,This imaginative and intriguing Anime deserves all the plaudits heaped upon it.
