review_id,user_rating,review_text
1,38,"The movie is an invaluable experiment in the theory of cinema, because it demonstrates that a shot-by-shot remake is pointless; genius apparently resides between or beneath the shots, or in chemistry that cannot be timed or counted."
2,50,"The movie doesn't stink. The performances are good, potentially great, especially Vince Vaughn as Norman Bates."
3,50,"In the shock department, the ante has been upped, way up, and a mere kitchen knife through a shower curtain just doesn't cut it any more."
4,63,"Cold, dull, lifeless.  [5 December 1998, p.3]"
5,38,Redundant and unnecessary.
6,75,"Norman Bates is alive and well, and just a tad kinkier than you remember him."
7,75,"William H. Macy is fine as the detective Arbogast, wearing a hat he could have borrowed from Martin Balsam in the original role."
8,50,"Van Sant's film feels as dated as Hitchcock's, and Hitchcock's has the better excuse."
9,63,"Untantalizingly reverent remake.  [7 December 1998, p.4D]"
10,60,"A faithful-unto-slavish remake of the 1960 Hitchcock classic, pic contains nothing to outrage or offend partisans of the original, yet neither does it stand to add much to their appreciation."
11,50,This Psycho seems a little nuts.
12,50,"As Norman Bates, Vince Vaughn makes us better appreciate how much Anthony Perkins brought to the original project. It's clear now that he owned the role and that he shares equally with Hitchcock the credit for making Psycho the memorable creep show it is -- and was."
13,0,Van Sant's doomed and misguided experiment.
14,50,It's so slavishly similar to its predecessor - right down to the symbolic lettering on Marion's license plates - that there's little to spark fresh discussion except the acting.
15,70,Funny and sort of creepy--a not bad little thriller with some peculiarly dated plot development.
16,40,"The thrill of the original is seeing a black-and-white, one-foot-on-the-floor, no-sex-please Hays Code world suddenly explode into a slasher movie. Our loss of innocence has, simply, changed all the rules."
17,75,The film is shot in color and includes an amped-up Danny Elfman version of Bernard Herrmann's haunting score.
18,30,"Anne Heche is just another neo-noir minx on the make, while Vince Vaughn, grinning and leering as Norman Bates, sinks the movie."
19,70,It remains the most structurally elegant and sneakily playful of thrillers. At least some things never change.
20,40,"Hitchcock's Psycho had a lot more than watchability going for it. Van Sant's film impresses only on the level of a cinematic parlor trick, and while that makes it an interesting curiosity, the world doesn't need it."
21,70,"May not be anything new, but it's still just as shocking."
22,40,The response for anyone familiar with the original Psycho is likely to be restricted to a narrow range between briefly enjoyable d&#233;j&#224; vu and mild disappointment. The movie lacks the chutzpah to even be a travesty.
23,60,"If the original did not exist, would this picture be worth seeing?"
