review_id,user_rating,review_text
1,100,The triumphant masterpiece of Akira Kurosawa's fertile twilight.
2,100,"In Ran, the horrors of life are transformed by art into beauty. It is finally so moving that the only appropriate response is silence."
3,90,"A magisterial film, but not quite a great one."
4,100,"One of the 10 best films ever made, period."
5,95,"The Japanese title means chaos, and that is what is let loose when a powerful king foolishly tries to release the reins of power, in the hopes of enjoying a peaceful old age."
6,50,"Save for one startlingly staged battle sequence. . .might as well have been titled ""Also Ran."""
7,100,"Kurosawa pulled out all the stops with Ran, his obsession with loyalty and his love of expressionistic film techniques allowed to roam freely."
8,100,"Stands separate from the rest, in a pantheon, a true cinematic masterwork of sight, sound, intelligence, and most importantly--passion."
9,100,"In many respects, it's Kurosawa's most sumptuous film, a feast of color, motion and sound: Considering that its brethren include ""Kagemusha,"" ""The Seven Samurai"" and ""Dersu Uzala,"" the achievement is extraordinary. [01 Dec 2000, p.26]"
10,100,It’s a dazzlingly successful addition to [Kurosawa's] distinguished career.
11,90,A stunning achievement in epic cinema.
12,100,Ran represents the color/widescreen zenith (qualification necessary due to Seven Samurai) of Kurosawa’s genius for spectacle.
13,88,"In Ran, color plays a role not unlike that of language in ""Lear"": a kind of ground bass of beauty, a product of pure imagination, that both affirms life and surpasses it. Yet Kurosawa uses that beauty more as negation: a reminder not of what man is capable of but how puny he is in comparison."
14,100,"The physical scale of Ran is overwhelming. It's almost as if Kurosawa is saying to all the cassette buyers of America, in a play on Clint Eastwood`s phrase, ""Go ahead, ruin your night""--wait to see my film on a small screen and cheat yourself out of what a movie can be."
15,100,"Ran, which translates as ""chaos"" or ""turmoil,"" is at once brisk and vital, elegiac and contemplative, intimate and epic, tragic yet shot through with humor. It combines the energy of youth with the perspective of maturity. It encompasses all of human nature in its folly and grandeur, and it does so in images as beautiful and terrifying as any ever captured on film and in performances that are impeccable."
16,100,"Quite simply, Ran is a great, nightmarish motion picture."
17,100,"If Shakespeare's poetry enters the mind through the ear, Kurosawa's enters it through the eye. But the imagery is of comparable quality, at once awesome in its power, delicate in its irony and, finally, for all the violence of the events it recounts, eerily serene in the sureness with which it achieves its effects."
18,100,The drama itself packs a powerful -- and timeless -- gut punch.
19,100,"Though big in physical scope and of a beauty that suggests a kind of drunken, barbaric lyricism, ''Ran'' has the terrible logic and clarity of a morality tale seen in tight close-up, of a myth that, while being utterly specific and particular in its time and place, remains ageless, infinitely adaptable."
20,100,"All that matters is that emotions be real, and so they are: wracking grief, harrowing madness, unquenchable hate. Composers have tried and failed to turn ""Lear"" into a workable opera, but Kurosawa has found the visual equivalent. Yet the last image of a man, solitary and silent, is more haunting than all the destruction. [10 Aug 2001, p.7E]"
21,100,"Ran is a great, glorious achievement."
