review_id,user_rating,review_text
1,100,"Wilder's 1959 comedy is one of the enduring treasures of the movies, a film of inspiration and meticulous craft, a movie that's about nothing but sex and yet pretends it's about crime and greed."
2,100,"Key to its success - along with its vivid characters and brilliant performances - is the snappy pace throughout. Non-stop gags, invention, twists and comic incident flow, as Joe and Jerry - sexy Curtis and screamingly funny Lemmon - elude mob boss George Raft by wriggling into an all-girl jazz band, with Josephine and Daphne’s legendary drag act taking in amorous adventures, seductive deceptions and madcap pursuits."
3,80,"Let's face it. Two hours is too long a time to harp on one joke. But Billy Wilder, who produced, directed and collaborated with I. A. L. Diamond on this breeziest of scripts, proves once again that he is as professional as anyone in Hollywood. Mr. Wilder, abetted by such equally proficient operatives as Marilyn Monroe, Jack Lemmon and Tony Curtis, surprisingly has developed a completely unbelievable plot into a broad farce in which authentically comic action vies with snappy and sophisticated dialogue."
4,100,"Some Like It Hot, directed in masterly style by Billy Wilder, is probably the funniest picture of recent memory. It's a whacky, clever, farcical comedy that starts off like a firecracker and keeps on throwing off lively sparks till the very end."
5,100,"Reinvented by Wilder and co-screenwriter co-writer IAL Diamond, Some Like It Hot is effortlessly fluent, joyous and buoyant: a high-concept comedy that stays as high as a kite, while other comedies flag. ""Nobody's perfect"" is the last line. Wilder, Lemmon, Curtis and Monroe come pretty close."
6,100,"Some Like It Hot is another supersonic, breakneck, belly-laugh comedy that should be a block-busting bonanza at the box office. It should be a proof that when the making of pictures is taken out of the bands of men-of-measured-merriment and handed over to men whose only purpose is to create amusement, they are still the world's best means of entertainment. Billy Wilder, who produced, directed and wrote the screenplay, with I.A.L. Diamond, was on the front burner all the way."
7,100,"The funniest comedy I’ve seen in years. There aren’t many of the hundred and four minutes of running time that doesn’t find the audience laughing its head off at the antics of Jack Lemmon, Tony Curtis and Marilyn Monroe."
8,88,"Magnificently paced and terrifically funny at nearly every turn, Some Like It Hot was imbued with an inherent distrust of capitalism and big business that Wilder regularly expressed in an only slightly covert manner."
9,100,Billy Wilder’s 1959 comedy is still perfect all these years later.
10,100,"But it’s the precision-tooled plot fashioned by Wilder and I.A.L. Diamond that holds it together, creating the perfect farcical playground. Brilliant performances, wondrous comic timing and the greatest pay-off line ever written: this one’s still red hot."
11,100,"In many ways, the ultimate Billy Wilder film, replete with breathless pacing, transvestite humor, and unflinching cynicism. Most of it is hilarious, but there is something disquieting in the way Wilder dances around his sexual theme—the film never really says what it's about, which might be just as well"
12,100,"If Some Like It Hot isn’t the funniest movie ever made, you can’t blame it for not trying. The first time you see Billy Wilder’s 1959 farce, you might not believe that anything can make you laugh so hard for so long. Where most comedies wear out their audience after an hour and a half, “Some Like It Hot” goes on for 122 minutes and leaves you ebullient."
13,100,"SOME LIKE IT HOT expands a one-joke premise with hysterical results, due in no small part to the contributions of the near-perfect ensemble, with each of the major characters shining like a perfect jewel. Lemmon and Curtis are marvelous as the men-turned-women, creating believable characters and generally eschewing the lower forms of camp."
14,100,"If Billy Wilder achieved nothing else in his entire career, he would still rank as one of the great masters of cinema for pulling off this comic tour de force."
15,100,"Arguably the best cross-dressing comedy of all time, it's also one of director Billy Wilder's most fluid, vibrant, laugh-out-loud accomplishments, rife with zippy one-liners delivered in Lemmon's impeccable style, and a rakishly outrageous Cary Grant impersonation from Curtis. Monroe is at her gooey, blonde best here as the pouty, hard-drinking Sugar."
16,100,"A large part of what makes Some Like It Hot a perennial favorite is that it has the go-for-broke commitment of an early Marx brothers farce, but it's harnessed by a well-structured script that keeps building on itself. It's no fluke that the capper is the most famous closing line in movie history."
17,100,"As for that famous last line, “Well, nobody’s perfect,” it’s best left uncontextualized for those who haven’t seen it. It’s Hollywood’s subtlest moment of compassion, a wink and a hug at the same time, and the reason why the movie will always be immortal."
18,70,"Lipsticked, mascaraed and tilting at a precarious angle (""How do they walk in these things?""), Actor Lemmon digs out most of the laughs in the script. As for Marilyn, she's been trimmer, slimmer and sexier in earlier pictures."
19,80,"Lemmon is demoniacally funny - he really gives in to women's clothes, and begins to think of himself as a sexy girl. Monroe gives perhaps her most characteristic performance, which means that she's both charming and embarrassing."
